Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/15-Aug-07_46.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2334333135
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/15-Aug-07_46.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
11000	-16.567861	244	1	6	'Z Z 0 0 Z 0 0 0 0 Z Z Z 	0.000000	0.000000	12.375036	12.375036	0.000000	12.375036	12.375036	12.375036	12.375036	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
12000	-18.005490	494	2	3	'1 1 1 Z Z 1 1 1 1 Z 1 0 	10.370077	10.370077	10.370077	0.000000	0.000000	10.370077	10.370077	10.370077	10.370077	0.000000	10.370077	11.205774	0.000028	0.000000	0.999526	0.000446	
13000	-13.568726	437	1	3	'Z 0 0 0 0 0 0 0 0 0 Z Z 	0.000000	46.023064	46.023064	46.023064	46.023064	46.023064	46.023064	46.023064	46.023064	46.023064	0.000000	0.000000	0.000196	0.000086	0.999718	0.000000	
14000	-13.175605	870	1	7	'Z Z 0 Z Z 0 0 0 0 Z Z Z 	0.000000	0.000000	40.862620	0.000000	0.000000	40.862620	40.862620	40.862620	40.862620	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
15000	-16.045504	268	1	3	'Z 0 0 Z 0 0 0 0 0 0 0 Z 	0.000000	13.739511	13.739511	0.000000	13.739511	13.739511	13.739511	13.739511	13.739511	13.739511	13.739511	0.000000	0.000005	0.000002	0.999993	0.000000	
16000	-13.529042	678	1	6	'Z 0 Z Z Z 0 0 0 0 Z Z 0 	0.000000	45.219644	0.000000	0.000000	0.000000	45.219644	45.219644	45.219644	45.219644	0.000000	0.000000	45.219644	0.000012	0.000000	0.999276	0.000712	
17000	-13.453267	649	1	4	'0 0 0 0 Z Z 0 0 0 0 Z Z 	41.510034	41.510034	41.510034	41.510034	0.000000	0.000000	41.510034	41.510034	41.510034	41.510034	0.000000	0.000000	0.000108	0.000000	0.999892	0.000000	
18000	-14.142940	55	1	1	'0 0 0 Z 0 0 0 0 0 0 0 0 	26.284875	26.284875	26.284875	0.000000	26.284875	26.284875	26.284875	26.284875	26.284875	26.284875	26.284875	26.284875	0.000082	0.000082	0.999755	0.000082	
19000	-12.968148	148	1	4	'Z Z 0 Z Z 0 0 0 0 0 0 0 	0.000000	0.000000	78.172273	0.000000	0.000000	78.172273	78.172273	78.172273	78.172273	78.172273	78.172273	78.172273	0.000000	0.000000	0.995234	0.004766	
20000	-15.904543	215	2	4	'Z Z Z Z 0 0 0 1 0 0 1 1 	0.000000	0.000000	0.000000	0.000000	74.066600	74.066600	74.066600	2.117820	74.066600	74.066600	2.117820	2.117820	0.000000	0.000185	0.999809	0.000005	
