Options:
Model:                           MultiState
Tree File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.bttrees
Data File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.btdata
Log File Name:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/07-Nov-2019-11_38.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            182092359
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/07-Nov-2019-11_38.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-20.399049	552	2	5	'0 Z Z 1 Z 0 Z Z 1 0 0 0 	16.599529	0.000000	0.000000	3.172593	0.000000	16.599529	0.000000	0.000000	3.172593	16.599529	16.599529	16.599529	0.250000	0.250000	0.250000	0.250000	
100000	-17.185425	134	2	4	'Z 0 0 0 0 1 Z 1 1 Z Z 0 	0.000000	27.431857	27.431857	27.431857	27.431857	3.362322	0.000000	3.362322	3.362322	0.000000	0.000000	27.431857	0.250000	0.250000	0.250000	0.250000	
150000	-18.947744	503	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	2.511217	2.511217	2.511217	2.511217	2.511217	0.000000	0.000000	0.000000	2.511217	0.000000	2.511217	2.511217	0.250000	0.250000	0.250000	0.250000	
200000	-19.174097	116	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	8.371983	8.371983	0.000000	8.371983	8.371983	0.000000	0.000000	8.371983	8.371983	8.371983	8.371983	0.250000	0.250000	0.250000	0.250000	
250000	-21.938463	739	1	5	'0 Z 0 0 0 Z Z Z 0 0 Z 0 	24.859384	0.000000	24.859384	24.859384	24.859384	0.000000	0.000000	0.000000	24.859384	24.859384	0.000000	24.859384	0.250000	0.250000	0.250000	0.250000	
300000	-17.047165	510	2	4	'Z 0 0 0 0 1 Z 1 1 Z Z 0 	0.000000	13.796561	13.796561	13.796561	13.796561	1.872595	0.000000	1.872595	1.872595	0.000000	0.000000	13.796561	0.250000	0.250000	0.250000	0.250000	
350000	-18.124319	624	1	4	'0 0 0 Z 0 0 Z Z 0 0 Z 0 	0.274445	0.274445	0.274445	0.000000	0.274445	0.274445	0.000000	0.000000	0.274445	0.274445	0.000000	0.274445	0.229784	0.218688	0.315022	0.236506	
400000	-18.687859	399	1	5	'0 0 Z 0 0 Z Z Z 0 Z 0 0 	3.135189	3.135189	0.000000	3.135189	3.135189	0.000000	0.000000	0.000000	3.135189	0.000000	3.135189	3.135189	0.250005	0.250005	0.249988	0.250002	
450000	-19.164430	187	1	3	'0 0 0 0 0 0 Z Z 0 Z 0 0 	9.332404	9.332404	9.332404	9.332404	9.332404	9.332404	0.000000	0.000000	9.332404	0.000000	9.332404	9.332404	0.250000	0.250000	0.250000	0.250000	
500000	-17.487384	167	2	4	'0 1 Z Z 1 0 Z Z 0 1 0 1 	3.967548	7.196953	0.000000	0.000000	7.196953	3.967548	0.000000	0.000000	3.967548	7.196953	3.967548	7.196953	0.250000	0.250000	0.250000	0.250000	
550000	-19.485420	154	1	3	'0 0 Z 0 0 0 Z Z 0 0 0 0 	2.945164	2.945164	0.000000	2.945164	2.945164	2.945164	0.000000	0.000000	2.945164	2.945164	2.945164	2.945164	0.250000	0.250000	0.250001	0.250000	
600000	-17.995888	322	1	3	'0 0 0 0 0 0 Z Z 0 0 Z 0 	1.016792	1.016792	1.016792	1.016792	1.016792	1.016792	0.000000	0.000000	1.016792	1.016792	0.000000	1.016792	0.248590	0.248590	0.254237	0.248583	
650000	-18.805776	560	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	4.580130	4.580130	4.580130	0.000000	4.580130	0.000000	0.000000	0.000000	4.580130	4.580130	0.000000	4.580130	0.250000	0.250000	0.250000	0.250000	
700000	-18.949318	239	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	6.981526	6.981526	0.000000	6.981526	6.981526	0.000000	0.000000	6.981526	6.981526	6.981526	6.981526	0.250000	0.250000	0.250000	0.250000	
750000	-18.002918	672	1	3	'0 0 0 0 0 0 Z Z 0 Z 0 0 	1.015427	1.015427	1.015427	1.015427	1.015427	1.015427	0.000000	0.000000	1.015427	0.000000	1.015427	1.015427	0.251868	0.251770	0.246081	0.250281	
800000	-16.879914	764	1	4	'0 0 0 0 Z 0 Z Z 0 0 Z 0 	0.398086	0.398086	0.398086	0.398086	0.000000	0.398086	0.000000	0.000000	0.398086	0.398086	0.000000	0.398086	0.176287	0.065440	0.537394	0.220879	
850000	-21.412734	23	1	4	'0 0 Z 0 0 0 Z 0 Z Z 0 0 	4.351715	4.351715	0.000000	4.351715	4.351715	4.351715	0.000000	4.351715	0.000000	0.000000	4.351715	4.351715	0.250000	0.250000	0.250000	0.250000	
900000	-16.929546	360	2	2	'0 Z 1 1 0 0 Z 1 1 1 1 0 	15.559818	0.000000	2.862524	2.862524	15.559818	15.559818	0.000000	2.862524	2.862524	2.862524	2.862524	15.559818	0.250000	0.250000	0.250000	0.250000	
