Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/15-Aug-07_34.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1754830319
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/15-Aug-07_34.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
11000	-12.655516	427	1	4	'0 Z Z 0 Z 0 0 0 0 Z 0 0 	45.062941	0.000000	0.000000	45.062941	0.000000	45.062941	45.062941	45.062941	45.062941	0.000000	45.062941	45.062941	0.000000	0.000000	0.999970	0.000030	
12000	-13.994772	614	1	3	'0 Z 0 Z Z 0 0 0 0 0 0 0 	32.861510	0.000000	32.861510	0.000000	0.000000	32.861510	32.861510	32.861510	32.861510	32.861510	32.861510	32.861510	0.000000	0.000000	0.999994	0.000006	
13000	-12.305602	309	1	6	'0 Z Z 0 Z 0 0 0 0 Z Z Z 	53.084668	0.000000	0.000000	53.084668	0.000000	53.084668	53.084668	53.084668	53.084668	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
14000	-14.000369	489	1	2	'Z 0 0 0 0 0 0 0 0 0 Z 0 	0.000000	32.431509	32.431509	32.431509	32.431509	32.431509	32.431509	32.431509	32.431509	32.431509	0.000000	32.431509	0.000057	0.000025	0.998309	0.001609	
15000	-12.237068	781	1	6	'0 Z Z Z Z Z 0 0 0 Z 0 0 	72.272181	0.000000	0.000000	0.000000	0.000000	0.000000	72.272181	72.272181	72.272181	0.000000	72.272181	72.272181	0.000000	0.000000	0.997398	0.002602	
16000	-13.648343	466	1	4	'Z 0 0 Z 0 0 0 0 0 Z Z 0 	0.000000	37.131276	37.131276	0.000000	37.131276	37.131276	37.131276	37.131276	37.131276	0.000000	0.000000	37.131276	0.000016	0.000003	0.999900	0.000081	
17000	-15.307066	460	1	5	'Z 0 Z Z 0 Z 0 0 0 0 Z 0 	0.000000	20.665923	0.000000	0.000000	20.665923	0.000000	20.665923	20.665923	20.665923	20.665923	0.000000	20.665923	0.000003	0.000003	0.998366	0.001627	
18000	-13.060301	368	1	7	'Z Z Z 0 Z Z 0 0 0 0 Z Z 	0.000000	0.000000	0.000000	43.562659	0.000000	0.000000	43.562659	43.562659	43.562659	43.562659	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
19000	-13.918089	695	1	5	'0 0 Z Z 0 Z 0 0 0 Z Z 0 	42.780411	42.780411	0.000000	0.000000	42.780411	0.000000	42.780411	42.780411	42.780411	0.000000	0.000000	42.780411	0.000008	0.000008	0.999527	0.000457	
20000	-13.070695	495	2	3	'0 Z 0 Z 1 0 0 0 0 1 1 Z 	42.220577	0.000000	42.220577	0.000000	0.062325	42.220577	42.220577	42.220577	42.220577	0.062325	0.062325	0.000000	0.000000	0.000000	1.000000	0.000000	
21000	-18.157311	980	1	5	'0 Z 0 Z Z Z 0 0 0 0 0 Z 	9.833616	0.000000	9.833616	0.000000	0.000000	0.000000	9.833616	9.833616	9.833616	9.833616	9.833616	0.000000	0.000000	0.000000	1.000000	0.000000	
22000	-15.631548	979	1	7	'Z Z 0 Z Z 0 0 0 0 Z Z Z 	0.000000	0.000000	15.617401	0.000000	0.000000	15.617401	15.617401	15.617401	15.617401	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
23000	-14.256594	962	1	5	'0 Z Z 0 Z Z 0 0 0 0 0 Z 	35.114401	0.000000	0.000000	35.114401	0.000000	0.000000	35.114401	35.114401	35.114401	35.114401	35.114401	0.000000	0.000000	0.000000	1.000000	0.000000	
24000	-16.712296	52	1	6	'Z Z Z Z Z Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.692773	13.692773	13.692773	13.692773	13.692773	13.692773	0.000000	0.000000	0.999614	0.000386	
25000	-14.880497	626	1	6	'Z 0 Z Z Z Z 0 0 0 Z 0 0 	0.000000	29.398659	0.000000	0.000000	0.000000	0.000000	29.398659	29.398659	29.398659	0.000000	29.398659	29.398659	0.000008	0.000000	0.998428	0.001564	
