Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data3/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data3/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/CEVANStrees_div100_1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2570557955
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/CEVANStrees_div100_1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      0.000103
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-14.072331	368	19.785857	1	6	'0 0 0 0 0 Z Z Z Z Z 0 Z 	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.334280	0.245761	0.000000	0.419958	
100000	-14.364793	398	1.058571	1	2	'0 0 0 Z 0 Z 0 0 0 0 0 0 	0.100000	0.100000	0.100000	0.000000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000798	0.000089	0.951149	0.047964	
150000	-12.922143	806	1.302340	2	4	'1 Z 0 Z Z Z 0 0 1 0 0 0 	0.203999	0.000000	0.098667	0.000000	0.000000	0.000000	0.098667	0.098667	0.203999	0.098667	0.098667	0.098667	0.000001	0.000000	0.991367	0.008633	
200000	-12.779792	71	2.930581	1	3	'0 0 Z Z 0 Z 0 0 0 0 0 0 	0.111111	0.111111	0.000000	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000358	0.000342	0.971471	0.027829	
250000	-16.359271	716	17.178340	1	6	'0 Z 0 0 Z 0 0 Z Z Z 0 Z 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
300000	-16.442045	257	12.518459	1	5	'0 0 Z Z 0 Z Z 0 0 0 Z 0 	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.046357	0.038769	0.551171	0.363703	
350000	-11.964668	837	1.159503	1	6	'0 Z 0 Z 0 Z 0 0 0 Z Z Z 	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000253	0.999747	0.000000	
400000	-13.747350	872	2.871682	1	4	'0 0 0 Z 0 Z Z 0 0 0 Z 0 	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.070033	0.000288	0.623467	0.306212	
450000	-12.839349	614	4.022452	1	4	'0 Z 0 Z 0 Z 0 0 0 Z 0 0 	0.125000	0.000000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000004	0.000206	0.983023	0.016767	
500000	-12.547965	344	2.056804	1	3	'Z Z 0 0 0 0 0 0 0 0 0 Z 	0.000000	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.000563	0.999435	0.000002	
