Options:
Model:                           MultiState
Tree File Name:                  data/utoaztecan.bttrees
Data File Name:                  data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/09-Aug-15_45.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3050741742
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/09-Aug-15_45.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
11000	-15.388969	620	1	3	'0 Z Z 0 0 0 0 0 0 0 0 Z 	20.066248	0.000000	0.000000	20.066248	20.066248	20.066248	20.066248	20.066248	20.066248	20.066248	20.066248	0.000000	0.000000	0.000006	0.999994	0.000000	
12000	-12.680332	267	1	6	'Z 0 0 Z Z Z 0 0 0 0 Z Z 	0.000000	73.473878	73.473878	0.000000	0.000000	0.000000	73.473878	73.473878	73.473878	73.473878	0.000000	0.000000	0.000003	0.000000	0.999997	0.000000	
13000	-15.631167	338	1	4	'0 0 Z Z 0 Z 0 0 0 0 Z 0 	14.956954	14.956954	0.000000	0.000000	14.956954	0.000000	14.956954	14.956954	14.956954	14.956954	0.000000	14.956954	0.000001	0.000001	0.999930	0.000069	
14000	-16.171168	199	1	5	'Z 0 0 Z 0 0 0 0 0 Z Z Z 	0.000000	14.883970	14.883970	0.000000	14.883970	14.883970	14.883970	14.883970	14.883970	0.000000	0.000000	0.000000	0.000012	0.000004	0.999984	0.000000	
15000	-13.601835	446	1	6	'Z Z Z Z 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	40.875744	40.875744	40.875744	40.875744	40.875744	0.000000	0.000000	40.875744	0.000000	0.000001	0.999998	0.000001	
16000	-12.921682	309	1	4	'Z 0 Z Z 0 0 0 0 0 0 0 Z 	0.000000	42.535989	0.000000	0.000000	42.535989	42.535989	42.535989	42.535989	42.535989	42.535989	42.535989	0.000000	0.000005	0.000007	0.999988	0.000000	
17000	-14.646589	78	1	6	'0 0 Z Z Z Z 0 0 0 Z Z 0 	26.416161	26.416161	0.000000	0.000000	0.000000	0.000000	26.416161	26.416161	26.416161	0.000000	0.000000	26.416161	0.000008	0.000000	0.998990	0.001002	
18000	-13.078993	96	1	5	'Z Z Z Z Z 0 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	48.204467	48.204467	48.204467	48.204467	48.204467	48.204467	48.204467	0.000000	0.000000	0.998689	0.001311	
19000	-14.280997	800	1	5	'Z 0 Z Z Z 0 0 0 0 0 Z 0 	0.000000	28.008528	0.000000	0.000000	0.000000	28.008528	28.008528	28.008528	28.008528	28.008528	0.000000	28.008528	0.000014	0.000000	0.998161	0.001826	
20000	-16.579744	457	1	5	'Z Z 0 0 Z Z 0 0 0 0 Z 0 	0.000000	0.000000	12.498011	12.498011	0.000000	0.000000	12.498011	12.498011	12.498011	12.498011	0.000000	12.498011	0.000000	0.000000	0.998848	0.001152	
21000	-13.521553	404	1	5	'Z 0 0 Z 0 Z 0 0 0 0 Z Z 	0.000000	45.097029	45.097029	0.000000	45.097029	0.000000	45.097029	45.097029	45.097029	45.097029	0.000000	0.000000	0.000164	0.000032	0.999804	0.000000	
22000	-17.121807	858	1	3	'0 0 Z 0 0 0 0 0 0 Z 0 Z 	11.150800	11.150800	0.000000	11.150800	11.150800	11.150800	11.150800	11.150800	11.150800	0.000000	11.150800	0.000000	0.000001	0.000001	0.999998	0.000000	
