Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/26-Oct-2017-09_54.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1851957956
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/26-Oct-2017-09_54.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-14.065558	63	1	3	'0 Z 0 0 Z 0 0 0 0 Z 0 0 	38.003315	0.000000	38.003315	38.003315	0.000000	38.003315	38.003315	38.003315	38.003315	0.000000	38.003315	38.003315	0.000000	0.000000	0.998041	0.001959	
100000	-14.053131	491	1	6	'0 0 Z Z 0 Z 0 0 0 Z Z Z 	36.716760	36.716760	0.000000	0.000000	36.716760	0.000000	36.716760	36.716760	36.716760	0.000000	0.000000	0.000000	0.000020	0.000017	0.999964	0.000000	
150000	-12.555981	36	1	8	'Z Z Z Z Z Z 0 0 0 0 Z Z 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	68.438980	68.438980	68.438980	68.438980	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
200000	-12.518200	97	1	7	'Z 0 Z Z Z Z 0 0 0 Z Z 0 	0.000000	60.324916	0.000000	0.000000	0.000000	0.000000	60.324916	60.324916	60.324916	0.000000	0.000000	60.324916	0.000080	0.000000	0.993527	0.006393	
250000	-12.565980	195	1	3	'0 0 0 Z Z Z 0 0 0 0 0 0 	77.863787	77.863787	77.863787	0.000000	0.000000	0.000000	77.863787	77.863787	77.863787	77.863787	77.863787	77.863787	0.000670	0.000000	0.990230	0.009100	
300000	-13.667143	463	1	6	'Z Z 0 Z 0 Z 0 0 0 Z Z 0 	0.000000	0.000000	34.017078	0.000000	34.017078	0.000000	34.017078	34.017078	34.017078	0.000000	0.000000	34.017078	0.000000	0.000012	0.999820	0.000167	
350000	-13.127831	283	1	4	'Z Z Z 0 Z 0 0 0 0 0 0 0 	0.000000	0.000000	0.000000	58.995736	0.000000	58.995736	58.995736	58.995736	58.995736	58.995736	58.995736	58.995736	0.000000	0.000000	0.996011	0.003989	
400000	-15.354594	130	1	3	'0 0 0 Z Z 0 0 0 0 Z 0 0 	21.269587	21.269587	21.269587	0.000000	0.000000	21.269587	21.269587	21.269587	21.269587	0.000000	21.269587	21.269587	0.000001	0.000000	0.999999	0.000001	
450000	-13.309867	357	1	3	'0 0 0 Z 0 0 0 0 0 0 Z Z 	66.659683	66.659683	66.659683	0.000000	66.659683	66.659683	66.659683	66.659683	66.659683	66.659683	0.000000	0.000000	0.000082	0.000030	0.999888	0.000000	
500000	-13.801654	453	1	3	'Z Z 0 0 0 0 0 0 0 0 0 Z 	0.000000	0.000000	30.243060	30.243060	30.243060	30.243060	30.243060	30.243060	30.243060	30.243060	30.243060	0.000000	0.000000	0.000086	0.999914	0.000000	
550000	-15.154587	634	1	5	'0 Z 0 0 0 Z 0 0 0 Z Z Z 	17.332897	0.000000	17.332897	17.332897	17.332897	0.000000	17.332897	17.332897	17.332897	0.000000	0.000000	0.000000	0.000000	0.000004	0.999996	0.000000	
600000	-14.720546	134	1	5	'Z 0 Z Z 0 Z 0 0 0 0 Z 0 	0.000000	24.194438	0.000000	0.000000	24.194438	0.000000	24.194438	24.194438	24.194438	24.194438	0.000000	24.194438	0.000004	0.000002	0.998448	0.001545	
650000	-15.293854	782	1	5	'0 Z 0 Z Z Z 0 0 0 0 0 Z 	25.308157	0.000000	25.308157	0.000000	0.000000	0.000000	25.308157	25.308157	25.308157	25.308157	25.308157	0.000000	0.000000	0.000000	1.000000	0.000000	
700000	-14.267915	744	1	2	'0 Z 0 Z 0 0 0 0 0 0 0 0 	31.080318	0.000000	31.080318	0.000000	31.080318	31.080318	31.080318	31.080318	31.080318	31.080318	31.080318	31.080318	0.000000	0.000011	0.999590	0.000399	
750000	-14.112762	581	1	6	'Z 0 Z 0 0 Z 0 0 0 Z Z Z 	0.000000	33.187778	0.000000	33.187778	33.187778	0.000000	33.187778	33.187778	33.187778	0.000000	0.000000	0.000000	0.000011	0.000009	0.999979	0.000000	
800000	-13.982347	462	1	5	'0 0 Z Z 0 Z 0 0 0 Z 0 Z 	43.913333	43.913333	0.000000	0.000000	43.913333	0.000000	43.913333	43.913333	43.913333	0.000000	43.913333	0.000000	0.000015	0.000014	0.999972	0.000000	
850000	-17.687781	87	1	6	'Z Z 0 0 0 Z 0 0 0 Z Z Z 	0.000000	0.000000	7.769218	7.769218	7.769218	0.000000	7.769218	7.769218	7.769218	0.000000	0.000000	0.000000	0.000000	0.000001	0.999999	0.000000	
900000	-12.106740	246	1	4	'0 Z 0 Z 0 Z 0 0 0 0 Z 0 	69.058943	0.000000	69.058943	0.000000	69.058943	0.000000	69.058943	69.058943	69.058943	69.058943	0.000000	69.058943	0.000000	0.000067	0.998120	0.001813	
950000	-13.108056	544	1	3	'0 0 Z Z 0 Z 0 0 0 0 0 0 	40.464685	40.464685	0.000000	0.000000	40.464685	0.000000	40.464685	40.464685	40.464685	40.464685	40.464685	40.464685	0.000106	0.000106	0.999588	0.000201	
1000000	-13.688571	134	1	3	'Z 0 Z 0 0 0 0 0 0 0 0 Z 	0.000000	36.768964	0.000000	36.768964	36.768964	36.768964	36.768964	36.768964	36.768964	36.768964	36.768964	0.000000	0.000010	0.000034	0.999955	0.000001	
1050000	-13.578345	929	1	2	'0 0 0 0 0 0 0 0 0 0 Z Z 	29.964654	29.964654	29.964654	29.964654	29.964654	29.964654	29.964654	29.964654	29.964654	29.964654	0.000000	0.000000	0.000036	0.000017	0.999948	0.000000	
1100000	-15.517528	87	1	3	'Z 0 0 Z 0 Z 0 0 0 0 0 0 	0.000000	17.512225	17.512225	0.000000	17.512225	0.000000	17.512225	17.512225	17.512225	17.512225	17.512225	17.512225	0.000026	0.000007	0.999653	0.000314	
1150000	-14.737139	186	1	3	'0 0 0 0 Z Z 0 0 0 0 0 Z 	23.109220	23.109220	23.109220	23.109220	0.000000	0.000000	23.109220	23.109220	23.109220	23.109220	23.109220	0.000000	0.000186	0.000000	0.999814	0.000000	
1200000	-12.748852	922	1	5	'Z Z 0 0 0 Z 0 0 0 0 Z Z 	0.000000	0.000000	56.424416	56.424416	56.424416	0.000000	56.424416	56.424416	56.424416	56.424416	0.000000	0.000000	0.000000	0.000007	0.999993	0.000000	
1250000	-13.525488	534	1	3	'0 0 0 0 0 Z 0 0 0 0 Z Z 	37.582217	37.582217	37.582217	37.582217	37.582217	0.000000	37.582217	37.582217	37.582217	37.582217	0.000000	0.000000	0.000179	0.000011	0.999810	0.000000	
1300000	-17.106780	478	1	3	'0 0 0 0 Z Z 0 0 0 Z 0 0 	16.596706	16.596706	16.596706	16.596706	0.000000	0.000000	16.596706	16.596706	16.596706	0.000000	16.596706	16.596706	0.000012	0.000000	0.999298	0.000690	
1350000	-15.899521	253	1	4	'Z Z 0 Z 0 0 0 0 0 0 0 Z 	0.000000	0.000000	13.491853	0.000000	13.491853	13.491853	13.491853	13.491853	13.491853	13.491853	13.491853	0.000000	0.000000	0.000002	0.999998	0.000000	
1400000	-14.719222	539	1	4	'Z 0 Z 0 Z 0 0 0 0 0 0 Z 	0.000000	24.562745	0.000000	24.562745	0.000000	24.562745	24.562745	24.562745	24.562745	24.562745	24.562745	0.000000	0.000004	0.000000	0.999996	0.000000	
1450000	-15.427484	387	1	1	'0 0 Z 0 0 0 0 0 0 0 0 0 	19.742267	19.742267	0.000000	19.742267	19.742267	19.742267	19.742267	19.742267	19.742267	19.742267	19.742267	19.742267	0.000004	0.000007	0.999559	0.000430	
1500000	-12.545871	280	1	2	'0 Z 0 0 0 Z 0 0 0 0 0 0 	56.325860	0.000000	56.325860	56.325860	56.325860	0.000000	56.325860	56.325860	56.325860	56.325860	56.325860	56.325860	0.000000	0.000027	0.999273	0.000700	
1550000	-14.972164	106	1	5	'0 Z Z Z Z Z 0 0 0 0 0 0 	33.370809	0.000000	0.000000	0.000000	0.000000	0.000000	33.370809	33.370809	33.370809	33.370809	33.370809	33.370809	0.000000	0.000000	0.998833	0.001167	
1600000	-19.897114	288	1	4	'0 0 Z Z 0 0 0 0 Z 0 0 Z 	35.202880	35.202880	0.000000	0.000000	35.202880	35.202880	35.202880	35.202880	0.000000	35.202880	35.202880	0.000000	0.000044	0.001470	0.998480	0.000005	
1650000	-14.044145	548	1	4	'Z Z 0 Z 0 Z 0 0 0 0 0 0 	0.000000	0.000000	27.166193	0.000000	27.166193	0.000000	27.166193	27.166193	27.166193	27.166193	27.166193	27.166193	0.000000	0.000034	0.999477	0.000489	
1700000	-14.412526	198	1	6	'Z Z Z Z Z 0 0 0 0 0 0 Z 	0.000000	0.000000	0.000000	0.000000	0.000000	29.292129	29.292129	29.292129	29.292129	29.292129	29.292129	0.000000	0.000000	0.000000	1.000000	0.000000	
1750000	-12.477229	841	1	5	'Z Z Z Z 0 Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	62.862998	0.000000	62.862998	62.862998	62.862998	62.862998	62.862998	62.862998	0.000000	0.000039	0.996930	0.003031	
1800000	-16.991826	316	1	5	'0 Z 0 Z Z Z 0 0 0 Z 0 0 	12.503377	0.000000	12.503377	0.000000	0.000000	0.000000	12.503377	12.503377	12.503377	0.000000	12.503377	12.503377	0.000000	0.000000	0.999383	0.000617	
1850000	-18.865544	269	1	7	'Z 0 Z Z Z Z 0 0 0 Z Z 0 	0.000000	7.923450	0.000000	0.000000	0.000000	0.000000	7.923450	7.923450	7.923450	0.000000	0.000000	7.923450	0.000000	0.000000	0.999907	0.000093	
1900000	-13.687229	952	1	5	'Z 0 Z Z 0 0 0 0 0 Z Z 0 	0.000000	43.185525	0.000000	0.000000	43.185525	43.185525	43.185525	43.185525	43.185525	0.000000	0.000000	43.185525	0.000020	0.000020	0.999939	0.000021	
1950000	-13.287909	556	1	6	'Z Z 0 Z Z 0 0 0 0 Z 0 Z 	0.000000	0.000000	44.995308	0.000000	0.000000	44.995308	44.995308	44.995308	44.995308	0.000000	44.995308	0.000000	0.000000	0.000000	1.000000	0.000000	
2000000	-17.754065	615	1	2	'0 0 Z 0 Z 0 0 0 0 0 0 0 	10.647076	10.647076	0.000000	10.647076	0.000000	10.647076	10.647076	10.647076	10.647076	10.647076	10.647076	10.647076	0.000001	0.000000	0.999868	0.000131	
2050000	-14.378010	234	1	3	'0 0 0 0 Z Z 0 0 0 Z 0 0 	24.743839	24.743839	24.743839	24.743839	0.000000	0.000000	24.743839	24.743839	24.743839	0.000000	24.743839	24.743839	0.000027	0.000000	0.999946	0.000027	
2100000	-16.625628	591	1	5	'0 Z 0 0 Z Z 0 0 0 0 Z Z 	13.457931	0.000000	13.457931	13.457931	0.000000	0.000000	13.457931	13.457931	13.457931	13.457931	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
2150000	-15.638182	955	1	4	'0 Z 0 0 0 Z 0 0 0 Z 0 Z 	16.129186	0.000000	16.129186	16.129186	16.129186	0.000000	16.129186	16.129186	16.129186	0.000000	16.129186	0.000000	0.000000	0.000001	0.999999	0.000000	
2200000	-13.159815	681	1	4	'0 0 0 Z 0 0 0 0 0 Z Z Z 	57.752764	57.752764	57.752764	0.000000	57.752764	57.752764	57.752764	57.752764	57.752764	0.000000	0.000000	0.000000	0.000033	0.000033	0.999933	0.000000	
2250000	-14.650312	902	1	5	'0 Z 0 0 Z Z 0 0 0 Z 0 Z 	22.104395	0.000000	22.104395	22.104395	0.000000	0.000000	22.104395	22.104395	22.104395	0.000000	22.104395	0.000000	0.000000	0.000000	1.000000	0.000000	
2300000	-13.735953	523	1	2	'0 0 0 0 Z 0 0 0 0 0 0 Z 	55.107084	55.107084	55.107084	55.107084	0.000000	55.107084	55.107084	55.107084	55.107084	55.107084	55.107084	0.000000	0.000138	0.000000	0.999861	0.000000	
2350000	-16.855792	578	1	3	'0 Z Z 0 0 0 0 0 0 0 Z 0 	11.648098	0.000000	0.000000	11.648098	11.648098	11.648098	11.648098	11.648098	11.648098	11.648098	0.000000	11.648098	0.000000	0.000000	1.000000	0.000000	
2400000	-14.605405	94	1	5	'0 Z Z Z Z 0 0 0 0 Z 0 0 	19.503592	0.000000	0.000000	0.000000	0.000000	19.503592	19.503592	19.503592	19.503592	0.000000	19.503592	19.503592	0.000000	0.000000	0.999491	0.000509	
2450000	-13.492894	446	1	2	'0 0 0 Z 0 0 0 0 0 Z 0 0 	44.007271	44.007271	44.007271	0.000000	44.007271	44.007271	44.007271	44.007271	44.007271	0.000000	44.007271	44.007271	0.000001	0.000001	0.999997	0.000001	
2500000	-15.794464	815	1	3	'0 Z Z 0 Z 0 0 0 0 0 0 0 	23.758869	0.000000	0.000000	23.758869	0.000000	23.758869	23.758869	23.758869	23.758869	23.758869	23.758869	23.758869	0.000000	0.000000	0.999230	0.000770	
2550000	-15.299176	925	1	3	'0 Z 0 Z 0 Z 0 0 0 0 0 0 	26.348027	0.000000	26.348027	0.000000	26.348027	0.000000	26.348027	26.348027	26.348027	26.348027	26.348027	26.348027	0.000000	0.000010	0.997792	0.002198	
2600000	-17.265658	88	1	2	'0 0 0 0 0 0 0 0 0 0 Z Z 	12.024690	12.024690	12.024690	12.024690	12.024690	12.024690	12.024690	12.024690	12.024690	12.024690	0.000000	0.000000	0.000068	0.000006	0.999926	0.000000	
2650000	-13.553964	282	1	5	'0 Z Z 0 Z 0 0 0 0 Z 0 Z 	39.175167	0.000000	0.000000	39.175167	0.000000	39.175167	39.175167	39.175167	39.175167	0.000000	39.175167	0.000000	0.000000	0.000000	1.000000	0.000000	
2700000	-14.352788	422	1	4	'0 Z 0 0 0 Z 0 0 0 Z 0 Z 	33.282942	0.000000	33.282942	33.282942	33.282942	0.000000	33.282942	33.282942	33.282942	0.000000	33.282942	0.000000	0.000000	0.000010	0.999990	0.000000	
2750000	-13.152285	917	1	5	'Z 0 Z 0 0 Z 0 0 0 Z Z 0 	0.000000	43.065452	0.000000	43.065452	43.065452	0.000000	43.065452	43.065452	43.065452	0.000000	0.000000	43.065452	0.000063	0.000063	0.997767	0.002108	
2800000	-13.856019	18	1	6	'Z Z 0 Z Z Z 0 0 0 0 0 Z 	0.000000	0.000000	39.754907	0.000000	0.000000	0.000000	39.754907	39.754907	39.754907	39.754907	39.754907	0.000000	0.000000	0.000000	1.000000	0.000000	
2850000	-16.514260	32	1	5	'Z 0 Z Z Z 0 0 0 0 Z 0 0 	0.000000	16.909895	0.000000	0.000000	0.000000	16.909895	16.909895	16.909895	16.909895	0.000000	16.909895	16.909895	0.000002	0.000000	0.999995	0.000003	
2900000	-15.752656	60	1	2	'0 0 0 Z 0 0 0 0 0 0 0 Z 	22.490469	22.490469	22.490469	0.000000	22.490469	22.490469	22.490469	22.490469	22.490469	22.490469	22.490469	0.000000	0.000033	0.000012	0.999955	0.000000	
2950000	-15.683734	536	1	4	'0 0 Z 0 0 Z 0 0 0 Z Z 0 	16.083541	16.083541	0.000000	16.083541	16.083541	0.000000	16.083541	16.083541	16.083541	0.000000	0.000000	16.083541	0.000006	0.000005	0.999239	0.000750	
3000000	-14.994244	314	1	3	'Z 0 0 0 0 0 0 0 0 Z Z 0 	0.000000	22.775240	22.775240	22.775240	22.775240	22.775240	22.775240	22.775240	22.775240	0.000000	0.000000	22.775240	0.000083	0.000054	0.996192	0.003671	
