Options:
Model:                           MultiState
Tree File Name:                  data/utoaztecan.bttrees
Data File Name:                  data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/05-Sep-13_08.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            558666691
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/05-Sep-13_08.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
11000	-15.118916	920	1	4	'0 Z 0 0 Z 0 0 0 0 Z Z 0 	21.251423	0.000000	21.251423	21.251423	0.000000	21.251423	21.251423	21.251423	21.251423	0.000000	0.000000	21.251423	0.000000	0.000000	0.999688	0.000312	
12000	-14.744698	864	1	6	'0 Z 0 Z 0 Z 0 0 0 Z Z Z 	23.819166	0.000000	23.819166	0.000000	23.819166	0.000000	23.819166	23.819166	23.819166	0.000000	0.000000	0.000000	0.000000	0.000004	0.999996	0.000000	
13000	-12.573695	736	1	6	'Z Z Z Z 0 Z 0 0 0 0 Z 0 	0.000000	0.000000	0.000000	0.000000	50.352057	0.000000	50.352057	50.352057	50.352057	50.352057	0.000000	50.352057	0.000000	0.000028	0.998487	0.001485	
14000	-15.280505	741	1	2	'Z 0 Z 0 0 0 0 0 0 0 0 0 	0.000000	25.362332	0.000000	25.362332	25.362332	25.362332	25.362332	25.362332	25.362332	25.362332	25.362332	25.362332	0.000000	0.000000	0.999999	0.000000	
15000	-13.749365	453	2	5	'1 Z 1 Z 0 Z 1 1 1 1 Z Z 	30.478930	0.000000	30.478930	0.000000	0.623989	0.000000	30.478930	30.478930	30.478930	30.478930	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
16000	-16.471488	70	1	3	'0 0 Z 0 0 Z 0 0 0 0 Z 0 	13.807136	13.807136	0.000000	13.807136	13.807136	0.000000	13.807136	13.807136	13.807136	13.807136	0.000000	13.807136	0.000003	0.000003	0.998331	0.001664	
17000	-19.741732	494	1	3	'Z 0 0 0 0 0 0 0 0 Z 0 Z 	0.000000	5.669774	5.669774	5.669774	5.669774	5.669774	5.669774	5.669774	5.669774	0.000000	5.669774	0.000000	0.000014	0.000000	0.999985	0.000000	
18000	-13.931326	431	1	4	'0 Z 0 0 0 Z 0 0 0 0 Z Z 	51.190250	0.000000	51.190250	51.190250	51.190250	0.000000	51.190250	51.190250	51.190250	51.190250	0.000000	0.000000	0.000000	0.000004	0.999996	0.000000	
19000	-15.579085	379	1	6	'0 Z 0 Z 0 Z 0 0 0 Z Z Z 	17.833754	0.000000	17.833754	0.000000	17.833754	0.000000	17.833754	17.833754	17.833754	0.000000	0.000000	0.000000	0.000000	0.000003	0.999997	0.000000	
20000	-15.167415	644	1	4	'0 Z 0 0 Z 0 0 0 0 Z Z 0 	22.684310	0.000000	22.684310	22.684310	0.000000	22.684310	22.684310	22.684310	22.684310	0.000000	0.000000	22.684310	0.000000	0.000000	0.999932	0.000068	
21000	-13.205518	333	1	5	'0 Z Z 0 0 Z 0 0 0 0 Z Z 	43.024277	0.000000	0.000000	43.024277	43.024277	0.000000	43.024277	43.024277	43.024277	43.024277	0.000000	0.000000	0.000000	0.000024	0.999976	0.000000	
22000	-13.819989	582	1	5	'0 0 0 Z Z 0 0 0 0 Z Z Z 	40.907330	40.907330	40.907330	0.000000	0.000000	40.907330	40.907330	40.907330	40.907330	0.000000	0.000000	0.000000	0.000052	0.000000	0.999948	0.000000	
23000	-12.931733	766	1	3	'0 0 Z Z 0 0 0 0 0 Z 0 0 	50.508007	50.508007	0.000000	0.000000	50.508007	50.508007	50.508007	50.508007	50.508007	0.000000	50.508007	50.508007	0.000010	0.000011	0.999956	0.000023	
24000	-14.086939	902	1	2	'0 0 Z 0 0 0 0 0 0 Z 0 0 	28.093521	28.093521	0.000000	28.093521	28.093521	28.093521	28.093521	28.093521	28.093521	0.000000	28.093521	28.093521	0.000014	0.000039	0.997610	0.002338	
25000	-14.978903	224	1	5	'0 Z Z 0 0 Z 0 0 0 Z Z 0 	26.859011	0.000000	0.000000	26.859011	26.859011	0.000000	26.859011	26.859011	26.859011	0.000000	0.000000	26.859011	0.000000	0.000002	0.999989	0.000010	
26000	-16.087489	410	1	3	'0 Z 0 0 0 0 0 0 0 Z 0 Z 	16.419938	0.000000	16.419938	16.419938	16.419938	16.419938	16.419938	16.419938	16.419938	0.000000	16.419938	0.000000	0.000000	0.000001	0.999999	0.000000	
27000	-13.718692	764	1	4	'0 Z 0 Z 0 Z 0 0 0 0 0 Z 	40.036177	0.000000	40.036177	0.000000	40.036177	0.000000	40.036177	40.036177	40.036177	40.036177	40.036177	0.000000	0.000000	0.000010	0.999990	0.000000	
28000	-13.468911	964	1	5	'Z 0 0 0 0 Z 0 0 0 Z Z Z 	0.000000	50.520333	50.520333	50.520333	50.520333	0.000000	50.520333	50.520333	50.520333	0.000000	0.000000	0.000000	0.000368	0.000021	0.999610	0.000000	
29000	-14.732186	292	1	6	'Z Z Z Z 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	25.577183	25.577183	25.577183	25.577183	25.577183	0.000000	0.000000	25.577183	0.000000	0.000000	0.999999	0.000000	
30000	-14.213846	804	1	5	'0 0 Z Z 0 0 0 0 0 Z Z Z 	44.188577	44.188577	0.000000	0.000000	44.188577	44.188577	44.188577	44.188577	44.188577	0.000000	0.000000	0.000000	0.000020	0.000032	0.999948	0.000000	
31000	-12.827129	908	1	6	'0 Z 0 Z 0 Z 0 0 0 Z Z Z 	43.590492	0.000000	43.590492	0.000000	43.590492	0.000000	43.590492	43.590492	43.590492	0.000000	0.000000	0.000000	0.000000	0.000055	0.999945	0.000000	
32000	-14.276896	653	1	3	'0 Z 0 0 0 0 0 0 0 0 Z Z 	24.254915	0.000000	24.254915	24.254915	24.254915	24.254915	24.254915	24.254915	24.254915	24.254915	0.000000	0.000000	0.000000	0.000029	0.999971	0.000000	
33000	-15.350345	540	1	3	'0 0 0 Z Z 0 0 0 0 0 0 Z 	21.169462	21.169462	21.169462	0.000000	0.000000	21.169462	21.169462	21.169462	21.169462	21.169462	21.169462	0.000000	0.000021	0.000000	0.999979	0.000000	
34000	-12.837660	801	1	5	'0 Z 0 0 0 Z 0 0 0 Z Z Z 	55.214216	0.000000	55.214216	55.214216	55.214216	0.000000	55.214216	55.214216	55.214216	0.000000	0.000000	0.000000	0.000000	0.000037	0.999963	0.000000	
35000	-18.960717	834	1	2	'0 Z 0 0 Z 0 0 0 0 0 0 0 	6.156168	0.000000	6.156168	6.156168	0.000000	6.156168	6.156168	6.156168	6.156168	6.156168	6.156168	6.156168	0.000000	0.000000	0.999879	0.000121	
36000	-14.142000	655	1	5	'Z Z Z 0 0 0 0 0 0 0 Z Z 	0.000000	0.000000	0.000000	26.681026	26.681026	26.681026	26.681026	26.681026	26.681026	26.681026	0.000000	0.000000	0.000000	0.000006	0.999994	0.000000	
37000	-12.718843	537	1	6	'Z Z Z Z 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	49.973906	49.973906	49.973906	49.973906	49.973906	0.000000	0.000000	49.973906	0.000000	0.000022	0.999642	0.000336	
38000	-15.802053	659	1	3	'0 0 0 0 0 Z 0 0 0 Z Z 0 	23.537486	23.537486	23.537486	23.537486	23.537486	0.000000	23.537486	23.537486	23.537486	0.000000	0.000000	23.537486	0.000018	0.000004	0.999508	0.000471	
39000	-12.911171	710	1	2	'0 Z 0 0 Z 0 0 0 0 0 0 0 	58.303226	0.000000	58.303226	58.303226	0.000000	58.303226	58.303226	58.303226	58.303226	58.303226	58.303226	58.303226	0.000000	0.000000	0.999684	0.000316	
40000	-13.780723	885	1	5	'0 0 Z Z 0 Z 0 0 0 0 Z Z 	30.057737	30.057737	0.000000	0.000000	30.057737	0.000000	30.057737	30.057737	30.057737	30.057737	0.000000	0.000000	0.000018	0.000014	0.999968	0.000000	
41000	-13.853751	886	1	3	'0 Z Z 0 0 0 0 0 0 0 Z 0 	54.195126	0.000000	0.000000	54.195126	54.195126	54.195126	54.195126	54.195126	54.195126	54.195126	0.000000	54.195126	0.000000	0.000047	0.997526	0.002426	
42000	-14.959772	896	1	7	'Z Z Z Z 0 Z 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	29.495959	0.000000	29.495959	29.495959	29.495959	0.000000	0.000000	29.495959	0.000000	0.000011	0.999277	0.000712	
43000	-13.345917	361	1	2	'0 Z 0 0 0 0 0 0 0 0 0 Z 	49.115433	0.000000	49.115433	49.115433	49.115433	49.115433	49.115433	49.115433	49.115433	49.115433	49.115433	0.000000	0.000000	0.000034	0.999966	0.000000	
44000	-13.648383	349	1	6	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 	0.000000	27.016852	27.016852	0.000000	27.016852	0.000000	27.016852	27.016852	27.016852	0.000000	0.000000	0.000000	0.000059	0.000012	0.999929	0.000000	
45000	-16.119137	289	1	7	'Z Z 0 Z Z 0 0 0 0 Z Z Z 	0.000000	0.000000	16.887791	0.000000	0.000000	16.887791	16.887791	16.887791	16.887791	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
46000	-15.092721	229	1	5	'Z 0 Z Z Z 0 0 0 0 0 Z 0 	0.000000	21.300417	0.000000	0.000000	0.000000	21.300417	21.300417	21.300417	21.300417	21.300417	0.000000	21.300417	0.000003	0.000000	0.998848	0.001149	
47000	-15.100052	521	1	4	'0 Z Z 0 Z Z 0 0 0 0 0 0 	37.013241	0.000000	0.000000	37.013241	0.000000	0.000000	37.013241	37.013241	37.013241	37.013241	37.013241	37.013241	0.000000	0.000000	0.998518	0.001482	
48000	-17.689439	688	1	4	'0 0 Z Z 0 Z 0 0 0 Z 0 0 	11.042624	11.042624	0.000000	0.000000	11.042624	0.000000	11.042624	11.042624	11.042624	0.000000	11.042624	11.042624	0.000001	0.000001	0.999939	0.000059	
49000	-13.977321	378	1	4	'0 0 0 0 Z 0 0 0 0 Z Z Z 	38.045194	38.045194	38.045194	38.045194	0.000000	38.045194	38.045194	38.045194	38.045194	0.000000	0.000000	0.000000	0.000015	0.000000	0.999985	0.000000	
50000	-12.411919	144	1	5	'Z Z Z Z 0 Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	53.783104	0.000000	53.783104	53.783104	53.783104	53.783104	53.783104	53.783104	0.000000	0.000006	0.999878	0.000115	
51000	-13.381748	949	1	5	'0 Z 0 0 Z Z 0 0 0 0 Z Z 	52.843165	0.000000	52.843165	52.843165	0.000000	0.000000	52.843165	52.843165	52.843165	52.843165	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
