"","0","1","2","Z"
"q13",6147,207,NA,3646
"q14",6044,192,NA,3764
"q15",6155,207,NA,3638
"q31",6358,218,NA,3424
"q34",6558,208,1,3233
"q35",6276,185,NA,3539
"q41",5850,180,NA,3970
"q43",7072,219,NA,2709
"q45",5859,125,NA,4016
"q51",4837,147,NA,5016
"q53",4573,136,NA,5291
"q54",4534,120,NA,5346
