"","0","1","2","Z"
"q13",5098,59,NA,4843
"q14",5271,62,1,4666
"q15",4993,51,NA,4956
"q31",5100,55,1,4844
"q34",5414,56,NA,4530
"q35",4913,59,1,5027
"q41",9832,100,NA,68
"q43",9862,108,NA,30
"q45",9869,99,1,31
"q51",4951,45,NA,5004
"q53",4934,45,NA,5021
"q54",5283,52,NA,4665
