"","0","1","2","Z"
"q12",4734,81,NA,5185
"q14",6918,115,1,2966
"q15",6207,105,NA,3688
"q16",5498,111,NA,4391
"q17",7521,118,NA,2361
"q18",5254,119,1,4626
"q21",5466,120,1,4413
"q24",5733,102,NA,4165
"q25",5155,103,NA,4742
"q26",6013,103,1,3883
"q27",5247,90,NA,4663
"q28",5251,94,NA,4655
"q41",6761,99,NA,3140
"q42",2732,59,NA,7209
"q45",5741,80,NA,4179
"q46",4212,72,NA,5716
"q47",4097,69,NA,5834
"q48",3551,65,NA,6384
"q51",5073,86,NA,4841
"q52",137,26,NA,9837
"q54",8179,100,NA,1721
"q56",9175,119,NA,706
"q57",1762,63,NA,8175
"q58",325,21,NA,9654
"q61",6128,97,NA,3775
"q62",8011,105,NA,1884
"q64",6374,102,NA,3524
"q65",7208,85,1,2706
"q67",6104,77,NA,3819
"q68",5332,81,NA,4587
"q71",6812,130,1,3057
"q72",5109,109,1,4781
"q74",6229,129,1,3641
"q75",5587,113,1,4299
"q76",5723,120,NA,4157
"q78",5334,102,NA,4564
"q81",5376,111,NA,4513
"q82",4949,88,NA,4963
"q84",5796,119,NA,4085
"q85",5303,102,NA,4595
"q86",5539,106,NA,4355
"q87",5089,101,1,4809
