"","0","1","2","Z"
"q12",4418,506,3,5073
"q14",6291,591,7,3111
"q15",6405,602,1,2992
"q16",5379,607,2,4012
"q17",6431,534,3,3032
"q18",4776,507,1,4716
"q21",5341,593,4,4062
"q24",5527,619,2,3852
"q25",5514,615,5,3866
"q26",5730,611,NA,3659
"q27",5145,575,3,4277
"q28",5184,615,1,4200
"q41",6003,541,3,3453
"q42",2629,414,2,6955
"q45",6137,587,1,3275
"q46",4487,573,1,4939
"q47",3751,436,2,5811
"q48",3187,407,3,6403
"q51",3887,338,4,5771
"q52",289,240,2,9469
"q54",7001,413,4,2582
"q56",7351,434,1,2214
"q57",1482,299,NA,8219
"q58",401,227,NA,9372
"q61",5516,579,4,3901
"q62",6432,406,1,3161
"q64",5972,589,NA,3439
"q65",7145,567,3,2285
"q67",5226,470,2,4302
"q68",4435,428,4,5133
"q71",6266,555,3,3176
"q72",4950,549,3,4498
"q74",5719,581,2,3698
"q75",5747,591,4,3658
"q76",5461,554,3,3982
"q78",5095,557,2,4346
"q81",5155,620,1,4224
"q82",4786,570,1,4643
"q84",5474,604,1,3921
"q85",5557,596,3,3844
"q86",5329,591,1,4079
"q87",4954,582,5,4459
