"","0","1","2","Z"
"q13",3282,901,1,5816
"q14",7548,1809,10,633
"q15",6040,1432,4,2524
"q16",5294,1123,7,3576
"q17",4918,1005,7,4070
"q31",793,693,2,8512
"q34",8143,1772,15,70
"q35",682,594,4,8720
"q36",789,646,NA,8565
"q37",2041,1185,6,6768
"q41",4248,1205,14,4533
"q43",579,585,5,8831
"q45",7884,1677,10,429
"q46",1334,1166,8,7492
"q47",631,611,2,8756
"q51",5417,1384,8,3191
"q53",1124,679,2,8195
"q54",6478,1440,8,2074
"q56",3332,924,8,5736
"q57",2525,838,4,6633
"q61",5435,1356,5,3204
"q63",4350,1151,9,4490
"q64",6007,1327,9,2657
"q65",5434,1343,8,3215
"q67",5435,1277,7,3281
"q71",5142,1274,6,3578
"q73",4413,1215,8,4364
"q74",5966,1350,5,2679
"q75",5061,1201,11,3727
"q76",5016,1247,9,3728
