"","0","1","2","Z"
"q13",6555,419,1,3025
"q14",8223,434,1,1342
"q15",6787,431,2,2780
"q31",6313,422,1,3264
"q34",7941,448,4,1607
"q35",6827,425,2,2746
"q41",1181,198,1,8620
"q43",1163,173,NA,8664
"q45",7630,405,1,1964
"q51",5839,398,3,3760
"q53",6466,410,1,3123
"q54",9046,462,3,489
