Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/23-Oct-2017-09_59.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2442211186
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/23-Oct-2017-09_59.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
1000000	-14.664268	339	1	6	'Z Z Z 0 Z Z 0 0 0 0 Z 0 	0.000000	0.000000	0.000000	22.431260	0.000000	0.000000	22.431260	22.431260	22.431260	22.431260	0.000000	22.431260	0.000000	0.000000	0.999511	0.000489	
1050000	-15.402455	800	1	4	'0 0 Z 0 Z 0 0 0 0 Z 0 Z 	17.663067	17.663067	0.000000	17.663067	0.000000	17.663067	17.663067	17.663067	17.663067	0.000000	17.663067	0.000000	0.000005	0.000000	0.999995	0.000000	
1100000	-14.795583	249	1	4	'0 Z 0 0 Z Z 0 0 0 0 0 Z 	22.848716	0.000000	22.848716	22.848716	0.000000	0.000000	22.848716	22.848716	22.848716	22.848716	22.848716	0.000000	0.000000	0.000000	1.000000	0.000000	
1150000	-13.985102	899	1	6	'Z Z 0 Z Z 0 0 0 0 Z Z 0 	0.000000	0.000000	33.772292	0.000000	0.000000	33.772292	33.772292	33.772292	33.772292	0.000000	0.000000	33.772292	0.000000	0.000000	0.999050	0.000950	
1200000	-14.136161	832	1	5	'Z 0 Z Z 0 Z 0 0 0 0 Z 0 	0.000000	39.474532	0.000000	0.000000	39.474532	0.000000	39.474532	39.474532	39.474532	39.474532	0.000000	39.474532	0.000010	0.000009	0.999404	0.000577	
1250000	-13.219978	915	1	5	'0 0 Z 0 Z Z 0 0 0 Z Z 0 	39.830869	39.830869	0.000000	39.830869	0.000000	0.000000	39.830869	39.830869	39.830869	0.000000	0.000000	39.830869	0.000011	0.000000	0.999687	0.000301	
1300000	-13.282086	336	1	5	'Z Z 0 Z Z Z 0 0 0 0 0 0 	0.000000	0.000000	48.241674	0.000000	0.000000	0.000000	48.241674	48.241674	48.241674	48.241674	48.241674	48.241674	0.000000	0.000000	0.998982	0.001018	
1350000	-16.907936	181	1	4	'0 0 0 0 Z 0 0 0 0 Z Z Z 	11.829273	11.829273	11.829273	11.829273	0.000000	11.829273	11.829273	11.829273	11.829273	0.000000	0.000000	0.000000	0.000008	0.000000	0.999992	0.000000	
1400000	-13.656128	930	1	2	'0 0 0 Z 0 0 0 0 0 Z 0 0 	41.559347	41.559347	41.559347	0.000000	41.559347	41.559347	41.559347	41.559347	41.559347	0.000000	41.559347	41.559347	0.000005	0.000002	0.999984	0.000009	
1450000	-14.831433	633	1	1	'0 0 0 0 Z 0 0 0 0 0 0 0 	23.820124	23.820124	23.820124	23.820124	0.000000	23.820124	23.820124	23.820124	23.820124	23.820124	23.820124	23.820124	0.000000	0.000000	1.000000	0.000000	
1500000	-16.308258	948	1	3	'Z 0 0 0 0 Z 0 0 0 0 Z 0 	0.000000	22.216680	22.216680	22.216680	22.216680	0.000000	22.216680	22.216680	22.216680	22.216680	0.000000	22.216680	0.000001	0.000001	0.999998	0.000001	
1550000	-13.200863	279	1	4	'0 0 0 0 Z 0 0 0 0 Z Z Z 	36.591501	36.591501	36.591501	36.591501	0.000000	36.591501	36.591501	36.591501	36.591501	0.000000	0.000000	0.000000	0.000090	0.000000	0.999910	0.000000	
1600000	-18.251614	536	1	2	'0 0 Z 0 0 0 0 0 0 Z 0 0 	6.442008	6.442008	0.000000	6.442008	6.442008	6.442008	6.442008	6.442008	6.442008	0.000000	6.442008	6.442008	0.000001	0.000002	0.999700	0.000297	
1650000	-12.532825	246	1	3	'0 0 0 Z 0 0 0 0 0 0 Z Z 	51.860976	51.860976	51.860976	0.000000	51.860976	51.860976	51.860976	51.860976	51.860976	51.860976	0.000000	0.000000	0.000265	0.000057	0.999678	0.000000	
1700000	-13.907715	756	1	4	'0 0 0 Z 0 Z 0 0 0 0 Z Z 	42.425337	42.425337	42.425337	0.000000	42.425337	0.000000	42.425337	42.425337	42.425337	42.425337	0.000000	0.000000	0.000034	0.000007	0.999959	0.000000	
1750000	-13.478802	902	1	5	'Z 0 0 Z Z 0 0 0 0 0 Z Z 	0.000000	35.378704	35.378704	0.000000	0.000000	35.378704	35.378704	35.378704	35.378704	35.378704	0.000000	0.000000	0.000092	0.000000	0.999908	0.000000	
1800000	-13.780822	540	1	6	'0 Z Z Z 0 0 0 0 0 Z Z Z 	38.158579	0.000000	0.000000	0.000000	38.158579	38.158579	38.158579	38.158579	38.158579	0.000000	0.000000	0.000000	0.000000	0.000032	0.999968	0.000000	
1850000	-14.651115	567	1	4	'Z Z 0 Z 0 Z 0 0 0 0 0 0 	0.000000	0.000000	25.851522	0.000000	25.851522	0.000000	25.851522	25.851522	25.851522	25.851522	25.851522	25.851522	0.000000	0.000008	0.999096	0.000896	
1900000	-13.720904	349	1	5	'Z Z Z 0 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	26.612290	26.612290	26.612290	26.612290	26.612290	26.612290	0.000000	0.000000	26.612290	0.000000	0.000025	0.999152	0.000823	
1950000	-15.504957	740	1	3	'0 0 Z 0 0 0 0 0 0 0 Z Z 	21.458665	21.458665	0.000000	21.458665	21.458665	21.458665	21.458665	21.458665	21.458665	21.458665	0.000000	0.000000	0.000005	0.000007	0.999988	0.000000	
2000000	-16.579445	624	1	4	'Z 0 0 Z Z 0 0 0 0 0 Z 0 	0.000000	11.436057	11.436057	0.000000	0.000000	11.436057	11.436057	11.436057	11.436057	11.436057	0.000000	11.436057	0.000053	0.000000	0.999696	0.000251	
2050000	-17.572691	286	1	4	'Z Z Z 0 0 0 0 0 0 0 Z 0 	0.000000	0.000000	0.000000	8.850942	8.850942	8.850942	8.850942	8.850942	8.850942	8.850942	0.000000	8.850942	0.000000	0.000002	0.999530	0.000468	
2100000	-13.184802	141	1	4	'0 0 Z 0 0 Z 0 0 0 Z Z 0 	38.305281	38.305281	0.000000	38.305281	38.305281	0.000000	38.305281	38.305281	38.305281	0.000000	0.000000	38.305281	0.000016	0.000014	0.998588	0.001382	
2150000	-16.163588	889	1	3	'0 Z Z 0 0 Z 0 0 0 0 0 0 	12.105792	0.000000	0.000000	12.105792	12.105792	0.000000	12.105792	12.105792	12.105792	12.105792	12.105792	12.105792	0.000000	0.000000	1.000000	0.000000	
2200000	-13.386206	671	1	6	'Z 0 Z 0 Z Z 0 0 0 0 Z Z 	0.000000	38.556153	0.000000	38.556153	0.000000	0.000000	38.556153	38.556153	38.556153	38.556153	0.000000	0.000000	0.000013	0.000000	0.999987	0.000000	
2250000	-13.616850	157	1	5	'0 Z 0 Z 0 0 0 0 0 Z Z Z 	53.673352	0.000000	53.673352	0.000000	53.673352	53.673352	53.673352	53.673352	53.673352	0.000000	0.000000	0.000000	0.000000	0.000030	0.999970	0.000000	
