Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-crow-matrilineal.bttrees
Data File Name:                  ./data/bantu-crow-matrilineal.btdata
Log File Name:                   ./output/bantu-crow-matrilineal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            590674802
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-crow-matrilineal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.623188,0.318841,0.028986,0.028986)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-62.460541	750	1	1	'0 Z 0 0 0 0 0 0 	D	2.576584	0.000000	2.576584	2.576584	2.576584	2.576584	2.576584	2.576584	0.771632	0.201453	0.016896	0.010020	
12000	-62.125983	271	1	1	'0 Z 0 0 0 0 0 0 	D	2.635907	0.000000	2.635907	2.635907	2.635907	2.635907	2.635907	2.635907	0.768798	0.203369	0.017378	0.010455	
13000	-61.377221	412	1	1	'0 Z 0 0 0 0 0 0 	D	1.655151	0.000000	1.655151	1.655151	1.655151	1.655151	1.655151	1.655151	0.843371	0.142549	0.010142	0.003938	
14000	-59.775012	357	1	1	'0 Z 0 0 0 0 0 0 	D	2.976870	0.000000	2.976870	2.976870	2.976870	2.976870	2.976870	2.976870	0.740899	0.225899	0.019777	0.013425	
15000	-60.691430	538	1	2	'0 Z 0 0 0 0 Z 0 	D	1.874797	0.000000	1.874797	1.874797	1.874797	1.874797	0.000000	1.874797	0.848994	0.138081	0.011027	0.001897	
16000	-61.911209	812	1	1	'0 Z 0 0 0 0 0 0 	D	1.401346	0.000000	1.401346	1.401346	1.401346	1.401346	1.401346	1.401346	0.837695	0.150656	0.008210	0.003439	
17000	-65.480941	169	1	4	'0 Z 0 0 Z Z Z 0 	D	3.095548	0.000000	3.095548	3.095548	0.000000	0.000000	0.000000	3.095548	0.869470	0.130530	0.000000	0.000000	
18000	-62.733785	419	1	2	'0 Z 0 0 0 0 Z 0 	D	2.590664	0.000000	2.590664	2.590664	2.590664	2.590664	0.000000	2.590664	0.804216	0.176612	0.014903	0.004269	
19000	-60.600374	311	1	1	'0 Z 0 0 0 0 0 0 	D	2.859134	0.000000	2.859134	2.859134	2.859134	2.859134	2.859134	2.859134	0.744408	0.223467	0.019215	0.012910	
20000	-60.107117	155	1	1	'0 Z 0 0 0 0 0 0 	D	3.373860	0.000000	3.373860	3.373860	3.373860	3.373860	3.373860	3.373860	0.746684	0.221197	0.019332	0.012787	
21000	-63.049122	929	1	1	'0 Z 0 0 0 0 0 0 	D	3.709551	0.000000	3.709551	3.709551	3.709551	3.709551	3.709551	3.709551	0.693685	0.263517	0.023619	0.019179	
22000	-62.358179	567	1	2	'0 Z 0 0 0 0 Z 0 	D	2.217177	0.000000	2.217177	2.217177	2.217177	2.217177	0.000000	2.217177	0.849924	0.137643	0.010671	0.001761	
