Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1177518447
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	ANC	2	L11_Pende G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - exp 10.00 
        q13 - exp 10.00 
        q21 - exp 10.00 
        q24 - exp 10.00 
        q31 - exp 10.00 
        q34 - exp 10.00 
        q42 - exp 10.00 
        q43 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNode ANC
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNode - P(0,0)	RecNode - P(0,1)	RecNode - P(1,0)	RecNode - P(1,1)	
37000	-77.202444	980	7.657174	0.427281	15.840373	8.642271	0.026475	1.698773	3.352907	0.517062	0.276540	0.139053	0.023326	0.561080	0.026853	0.058099	0.004865	0.910184	
38000	-77.737376	248	2.993960	8.574267	15.116631	14.778773	23.022269	1.490958	4.362186	0.262082	0.229179	0.121077	0.114559	0.535185	0.019148	0.088973	0.010506	0.881372	
39000	-76.537537	83	4.131609	11.810831	10.302715	15.958456	16.532374	4.943941	3.850882	2.174451	0.239113	0.121325	0.119801	0.519760	0.082761	0.118885	0.051351	0.747002	
40000	-82.910774	64	3.465629	2.643993	1.788165	4.512578	8.958656	85.815764	0.775963	10.258878	0.287250	0.119940	0.115039	0.477771	0.048444	0.040825	0.162433	0.748299	
41000	-74.112119	523	1.312985	0.264598	13.031765	0.996000	0.562980	17.782300	2.487946	3.268235	0.167231	0.087857	0.144747	0.600165	0.000720	0.001238	0.233588	0.764454	
42000	-77.869639	826	6.028619	5.486779	15.018757	37.842696	8.868078	8.464113	10.002099	3.519228	0.241823	0.121262	0.121067	0.515848	0.188237	0.126126	0.106992	0.578645	
43000	-72.983893	294	0.008033	0.531727	8.958910	0.074408	1.716923	9.881296	1.468780	3.018692	0.249596	0.116021	0.122000	0.512383	0.002133	0.000244	0.162064	0.835559	
44000	-77.159132	418	14.979344	3.642578	18.850696	3.226144	16.215599	4.434377	1.460350	1.958773	0.202318	0.104405	0.107888	0.585389	0.021133	0.020791	0.029604	0.928472	
45000	-78.798793	926	1.379864	1.814571	3.416962	19.984943	12.759721	13.429494	1.981004	5.457363	0.232879	0.123012	0.120212	0.523897	0.044621	0.164654	0.092463	0.698262	
46000	-75.727246	55	1.451097	0.208984	13.196707	16.830173	2.791554	4.230997	4.190215	2.708403	0.204160	0.120209	0.123118	0.552513	0.012155	0.115837	0.065594	0.806414	
47000	-77.416172	382	5.554292	2.499407	9.381292	10.663936	4.057983	15.947710	3.181383	6.820074	0.249263	0.122304	0.120185	0.508248	0.098878	0.093043	0.142827	0.665253	
48000	-75.392220	774	1.809701	1.207118	5.191966	5.258454	2.785786	11.858809	2.735030	3.859735	0.296441	0.129584	0.112067	0.461907	0.013214	0.040462	0.157752	0.788572	
49000	-76.227475	924	1.315602	0.722330	11.548235	19.655419	3.223261	4.258069	6.584932	2.554917	0.207901	0.121757	0.121420	0.548922	0.005572	0.100357	0.044480	0.849590	
50000	-75.845256	393	15.260444	2.047457	20.369583	5.697972	4.333324	13.400122	2.316728	3.419703	0.244034	0.121882	0.120961	0.513122	0.046617	0.036834	0.147866	0.768683	
51000	-79.814792	984	2.212102	3.675184	14.903231	24.505928	15.639281	1.690275	3.269010	2.776328	0.194847	0.124583	0.097947	0.582623	0.014553	0.107849	0.008518	0.869080	
52000	-77.451823	819	0.705867	0.135984	15.586052	2.299172	3.485376	10.567524	0.991731	2.844104	0.118087	0.079603	0.148256	0.654054	0.000066	0.002335	0.104686	0.892914	
53000	-75.380099	861	3.909560	1.323104	12.789914	1.018534	7.808859	18.679718	2.016030	4.218722	0.176484	0.088132	0.131533	0.603851	0.003099	0.001882	0.118316	0.876703	
54000	-76.121199	742	3.466528	0.277332	18.369993	6.494782	14.129736	6.781894	1.510207	2.357506	0.181850	0.105804	0.110151	0.602195	0.001966	0.019512	0.025291	0.953231	
55000	-75.790352	135	6.802175	1.453476	18.639998	2.066551	9.235408	9.201648	2.482832	1.777866	0.190007	0.097531	0.121114	0.591349	0.004899	0.006665	0.065677	0.922759	
56000	-75.743480	474	5.576784	15.950282	13.375329	1.390631	23.168255	16.295115	1.736885	3.368439	0.241716	0.120526	0.121143	0.516615	0.173979	0.066489	0.111250	0.648282	
57000	-76.698838	166	8.948719	0.432893	12.417700	16.190438	2.608618	11.325675	3.057714	4.371035	0.265725	0.124011	0.117565	0.492699	0.120060	0.104806	0.138898	0.636237	
58000	-76.655313	108	0.369586	0.684024	8.826522	2.022316	2.304633	34.455360	0.854951	6.861293	0.385755	0.180952	0.085264	0.348029	0.005251	0.009508	0.177773	0.807468	
59000	-74.867669	397	0.529548	0.029740	3.804325	10.293711	1.785772	12.894734	1.549911	2.904276	0.668602	0.092395	0.056781	0.182221	0.000378	0.095959	0.135846	0.767818	
60000	-79.000661	717	0.838118	8.473009	15.426266	19.343338	7.577985	1.906007	5.218938	0.060049	0.194436	0.121626	0.101843	0.582096	0.001774	0.074161	0.004115	0.919950	
61000	-77.169471	813	2.496527	0.557273	26.669933	7.108530	6.457618	11.571550	2.043063	2.225614	0.177795	0.100998	0.127925	0.593281	0.005587	0.023589	0.099343	0.871481	
62000	-73.267113	393	2.238234	0.228036	12.572354	14.885334	1.391223	18.307941	4.204885	3.810605	0.266395	0.124169	0.115664	0.493772	0.007526	0.068076	0.188860	0.735538	
63000	-76.806863	138	8.317602	1.666501	26.747460	4.586924	2.101995	2.259217	1.736549	1.552515	0.230531	0.118230	0.102752	0.548487	0.006148	0.016343	0.015494	0.962015	
64000	-75.124502	83	1.715714	0.272898	1.267148	7.811559	16.841383	8.893349	1.385251	3.794786	0.226690	0.123696	0.117859	0.531755	0.015796	0.173811	0.038635	0.771758	
65000	-78.166926	413	5.324761	6.897298	1.799256	20.833978	18.500180	20.078550	2.693660	6.447196	0.242859	0.121075	0.121300	0.514766	0.218486	0.128311	0.116458	0.536746	
66000	-76.894857	966	3.842962	0.425155	20.733342	3.057652	0.558371	16.409288	3.376649	8.535467	0.191361	0.100878	0.137020	0.570741	0.014162	0.023108	0.204310	0.758421	
67000	-76.878041	988	2.967852	13.588855	16.750574	0.126681	17.024223	10.476771	3.356722	0.919154	0.236829	0.115910	0.120467	0.526794	0.111994	0.031272	0.091807	0.764928	
68000	-77.907891	74	2.005800	5.686607	27.726102	23.617421	1.795595	24.977070	6.768353	4.087460	0.242246	0.121175	0.121265	0.515315	0.156157	0.101656	0.148297	0.593889	
69000	-76.941572	387	3.160351	0.373255	5.295980	10.205566	1.186391	5.332644	5.358916	1.929088	0.313156	0.124639	0.098635	0.463570	0.019962	0.095085	0.102944	0.782009	
70000	-76.066551	492	16.450411	3.084138	27.365003	0.781633	11.152366	1.624969	0.894838	1.118563	0.164284	0.083106	0.093028	0.659582	0.001027	0.001275	0.004683	0.993015	
71000	-78.586152	101	22.367360	1.625732	19.001208	2.255073	8.552362	7.632303	0.481850	4.961580	0.207465	0.104899	0.119966	0.567670	0.016124	0.013311	0.068287	0.902279	
72000	-73.414306	414	1.107938	0.436437	11.111338	1.721842	1.625049	14.145385	2.664685	3.140791	0.182067	0.098866	0.137727	0.581340	0.008988	0.012678	0.204997	0.773337	
73000	-76.739958	338	0.882866	0.450934	1.108291	9.689957	7.515225	0.509392	1.087745	3.436068	0.287204	0.112283	0.132507	0.468006	0.016754	0.509742	0.001582	0.471921	
74000	-76.511987	425	0.148408	3.300327	21.027107	2.973247	3.201842	8.318165	2.371349	0.762344	0.237201	0.118673	0.122203	0.521923	0.030709	0.019145	0.129784	0.820363	
75000	-76.129710	886	2.208915	0.754169	7.617344	4.798092	7.179306	17.258005	3.346973	3.294951	0.205575	0.115215	0.124896	0.554314	0.003942	0.023193	0.116776	0.856088	
76000	-77.412483	460	6.221604	14.674915	10.669344	0.898085	20.965152	12.456339	0.777948	3.459199	0.239981	0.119004	0.120862	0.520153	0.076249	0.017050	0.080225	0.826477	
77000	-74.942140	48	4.018960	0.078602	18.366517	4.340890	8.286488	5.792809	1.843022	1.020243	0.222080	0.115541	0.122720	0.539659	0.000648	0.009648	0.023405	0.966300	
78000	-77.481122	132	9.926626	11.902672	21.366241	0.605124	8.996289	8.531443	1.954210	2.023204	0.239446	0.119146	0.121033	0.520375	0.105285	0.035495	0.103735	0.755485	
79000	-76.615351	750	3.359405	1.274582	5.532415	1.106581	3.460068	18.141078	1.087726	4.342262	0.316857	0.155745	0.105122	0.422276	0.011372	0.005578	0.165781	0.817270	
80000	-75.164496	328	13.004843	2.271789	38.073937	0.288498	5.683465	6.362131	1.408173	2.640642	0.195208	0.096396	0.125377	0.583019	0.002663	0.000927	0.054534	0.941876	
81000	-78.046345	498	22.941577	10.990039	29.511832	2.676242	12.140458	4.728649	1.891285	1.938396	0.223980	0.112127	0.115616	0.548277	0.039261	0.022533	0.042468	0.895738	
82000	-78.662404	750	2.948425	4.996798	5.548628	5.972145	5.688266	10.616046	1.922270	5.100517	0.246023	0.121920	0.121154	0.510903	0.079759	0.075428	0.117457	0.727355	
83000	-73.049346	499	0.532177	0.256171	9.420610	9.692201	2.437902	9.744080	3.779085	3.318077	0.173004	0.119401	0.132904	0.574691	0.001307	0.057036	0.149550	0.792106	
84000	-75.608880	733	1.311841	7.858683	0.056584	15.433758	20.525720	2.106735	2.554158	3.209656	0.227018	0.126972	0.113808	0.532203	0.011430	0.279721	0.005686	0.703164	
85000	-75.612701	146	2.236439	0.477795	15.431235	8.672973	4.614277	7.565308	3.466710	1.440852	0.203968	0.113913	0.125065	0.557054	0.003178	0.036734	0.079122	0.880966	
86000	-73.868315	628	0.481097	0.479293	6.280660	18.896653	3.271133	13.359039	4.673839	1.907629	0.357744	0.114431	0.108774	0.419052	0.003562	0.113771	0.130656	0.752010	
87000	-76.187486	668	9.731226	1.453605	14.687017	2.887691	4.630442	10.231822	2.226011	3.449711	0.222966	0.112762	0.124427	0.539845	0.011221	0.012237	0.120581	0.855961	
88000	-74.952104	732	6.797795	0.671906	10.567176	3.383663	10.960865	13.860144	1.078923	2.641124	0.246691	0.123084	0.121666	0.508559	0.003276	0.012210	0.074646	0.909868	
89000	-75.157038	32	2.707506	0.039694	6.981340	10.145583	2.271012	6.157208	4.915613	0.803966	0.244407	0.120265	0.134423	0.500905	0.024351	0.077003	0.348967	0.549679	
90000	-73.029098	192	0.654610	0.085716	10.615611	5.128362	0.566979	8.455210	1.584119	2.421370	0.323349	0.177474	0.083308	0.415870	0.000548	0.033944	0.145171	0.820337	
91000	-73.838173	976	4.591250	0.727585	12.556607	8.506556	6.197986	5.338260	2.393027	1.797704	0.240102	0.121139	0.121721	0.517038	0.025868	0.076909	0.065458	0.831765	
92000	-75.600796	201	2.612894	2.445191	6.869559	37.060960	6.432111	5.387759	11.791526	1.906101	0.244331	0.120893	0.121750	0.513026	0.043062	0.156962	0.049053	0.750923	
93000	-75.760727	818	0.101186	3.527284	7.977177	9.774803	7.697401	9.185457	2.802736	3.274928	0.236206	0.121448	0.121482	0.520863	0.010011	0.070065	0.066054	0.853870	
94000	-73.901261	346	1.938304	0.105126	7.270055	4.513051	1.695945	45.032527	1.965042	12.241893	0.300929	0.137129	0.107275	0.454667	0.001137	0.021648	0.184744	0.792471	
95000	-77.389524	84	7.535380	9.556290	23.657343	4.994122	7.557100	18.419292	3.153483	4.074175	0.242385	0.121189	0.121218	0.515208	0.187013	0.089571	0.128941	0.594475	
96000	-77.335962	598	2.052409	5.501795	2.438212	19.229796	17.666362	1.849164	4.678009	1.483788	0.294241	0.107736	0.147307	0.450717	0.044667	0.174161	0.021963	0.759209	
97000	-74.287811	306	0.481998	0.618809	6.421739	10.477200	1.795882	12.225693	1.668787	3.145696	0.430783	0.126070	0.090966	0.352181	0.002643	0.072816	0.145979	0.778563	
98000	-74.677693	776	1.223051	3.964279	1.336463	28.391249	16.753939	5.044239	6.637416	3.081204	0.237316	0.122550	0.119599	0.520535	0.014968	0.194405	0.020473	0.770154	
99000	-78.841009	3	6.255947	8.126532	9.669081	8.390023	25.011013	0.749302	0.379052	3.314412	0.220922	0.120139	0.108766	0.550174	0.019064	0.062800	0.006142	0.911994	
100000	-74.663222	753	2.573018	0.876676	6.620567	2.518802	8.616094	7.228198	0.986528	2.132607	0.222560	0.118358	0.121580	0.537502	0.009258	0.033380	0.085611	0.871751	
101000	-74.502243	450	3.713416	0.516463	15.487540	12.354005	2.423081	6.467704	2.573823	1.476222	0.262503	0.124876	0.118471	0.494150	0.012584	0.056924	0.120621	0.809871	
102000	-77.984596	691	2.949397	4.247580	20.364097	3.902077	0.939760	16.205130	2.772115	5.379910	0.249225	0.124844	0.118695	0.507236	0.079511	0.035869	0.183054	0.701567	
103000	-75.647156	108	4.838520	0.222593	6.813385	8.938832	7.079997	9.578905	2.897352	1.530193	0.260949	0.122652	0.122493	0.493906	0.028326	0.080249	0.090847	0.800578	
104000	-75.935454	138	3.169380	3.231399	14.413952	7.424009	1.578704	27.173247	5.276418	4.956086	0.239422	0.120225	0.122141	0.518212	0.088141	0.062180	0.175311	0.674368	
105000	-76.237713	729	2.704396	3.342369	8.650039	17.832456	13.553441	0.024172	5.469998	1.088824	0.212661	0.125689	0.101524	0.560126	0.028515	0.128743	0.004972	0.837771	
106000	-80.065116	387	25.789654	4.167978	37.400715	1.393936	2.984621	4.409246	1.353200	0.630305	0.277685	0.139366	0.120897	0.462052	0.017761	0.007865	0.085936	0.888438	
107000	-79.472548	142	2.426929	13.909012	15.378177	5.753016	24.860076	2.203493	1.436496	1.029702	0.230127	0.118835	0.115696	0.535342	0.011391	0.034700	0.010627	0.943283	
108000	-77.357574	445	14.268173	4.475977	21.227117	6.417912	11.892872	6.847193	3.735100	0.756056	0.232373	0.117502	0.118877	0.531248	0.067959	0.055509	0.073003	0.803529	
109000	-76.135296	279	5.664104	2.452298	7.266065	13.600729	4.592358	4.596526	3.587750	2.537948	0.248036	0.121162	0.122260	0.508542	0.093979	0.127501	0.057981	0.720539	
110000	-75.210991	352	0.226677	0.872211	8.553770	2.336242	0.149661	10.340222	2.733697	3.308929	0.261990	0.133500	0.109023	0.495487	0.005891	0.007994	0.217590	0.768525	
111000	-75.699553	42	5.416682	1.764738	12.979926	2.652753	0.975240	30.317120	3.314145	4.410144	0.230234	0.115635	0.125059	0.529072	0.016542	0.010546	0.204278	0.768634	
112000	-74.478308	687	2.099008	1.149874	10.997040	0.671901	2.069358	8.819822	3.074384	1.594241	0.198691	0.096285	0.137379	0.567644	0.006498	0.001515	0.241982	0.750005	
113000	-77.781171	215	4.591814	4.456918	18.442549	20.635496	6.964220	0.762449	8.107182	0.457443	0.210034	0.121937	0.096977	0.571052	0.018354	0.088591	0.003503	0.889552	
114000	-77.130290	934	6.762912	0.387811	4.043538	9.809464	21.139371	8.252799	1.866905	3.349102	0.234486	0.122290	0.118142	0.525082	0.099095	0.128222	0.064652	0.708031	
115000	-79.588989	843	3.046589	3.235571	11.736813	37.477363	14.284489	3.337120	5.211451	0.620802	0.287057	0.115021	0.141299	0.456623	0.033058	0.140711	0.022047	0.804184	
116000	-76.561404	258	5.000520	0.086101	13.367913	6.754741	15.695743	13.682341	1.220545	4.921194	0.189045	0.109531	0.116346	0.585079	0.009312	0.037562	0.069328	0.883798	
117000	-77.696094	849	10.627380	1.110603	29.113954	11.963471	7.201065	27.952454	2.263515	8.291501	0.236315	0.119343	0.122189	0.522154	0.039005	0.049035	0.147880	0.764080	
118000	-74.607300	757	1.519277	0.826966	6.717145	10.964871	1.287423	17.220869	5.287981	5.080226	0.300282	0.123861	0.108591	0.467266	0.040253	0.100212	0.176776	0.682759	
119000	-75.409266	388	2.945515	0.396848	21.710985	0.593256	0.532392	25.905764	2.270144	6.868964	0.157554	0.079452	0.147239	0.615754	0.004430	0.002787	0.199489	0.793295	
120000	-76.829166	968	8.798560	8.138593	13.010812	13.565576	23.507562	10.678049	3.215361	2.505186	0.244294	0.121425	0.121829	0.512451	0.183709	0.114272	0.101314	0.600705	
121000	-74.959012	175	5.546316	2.751246	10.597442	4.628469	7.017076	6.736377	2.193813	2.207660	0.225969	0.116103	0.120223	0.537705	0.015362	0.028030	0.060846	0.895761	
122000	-76.904595	500	2.800673	1.912294	8.395852	16.854651	9.255331	8.729001	4.428939	4.711478	0.234813	0.121647	0.120282	0.523258	0.041546	0.124525	0.074033	0.759896	
123000	-77.372560	858	0.925009	3.395154	5.755947	5.120816	10.589249	1.968152	0.726989	2.196628	0.185351	0.123101	0.099666	0.591882	0.001245	0.040444	0.005431	0.952881	
124000	-75.326677	60	6.480508	1.572933	11.184407	19.520605	4.617563	4.553848	4.534382	1.016645	0.254981	0.121006	0.125378	0.498635	0.112752	0.118527	0.082820	0.685901	
125000	-76.643132	194	1.652116	1.217306	8.834074	10.559801	10.446487	16.861859	1.959260	3.712506	0.235013	0.121244	0.121517	0.522225	0.005857	0.058345	0.084335	0.851464	
126000	-74.336029	532	2.606289	0.647197	3.941402	36.706625	5.410971	8.567851	7.410292	2.940160	0.328532	0.106610	0.126360	0.438497	0.028756	0.162124	0.073147	0.735973	
127000	-77.180602	115	3.071008	1.744215	6.510041	5.830900	5.222590	2.834262	3.967459	0.826624	0.227900	0.120919	0.116967	0.534215	0.002318	0.031652	0.011282	0.954749	
128000	-76.654147	123	20.617016	3.986840	32.376376	9.105994	18.259761	6.941492	0.687714	4.461924	0.236338	0.119028	0.119149	0.525484	0.081171	0.059467	0.060317	0.799045	
129000	-77.281370	736	3.905883	2.788655	5.727315	12.474179	20.458901	15.674242	1.825812	4.727731	0.239363	0.121488	0.120626	0.518523	0.058243	0.124171	0.077985	0.739601	
130000	-73.555995	658	2.706460	0.225568	1.716474	9.387025	8.816317	7.152425	2.155791	3.566372	0.271986	0.112434	0.128438	0.487142	0.022916	0.165635	0.043649	0.767800	
131000	-74.579383	197	0.300823	0.590219	4.730547	6.553133	1.418060	7.519201	2.071648	2.881373	0.401539	0.137531	0.090478	0.370452	0.001342	0.055923	0.128053	0.814682	
132000	-75.174943	440	5.426603	1.277189	14.934773	0.020233	9.663408	3.082457	2.344266	1.144016	0.099142	0.046235	0.093179	0.761444	0.000094	0.000015	0.009102	0.990789	
133000	-75.883619	963	6.114028	1.499531	15.843327	4.740940	2.188141	14.541960	2.754253	0.811282	0.252220	0.125027	0.118620	0.504133	0.039096	0.030143	0.226668	0.704093	
134000	-75.851195	371	2.162415	1.091339	2.560854	19.205383	9.530034	5.904650	7.380166	2.842127	0.284129	0.111664	0.132360	0.471846	0.021682	0.175806	0.033903	0.768608	
135000	-75.960963	725	2.292136	1.790560	8.194932	4.368990	11.324916	0.342341	2.457916	1.225034	0.177174	0.114812	0.084036	0.623977	0.000907	0.022514	0.000490	0.976089	
136000	-73.931464	591	2.193830	2.729554	9.636758	1.252272	9.121536	6.376203	1.602102	2.416531	0.168224	0.084402	0.118604	0.628770	0.006693	0.007997	0.053916	0.931394	
137000	-79.497114	562	5.661703	7.586164	13.966794	6.177362	9.266473	0.773425	2.123740	1.666784	0.194111	0.112206	0.092928	0.600755	0.006893	0.038023	0.004895	0.950189	
138000	-75.954082	303	1.138389	0.621339	2.512661	8.173610	0.850480	10.370558	3.782123	2.828995	0.613258	0.092677	0.056498	0.237567	0.021185	0.128692	0.164553	0.685570	
139000	-75.422522	450	0.600883	0.664770	3.365510	26.545779	9.653748	2.080864	3.266659	2.775353	0.178801	0.136455	0.098808	0.585936	0.001930	0.178560	0.004956	0.814555	
140000	-75.404471	420	2.714179	2.414815	9.615507	3.367873	4.834387	13.249292	2.414439	2.919521	0.240874	0.120926	0.121614	0.516586	0.026456	0.024320	0.138091	0.811133	
141000	-77.373016	105	2.093254	4.044754	9.528758	4.620350	6.065728	2.665055	1.677312	2.458422	0.202855	0.113190	0.110400	0.573555	0.005115	0.029499	0.016918	0.948468	
142000	-75.291434	825	2.389743	2.043185	6.718056	54.313220	12.710001	5.433363	10.961023	2.563837	0.238873	0.121960	0.120101	0.519067	0.047627	0.163045	0.044354	0.744974	
143000	-78.191940	215	1.221152	6.203414	12.654040	9.748421	1.801098	38.405170	3.852992	3.913707	0.246293	0.122460	0.120161	0.511086	0.179724	0.101663	0.137960	0.580653	
