Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-uni.linealdescent.bttrees
Data File Name:                  ./data/austronesian-eskimo-uni.linealdescent.btdata
Log File Name:                   ./output/austronesian-eskimo-uni.linealdescent-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3859052589
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-uni.linealdescent-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.517647,0.317647,0.152941,0.011765)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-77.762254	52	1	3	'0 Z 0 Z 0 Z 0 0 	D	2.246633	0.000000	2.246633	0.000000	2.246633	0.000000	2.246633	2.246633	0.000000	0.000000	0.000000	1.000000	
12000	-77.958709	183	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.958771	0.000000	3.958771	0.000000	3.958771	0.000000	3.958771	3.958771	0.000000	0.000000	0.000000	1.000000	
13000	-75.972564	879	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.373057	0.000000	3.373057	0.000000	3.373057	0.000000	3.373057	3.373057	0.000000	0.000000	0.000000	1.000000	
14000	-75.869668	343	2	4	'Z Z 1 Z 1 1 0 Z 	D	0.000000	0.000000	2.703475	0.000000	2.703475	2.703475	13.922401	0.000000	0.000000	0.000000	1.000000	0.000000	
15000	-74.331303	643	2	3	'Z Z 1 Z 1 1 0 0 	D	0.000000	0.000000	2.347774	0.000000	2.347774	2.347774	15.233220	15.233220	0.000000	0.000000	0.972048	0.027952	
16000	-76.244492	347	2	3	'Z Z 1 1 1 1 0 Z 	D	0.000000	0.000000	2.657261	2.657261	2.657261	2.657261	35.356553	0.000000	0.000000	0.000000	1.000000	0.000000	
17000	-80.052253	171	1	3	'Z Z 0 Z 0 0 0 0 	D	0.000000	0.000000	3.422806	0.000000	3.422806	3.422806	3.422806	3.422806	0.000000	0.000000	0.867349	0.132651	
18000	-74.282757	764	2	4	'Z Z 1 Z 1 1 0 Z 	D	0.000000	0.000000	2.093184	0.000000	2.093184	2.093184	15.371252	0.000000	0.000000	0.000000	1.000000	0.000000	
19000	-75.143575	710	2	3	'Z Z 1 Z 1 1 0 1 	D	0.000000	0.000000	1.741169	0.000000	1.741169	1.741169	44.344727	1.741169	0.000000	0.000000	0.997135	0.002865	
20000	-75.117028	258	2	3	'Z Z 1 Z 1 1 0 0 	D	0.000000	0.000000	1.913598	0.000000	1.913598	1.913598	29.162291	29.162291	0.000000	0.000000	0.958185	0.041815	
21000	-74.119391	161	2	3	'Z Z 1 Z 1 1 0 1 	D	0.000000	0.000000	1.737890	0.000000	1.737890	1.737890	33.781550	1.737890	0.000000	0.000000	0.997612	0.002388	
22000	-75.904755	773	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.429986	0.000000	3.429986	0.000000	3.429986	0.000000	3.429986	3.429986	0.000000	0.000000	0.000000	1.000000	
