Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matrilineal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilineal.btdata
Log File Name:                   ./output/austronesian-crow-matrilineal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            196867328
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilineal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.811765,0.117647,0.023529,0.047059)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-49.055033	204	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.911626	28.911626	28.911626	28.911626	28.911626	0.000000	0.723140	0.056457	0.220403	
37000	-54.145028	451	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	8.277309	8.277309	8.277309	8.277309	8.277309	8.277309	0.000000	0.555630	0.092539	0.351831	
38000	-54.677765	703	1	3	'Z Z 0 Z 0 0 0 0 	D	0.000000	0.000000	10.732297	0.000000	10.732297	10.732297	10.732297	10.732297	0.000000	0.000000	0.317304	0.682696	
39000	-53.344550	572	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	9.277061	9.277061	9.277061	9.277061	9.277061	9.277061	0.000000	0.560919	0.102952	0.336129	
40000	-49.200499	935	2	1	'0 Z 0 1 1 1 1 1 	D	0.649183	0.000000	0.649183	9.000867	9.000867	9.000867	9.000867	9.000867	0.978643	0.005527	0.010475	0.005354	
41000	-49.978152	94	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.159830	27.159830	27.159830	27.159830	27.159830	0.000000	0.735766	0.047513	0.216721	
42000	-49.948028	789	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	38.988041	38.988041	38.988041	38.988041	38.988041	0.000000	0.711804	0.062146	0.226049	
43000	-49.785476	469	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.628443	22.628443	22.628443	22.628443	22.628443	0.000000	0.741422	0.040337	0.218242	
44000	-50.326424	511	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	38.700203	38.700203	38.700203	38.700203	38.700203	0.000000	0.724438	0.056118	0.219444	
45000	-49.152198	253	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.250229	31.250229	31.250229	31.250229	31.250229	0.000000	0.726048	0.054863	0.219089	
46000	-52.625529	119	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	22.763517	22.763517	0.000000	22.763517	22.763517	0.000000	0.813116	0.000000	0.186884	
47000	-49.707677	39	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.212687	29.212687	29.212687	29.212687	29.212687	0.000000	0.768193	0.031408	0.200399	
48000	-49.308313	22	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.796466	24.796466	24.796466	24.796466	24.796466	0.000000	0.726775	0.053738	0.219487	
49000	-49.407464	653	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.001752	23.001752	23.001752	23.001752	23.001752	0.000000	0.724470	0.053950	0.221580	
50000	-51.446628	1	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	19.348988	19.348988	19.348988	19.348988	19.348988	0.000000	0.665575	0.080950	0.253475	
51000	-50.644653	424	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.091060	22.091060	22.091060	22.091060	22.091060	0.000000	0.743904	0.039213	0.216883	
52000	-49.304029	539	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.563085	29.563085	29.563085	29.563085	29.563085	0.000000	0.763216	0.033044	0.203740	
53000	-49.271250	396	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	32.356138	32.356138	32.356138	32.356138	32.356138	0.000000	0.765788	0.032285	0.201927	
54000	-49.015096	394	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	25.587426	25.587426	25.587426	25.587426	25.587426	0.000000	0.722412	0.056620	0.220968	
55000	-49.905905	672	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.654182	24.654182	24.654182	24.654182	24.654182	0.000000	0.721633	0.056403	0.221964	
56000	-50.909103	690	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	36.391449	36.391449	36.391449	36.391449	36.391449	0.000000	0.708056	0.063857	0.228087	
57000	-49.302345	125	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.854819	28.854819	28.854819	28.854819	28.854819	0.000000	0.761789	0.033442	0.204768	
58000	-49.684325	395	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.861356	23.861356	23.861356	23.861356	23.861356	0.000000	0.752923	0.036441	0.210636	
59000	-49.730846	325	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.124397	33.124397	33.124397	33.124397	33.124397	0.000000	0.754442	0.039134	0.206425	
60000	-49.667104	227	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.219839	33.219839	33.219839	33.219839	33.219839	0.000000	0.763662	0.032995	0.203344	
61000	-49.166371	674	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.010503	30.010503	30.010503	30.010503	30.010503	0.000000	0.728058	0.053945	0.217997	
62000	-49.574331	524	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.679509	33.679509	33.679509	33.679509	33.679509	0.000000	0.765988	0.032279	0.201733	
63000	-49.178686	983	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.308305	27.308305	27.308305	27.308305	27.308305	0.000000	0.746967	0.039750	0.213283	
64000	-49.879540	861	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.976539	23.976539	23.976539	23.976539	23.976539	0.000000	0.703510	0.065971	0.230519	
65000	-50.439257	294	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	37.487179	37.487179	37.487179	37.487179	37.487179	0.000000	0.719309	0.058608	0.222083	
66000	-54.488636	986	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	24.148031	24.148031	0.000000	24.148031	24.148031	0.000000	0.864472	0.000000	0.135528	
67000	-50.401357	786	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	39.282658	39.282658	39.282658	39.282658	39.282658	0.000000	0.718712	0.058966	0.222322	
68000	-49.419597	569	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.255879	28.255879	28.255879	28.255879	28.255879	0.000000	0.738333	0.047412	0.214254	
69000	-49.053064	564	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.550754	27.550754	27.550754	27.550754	27.550754	0.000000	0.726524	0.054163	0.219313	
70000	-49.894231	914	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	32.035995	32.035995	32.035995	32.035995	32.035995	0.000000	0.717889	0.059306	0.222805	
71000	-49.995412	775	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.340093	24.340093	24.340093	24.340093	24.340093	0.000000	0.711128	0.062034	0.226838	
72000	-51.771823	788	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	41.344187	41.344187	41.344187	41.344187	41.344187	0.000000	0.722781	0.056980	0.220239	
73000	-49.540212	416	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.317732	24.317732	24.317732	24.317732	24.317732	0.000000	0.703446	0.066292	0.230263	
74000	-52.605126	568	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	19.999923	19.999923	0.000000	19.999923	19.999923	0.000000	0.823547	0.000000	0.176453	
75000	-50.145341	828	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	25.221735	25.221735	25.221735	25.221735	25.221735	0.000000	0.759120	0.034326	0.206554	
76000	-49.830313	97	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.728309	33.728309	33.728309	33.728309	33.728309	0.000000	0.768523	0.031328	0.200149	
77000	-49.199006	936	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.436404	30.436404	30.436404	30.436404	30.436404	0.000000	0.718015	0.059258	0.222727	
78000	-50.583317	599	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	21.800631	21.800631	21.800631	21.800631	21.800631	0.000000	0.707537	0.063696	0.228767	
79000	-49.422745	768	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	36.440964	36.440964	36.440964	36.440964	36.440964	0.000000	0.755261	0.039085	0.205654	
80000	-49.271946	170	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.031887	30.031887	30.031887	30.031887	30.031887	0.000000	0.712994	0.061645	0.225361	
81000	-49.175674	285	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.941787	24.941787	24.941787	24.941787	24.941787	0.000000	0.709340	0.063223	0.227437	
82000	-49.111637	233	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.566303	26.566303	26.566303	26.566303	26.566303	0.000000	0.725598	0.055153	0.219249	
83000	-49.631759	834	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.962826	23.962826	23.962826	23.962826	23.962826	0.000000	0.724578	0.051600	0.223822	
84000	-48.803544	83	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.516086	26.516086	26.516086	26.516086	26.516086	0.000000	0.714859	0.060683	0.224458	
85000	-49.622043	455	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.997766	26.997766	26.997766	26.997766	26.997766	0.000000	0.732245	0.051634	0.216121	
86000	-50.133586	950	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	36.741361	36.741361	36.741361	36.741361	36.741361	0.000000	0.711756	0.062191	0.226053	
87000	-50.952989	978	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	20.398531	20.398531	20.398531	20.398531	20.398531	0.000000	0.688808	0.073455	0.237738	
88000	-49.402611	162	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.820611	31.820611	31.820611	31.820611	31.820611	0.000000	0.723354	0.056600	0.220046	
89000	-48.931376	484	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.771663	31.771663	31.771663	31.771663	31.771663	0.000000	0.718197	0.059031	0.222772	
90000	-49.647073	856	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.373838	27.373838	27.373838	27.373838	27.373838	0.000000	0.718520	0.058917	0.222562	
91000	-49.854874	404	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.251868	27.251868	27.251868	27.251868	27.251868	0.000000	0.714688	0.060756	0.224556	
92000	-52.086167	240	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	19.240640	19.240640	19.240640	19.240640	19.240640	0.000000	0.718950	0.051249	0.229801	
93000	-49.029078	935	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.410457	28.410457	28.410457	28.410457	28.410457	0.000000	0.720866	0.057507	0.221627	
94000	-48.940158	870	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.527329	31.527329	31.527329	31.527329	31.527329	0.000000	0.765615	0.032243	0.202142	
95000	-49.702725	319	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.360440	26.360440	26.360440	26.360440	26.360440	0.000000	0.759967	0.034016	0.206017	
96000	-49.313810	758	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	34.260801	34.260801	34.260801	34.260801	34.260801	0.000000	0.724640	0.055975	0.219385	
97000	-50.075726	284	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.161247	24.161247	24.161247	24.161247	24.161247	0.000000	0.762868	0.033045	0.204087	
98000	-49.202990	454	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.116082	31.116082	31.116082	31.116082	31.116082	0.000000	0.725525	0.055468	0.219006	
99000	-50.030795	531	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.814193	24.814193	24.814193	24.814193	24.814193	0.000000	0.751702	0.037073	0.211225	
100000	-50.585473	241	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.320392	22.320392	22.320392	22.320392	22.320392	0.000000	0.727553	0.047447	0.225000	
101000	-49.055687	320	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	25.375898	25.375898	25.375898	25.375898	25.375898	0.000000	0.712267	0.061149	0.226584	
102000	-50.733466	56	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	21.669759	21.669759	21.669759	21.669759	21.669759	0.000000	0.690134	0.072936	0.236930	
103000	-54.842655	487	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	13.660199	13.660199	13.660199	13.660199	13.660199	0.000000	0.580524	0.120969	0.298508	
104000	-49.519740	723	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.167515	27.167515	27.167515	27.167515	27.167515	0.000000	0.745358	0.043721	0.210921	
105000	-48.612896	820	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.676758	30.676758	30.676758	30.676758	30.676758	0.000000	0.743403	0.044951	0.211647	
106000	-53.001619	997	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	16.469745	16.469745	16.469745	16.469745	16.469745	0.000000	0.704213	0.053815	0.241972	
107000	-50.883401	487	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	20.693928	20.693928	20.693928	20.693928	20.693928	0.000000	0.711382	0.059295	0.229323	
108000	-49.538419	99	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.322949	26.322949	26.322949	26.322949	26.322949	0.000000	0.737300	0.047877	0.214824	
109000	-48.823020	773	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.474731	27.474731	27.474731	27.474731	27.474731	0.000000	0.758999	0.034362	0.206639	
