Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-bi.localextendedfamily.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.localextendedfamily.btdata
Log File Name:                   ./output/uto-hawaiian-bi.localextendedfamily-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2570650495
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.localextendedfamily-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.181818,0.136364,0.454545,0.227273)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-29.885304	777	1	2	'0 0 Z Z 0 0 0 0 	D	42.183229	42.183229	0.000000	0.000000	42.183229	42.183229	42.183229	42.183229	0.023082	0.000000	0.921323	0.055595	
12000	-31.883288	994	1	3	'0 0 Z Z 0 0 Z 0 	D	40.703421	40.703421	0.000000	0.000000	40.703421	40.703421	0.000000	40.703421	0.015731	0.000000	0.964036	0.020232	
13000	-28.465396	13	1	1	'0 0 0 Z 0 0 0 0 	D	41.842906	41.842906	41.842906	0.000000	41.842906	41.842906	41.842906	41.842906	0.025555	0.000123	0.827625	0.146698	
14000	-28.474723	519	1	1	'0 Z 0 0 0 0 0 0 	D	44.099076	0.000000	44.099076	44.099076	44.099076	44.099076	44.099076	44.099076	0.000026	0.003555	0.862264	0.134156	
15000	-30.070294	729	1	2	'0 Z 0 0 0 0 0 Z 	D	57.982022	0.000000	57.982022	57.982022	57.982022	57.982022	57.982022	0.000000	0.000000	0.000000	1.000000	0.000000	
16000	-28.166237	545	1	0	'0 0 0 0 0 0 0 0 	I	57.660830	57.660830	57.660830	57.660830	57.660830	57.660830	57.660830	57.660830	0.041024	0.015669	0.751863	0.191445	
17000	-25.806923	520	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	78.941062	0.000000	0.000000	78.941062	78.941062	78.941062	0.000000	0.000000	0.887802	0.112198	
18000	-29.657292	787	1	0	'0 0 0 0 0 0 0 0 	I	49.945047	49.945047	49.945047	49.945047	49.945047	49.945047	49.945047	49.945047	0.021947	0.004591	0.854326	0.119136	
19000	-30.854538	406	1	2	'0 Z 0 0 0 0 Z 0 	D	38.471119	0.000000	38.471119	38.471119	38.471119	38.471119	0.000000	38.471119	0.000001	0.000515	0.858651	0.140833	
20000	-28.148947	14	1	2	'0 0 0 0 0 0 Z Z 	D	70.735295	70.735295	70.735295	70.735295	70.735295	70.735295	0.000000	0.000000	0.198688	0.013137	0.788175	0.000000	
21000	-31.876535	809	1	1	'0 0 0 0 0 0 0 Z 	D	29.800874	29.800874	29.800874	29.800874	29.800874	29.800874	29.800874	0.000000	0.024288	0.000081	0.975631	0.000000	
22000	-29.260905	993	1	1	'0 0 0 0 0 0 Z 0 	D	44.481274	44.481274	44.481274	44.481274	44.481274	44.481274	0.000000	44.481274	0.122720	0.036978	0.815245	0.025058	
23000	-28.367568	285	1	1	'0 0 0 Z 0 0 0 0 	D	58.986550	58.986550	58.986550	0.000000	58.986550	58.986550	58.986550	58.986550	0.037481	0.000316	0.787831	0.174372	
24000	-30.248024	550	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	50.874554	50.874554	50.874554	50.874554	50.874554	50.874554	0.000000	0.001406	0.384776	0.613817	
25000	-25.872466	134	1	0	'0 0 0 0 0 0 0 0 	I	88.006872	88.006872	88.006872	88.006872	88.006872	88.006872	88.006872	88.006872	0.081502	0.020556	0.768694	0.129248	
26000	-28.258298	517	1	3	'0 0 Z Z 0 0 Z 0 	D	65.788986	65.788986	0.000000	0.000000	65.788986	65.788986	0.000000	65.788986	0.009910	0.000000	0.909876	0.080214	
27000	-31.006640	223	1	1	'0 Z 0 0 0 0 0 0 	D	33.805764	0.000000	33.805764	33.805764	33.805764	33.805764	33.805764	33.805764	0.000001	0.000610	0.734402	0.264987	
28000	-30.678066	915	1	3	'0 Z 0 0 0 0 Z Z 	D	47.724094	0.000000	47.724094	47.724094	47.724094	47.724094	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
29000	-28.100643	47	1	3	'0 0 Z Z 0 0 Z 0 	D	58.697474	58.697474	0.000000	0.000000	58.697474	58.697474	0.000000	58.697474	0.083888	0.000000	0.893177	0.022936	
30000	-27.150815	227	1	2	'0 0 0 Z 0 0 Z 0 	D	54.880759	54.880759	54.880759	0.000000	54.880759	54.880759	0.000000	54.880759	0.002942	0.000001	0.915037	0.082020	
31000	-29.542634	353	1	2	'0 Z 0 0 0 0 0 Z 	D	44.946085	0.000000	44.946085	44.946085	44.946085	44.946085	44.946085	0.000000	0.000000	0.000000	1.000000	0.000000	
32000	-28.240699	222	1	2	'0 Z 0 0 0 0 Z 0 	D	50.098252	0.000000	50.098252	50.098252	50.098252	50.098252	0.000000	50.098252	0.000048	0.007918	0.919942	0.072092	
33000	-27.953479	847	1	2	'0 Z 0 0 0 0 0 Z 	D	68.512617	0.000000	68.512617	68.512617	68.512617	68.512617	68.512617	0.000000	0.000000	0.000000	1.000000	0.000000	
34000	-27.102516	83	1	1	'0 0 0 Z 0 0 0 0 	D	48.698053	48.698053	48.698053	0.000000	48.698053	48.698053	48.698053	48.698053	0.017563	0.000124	0.783582	0.198731	
35000	-28.446902	217	1	3	'0 0 Z Z 0 0 Z 0 	D	82.013939	82.013939	0.000000	0.000000	82.013939	82.013939	0.000000	82.013939	0.096081	0.000000	0.836250	0.067669	
36000	-30.535680	641	1	2	'0 Z 0 0 0 0 0 Z 	D	51.442599	0.000000	51.442599	51.442599	51.442599	51.442599	51.442599	0.000000	0.000000	0.000000	1.000000	0.000000	
37000	-28.432356	792	1	2	'0 0 0 Z 0 0 Z 0 	D	51.055377	51.055377	51.055377	0.000000	51.055377	51.055377	0.000000	51.055377	0.066632	0.001004	0.911183	0.021181	
38000	-26.616313	682	2	2	'1 0 Z Z 0 0 1 1 	D	44.864451	79.163455	0.000000	0.000000	79.163455	79.163455	44.864451	44.864451	0.131723	0.000000	0.851661	0.016616	
39000	-26.835857	532	1	2	'0 0 0 Z Z 0 0 0 	D	66.260400	66.260400	66.260400	0.000000	0.000000	66.260400	66.260400	66.260400	0.019617	0.000347	0.081522	0.898514	
40000	-27.597602	83	1	1	'0 0 0 0 Z 0 0 0 	D	63.708331	63.708331	63.708331	63.708331	0.000000	63.708331	63.708331	63.708331	0.240365	0.110378	0.095679	0.553578	
