Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-high.polygyny.bttrees
Data File Name:                  ./data/uto-iroquois-high.polygyny.btdata
Log File Name:                   ./output/uto-iroquois-high.polygyny-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            21333409
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-high.polygyny-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.727273,0.090909,0.090909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-16.711576	780	1	0	'0 0 0 0 0 0 0 0 	I	34.620373	34.620373	34.620373	34.620373	34.620373	34.620373	34.620373	34.620373	0.998564	0.000953	0.000480	0.000004	
37000	-16.504546	609	1	4	'0 Z Z 0 Z Z 0 0 	D	37.030863	0.000000	0.000000	37.030863	0.000000	0.000000	37.030863	37.030863	1.000000	0.000000	0.000000	0.000000	
38000	-19.739130	62	1	1	'0 0 0 0 0 0 0 Z 	D	7.884574	7.884574	7.884574	7.884574	7.884574	7.884574	7.884574	0.000000	0.999656	0.000198	0.000147	0.000000	
39000	-16.954873	811	1	1	'0 0 0 Z 0 0 0 0 	D	41.563095	41.563095	41.563095	0.000000	41.563095	41.563095	41.563095	41.563095	0.994511	0.001068	0.004300	0.000121	
40000	-16.823956	520	1	3	'0 0 Z Z 0 0 Z 0 	D	15.128587	15.128587	0.000000	0.000000	15.128587	15.128587	0.000000	15.128587	0.998992	0.000000	0.001006	0.000002	
41000	-17.808721	10	1	1	'0 0 0 Z 0 0 0 0 	D	25.153059	25.153059	25.153059	0.000000	25.153059	25.153059	25.153059	25.153059	0.996776	0.000154	0.003036	0.000033	
42000	-18.259654	499	1	1	'0 0 0 Z 0 0 0 0 	D	13.978621	13.978621	13.978621	0.000000	13.978621	13.978621	13.978621	13.978621	0.998808	0.000623	0.000566	0.000003	
43000	-18.033900	103	1	2	'0 Z 0 0 Z 0 0 0 	D	28.203583	0.000000	28.203583	28.203583	0.000000	28.203583	28.203583	28.203583	0.997239	0.002752	0.000000	0.000009	
44000	-17.350768	363	1	4	'0 Z Z 0 Z Z 0 0 	D	32.273740	0.000000	0.000000	32.273740	0.000000	0.000000	32.273740	32.273740	1.000000	0.000000	0.000000	0.000000	
45000	-15.496981	652	1	4	'0 Z 0 0 Z Z Z 0 	D	37.563872	0.000000	37.563872	37.563872	0.000000	0.000000	0.000000	37.563872	0.997478	0.002522	0.000000	0.000000	
46000	-15.779949	567	1	4	'0 Z 0 0 Z Z Z 0 	D	28.366973	0.000000	28.366973	28.366973	0.000000	0.000000	0.000000	28.366973	0.997121	0.002879	0.000000	0.000000	
47000	-16.238205	949	1	1	'0 0 0 0 Z 0 0 0 	D	49.500730	49.500730	49.500730	49.500730	0.000000	49.500730	49.500730	49.500730	0.998362	0.001634	0.000000	0.000005	
48000	-17.289606	148	1	2	'0 0 0 Z Z 0 0 0 	D	28.728601	28.728601	28.728601	0.000000	0.000000	28.728601	28.728601	28.728601	0.999851	0.000146	0.000000	0.000002	
49000	-18.942015	388	1	3	'0 0 0 Z 0 0 Z Z 	D	14.263252	14.263252	14.263252	0.000000	14.263252	14.263252	0.000000	0.000000	0.998218	0.000034	0.001747	0.000000	
50000	-16.054737	229	1	2	'0 Z 0 0 0 0 Z 0 	D	29.914041	0.000000	29.914041	29.914041	29.914041	29.914041	0.000000	29.914041	0.981665	0.009089	0.009215	0.000032	
51000	-17.429917	382	1	1	'0 0 0 0 0 0 Z 0 	D	48.453940	48.453940	48.453940	48.453940	48.453940	48.453940	0.000000	48.453940	0.987408	0.005813	0.006709	0.000071	
52000	-16.878680	51	1	1	'0 0 Z 0 0 0 0 0 	D	32.538249	32.538249	0.000000	32.538249	32.538249	32.538249	32.538249	32.538249	0.999186	0.000000	0.000812	0.000001	
53000	-17.421393	206	1	1	'0 0 Z 0 0 0 0 0 	D	20.277231	20.277231	0.000000	20.277231	20.277231	20.277231	20.277231	20.277231	0.992098	0.000000	0.007881	0.000021	
54000	-17.218403	846	1	3	'0 0 Z Z Z 0 0 0 	D	30.405979	30.405979	0.000000	0.000000	0.000000	30.405979	30.405979	30.405979	1.000000	0.000000	0.000000	0.000000	
55000	-18.706946	205	1	2	'0 Z 0 0 Z 0 0 0 	D	11.513346	0.000000	11.513346	11.513346	0.000000	11.513346	11.513346	11.513346	0.999864	0.000136	0.000000	0.000000	
56000	-17.690530	542	1	4	'0 0 0 Z Z 0 Z Z 	D	16.509173	16.509173	16.509173	0.000000	0.000000	16.509173	0.000000	0.000000	0.976162	0.023838	0.000000	0.000000	
57000	-17.238544	398	1	4	'0 0 0 Z Z 0 Z Z 	D	27.969338	27.969338	27.969338	0.000000	0.000000	27.969338	0.000000	0.000000	0.998999	0.001001	0.000000	0.000000	
58000	-15.996592	885	1	2	'0 0 Z 0 Z 0 0 0 	D	46.847802	46.847802	0.000000	46.847802	0.000000	46.847802	46.847802	46.847802	1.000000	0.000000	0.000000	0.000000	
59000	-17.513139	117	1	2	'0 0 Z Z 0 0 0 0 	D	18.774412	18.774412	0.000000	0.000000	18.774412	18.774412	18.774412	18.774412	0.999303	0.000000	0.000697	0.000000	
60000	-16.887699	399	1	2	'0 0 0 0 0 0 Z Z 	D	36.218255	36.218255	36.218255	36.218255	36.218255	36.218255	0.000000	0.000000	0.995168	0.001971	0.002861	0.000000	
61000	-17.311926	499	1	4	'0 Z 0 0 Z Z Z 0 	D	25.066734	0.000000	25.066734	25.066734	0.000000	0.000000	0.000000	25.066734	0.998065	0.001935	0.000000	0.000000	
62000	-16.519452	425	1	2	'0 0 Z 0 Z 0 0 0 	D	17.755768	17.755768	0.000000	17.755768	0.000000	17.755768	17.755768	17.755768	1.000000	0.000000	0.000000	0.000000	
63000	-16.100896	155	1	2	'0 Z 0 0 Z 0 0 0 	D	32.506305	0.000000	32.506305	32.506305	0.000000	32.506305	32.506305	32.506305	0.996797	0.003192	0.000000	0.000011	
64000	-17.223096	265	1	1	'0 0 Z 0 0 0 0 0 	D	32.751758	32.751758	0.000000	32.751758	32.751758	32.751758	32.751758	32.751758	0.994524	0.000000	0.005456	0.000021	
65000	-20.312135	880	1	2	'0 Z 0 0 Z 0 0 0 	D	10.343350	0.000000	10.343350	10.343350	0.000000	10.343350	10.343350	10.343350	0.996075	0.003910	0.000000	0.000016	
66000	-16.139913	826	1	1	'0 0 Z 0 0 0 0 0 	D	26.299427	26.299427	0.000000	26.299427	26.299427	26.299427	26.299427	26.299427	0.998764	0.000000	0.001234	0.000002	
67000	-17.504906	991	1	1	'0 0 0 0 0 0 Z 0 	D	23.913197	23.913197	23.913197	23.913197	23.913197	23.913197	0.000000	23.913197	0.998092	0.000569	0.001338	0.000001	
68000	-17.902803	881	1	2	'0 0 0 Z 0 0 Z 0 	D	17.790236	17.790236	17.790236	0.000000	17.790236	17.790236	0.000000	17.790236	0.998339	0.000366	0.001294	0.000001	
69000	-17.748129	710	1	2	'0 0 0 Z 0 0 Z 0 	D	14.893205	14.893205	14.893205	0.000000	14.893205	14.893205	0.000000	14.893205	0.999434	0.000414	0.000152	0.000000	
70000	-20.038455	66	1	2	'0 0 Z 0 0 Z 0 0 	D	18.603944	18.603944	0.000000	18.603944	18.603944	0.000000	18.603944	18.603944	0.999955	0.000000	0.000041	0.000004	
