Options:
Model:                           MultiState
Tree File Name:                  data/bantu.bttrees
Data File Name:                  data/bantu.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/05-Sep-13_05.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2415039215
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/05-Sep-13_05.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     42
Base frequency (PI's):           None
Character Symbols:               1,2,4,5,6,7,8
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q18                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q25                          RJ MCMC
    q26                          RJ MCMC
    q27                          RJ MCMC
    q28                          RJ MCMC
    q41                          RJ MCMC
    q42                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q48                          RJ MCMC
    q51                          RJ MCMC
    q52                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q58                          RJ MCMC
    q61                          RJ MCMC
    q62                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q68                          RJ MCMC
    q71                          RJ MCMC
    q72                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
    q78                          RJ MCMC
    q81                          RJ MCMC
    q82                          RJ MCMC
    q84                          RJ MCMC
    q85                          RJ MCMC
    q86                          RJ MCMC
    q87                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     7
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q12	q14	q15	q16	q17	q18	q21	q24	q25	q26	q27	q28	q41	q42	q45	q46	q47	q48	q51	q52	q54	q56	q57	q58	q61	q62	q64	q65	q67	q68	q71	q72	q74	q75	q76	q78	q81	q82	q84	q85	q86	q87	Root P(1)	Root P(2)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	Root P(8)	
11000	-82.914975	832	2	11	'0 1 Z Z Z 1 1 1 0 0 1 0 1 1 1 1 1 Z Z 1 1 1 Z 1 Z Z 1 0 1 1 0 1 Z Z Z 0 1 1 1 1 0 0 	14.393626	1.048414	0.000000	0.000000	0.000000	1.048414	1.048414	1.048414	14.393626	14.393626	1.048414	14.393626	1.048414	1.048414	1.048414	1.048414	1.048414	0.000000	0.000000	1.048414	1.048414	1.048414	0.000000	1.048414	0.000000	0.000000	1.048414	14.393626	1.048414	1.048414	14.393626	1.048414	0.000000	0.000000	0.000000	14.393626	1.048414	1.048414	1.048414	1.048414	14.393626	14.393626	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
12000	-82.319916	452	2	8	'0 1 Z Z Z 1 1 1 0 0 1 0 1 1 1 1 1 1 Z 1 1 1 1 1 1 Z 1 0 1 1 0 1 1 Z Z 0 1 1 1 Z 0 0 	28.842101	1.220894	0.000000	0.000000	0.000000	1.220894	1.220894	1.220894	28.842101	28.842101	1.220894	28.842101	1.220894	1.220894	1.220894	1.220894	1.220894	1.220894	0.000000	1.220894	1.220894	1.220894	1.220894	1.220894	1.220894	0.000000	1.220894	28.842101	1.220894	1.220894	28.842101	1.220894	1.220894	0.000000	0.000000	28.842101	1.220894	1.220894	1.220894	0.000000	28.842101	28.842101	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
13000	-84.127067	709	2	12	'0 1 Z Z Z 1 1 1 0 0 1 Z 1 1 Z 1 Z 1 Z 1 1 1 1 Z 1 Z 1 0 1 Z Z 1 1 0 1 0 Z 1 1 1 0 0 	18.873567	1.811701	0.000000	0.000000	0.000000	1.811701	1.811701	1.811701	18.873567	18.873567	1.811701	0.000000	1.811701	1.811701	0.000000	1.811701	0.000000	1.811701	0.000000	1.811701	1.811701	1.811701	1.811701	0.000000	1.811701	0.000000	1.811701	18.873567	1.811701	0.000000	0.000000	1.811701	1.811701	18.873567	1.811701	18.873567	0.000000	1.811701	1.811701	1.811701	18.873567	18.873567	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
14000	-85.202066	30	2	8	'1 1 Z 0 1 1 1 1 0 0 1 1 1 1 0 1 Z 1 Z 1 1 1 Z Z 1 0 1 0 Z Z 1 1 1 0 1 1 Z 1 1 1 0 0 	1.996296	1.996296	0.000000	9.824115	1.996296	1.996296	1.996296	1.996296	9.824115	9.824115	1.996296	1.996296	1.996296	1.996296	9.824115	1.996296	0.000000	1.996296	0.000000	1.996296	1.996296	1.996296	0.000000	0.000000	1.996296	9.824115	1.996296	9.824115	0.000000	0.000000	1.996296	1.996296	1.996296	9.824115	1.996296	1.996296	0.000000	1.996296	1.996296	1.996296	9.824115	9.824115	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
15000	-84.324237	970	2	7	'1 1 Z 0 1 Z 0 1 0 0 1 1 1 1 0 Z Z 1 Z 1 1 1 1 Z 1 0 1 0 1 Z 1 1 1 0 1 1 1 1 1 1 0 1 	0.475765	0.475765	0.000000	5.198504	0.475765	0.000000	5.198504	0.475765	5.198504	5.198504	0.475765	0.475765	0.475765	0.475765	5.198504	0.000000	0.000000	0.475765	0.000000	0.475765	0.475765	0.475765	0.475765	0.000000	0.475765	5.198504	0.475765	5.198504	0.475765	0.000000	0.475765	0.475765	0.475765	5.198504	0.475765	0.475765	0.475765	0.475765	0.475765	0.475765	5.198504	0.475765	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
16000	-87.358140	340	2	9	'1 1 Z 0 1 Z 0 1 0 0 Z 1 1 Z 0 0 Z 1 Z 1 1 1 1 Z 1 0 1 0 Z 1 1 1 1 0 1 1 1 1 1 1 Z 1 	1.511277	1.511277	0.000000	13.945995	1.511277	0.000000	13.945995	1.511277	13.945995	13.945995	0.000000	1.511277	1.511277	0.000000	13.945995	13.945995	0.000000	1.511277	0.000000	1.511277	1.511277	1.511277	1.511277	0.000000	1.511277	13.945995	1.511277	13.945995	0.000000	1.511277	1.511277	1.511277	1.511277	13.945995	1.511277	1.511277	1.511277	1.511277	1.511277	1.511277	0.000000	1.511277	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
17000	-84.921119	88	2	15	'1 1 1 0 1 Z 0 1 0 0 Z Z Z Z 0 1 1 1 Z Z 1 1 1 Z Z 0 1 0 Z Z 1 1 1 0 Z Z 1 1 1 1 Z Z 	3.014027	3.014027	3.014027	12.527237	3.014027	0.000000	12.527237	3.014027	12.527237	12.527237	0.000000	0.000000	0.000000	0.000000	12.527237	3.014027	3.014027	3.014027	0.000000	0.000000	3.014027	3.014027	3.014027	0.000000	0.000000	12.527237	3.014027	12.527237	0.000000	0.000000	3.014027	3.014027	3.014027	12.527237	0.000000	0.000000	3.014027	3.014027	3.014027	3.014027	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
18000	-84.114969	548	2	7	'1 1 1 0 1 Z 0 1 0 0 1 1 1 1 0 Z 1 1 Z Z 1 1 1 Z 1 0 1 0 Z 1 1 1 1 0 1 1 1 1 1 1 Z 0 	1.361726	1.361726	1.361726	8.463532	1.361726	0.000000	8.463532	1.361726	8.463532	8.463532	1.361726	1.361726	1.361726	1.361726	8.463532	0.000000	1.361726	1.361726	0.000000	0.000000	1.361726	1.361726	1.361726	0.000000	1.361726	8.463532	1.361726	8.463532	0.000000	1.361726	1.361726	1.361726	1.361726	8.463532	1.361726	1.361726	1.361726	1.361726	1.361726	1.361726	0.000000	8.463532	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
19000	-83.867744	522	2	11	'1 1 1 0 1 Z 0 1 0 0 1 Z 1 Z 0 1 Z 1 Z Z 1 1 1 Z 1 Z 1 0 Z 1 1 1 1 0 Z 1 1 1 1 1 1 Z 	1.314251	1.314251	1.314251	9.315810	1.314251	0.000000	9.315810	1.314251	9.315810	9.315810	1.314251	0.000000	1.314251	0.000000	9.315810	1.314251	0.000000	1.314251	0.000000	0.000000	1.314251	1.314251	1.314251	0.000000	1.314251	0.000000	1.314251	9.315810	0.000000	1.314251	1.314251	1.314251	1.314251	9.315810	0.000000	1.314251	1.314251	1.314251	1.314251	1.314251	1.314251	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
20000	-81.458310	454	2	14	'1 Z Z 0 Z Z 0 1 0 Z 0 0 1 Z 0 1 Z Z Z Z 1 1 1 Z 1 1 1 0 1 Z 1 1 1 0 0 1 1 1 1 Z 1 Z 	1.938402	0.000000	0.000000	11.756288	0.000000	0.000000	11.756288	1.938402	11.756288	0.000000	11.756288	11.756288	1.938402	0.000000	11.756288	1.938402	0.000000	0.000000	0.000000	0.000000	1.938402	1.938402	1.938402	0.000000	1.938402	1.938402	1.938402	11.756288	1.938402	0.000000	1.938402	1.938402	1.938402	11.756288	11.756288	1.938402	1.938402	1.938402	1.938402	0.000000	1.938402	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
21000	-82.539742	553	2	9	'1 Z Z 0 1 Z 0 1 0 1 0 0 1 1 0 1 1 Z Z Z 1 1 1 Z 1 1 1 0 1 Z 1 1 1 0 0 1 Z 1 1 1 1 1 	0.850541	0.000000	0.000000	6.129999	0.850541	0.000000	6.129999	0.850541	6.129999	0.850541	6.129999	6.129999	0.850541	0.850541	6.129999	0.850541	0.850541	0.000000	0.000000	0.000000	0.850541	0.850541	0.850541	0.000000	0.850541	0.850541	0.850541	6.129999	0.850541	0.000000	0.850541	0.850541	0.850541	6.129999	6.129999	0.850541	0.000000	0.850541	0.850541	0.850541	0.850541	0.850541	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
22000	-85.452898	264	2	16	'1 1 1 Z 1 1 0 Z 0 Z Z 0 1 1 0 1 1 Z Z Z 1 1 Z Z Z Z 0 0 0 1 1 Z Z Z 0 1 1 1 1 Z Z 1 	3.075654	3.075654	3.075654	0.000000	3.075654	3.075654	21.609685	0.000000	21.609685	0.000000	0.000000	21.609685	3.075654	3.075654	21.609685	3.075654	3.075654	0.000000	0.000000	0.000000	3.075654	3.075654	0.000000	0.000000	0.000000	0.000000	21.609685	21.609685	21.609685	3.075654	3.075654	0.000000	0.000000	0.000000	21.609685	3.075654	3.075654	3.075654	3.075654	0.000000	0.000000	3.075654	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
23000	-82.455011	480	2	16	'Z 1 1 1 0 Z 0 1 Z 1 0 1 1 Z 0 1 1 Z Z Z 1 1 Z Z Z Z 0 0 0 Z 1 1 Z 0 0 1 Z 1 Z 1 1 Z 	0.000000	3.388567	3.388567	3.388567	10.611920	0.000000	10.611920	3.388567	0.000000	3.388567	10.611920	3.388567	3.388567	0.000000	10.611920	3.388567	3.388567	0.000000	0.000000	0.000000	3.388567	3.388567	0.000000	0.000000	0.000000	0.000000	10.611920	10.611920	10.611920	0.000000	3.388567	3.388567	0.000000	10.611920	10.611920	3.388567	0.000000	3.388567	0.000000	3.388567	3.388567	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
24000	-85.518600	580	2	9	'1 1 1 1 0 1 0 1 0 1 0 1 1 Z 0 1 1 Z Z Z 1 1 1 Z 1 1 Z 0 Z 1 1 1 1 0 0 1 Z 1 Z 1 1 0 	11.186847	11.186847	11.186847	11.186847	42.565218	11.186847	42.565218	11.186847	42.565218	11.186847	42.565218	11.186847	11.186847	0.000000	42.565218	11.186847	11.186847	0.000000	0.000000	0.000000	11.186847	11.186847	11.186847	0.000000	11.186847	11.186847	0.000000	42.565218	0.000000	11.186847	11.186847	11.186847	11.186847	42.565218	42.565218	11.186847	0.000000	11.186847	0.000000	11.186847	11.186847	42.565218	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
25000	-84.237466	789	2	13	'0 1 1 Z 0 1 0 1 0 1 Z Z Z Z 0 1 Z Z Z Z 1 1 1 Z 1 1 1 0 1 1 1 1 1 0 0 1 Z 1 Z Z 1 0 	3.546141	0.859064	0.859064	0.000000	3.546141	0.859064	3.546141	0.859064	3.546141	0.859064	0.000000	0.000000	0.000000	0.000000	3.546141	0.859064	0.000000	0.000000	0.000000	0.000000	0.859064	0.859064	0.859064	0.000000	0.859064	0.859064	0.859064	3.546141	0.859064	0.859064	0.859064	0.859064	0.859064	3.546141	3.546141	0.859064	0.000000	0.859064	0.000000	0.000000	0.859064	3.546141	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
26000	-85.853949	713	2	13	'0 1 1 1 0 Z 0 1 0 1 Z Z 0 Z 0 1 Z Z Z Z 1 1 1 Z 1 1 1 0 1 1 1 1 Z 0 0 1 Z 1 Z 1 1 Z 	17.124291	2.558255	2.558255	2.558255	17.124291	0.000000	17.124291	2.558255	17.124291	2.558255	0.000000	0.000000	17.124291	0.000000	17.124291	2.558255	0.000000	0.000000	0.000000	0.000000	2.558255	2.558255	2.558255	0.000000	2.558255	2.558255	2.558255	17.124291	2.558255	2.558255	2.558255	2.558255	0.000000	17.124291	17.124291	2.558255	0.000000	2.558255	0.000000	2.558255	2.558255	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
27000	-85.131664	553	2	13	'Z Z 0 1 Z Z 0 1 0 1 1 Z Z 0 0 Z 1 1 Z Z 1 1 1 Z 1 1 1 0 1 1 Z 1 0 0 0 1 1 1 Z 1 1 Z 	0.000000	0.000000	20.278114	4.736859	0.000000	0.000000	20.278114	4.736859	20.278114	4.736859	4.736859	0.000000	0.000000	20.278114	20.278114	0.000000	4.736859	4.736859	0.000000	0.000000	4.736859	4.736859	4.736859	0.000000	4.736859	4.736859	4.736859	20.278114	4.736859	4.736859	0.000000	4.736859	20.278114	20.278114	20.278114	4.736859	4.736859	4.736859	0.000000	4.736859	4.736859	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
28000	-83.660866	202	2	15	'1 1 Z 1 1 Z 0 1 0 1 1 Z 1 0 0 Z 1 1 Z Z 1 1 1 Z Z Z 1 0 1 Z Z 1 0 Z 0 Z Z Z 1 1 1 1 	2.491391	2.491391	0.000000	2.491391	2.491391	0.000000	23.287860	2.491391	23.287860	2.491391	2.491391	0.000000	2.491391	23.287860	23.287860	0.000000	2.491391	2.491391	0.000000	0.000000	2.491391	2.491391	2.491391	0.000000	0.000000	0.000000	2.491391	23.287860	2.491391	0.000000	0.000000	2.491391	23.287860	0.000000	23.287860	0.000000	0.000000	0.000000	2.491391	2.491391	2.491391	2.491391	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
