Options:
Model:                           MultiState
Tree File Name:                  data/bantu.bttrees
Data File Name:                  data/bantu.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/09-Aug-15_42.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3885408078
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/09-Aug-15_42.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     42
Base frequency (PI's):           None
Character Symbols:               1,2,4,5,6,7,8
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q18                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q25                          RJ MCMC
    q26                          RJ MCMC
    q27                          RJ MCMC
    q28                          RJ MCMC
    q41                          RJ MCMC
    q42                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q48                          RJ MCMC
    q51                          RJ MCMC
    q52                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q58                          RJ MCMC
    q61                          RJ MCMC
    q62                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q68                          RJ MCMC
    q71                          RJ MCMC
    q72                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
    q78                          RJ MCMC
    q81                          RJ MCMC
    q82                          RJ MCMC
    q84                          RJ MCMC
    q85                          RJ MCMC
    q86                          RJ MCMC
    q87                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     7
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q12	q14	q15	q16	q17	q18	q21	q24	q25	q26	q27	q28	q41	q42	q45	q46	q47	q48	q51	q52	q54	q56	q57	q58	q61	q62	q64	q65	q67	q68	q71	q72	q74	q75	q76	q78	q81	q82	q84	q85	q86	q87	Root P(1)	Root P(2)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	Root P(8)	
11000	-81.561050	879	2	16	'Z Z Z 0 0 1 1 Z 0 Z 1 1 0 Z 0 0 0 Z Z 0 0 0 Z 0 Z 0 Z 0 Z 0 0 0 Z 1 Z 1 1 1 Z Z 1 1 	0.000000	0.000000	0.000000	0.006517	0.006517	0.534979	0.534979	0.000000	0.006517	0.000000	0.534979	0.534979	0.006517	0.000000	0.006517	0.006517	0.006517	0.000000	0.000000	0.006517	0.006517	0.006517	0.000000	0.006517	0.000000	0.006517	0.000000	0.006517	0.000000	0.006517	0.006517	0.006517	0.000000	0.534979	0.000000	0.534979	0.534979	0.534979	0.000000	0.000000	0.534979	0.534979	0.087932	0.105785	0.322937	0.212116	0.037924	0.144075	0.089231	
12000	-80.944133	303	2	13	'Z 0 Z 0 Z 1 1 1 Z Z 1 1 0 Z Z 0 0 Z 0 0 0 0 0 0 Z 0 Z 0 Z 1 0 0 0 1 1 1 Z 1 0 Z 1 1 	0.000000	0.002092	0.000000	0.002092	0.000000	0.184658	0.184658	0.184658	0.000000	0.000000	0.184658	0.184658	0.002092	0.000000	0.000000	0.002092	0.002092	0.000000	0.002092	0.002092	0.002092	0.002092	0.002092	0.002092	0.000000	0.002092	0.000000	0.002092	0.000000	0.184658	0.002092	0.002092	0.002092	0.184658	0.184658	0.184658	0.000000	0.184658	0.002092	0.000000	0.184658	0.184658	0.186899	0.175794	0.058142	0.077098	0.184888	0.143374	0.173804	
13000	-79.933869	659	2	10	'0 1 0 0 0 0 1 1 0 Z 1 1 Z 0 Z 0 0 Z 0 Z Z 0 0 0 Z 0 0 0 0 1 0 Z 0 1 1 1 Z 1 0 Z 1 1 	0.006454	0.279897	0.006454	0.006454	0.006454	0.006454	0.279897	0.279897	0.006454	0.000000	0.279897	0.279897	0.000000	0.006454	0.000000	0.006454	0.006454	0.000000	0.006454	0.000000	0.000000	0.006454	0.006454	0.006454	0.000000	0.006454	0.006454	0.006454	0.006454	0.279897	0.006454	0.000000	0.006454	0.279897	0.279897	0.279897	0.000000	0.279897	0.006454	0.000000	0.279897	0.279897	0.089840	0.131280	0.083924	0.207140	0.156064	0.176236	0.155518	
14000	-82.751386	2	2	6	'0 1 0 0 0 0 0 0 0 Z 1 1 1 0 0 0 0 Z 0 Z Z 0 0 0 Z 0 0 0 0 1 0 Z 0 1 1 1 0 1 0 1 1 1 	1.114209	35.490418	1.114209	1.114209	1.114209	1.114209	1.114209	1.114209	1.114209	0.000000	35.490418	35.490418	35.490418	1.114209	1.114209	1.114209	1.114209	0.000000	1.114209	0.000000	0.000000	1.114209	1.114209	1.114209	0.000000	1.114209	1.114209	1.114209	1.114209	35.490418	1.114209	0.000000	1.114209	35.490418	35.490418	35.490418	1.114209	35.490418	1.114209	35.490418	35.490418	35.490418	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
15000	-83.632379	803	2	12	'0 1 0 0 0 0 Z 0 0 1 Z 1 1 0 0 Z 0 Z 0 Z Z Z 0 0 Z Z 0 Z 0 1 Z 0 0 1 1 1 0 1 Z 1 1 1 	1.390658	23.525825	1.390658	1.390658	1.390658	1.390658	0.000000	1.390658	1.390658	23.525825	0.000000	23.525825	23.525825	1.390658	1.390658	0.000000	1.390658	0.000000	1.390658	0.000000	0.000000	0.000000	1.390658	1.390658	0.000000	0.000000	1.390658	0.000000	1.390658	23.525825	0.000000	1.390658	1.390658	23.525825	23.525825	23.525825	1.390658	23.525825	0.000000	23.525825	23.525825	23.525825	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
16000	-82.702428	191	2	15	'0 1 0 Z 0 Z Z 0 Z 1 1 1 0 0 0 Z 0 Z 0 Z Z 0 0 Z Z Z 0 1 0 1 Z 0 Z 1 1 Z 0 0 Z 1 1 1 	2.995758	32.678941	2.995758	0.000000	2.995758	0.000000	0.000000	2.995758	0.000000	32.678941	32.678941	32.678941	2.995758	2.995758	2.995758	0.000000	2.995758	0.000000	2.995758	0.000000	0.000000	2.995758	2.995758	0.000000	0.000000	0.000000	2.995758	32.678941	2.995758	32.678941	0.000000	2.995758	0.000000	32.678941	32.678941	0.000000	2.995758	2.995758	0.000000	32.678941	32.678941	32.678941	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
17000	-83.228269	358	2	16	'0 1 1 1 0 0 Z 0 Z 1 1 1 0 0 0 Z Z Z 0 Z Z Z 0 Z Z Z 0 1 Z 0 Z 0 0 1 1 Z Z 0 Z 1 1 1 	6.235460	20.730375	20.730375	20.730375	6.235460	6.235460	0.000000	6.235460	0.000000	20.730375	20.730375	20.730375	6.235460	6.235460	6.235460	0.000000	0.000000	0.000000	6.235460	0.000000	0.000000	0.000000	6.235460	0.000000	0.000000	0.000000	6.235460	20.730375	0.000000	6.235460	0.000000	6.235460	6.235460	20.730375	20.730375	0.000000	0.000000	6.235460	0.000000	20.730375	20.730375	20.730375	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
18000	-81.717549	411	2	17	'Z 1 1 1 0 0 1 0 1 1 1 1 Z 0 0 Z Z Z 0 Z Z Z 0 Z Z Z Z 1 Z 0 Z 0 Z 1 1 Z 1 0 1 1 1 Z 	0.000000	36.431327	36.431327	36.431327	7.365693	7.365693	36.431327	7.365693	36.431327	36.431327	36.431327	36.431327	0.000000	7.365693	7.365693	0.000000	0.000000	0.000000	7.365693	0.000000	0.000000	0.000000	7.365693	0.000000	0.000000	0.000000	0.000000	36.431327	0.000000	7.365693	0.000000	7.365693	0.000000	36.431327	36.431327	0.000000	36.431327	7.365693	36.431327	36.431327	36.431327	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
19000	-83.861647	164	2	19	'Z 1 Z 1 Z 0 1 0 Z 1 1 1 Z 0 Z Z Z 1 0 Z Z Z 0 Z Z Z 0 1 1 Z Z 0 Z 1 1 Z 1 0 1 1 1 Z 	0.000000	26.926583	0.000000	26.926583	0.000000	3.722067	26.926583	3.722067	0.000000	26.926583	26.926583	26.926583	0.000000	3.722067	0.000000	0.000000	0.000000	26.926583	3.722067	0.000000	0.000000	0.000000	3.722067	0.000000	0.000000	0.000000	3.722067	26.926583	26.926583	0.000000	0.000000	3.722067	0.000000	26.926583	26.926583	0.000000	26.926583	3.722067	26.926583	26.926583	26.926583	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
20000	-83.287257	180	2	23	'0 1 Z 1 0 Z Z Z Z Z 1 1 Z Z Z Z Z 1 0 Z Z 0 Z Z 0 0 Z 1 1 Z Z 0 Z 1 1 Z Z Z 1 1 Z 0 	1.540247	12.743098	0.000000	12.743098	1.540247	0.000000	0.000000	0.000000	0.000000	0.000000	12.743098	12.743098	0.000000	0.000000	0.000000	0.000000	0.000000	12.743098	1.540247	0.000000	0.000000	1.540247	0.000000	0.000000	1.540247	1.540247	0.000000	12.743098	12.743098	0.000000	0.000000	1.540247	0.000000	12.743098	12.743098	0.000000	0.000000	0.000000	12.743098	12.743098	0.000000	1.540247	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
