Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/bantu.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/bantu.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/15-Aug-07_31.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1215141167
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/15-Aug-07_31.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     42
Base frequency (PI's):           None
Character Symbols:               1,2,4,5,6,7,8
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q18                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q25                          RJ MCMC
    q26                          RJ MCMC
    q27                          RJ MCMC
    q28                          RJ MCMC
    q41                          RJ MCMC
    q42                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q48                          RJ MCMC
    q51                          RJ MCMC
    q52                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q58                          RJ MCMC
    q61                          RJ MCMC
    q62                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q68                          RJ MCMC
    q71                          RJ MCMC
    q72                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
    q78                          RJ MCMC
    q81                          RJ MCMC
    q82                          RJ MCMC
    q84                          RJ MCMC
    q85                          RJ MCMC
    q86                          RJ MCMC
    q87                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     7
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q12	q14	q15	q16	q17	q18	q21	q24	q25	q26	q27	q28	q41	q42	q45	q46	q47	q48	q51	q52	q54	q56	q57	q58	q61	q62	q64	q65	q67	q68	q71	q72	q74	q75	q76	q78	q81	q82	q84	q85	q86	q87	Root P(1)	Root P(2)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	Root P(8)	
11000	-85.425772	493	2	17	'0 1 0 Z Z 0 0 0 0 Z Z 1 Z 0 Z 0 0 1 0 Z Z Z Z Z 0 Z 0 0 1 Z Z 0 0 Z 1 Z 1 1 1 1 Z 1 	0.133541	3.060650	0.133541	0.000000	0.000000	0.133541	0.133541	0.133541	0.133541	0.000000	0.000000	3.060650	0.000000	0.133541	0.000000	0.133541	0.133541	3.060650	0.133541	0.000000	0.000000	0.000000	0.000000	0.000000	0.133541	0.000000	0.133541	0.133541	3.060650	0.000000	0.000000	0.133541	0.133541	0.000000	3.060650	0.000000	3.060650	3.060650	3.060650	3.060650	0.000000	3.060650	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
12000	-82.527035	661	2	16	'0 1 0 0 1 Z 0 0 Z 0 0 1 0 0 Z 0 0 Z 0 Z Z Z Z Z Z 0 0 0 Z Z Z 0 Z 0 1 0 1 Z 1 1 Z 1 	0.047824	0.657904	0.047824	0.047824	0.657904	0.000000	0.047824	0.047824	0.000000	0.047824	0.047824	0.657904	0.047824	0.047824	0.000000	0.047824	0.047824	0.000000	0.047824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047824	0.047824	0.047824	0.000000	0.000000	0.000000	0.047824	0.000000	0.047824	0.657904	0.047824	0.657904	0.000000	0.657904	0.657904	0.000000	0.657904	0.142139	0.142670	0.141514	0.145534	0.142556	0.142651	0.142936	
13000	-78.834190	989	2	22	'Z 1 0 0 1 0 Z 0 Z Z 0 1 0 0 Z Z Z Z 0 Z Z Z Z Z Z 0 Z 0 Z 0 Z 0 Z 0 1 Z 1 Z Z 1 Z 1 	0.000000	0.144928	0.009488	0.009488	0.144928	0.009488	0.000000	0.009488	0.000000	0.000000	0.009488	0.144928	0.009488	0.009488	0.000000	0.000000	0.000000	0.000000	0.009488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009488	0.000000	0.009488	0.000000	0.009488	0.000000	0.009488	0.000000	0.009488	0.144928	0.000000	0.144928	0.000000	0.000000	0.144928	0.000000	0.144928	0.173268	0.153920	0.160128	0.133523	0.117601	0.115137	0.146423	
14000	-76.552398	663	2	16	'Z 1 0 0 1 Z 0 0 0 Z 0 1 0 0 Z Z Z Z 0 Z Z Z Z Z 0 0 Z 0 Z 0 0 0 Z 0 1 0 1 1 0 1 Z 1 	0.000000	0.298692	0.022475	0.022475	0.298692	0.000000	0.022475	0.022475	0.022475	0.000000	0.022475	0.298692	0.022475	0.022475	0.000000	0.000000	0.000000	0.000000	0.022475	0.000000	0.000000	0.000000	0.000000	0.000000	0.022475	0.022475	0.000000	0.022475	0.000000	0.022475	0.022475	0.022475	0.000000	0.022475	0.298692	0.022475	0.298692	0.298692	0.022475	0.298692	0.000000	0.298692	0.134750	0.146885	0.116549	0.162952	0.145293	0.145293	0.148278	
15000	-77.623341	377	2	19	'0 1 0 Z Z Z 0 0 0 Z 0 1 Z 0 Z Z Z 0 0 Z Z Z 0 Z 0 0 0 0 Z Z Z Z Z 0 1 0 1 1 0 Z Z 0 	0.014254	0.474066	0.014254	0.000000	0.000000	0.000000	0.014254	0.014254	0.014254	0.000000	0.014254	0.474066	0.000000	0.014254	0.000000	0.000000	0.000000	0.014254	0.014254	0.000000	0.000000	0.000000	0.014254	0.000000	0.014254	0.014254	0.014254	0.014254	0.000000	0.000000	0.000000	0.000000	0.000000	0.014254	0.474066	0.014254	0.474066	0.474066	0.014254	0.000000	0.000000	0.014254	0.046034	0.078350	0.030971	0.426036	0.174453	0.180761	0.063396	
16000	-90.387075	353	1	16	'0 0 0 0 Z 0 Z 0 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 0 Z 0 Z Z 0 0 Z 0 0 0 0 0 Z 0 0 Z 	7.590544	7.590544	7.590544	7.590544	0.000000	7.590544	0.000000	7.590544	7.590544	7.590544	7.590544	7.590544	7.590544	7.590544	7.590544	0.000000	0.000000	0.000000	7.590544	0.000000	0.000000	0.000000	0.000000	0.000000	7.590544	7.590544	0.000000	7.590544	0.000000	0.000000	7.590544	7.590544	0.000000	7.590544	7.590544	7.590544	7.590544	7.590544	0.000000	7.590544	7.590544	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
17000	-86.862177	591	1	21	'0 0 0 0 0 Z 0 0 0 0 Z Z 0 Z 0 Z Z Z 0 Z Z Z Z Z Z 0 Z 0 Z Z 0 0 Z 0 Z 0 0 0 Z 0 Z Z 	3.043637	3.043637	3.043637	3.043637	3.043637	0.000000	3.043637	3.043637	3.043637	3.043637	0.000000	0.000000	3.043637	0.000000	3.043637	0.000000	0.000000	0.000000	3.043637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.043637	0.000000	3.043637	0.000000	0.000000	3.043637	3.043637	0.000000	3.043637	0.000000	3.043637	3.043637	3.043637	0.000000	3.043637	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
18000	-84.218562	953	1	22	'Z 0 0 0 Z Z 0 0 0 0 0 0 0 Z 0 Z 0 Z 0 Z Z Z Z Z Z 0 Z 0 Z Z Z 0 0 0 Z 0 Z Z Z 0 Z Z 	0.000000	0.056932	0.056932	0.056932	0.000000	0.000000	0.056932	0.056932	0.056932	0.056932	0.056932	0.056932	0.056932	0.000000	0.056932	0.000000	0.056932	0.000000	0.056932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056932	0.000000	0.056932	0.000000	0.000000	0.000000	0.056932	0.056932	0.056932	0.000000	0.056932	0.000000	0.000000	0.000000	0.056932	0.000000	0.000000	0.144644	0.142302	0.144022	0.147491	0.143558	0.141420	0.136563	
19000	-82.193587	926	2	22	'1 1 1 1 Z Z 0 Z Z 0 1 1 1 Z 0 Z 0 Z 0 Z Z Z Z Z Z Z 0 0 Z Z 1 Z 0 1 Z Z Z 0 Z 1 Z 0 	53.508399	53.508399	53.508399	53.508399	0.000000	0.000000	14.540482	0.000000	0.000000	14.540482	53.508399	53.508399	53.508399	0.000000	14.540482	0.000000	14.540482	0.000000	14.540482	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14.540482	14.540482	0.000000	0.000000	53.508399	0.000000	14.540482	53.508399	0.000000	0.000000	0.000000	14.540482	0.000000	53.508399	0.000000	14.540482	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
20000	-88.775240	829	1	22	'0 0 0 0 Z Z Z Z Z 0 0 0 0 Z 0 Z 0 Z 0 Z Z Z Z Z Z Z 0 0 Z Z 0 0 0 0 Z Z Z 0 Z 0 Z 0 	2.092298	2.092298	2.092298	2.092298	0.000000	0.000000	0.000000	0.000000	0.000000	2.092298	2.092298	2.092298	2.092298	0.000000	2.092298	0.000000	2.092298	0.000000	2.092298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.092298	2.092298	0.000000	0.000000	2.092298	2.092298	2.092298	2.092298	0.000000	0.000000	0.000000	2.092298	0.000000	2.092298	0.000000	2.092298	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
