Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2390388050
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-15.667908	913	14.994776	1	5	'0 Z Z Z 0 0 Z Z 0 0 0 0 	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.004348	0.170251	0.665800	0.159600	
100000	-11.619576	119	2.502179	1	7	'Z Z Z 0 0 Z 0 0 0 Z Z Z 	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.200000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000048	0.999952	0.000000	
150000	-12.070316	455	2.347600	1	5	'Z Z Z 0 Z 0 0 0 0 0 0 Z 	0.000000	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	1.000000	0.000000	
200000	-12.165557	752	0.912295	1	6	'Z 0 Z Z Z Z 0 0 0 0 Z 0 	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000105	0.000000	0.999790	0.000105	
250000	-11.486866	501	1.834519	1	5	'Z 0 Z 0 0 0 0 0 0 Z Z Z 	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000439	0.000655	0.998907	0.000000	
300000	-12.424055	688	0.949210	1	6	'0 Z Z Z Z Z 0 0 0 0 Z 0 	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.998853	0.001147	
350000	-11.478365	585	3.964663	1	5	'0 Z 0 Z 0 0 0 0 0 Z Z Z 	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.000190	0.999810	0.000000	
400000	-12.472634	642	0.723032	1	8	'Z Z Z Z Z 0 0 0 0 Z Z Z 	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
450000	-11.825221	269	1.931260	1	5	'Z Z 0 Z 0 0 0 0 0 Z Z 0 	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.000215	0.997002	0.002783	
500000	-11.471342	624	1.211531	1	5	'0 0 Z Z 0 Z 0 0 0 Z Z 0 	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000183	0.000170	0.997866	0.001782	
550000	-15.164950	509	7.518394	1	4	'Z 0 Z 0 0 Z 0 0 0 0 0 Z 	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.010608	0.009801	0.976752	0.002840	
600000	-13.362272	847	4.910690	1	3	'0 0 Z Z 0 0 Z 0 0 0 0 0 	0.111111	0.111111	0.000000	0.000000	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.000130	0.000378	0.997596	0.001896	
650000	-11.580833	458	4.681411	1	5	'0 Z 0 0 Z 0 0 0 0 Z Z Z 	0.142857	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
700000	-10.842928	76	3.094299	1	3	'0 0 0 0 0 Z 0 0 0 Z Z 0 	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.004088	0.004061	0.987749	0.004103	
750000	-12.159225	74	2.932063	1	4	'0 Z 0 Z Z 0 0 0 0 0 0 Z 	0.125000	0.000000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	1.000000	0.000000	
800000	-14.899012	438	17.736155	1	4	'0 0 0 0 Z 0 Z 0 Z Z 0 0 	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.000000	0.000000	0.125000	0.125000	0.121655	0.007433	0.693837	0.177075	
850000	-13.185113	60	5.058799	1	6	'Z 0 Z 0 Z 0 0 0 0 Z Z Z 	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.005844	0.000057	0.994098	0.000000	
900000	-12.002584	907	2.603337	1	5	'0 Z Z Z Z 0 0 0 0 0 0 Z 	0.142857	0.000000	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	1.000000	0.000000	
950000	-15.405512	313	15.240164	1	4	'0 0 0 Z 0 0 Z 0 0 0 Z Z 	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.000000	0.085605	0.064217	0.847008	0.003170	
1000000	-14.671258	669	7.057233	1	5	'Z Z 0 0 Z 0 0 0 Z 0 0 Z 	0.000000	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	1.000000	0.000000	
1050000	-12.255665	44	1.642553	1	4	'Z Z Z 0 0 0 0 0 0 0 0 Z 	0.000000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000411	0.999587	0.000002	
1100000	-10.887733	427	3.207850	1	4	'0 Z Z 0 0 0 0 0 0 Z 0 Z 	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.000777	0.999222	0.000000	
1150000	-11.785601	496	4.119501	1	2	'0 0 0 0 0 0 0 0 0 0 Z Z 	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.000000	0.003948	0.001458	0.994572	0.000021	
1200000	-11.644133	610	3.345165	1	4	'0 Z 0 0 0 Z 0 0 0 0 Z Z 	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.000861	0.999139	0.000000	
1250000	-12.665339	845	12.444058	2	5	'1 Z 0 1 1 1 Z 1 Z Z Z 0 	0.190914	0.000000	0.022716	0.190914	0.190914	0.190914	0.000000	0.190914	0.000000	0.000000	0.000000	0.022716	0.007246	0.162476	0.819281	0.010997	
1300000	-13.095300	411	7.412849	1	2	'0 0 Z 0 0 0 Z 0 0 0 0 0 	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.004735	0.009177	0.936567	0.049521	
1350000	-12.266480	156	4.459910	1	3	'0 Z Z 0 0 0 0 0 0 0 Z 0 	0.111111	0.000000	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.000002	0.004149	0.975095	0.020754	
1400000	-14.358459	56	12.347506	1	7	'0 Z 0 0 Z 0 Z 0 Z Z Z Z 	0.200000	0.000000	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
