Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            241179813
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-16.048334	911	19.356365	1	4	'0 0 0 0 Z 0 Z Z Z 0 0 0 	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.000000	0.125000	0.125000	0.125000	0.432560	0.063852	0.000000	0.503588	
100000	-13.737680	992	2.731277	1	6	'0 0 0 Z 0 Z 0 0 Z Z Z Z 	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.083818	0.000738	0.915444	0.000000	
150000	-13.441261	628	2.157645	1	4	'0 0 Z 0 0 0 Z 0 0 Z Z 0 	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000882	0.002151	0.990520	0.006447	
200000	-11.169244	98	1.540848	1	4	'0 0 0 0 0 Z 0 0 0 Z Z Z 	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.002245	0.000207	0.997548	0.000000	
250000	-13.885376	123	9.643240	1	3	'Z 0 Z 0 0 0 Z 0 0 0 0 0 	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.017001	0.038903	0.850818	0.093277	
300000	-12.044102	233	2.063341	1	4	'0 Z Z 0 Z 0 0 0 0 0 0 Z 	0.125000	0.000000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	1.000000	0.000000	
350000	-13.354258	139	6.192842	1	6	'0 Z 0 0 Z 0 Z 0 Z 0 Z Z 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
400000	-12.189086	345	1.838666	1	3	'Z 0 Z 0 0 0 0 0 0 Z 0 0 	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000106	0.000373	0.993535	0.005986	
450000	-13.567920	668	8.147593	1	4	'0 0 0 0 Z Z 0 0 0 Z Z 0 	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.016307	0.000024	0.945196	0.038473	
500000	-11.084031	34	2.359243	1	4	'Z Z 0 0 0 0 0 0 0 0 Z Z 	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.001007	0.998993	0.000000	
550000	-11.224616	736	2.746619	1	4	'Z Z 0 0 0 0 0 0 0 0 Z Z 	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.001192	0.998808	0.000000	
600000	-14.108962	666	8.193879	1	2	'0 0 0 0 Z 0 0 0 0 Z 0 0 	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.028786	0.000386	0.929045	0.041783	
650000	-13.026397	520	8.027666	1	5	'Z 0 0 Z 0 0 0 0 Z Z Z 0 	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.102860	0.028569	0.805565	0.063006	
700000	-13.087830	167	8.786700	1	3	'0 0 0 0 0 0 0 0 Z Z 0 Z 	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.000000	0.108126	0.081671	0.808090	0.002113	
750000	-13.885398	677	15.758532	1	6	'0 0 0 0 0 Z Z Z Z 0 Z Z 	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.338325	0.658253	0.000000	0.003422	
800000	-12.648657	386	8.446750	1	5	'0 Z 0 0 0 0 Z 0 Z Z 0 Z 	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.142857	0.000000	0.002764	0.171832	0.819217	0.006187	
850000	-15.874317	417	4.929377	1	5	'0 Z Z 0 0 0 Z Z 0 Z 0 0 	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.000079	0.059282	0.826051	0.114587	
900000	-15.583094	20	15.160252	1	3	'Z 0 Z 0 0 0 Z 0 0 0 0 0 	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.012461	0.039001	0.889480	0.059059	
