Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2804047187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
21000	-82.180494	806	1.392237	1.661606	11.145037	6.325110	0.256313	0.128156	0.117245	0.498286	0.004129	0.002125	0.184924	0.808822	0.002316	0.001188	0.185915	0.810582	0.014659	0.007438	0.184064	0.793839	0.087403	0.043883	0.164915	0.703798	0.210642	0.105310	0.130306	0.553743	
22000	-80.787882	586	2.198248	2.125464	2.887491	2.512353	0.239842	0.121204	0.120660	0.518294	0.001257	0.007056	0.020354	0.971334	0.002079	0.008720	0.026991	0.962210	0.004582	0.015070	0.033860	0.946488	0.057269	0.063409	0.084458	0.794863	0.179233	0.108455	0.115948	0.596364	
23000	-86.555263	25	22.869181	17.326581	12.324325	5.413510	0.242432	0.121210	0.121216	0.515142	0.242096	0.121291	0.121063	0.515551	0.242349	0.121228	0.121180	0.515243	0.243117	0.121013	0.121560	0.514310	0.243188	0.120994	0.121594	0.514224	0.242732	0.121124	0.121366	0.514778	
24000	-81.320376	625	0.618197	1.966417	1.463811	2.601755	0.172147	0.097683	0.125389	0.604781	0.000000	0.000052	0.001098	0.998850	0.000014	0.000294	0.005720	0.993971	0.001116	0.006530	0.019561	0.972793	0.006827	0.018111	0.041405	0.933656	0.058015	0.057676	0.093574	0.790736	
25000	-81.771731	474	3.332008	2.883958	11.416864	6.776654	0.236232	0.118116	0.122981	0.522671	0.032285	0.016954	0.174017	0.776745	0.026767	0.013931	0.176871	0.782431	0.080729	0.040901	0.165529	0.712841	0.143125	0.071919	0.148914	0.636042	0.205258	0.102689	0.131757	0.560295	
26000	-83.404744	922	1.510537	1.608851	4.538864	3.884064	0.254445	0.129013	0.116114	0.500428	0.000774	0.001401	0.060893	0.936933	0.001098	0.001763	0.068071	0.929068	0.005205	0.006809	0.081522	0.906463	0.055734	0.048440	0.106805	0.789021	0.189737	0.112282	0.115749	0.582231	
27000	-84.378076	213	4.183636	4.391853	6.447905	3.904749	0.234854	0.117405	0.123398	0.524343	0.051463	0.042606	0.112719	0.793211	0.057916	0.043639	0.121336	0.777110	0.070237	0.050200	0.124317	0.755245	0.120072	0.069337	0.137193	0.673399	0.199896	0.101528	0.131380	0.567195	
28000	-83.386115	480	3.673995	3.788494	5.970681	3.398574	0.233070	0.115864	0.124594	0.526473	0.026132	0.025108	0.103500	0.845260	0.048929	0.038251	0.119401	0.793419	0.055306	0.041632	0.122063	0.780999	0.106010	0.060777	0.141869	0.691344	0.198700	0.098836	0.134366	0.568098	
29000	-85.714884	53	3.223483	3.684163	10.780178	3.914448	0.225501	0.112590	0.126223	0.535685	0.046207	0.022041	0.184342	0.747410	0.042039	0.020199	0.184452	0.753310	0.091265	0.044082	0.169353	0.695300	0.116742	0.056131	0.162600	0.664528	0.176319	0.086431	0.142693	0.594557	
30000	-83.559507	321	2.851709	2.757102	15.293948	10.441549	0.227836	0.113918	0.125380	0.532866	0.024657	0.012384	0.182758	0.780201	0.023121	0.011595	0.183422	0.781862	0.043820	0.021938	0.177765	0.756477	0.107953	0.054002	0.159566	0.678479	0.189737	0.094871	0.136262	0.579130	
31000	-84.067644	447	0.868643	1.760582	7.182255	3.672357	0.218486	0.109073	0.128246	0.544195	0.001162	0.000712	0.160904	0.837222	0.001703	0.001066	0.157799	0.839432	0.018851	0.010524	0.168941	0.801684	0.050010	0.025292	0.174510	0.750188	0.145930	0.071404	0.151706	0.630959	
32000	-81.477774	779	0.320736	1.420503	8.180710	4.225919	0.190358	0.095056	0.136254	0.578332	0.000150	0.000090	0.164086	0.835675	0.000229	0.000129	0.172408	0.827234	0.000944	0.000512	0.178019	0.820525	0.032311	0.016203	0.180806	0.770679	0.113854	0.056360	0.159339	0.670448	
33000	-79.989897	931	2.314881	2.626090	1.627861	2.267738	0.238434	0.118192	0.123406	0.519968	0.000029	0.002892	0.001194	0.995884	0.000126	0.004364	0.003372	0.992138	0.003323	0.021303	0.017579	0.957795	0.050465	0.073776	0.065227	0.810532	0.171008	0.109639	0.111533	0.607819	
34000	-83.392909	177	2.959750	2.513038	6.587356	4.402823	0.240847	0.120663	0.121422	0.517068	0.006698	0.007021	0.099519	0.886763	0.008396	0.007636	0.112708	0.871259	0.029936	0.022914	0.126184	0.820966	0.098178	0.060659	0.134550	0.706614	0.201454	0.105657	0.126949	0.565940	
35000	-86.571781	147	17.853469	10.260732	12.062686	8.987787	0.242422	0.121213	0.121211	0.515154	0.237931	0.122367	0.119091	0.520611	0.239763	0.121883	0.119970	0.518385	0.241579	0.121434	0.120809	0.516178	0.241868	0.121363	0.120942	0.515828	0.242340	0.121236	0.121170	0.515254	
36000	-82.083170	769	1.297983	1.552490	6.693148	3.699458	0.285502	0.142174	0.109372	0.462952	0.001256	0.000947	0.134670	0.863126	0.000771	0.000582	0.134543	0.864104	0.008958	0.006031	0.146519	0.838491	0.095201	0.051170	0.153289	0.700340	0.242822	0.119773	0.122751	0.514654	
37000	-85.665497	847	4.863365	2.890048	22.599918	9.348875	0.242682	0.121341	0.121138	0.514838	0.110572	0.055281	0.158897	0.675250	0.118000	0.058998	0.156766	0.666235	0.138323	0.069161	0.150956	0.641560	0.198758	0.099377	0.133690	0.568174	0.235498	0.117749	0.123191	0.523562	
38000	-86.470216	238	10.170225	6.102876	10.781037	9.824215	0.242419	0.121215	0.121208	0.515158	0.223467	0.118930	0.119051	0.538553	0.224941	0.117655	0.120715	0.536689	0.231320	0.118657	0.121270	0.528752	0.237685	0.120548	0.120837	0.520930	0.242191	0.121203	0.121171	0.515435	
39000	-83.921748	397	1.650070	1.680942	13.733553	10.836499	0.283170	0.141585	0.109570	0.465675	0.002628	0.001329	0.187917	0.808126	0.002724	0.001374	0.188322	0.807580	0.005695	0.002869	0.187684	0.803752	0.126100	0.063154	0.154223	0.656523	0.257171	0.128604	0.116982	0.497244	
40000	-82.731062	613	1.166418	2.037959	14.831495	11.364384	0.223808	0.111904	0.126531	0.537757	0.001282	0.000644	0.189270	0.808804	0.001282	0.000644	0.189270	0.808804	0.010721	0.005370	0.187125	0.796784	0.070932	0.035488	0.170122	0.723458	0.169452	0.084730	0.142056	0.603762	
41000	-83.515047	141	2.817389	1.836769	13.122702	9.137314	0.253567	0.126783	0.118028	0.501621	0.017128	0.008733	0.182630	0.791508	0.029614	0.014909	0.180990	0.774488	0.043940	0.022059	0.177321	0.756679	0.129856	0.065075	0.153066	0.652003	0.235462	0.117761	0.123171	0.523606	
42000	-85.410876	120	10.415658	4.949610	2.920022	3.749135	0.228589	0.125189	0.114272	0.531950	0.027094	0.180747	0.013728	0.778431	0.057068	0.170950	0.029173	0.742809	0.084164	0.164742	0.042584	0.708510	0.118116	0.157217	0.058850	0.665817	0.176901	0.140488	0.088074	0.594537	
43000	-87.763215	861	12.248209	9.058023	19.521034	6.867577	0.242424	0.121212	0.121212	0.515152	0.240598	0.120115	0.121920	0.517367	0.240979	0.120382	0.121733	0.516905	0.241337	0.120605	0.121587	0.516471	0.242058	0.120980	0.121366	0.515596	0.242381	0.121184	0.121231	0.515205	
44000	-82.833779	333	1.507157	3.277047	5.511414	3.923008	0.177475	0.090111	0.137781	0.594634	0.001237	0.001661	0.080349	0.916753	0.001638	0.002013	0.087023	0.909326	0.005349	0.005478	0.101927	0.887246	0.037110	0.025897	0.135172	0.801821	0.117198	0.063297	0.146583	0.672923	
45000	-85.181695	402	6.665392	3.411293	50.010674	29.662106	0.243131	0.121566	0.121010	0.514293	0.191344	0.095672	0.135806	0.577178	0.183686	0.091843	0.137994	0.586476	0.195492	0.097746	0.134621	0.572141	0.231617	0.115809	0.124300	0.528274	0.246274	0.123137	0.120112	0.510477	
46000	-83.376807	177	1.052154	2.443849	3.290336	3.972833	0.191789	0.102622	0.127175	0.578414	0.000013	0.000122	0.012027	0.987838	0.000093	0.000493	0.021671	0.977744	0.002403	0.006951	0.038715	0.951931	0.016362	0.025136	0.068180	0.890322	0.087056	0.068795	0.109387	0.734762	
47000	-85.077734	369	0.782502	1.324431	17.167711	14.306684	0.287331	0.143666	0.108382	0.460621	0.000380	0.000190	0.190189	0.809240	0.001051	0.000526	0.190103	0.808321	0.005795	0.002898	0.188796	0.802512	0.089376	0.044689	0.164935	0.701000	0.227389	0.113695	0.125508	0.533409	
48000	-84.772084	714	3.563170	3.806548	11.159157	5.579309	0.233094	0.116541	0.123884	0.526480	0.038318	0.019882	0.174070	0.767730	0.048946	0.025010	0.173312	0.752732	0.080171	0.040595	0.165768	0.713467	0.130990	0.065488	0.153065	0.650457	0.183378	0.091509	0.138336	0.586777	
49000	-83.115604	418	1.858429	2.522494	3.244974	4.041033	0.198762	0.110724	0.120402	0.570112	0.002002	0.006433	0.035024	0.956541	0.002935	0.007207	0.045252	0.944607	0.009374	0.016389	0.061426	0.912811	0.050681	0.052910	0.090786	0.805623	0.121453	0.089363	0.108791	0.680394	
50000	-83.310026	200	2.741312	2.496789	8.359859	5.216714	0.230277	0.115173	0.124646	0.529904	0.023481	0.014453	0.154373	0.807693	0.024819	0.013997	0.165902	0.795282	0.036969	0.020292	0.166399	0.776341	0.101825	0.053029	0.155739	0.689407	0.187373	0.094339	0.136050	0.582239	
51000	-80.922209	644	0.385918	2.009487	7.761608	3.976425	0.143666	0.071740	0.149603	0.634991	0.000031	0.000020	0.151752	0.848197	0.000302	0.000182	0.163403	0.836114	0.000375	0.000223	0.165176	0.834226	0.015985	0.008059	0.184644	0.791312	0.073481	0.036151	0.171826	0.718542	
52000	-83.230323	464	4.021282	3.202523	6.939347	3.164538	0.240783	0.119960	0.122118	0.517139	0.035581	0.024407	0.137618	0.802395	0.056944	0.035243	0.145002	0.762811	0.075438	0.044897	0.145188	0.734476	0.152392	0.073119	0.152507	0.621982	0.222556	0.105547	0.133548	0.538349	
53000	-83.921570	327	0.432315	2.893060	9.366829	5.583369	0.116342	0.058173	0.157232	0.668253	0.000117	0.000067	0.170423	0.829393	0.000147	0.000081	0.175249	0.824523	0.001304	0.000692	0.181210	0.816794	0.012518	0.006402	0.183487	0.797594	0.048262	0.024186	0.176354	0.751197	
54000	-85.130794	574	9.577098	4.098504	12.649555	7.815215	0.242550	0.121275	0.121176	0.514999	0.246729	0.126068	0.117385	0.509818	0.240537	0.122044	0.119979	0.517439	0.241153	0.121684	0.120469	0.516695	0.249101	0.124975	0.118895	0.507028	0.245153	0.122601	0.120408	0.511838	
55000	-82.692576	817	2.459661	1.861984	4.881773	4.004876	0.270707	0.138912	0.110110	0.480271	0.006281	0.010610	0.064007	0.919102	0.006672	0.008896	0.079815	0.904617	0.017896	0.019705	0.092906	0.869493	0.116374	0.084256	0.111736	0.687633	0.238513	0.132810	0.109659	0.519017	
56000	-86.186687	861	4.735448	1.628709	8.238463	5.446187	0.281761	0.140931	0.109932	0.467376	0.235419	0.139282	0.103717	0.521581	0.198344	0.112827	0.118048	0.570781	0.208733	0.116505	0.117466	0.557296	0.339952	0.177749	0.088587	0.393712	0.355681	0.179370	0.087950	0.377000	
57000	-83.186627	797	0.966618	2.714660	11.337778	6.595962	0.184220	0.092110	0.137842	0.585828	0.000795	0.000420	0.181757	0.817027	0.001323	0.000689	0.183975	0.814013	0.020406	0.010385	0.181985	0.787225	0.037827	0.019033	0.178736	0.764404	0.099640	0.049845	0.161936	0.688578	
58000	-83.959803	91	5.292871	3.928472	5.973842	4.298852	0.240819	0.120725	0.121353	0.517103	0.090987	0.080553	0.097178	0.731282	0.108888	0.082435	0.108766	0.699912	0.135158	0.092067	0.113810	0.658966	0.182194	0.105891	0.119847	0.592068	0.222447	0.116030	0.121746	0.539778	
59000	-84.873897	642	6.817849	3.061287	4.127904	4.383467	0.239348	0.123707	0.118101	0.518844	0.043049	0.154384	0.025492	0.777074	0.068890	0.138861	0.043690	0.748559	0.102443	0.140138	0.059981	0.697438	0.167820	0.150181	0.079241	0.602758	0.222059	0.135554	0.103799	0.538588	
60000	-82.919882	896	1.040296	1.745934	0.567050	1.996333	0.161373	0.137201	0.085261	0.616165	0.000000	0.000362	0.000152	0.999486	0.000007	0.001326	0.000658	0.998009	0.000030	0.003396	0.001043	0.995530	0.004070	0.034116	0.013313	0.948500	0.062994	0.109950	0.052226	0.774830	
61000	-82.862343	742	0.051420	2.089071	4.912098	3.218004	0.026731	0.013433	0.182083	0.777753	0.000001	0.000001	0.070482	0.929517	0.000001	0.000002	0.075445	0.924553	0.000006	0.000007	0.090894	0.909092	0.002326	0.001605	0.145088	0.850981	0.010639	0.005704	0.177021	0.806637	
62000	-82.571494	5	1.873154	2.843019	10.655286	6.510197	0.223763	0.111882	0.126543	0.537811	0.009235	0.004946	0.177555	0.808264	0.003928	0.002111	0.178531	0.815430	0.019604	0.010273	0.177862	0.792260	0.056152	0.028574	0.171870	0.743404	0.161906	0.081022	0.144105	0.612966	
63000	-85.276784	716	16.970270	7.823574	2.024728	3.275766	0.222204	0.126989	0.111102	0.539704	0.013413	0.186761	0.006701	0.793124	0.017220	0.185515	0.008612	0.788652	0.040133	0.179035	0.020063	0.760769	0.074661	0.169179	0.037322	0.718838	0.143460	0.149497	0.071725	0.635318	
64000	-85.934698	351	5.984385	5.703501	7.756598	6.159354	0.241289	0.120762	0.121419	0.516531	0.096559	0.072749	0.112195	0.718497	0.087493	0.065523	0.114991	0.731993	0.111134	0.075840	0.119552	0.693474	0.168296	0.096788	0.124807	0.610109	0.223333	0.114666	0.123412	0.538590	
65000	-84.470036	843	1.319833	1.570363	5.574447	4.891939	0.283976	0.143271	0.108303	0.464449	0.001279	0.001553	0.088064	0.909104	0.001092	0.001195	0.096891	0.900822	0.003440	0.003419	0.105123	0.888017	0.075711	0.055169	0.120817	0.748304	0.231205	0.129668	0.110822	0.528304	
66000	-81.153229	279	1.721735	2.171330	1.633172	1.759484	0.251048	0.110487	0.134673	0.503792	0.000045	0.001744	0.003048	0.995163	0.000178	0.002975	0.006956	0.989891	0.000518	0.006850	0.008751	0.983881	0.030614	0.046269	0.066666	0.856451	0.169510	0.092621	0.130725	0.607144	
67000	-86.823197	360	3.510533	3.797297	16.666006	10.845088	0.234866	0.117433	0.123372	0.524329	0.035909	0.018009	0.179762	0.766319	0.054168	0.027115	0.174833	0.743884	0.073637	0.036839	0.169358	0.720166	0.139878	0.069947	0.150497	0.639678	0.186391	0.093197	0.137220	0.583192	
68000	-84.454682	778	2.363459	1.575916	1.504437	1.861296	0.254181	0.136409	0.109574	0.499836	0.000768	0.011348	0.007800	0.980084	0.000226	0.006593	0.003989	0.989193	0.001124	0.017200	0.007488	0.974188	0.029043	0.077910	0.037521	0.855526	0.174465	0.144784	0.084524	0.596227	
69000	-85.424398	290	3.739418	2.536587	4.571291	3.313335	0.241280	0.121690	0.120490	0.516540	0.010021	0.022293	0.048604	0.919081	0.009058	0.018363	0.053345	0.919235	0.025242	0.036728	0.070170	0.867860	0.107315	0.085971	0.103300	0.703414	0.210699	0.117243	0.117292	0.554767	
70000	-85.699395	288	9.288510	5.466315	7.867271	6.697424	0.242325	0.121241	0.121162	0.515272	0.194597	0.125340	0.105032	0.575032	0.208980	0.121651	0.112537	0.556833	0.210821	0.121654	0.113045	0.554479	0.228281	0.122578	0.116664	0.532477	0.239440	0.121808	0.119973	0.518779	
71000	-87.461919	722	4.696874	2.082933	1.495985	1.386061	0.287056	0.114858	0.135896	0.462189	0.002929	0.080787	0.003891	0.912394	0.004959	0.079140	0.006703	0.909198	0.006360	0.088351	0.007602	0.897687	0.077042	0.144060	0.046105	0.732794	0.251719	0.136265	0.109262	0.502754	
72000	-85.754090	321	2.101498	3.929641	10.607887	4.144770	0.200954	0.100333	0.133244	0.565470	0.012201	0.005971	0.190277	0.791550	0.012416	0.006091	0.189833	0.791660	0.025306	0.012531	0.184703	0.777460	0.063145	0.030526	0.177392	0.728936	0.138390	0.068300	0.152706	0.640604	
73000	-83.400447	604	1.703406	1.074585	2.418744	2.525135	0.334812	0.182776	0.085531	0.396881	0.000484	0.004080	0.013701	0.981736	0.000704	0.004185	0.019301	0.975810	0.001176	0.007280	0.018495	0.973049	0.045972	0.084771	0.052133	0.817124	0.252882	0.192214	0.074376	0.480528	
74000	-85.027838	278	9.001685	5.454307	10.332133	5.586365	0.242422	0.121197	0.121226	0.515154	0.214844	0.115182	0.120563	0.549411	0.215243	0.113753	0.122175	0.548829	0.223066	0.115887	0.122057	0.538991	0.234658	0.118538	0.122181	0.524622	0.242031	0.120962	0.121378	0.515628	
75000	-83.632227	761	3.406914	2.709124	8.912421	5.278597	0.235797	0.117896	0.123109	0.523198	0.065534	0.034829	0.163055	0.736582	0.052192	0.027635	0.167285	0.752888	0.062321	0.032731	0.165615	0.739333	0.122847	0.062455	0.153100	0.661598	0.196793	0.098494	0.134123	0.570590	
76000	-85.205020	154	1.008641	3.150095	5.346268	3.892434	0.174560	0.087871	0.139723	0.597846	0.001787	0.002286	0.083880	0.912047	0.000718	0.000863	0.089064	0.909355	0.009281	0.008358	0.113506	0.868856	0.026248	0.017783	0.141441	0.814528	0.089008	0.048132	0.154180	0.708680	
77000	-82.301446	58	0.253884	2.154409	1.847442	2.865835	0.089554	0.052029	0.144554	0.713863	0.000000	0.000012	0.003695	0.996293	0.000002	0.000028	0.007159	0.992812	0.000024	0.000232	0.012109	0.987635	0.002736	0.006475	0.046927	0.943862	0.028418	0.025528	0.109552	0.836502	
78000	-81.744443	117	0.704100	1.685626	1.810556	2.919185	0.191588	0.116640	0.112031	0.579742	0.000089	0.000986	0.010551	0.988374	0.000022	0.000433	0.005863	0.993682	0.002065	0.009960	0.023529	0.964446	0.013520	0.030359	0.047598	0.908523	0.091446	0.086314	0.091127	0.731113	
79000	-83.867059	529	1.520823	2.339116	3.310057	2.983385	0.205469	0.106721	0.127021	0.560788	0.000922	0.003269	0.031965	0.963844	0.001697	0.004123	0.045925	0.948255	0.001280	0.003441	0.041726	0.953554	0.025526	0.029580	0.087086	0.857807	0.117607	0.075807	0.124494	0.682092	
80000	-83.087855	456	5.216170	2.578252	3.335411	2.556848	0.247954	0.123226	0.120365	0.508454	0.020293	0.102176	0.020036	0.857495	0.032105	0.091131	0.034892	0.841872	0.048737	0.103846	0.044341	0.803077	0.143669	0.134933	0.080306	0.641093	0.237537	0.132949	0.109339	0.520174	
81000	-84.226234	210	1.551405	2.650665	9.960523	7.755006	0.196998	0.098501	0.134188	0.570313	0.007915	0.004072	0.183902	0.804111	0.005786	0.002968	0.184942	0.806304	0.009983	0.005093	0.184571	0.800353	0.040275	0.020370	0.177271	0.762084	0.107097	0.053689	0.159512	0.679702	
82000	-83.875841	330	2.204748	1.697311	8.620602	7.920499	0.267411	0.133730	0.114052	0.484808	0.012005	0.006690	0.171051	0.810254	0.007520	0.004158	0.173392	0.814930	0.033446	0.017577	0.173583	0.775394	0.141078	0.072413	0.146657	0.639851	0.249026	0.125412	0.118463	0.507099	
83000	-86.814733	536	5.032865	2.033433	27.452822	10.265980	0.255401	0.127700	0.117505	0.499394	0.167984	0.083990	0.142484	0.605542	0.148276	0.074137	0.148114	0.629473	0.168614	0.084307	0.142301	0.604777	0.264181	0.132090	0.114996	0.488733	0.292624	0.146312	0.106869	0.454194	
84000	-84.697731	182	2.858121	2.207295	6.334163	2.827999	0.245599	0.120761	0.122337	0.511303	0.031431	0.018987	0.154789	0.794794	0.014087	0.009259	0.148277	0.828377	0.026448	0.016535	0.151569	0.805448	0.126752	0.056938	0.169421	0.646890	0.232197	0.103199	0.139103	0.525501	
85000	-80.887764	540	0.431944	1.963138	3.842305	2.664912	0.161854	0.079808	0.146081	0.612258	0.000191	0.000367	0.057786	0.941656	0.000030	0.000075	0.044610	0.955286	0.004283	0.005650	0.081063	0.909005	0.021853	0.015647	0.135831	0.826670	0.084694	0.043308	0.163098	0.708900	
