Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/bantu-iroquois-matri.anvunclocalresidence-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1682407003
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-matri.anvunclocalresidence-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.318841,0.043478,0.289855,0.347826)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-82.945301	693	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.495140	3.495140	3.495140	3.495140	3.495140	3.495140	3.495140	0.388457	0.036858	0.297631	0.277053	
12000	-82.125006	902	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.346163	2.346163	2.346163	2.346163	2.346163	2.346163	2.346163	0.484495	0.032239	0.285317	0.197949	
13000	-83.417462	58	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.581061	1.581061	1.581061	1.581061	1.581061	1.581061	1.581061	0.619650	0.023695	0.252107	0.104548	
14000	-82.225517	624	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	2.663033	2.663033	2.663033	2.663033	2.663033	2.663033	0.000000	0.636630	0.029444	0.277750	0.056176	
15000	-84.397845	222	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	3.074504	3.074504	3.074504	3.074504	3.074504	3.074504	0.000000	0.040349	0.439038	0.520613	
16000	-81.639892	917	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.304358	3.304358	3.304358	3.304358	3.304358	3.304358	3.304358	0.431026	0.033835	0.297117	0.238021	
17000	-86.091786	624	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	7.116714	7.116714	7.116714	7.116714	7.116714	7.116714	0.000000	0.366291	0.043505	0.290869	0.299335	
18000	-89.546186	907	1	2	'0 Z 0 0 0 0 0 Z 	D	2.145578	0.000000	2.145578	2.145578	2.145578	2.145578	2.145578	0.000000	0.000000	0.000000	1.000000	0.000000	
19000	-86.139475	363	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	1.914203	0.000000	0.000000	1.914203	1.914203	1.914203	1.914203	0.682447	0.000000	0.271121	0.046432	
20000	-81.501634	37	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.484836	2.484836	2.484836	2.484836	2.484836	2.484836	2.484836	0.453161	0.031167	0.300477	0.215195	
21000	-81.987390	499	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	2.804725	2.804725	2.804725	2.804725	2.804725	2.804725	0.000000	0.612427	0.032029	0.282736	0.072808	
22000	-83.443023	852	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.295838	3.295838	3.295838	3.295838	3.295838	3.295838	3.295838	0.412727	0.036603	0.292405	0.258265	
23000	-83.691060	729	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	3.795117	3.795117	3.795117	3.795117	3.795117	3.795117	0.000000	0.533543	0.037650	0.297373	0.131434	
24000	-79.946657	351	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	2.575479	2.575479	2.575479	2.575479	2.575479	2.575479	0.000000	0.634011	0.030282	0.275189	0.060518	
25000	-81.930837	624	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.658626	3.658626	3.658626	3.658626	3.658626	3.658626	3.658626	0.384942	0.038721	0.292013	0.284324	
26000	-84.162484	448	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.639744	3.639744	3.639744	3.639744	3.639744	3.639744	3.639744	0.369301	0.040036	0.291161	0.299502	
27000	-81.389344	574	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.035090	3.035090	3.035090	3.035090	3.035090	3.035090	3.035090	0.405420	0.036762	0.293827	0.263991	
