Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2289368175
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.348485,0.015152,0.500000,0.136364)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-71.545090	180	1	0	'0 0 0 0 	1.046586	1.046586	1.046586	1.046586	0.537496	0.005460	0.429665	0.027379	
50000	-72.215010	770	1	0	'0 0 0 0 	1.886780	1.886780	1.886780	1.886780	0.410280	0.007694	0.520766	0.061261	
51000	-73.749924	751	1	0	'0 0 0 0 	1.152787	1.152787	1.152787	1.152787	0.477136	0.004341	0.490529	0.027994	
52000	-70.268747	969	1	0	'0 0 0 0 	1.193913	1.193913	1.193913	1.193913	0.595824	0.003761	0.385164	0.015251	
53000	-71.389695	861	1	0	'0 0 0 0 	1.403466	1.403466	1.403466	1.403466	0.457007	0.005086	0.502807	0.035099	
54000	-69.688602	267	2	0	'0 0 1 0 	3.595356	3.595356	1.227850	3.595356	0.349881	0.010398	0.539203	0.100518	
55000	-70.313921	913	2	0	'0 0 1 0 	2.840337	2.840337	1.554628	2.840337	0.352873	0.009729	0.543416	0.093982	
56000	-75.059287	700	1	0	'0 0 0 0 	0.683649	0.683649	0.683649	0.683649	0.791013	0.002134	0.203411	0.003442	
57000	-73.269335	948	1	0	'0 0 0 0 	1.502922	1.502922	1.502922	1.502922	0.491747	0.004016	0.479666	0.024571	
58000	-69.142969	188	2	0	'1 0 1 0 	0.918200	1.498270	0.918200	1.498270	0.408140	0.004242	0.551650	0.035968	
59000	-70.890113	403	1	0	'0 0 0 0 	1.323510	1.323510	1.323510	1.323510	0.543766	0.005712	0.422672	0.027850	
60000	-71.147449	148	1	0	'0 0 0 0 	1.127919	1.127919	1.127919	1.127919	0.554024	0.004539	0.419861	0.021577	
61000	-72.476212	92	1	0	'0 0 0 0 	1.298804	1.298804	1.298804	1.298804	0.499175	0.006069	0.459698	0.035058	
62000	-72.083878	127	1	0	'0 0 0 0 	1.508195	1.508195	1.508195	1.508195	0.433183	0.007710	0.502958	0.056150	
63000	-72.691477	635	1	0	'0 0 0 0 	1.718501	1.718501	1.718501	1.718501	0.423242	0.006415	0.520829	0.049515	
64000	-72.951313	845	1	0	'0 0 0 0 	1.539132	1.539132	1.539132	1.539132	0.485143	0.004088	0.485124	0.025644	
65000	-71.729803	889	1	0	'0 0 0 0 	1.290666	1.290666	1.290666	1.290666	0.462388	0.007236	0.482966	0.047410	
66000	-71.245598	291	1	0	'0 0 0 0 	1.219566	1.219566	1.219566	1.219566	0.545697	0.004406	0.428210	0.021687	
67000	-73.524045	634	1	0	'0 0 0 0 	1.187003	1.187003	1.187003	1.187003	0.536769	0.004139	0.437912	0.021180	
68000	-72.155861	633	1	0	'0 0 0 0 	1.591790	1.591790	1.591790	1.591790	0.421531	0.004997	0.533778	0.039693	
69000	-73.083105	591	1	0	'0 0 0 0 	1.609356	1.609356	1.609356	1.609356	0.452870	0.003849	0.515781	0.027500	
70000	-71.291709	392	1	0	'0 0 0 0 	1.112205	1.112205	1.112205	1.112205	0.585439	0.004652	0.390450	0.019460	
71000	-72.090467	837	1	0	'0 0 0 0 	1.285612	1.285612	1.285612	1.285612	0.511639	0.005221	0.454072	0.029068	
72000	-73.376249	281	1	0	'0 0 0 0 	1.645112	1.645112	1.645112	1.645112	0.443554	0.008334	0.490321	0.057790	
73000	-71.509710	841	1	0	'0 0 0 0 	1.218782	1.218782	1.218782	1.218782	0.535074	0.004251	0.438805	0.021869	
74000	-73.035444	127	1	0	'0 0 0 0 	1.859937	1.859937	1.859937	1.859937	0.386791	0.009051	0.526828	0.077330	
75000	-73.672932	311	1	0	'0 0 0 0 	1.890979	1.890979	1.890979	1.890979	0.392720	0.007528	0.535378	0.064374	
76000	-72.305425	173	1	0	'0 0 0 0 	1.720685	1.720685	1.720685	1.720685	0.423392	0.007811	0.509798	0.058998	
77000	-70.756298	613	1	0	'0 0 0 0 	1.031613	1.031613	1.031613	1.031613	0.642963	0.003036	0.343818	0.010183	
78000	-73.270768	893	1	0	'0 0 0 0 	1.777135	1.777135	1.777135	1.777135	0.400336	0.007517	0.529753	0.062394	
79000	-72.151657	856	1	0	'0 0 0 0 	1.107048	1.107048	1.107048	1.107048	0.578834	0.004028	0.399693	0.017446	
80000	-73.949692	872	1	0	'0 0 0 0 	1.608752	1.608752	1.608752	1.608752	0.410116	0.008196	0.516895	0.064793	
81000	-71.087406	732	1	0	'0 0 0 0 	1.376062	1.376062	1.376062	1.376062	0.500237	0.006471	0.456268	0.037024	
82000	-70.903529	59	1	0	'0 0 0 0 	1.038103	1.038103	1.038103	1.038103	0.591091	0.003975	0.388544	0.016390	
83000	-72.525670	363	1	0	'0 0 0 0 	1.196668	1.196668	1.196668	1.196668	0.527435	0.004954	0.441596	0.026015	
84000	-71.696470	989	1	0	'0 0 0 0 	0.968393	0.968393	0.968393	0.968393	0.602969	0.003515	0.379635	0.013881	
85000	-68.337537	911	2	0	'0 0 0 1 	1.589213	1.589213	1.589213	4.976888	0.395609	0.015255	0.474391	0.114745	
86000	-68.076549	581	2	0	'0 0 0 1 	2.948339	2.948339	2.948339	14.049749	0.335414	0.014582	0.510728	0.139276	
87000	-71.395449	200	1	0	'0 0 0 0 	1.369410	1.369410	1.369410	1.369410	0.468090	0.004453	0.497753	0.029704	
88000	-72.957063	247	1	0	'0 0 0 0 	1.886996	1.886996	1.886996	1.886996	0.412584	0.006194	0.531198	0.050024	
89000	-71.776212	407	1	0	'0 0 0 0 	0.951059	0.951059	0.951059	0.951059	0.613330	0.004857	0.363743	0.018070	
90000	-71.523142	590	1	0	'0 0 0 0 	1.562413	1.562413	1.562413	1.562413	0.442062	0.007714	0.495940	0.054284	
91000	-71.995873	856	1	0	'0 0 0 0 	1.553741	1.553741	1.553741	1.553741	0.456035	0.005798	0.498414	0.039752	
92000	-71.306483	875	1	0	'0 0 0 0 	1.216675	1.216675	1.216675	1.216675	0.489355	0.004508	0.478487	0.027650	
93000	-71.035455	136	1	0	'0 0 0 0 	1.140337	1.140337	1.140337	1.140337	0.561052	0.005335	0.409207	0.024407	
94000	-70.983499	911	1	0	'0 0 0 0 	1.333179	1.333179	1.333179	1.333179	0.488738	0.004990	0.475800	0.030472	
95000	-71.972430	103	1	0	'0 0 0 0 	1.128902	1.128902	1.128902	1.128902	0.568629	0.005355	0.402254	0.023762	
96000	-75.283508	504	1	0	'0 0 0 0 	2.634998	2.634998	2.634998	2.634998	0.349445	0.011465	0.530009	0.109080	
97000	-72.606253	92	1	0	'0 0 0 0 	1.555877	1.555877	1.555877	1.555877	0.439562	0.007111	0.502351	0.050976	
98000	-70.902240	774	1	0	'0 0 0 0 	1.090608	1.090608	1.090608	1.090608	0.611859	0.004297	0.367648	0.016196	
99000	-72.918412	728	1	0	'0 0 0 0 	1.159079	1.159079	1.159079	1.159079	0.561160	0.004570	0.413166	0.021105	
100000	-70.746040	330	1	0	'0 0 0 0 	0.850105	0.850105	0.850105	0.850105	0.686598	0.003219	0.301321	0.008862	
101000	-72.846926	750	1	0	'0 0 0 0 	1.550301	1.550301	1.550301	1.550301	0.468345	0.005903	0.487229	0.038523	
102000	-72.306360	757	1	0	'0 0 0 0 	1.026056	1.026056	1.026056	1.026056	0.648931	0.003989	0.334193	0.012887	
103000	-72.255187	757	1	0	'0 0 0 0 	1.655651	1.655651	1.655651	1.655651	0.450866	0.006429	0.498149	0.044556	
104000	-72.745920	309	1	0	'0 0 0 0 	1.121637	1.121637	1.121637	1.121637	0.547488	0.004881	0.423925	0.023707	
105000	-72.461147	92	1	0	'0 0 0 0 	1.358900	1.358900	1.358900	1.358900	0.482752	0.006318	0.472168	0.038762	
106000	-72.539626	184	2	0	'0 0 1 0 	5.258757	5.258757	1.420060	5.258757	0.350588	0.013527	0.511977	0.123909	
107000	-71.592320	854	1	0	'0 0 0 0 	1.508062	1.508062	1.508062	1.508062	0.434866	0.007513	0.503103	0.054518	
108000	-72.159698	14	1	0	'0 0 0 0 	1.768486	1.768486	1.768486	1.768486	0.416332	0.008611	0.509016	0.066041	
109000	-71.646037	707	1	0	'0 0 0 0 	1.665537	1.665537	1.665537	1.665537	0.440506	0.006425	0.506712	0.046357	
110000	-74.796804	982	1	0	'0 0 0 0 	2.274969	2.274969	2.274969	2.274969	0.371550	0.008440	0.542683	0.077327	
111000	-73.137983	896	1	0	'0 0 0 0 	1.656429	1.656429	1.656429	1.656429	0.419478	0.007059	0.518705	0.054757	
112000	-70.734143	222	2	0	'0 0 1 0 	2.538063	2.538063	1.196585	2.538063	0.352520	0.008954	0.550775	0.087751	
113000	-72.253632	117	1	0	'0 0 0 0 	1.308120	1.308120	1.308120	1.308120	0.522817	0.004787	0.446737	0.025658	
114000	-73.580047	541	1	0	'0 0 0 0 	1.064700	1.064700	1.064700	1.064700	0.593290	0.005036	0.381369	0.020305	
115000	-71.581236	508	1	0	'0 0 0 0 	1.445566	1.445566	1.445566	1.445566	0.468677	0.005510	0.489704	0.036110	
116000	-75.561048	604	1	0	'0 0 0 0 	2.545074	2.545074	2.545074	2.545074	0.347505	0.009003	0.553535	0.089957	
117000	-69.856955	828	2	0	'0 0 0 1 	3.220970	3.220970	3.220970	20.419862	0.334833	0.014558	0.511193	0.139416	
118000	-71.492296	249	1	0	'0 0 0 0 	1.250940	1.250940	1.250940	1.250940	0.493957	0.005281	0.469287	0.031475	
119000	-73.110872	411	1	0	'0 0 0 0 	1.056169	1.056169	1.056169	1.056169	0.635636	0.003311	0.349627	0.011425	
120000	-72.654608	317	1	0	'0 0 0 0 	1.506058	1.506058	1.506058	1.506058	0.470359	0.006285	0.482883	0.040473	
121000	-72.220249	100	1	0	'0 0 0 0 	1.214005	1.214005	1.214005	1.214005	0.545920	0.005778	0.420393	0.027909	
122000	-72.769514	694	1	0	'0 0 0 0 	1.679486	1.679486	1.679486	1.679486	0.453597	0.007472	0.488457	0.050474	
123000	-72.796183	434	1	0	'0 0 0 0 	1.108796	1.108796	1.108796	1.108796	0.556878	0.004028	0.420035	0.019059	
124000	-73.504627	826	1	0	'0 0 0 0 	1.370955	1.370955	1.370955	1.370955	0.488634	0.005387	0.473253	0.032726	
125000	-71.805329	442	1	0	'0 0 0 0 	1.540983	1.540983	1.540983	1.540983	0.456326	0.006458	0.493414	0.043802	
126000	-71.274965	793	1	0	'0 0 0 0 	1.372856	1.372856	1.372856	1.372856	0.493662	0.005371	0.468962	0.032005	
127000	-71.277786	16	1	0	'0 0 0 0 	1.043331	1.043331	1.043331	1.043331	0.607890	0.004976	0.368225	0.018909	
128000	-71.893949	46	1	0	'0 0 0 0 	1.230880	1.230880	1.230880	1.230880	0.474840	0.005183	0.486658	0.033319	
129000	-73.306714	417	1	0	'0 0 0 0 	0.952484	0.952484	0.952484	0.952484	0.652982	0.004001	0.330321	0.012696	
130000	-71.166612	130	1	0	'0 0 0 0 	1.407768	1.407768	1.407768	1.407768	0.479529	0.007465	0.467370	0.045637	
131000	-72.047442	105	1	0	'0 0 0 0 	1.381949	1.381949	1.381949	1.381949	0.479042	0.005436	0.481267	0.034255	
132000	-72.163489	448	1	0	'0 0 0 0 	1.003828	1.003828	1.003828	1.003828	0.678101	0.004201	0.305815	0.011883	
133000	-72.129927	101	1	0	'0 0 0 0 	1.082245	1.082245	1.082245	1.082245	0.560385	0.004031	0.416778	0.018806	
134000	-71.632170	329	1	0	'0 0 0 0 	0.964925	0.964925	0.964925	0.964925	0.655093	0.003998	0.328341	0.012569	
135000	-75.980830	608	1	0	'0 0 0 0 	0.681936	0.681936	0.681936	0.681936	0.691662	0.003076	0.296976	0.008285	
136000	-73.945668	495	1	0	'0 0 0 0 	2.090721	2.090721	2.090721	2.090721	0.369479	0.008745	0.541400	0.080376	
137000	-72.169112	294	1	0	'0 0 0 0 	1.188631	1.188631	1.188631	1.188631	0.557889	0.004295	0.417646	0.020170	
138000	-72.447413	81	1	0	'0 0 0 0 	2.077362	2.077362	2.077362	2.077362	0.383214	0.008441	0.534495	0.073850	
139000	-71.635357	527	1	0	'0 0 0 0 	1.272024	1.272024	1.272024	1.272024	0.502766	0.005102	0.462681	0.029452	
140000	-71.065368	449	1	0	'0 0 0 0 	1.495456	1.495456	1.495456	1.495456	0.461939	0.005848	0.493057	0.039156	
141000	-72.318209	569	1	0	'0 0 0 0 	1.230185	1.230185	1.230185	1.230185	0.538593	0.003809	0.438162	0.019436	
142000	-71.701687	208	1	0	'0 0 0 0 	1.069125	1.069125	1.069125	1.069125	0.672829	0.004150	0.310988	0.012033	
143000	-71.507105	51	1	0	'0 0 0 0 	1.078728	1.078728	1.078728	1.078728	0.591075	0.003677	0.390028	0.015220	
144000	-71.921866	439	1	0	'0 0 0 0 	1.211270	1.211270	1.211270	1.211270	0.616659	0.003983	0.364588	0.014770	
145000	-72.526113	767	1	0	'0 0 0 0 	1.462432	1.462432	1.462432	1.462432	0.438974	0.006670	0.506117	0.048239	
146000	-68.758400	374	2	0	'0 0 0 1 	1.621632	1.621632	1.621632	9.195556	0.390183	0.016930	0.466045	0.126842	
147000	-74.035848	506	1	0	'0 0 0 0 	1.129466	1.129466	1.129466	1.129466	0.597263	0.004133	0.382019	0.016584	
148000	-71.805431	231	1	0	'0 0 0 0 	0.920172	0.920172	0.920172	0.920172	0.648374	0.004313	0.333402	0.013911	
149000	-72.746876	687	1	0	'0 0 0 0 	1.856158	1.856158	1.856158	1.856158	0.394512	0.006482	0.543038	0.055968	
150000	-70.079271	500	1	0	'0 0 0 0 	1.546638	1.546638	1.546638	1.546638	0.422873	0.007737	0.510769	0.058621	
151000	-71.252531	707	1	0	'0 0 0 0 	1.503452	1.503452	1.503452	1.503452	0.473366	0.005840	0.483389	0.037406	
152000	-69.296455	808	2	0	'1 1 1 0 	2.513705	2.513705	2.513705	13.485556	0.346670	0.015071	0.501498	0.136761	
