Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-iroquois-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-iroquois-matri.anvunclocalresidence-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3695507724
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-matri.anvunclocalresidence-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.595238,0.238095,0.142857,0.023810)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-81.466117	541	1	0	'0 0 0 0 	1.297641	1.297641	1.297641	1.297641	0.988891	0.008501	0.002598	0.000009	
50000	-82.066736	370	1	0	'0 0 0 0 	1.402915	1.402915	1.402915	1.402915	0.972844	0.022243	0.004867	0.000046	
51000	-81.899023	704	1	0	'0 0 0 0 	1.344276	1.344276	1.344276	1.344276	0.984409	0.012632	0.002943	0.000016	
52000	-80.586681	336	1	0	'0 0 0 0 	1.006909	1.006909	1.006909	1.006909	0.995148	0.004311	0.000540	0.000001	
53000	-83.604173	680	1	0	'0 0 0 0 	1.760866	1.760866	1.760866	1.760866	0.960857	0.027541	0.011465	0.000137	
54000	-82.071435	66	1	0	'0 0 0 0 	1.576788	1.576788	1.576788	1.576788	0.977054	0.017937	0.004972	0.000038	
55000	-81.457334	566	1	0	'0 0 0 0 	1.323391	1.323391	1.323391	1.323391	0.983460	0.013159	0.003363	0.000019	
56000	-82.074732	456	1	0	'0 0 0 0 	0.957289	0.957289	0.957289	0.957289	0.997074	0.002586	0.000339	0.000000	
57000	-81.429435	57	1	0	'0 0 0 0 	1.523559	1.523559	1.523559	1.523559	0.975731	0.019520	0.004711	0.000039	
58000	-82.602160	344	1	0	'0 0 0 0 	0.916590	0.916590	0.916590	0.916590	0.985764	0.009538	0.004679	0.000019	
59000	-83.316342	108	1	0	'0 0 0 0 	1.537413	1.537413	1.537413	1.537413	0.964737	0.025766	0.009392	0.000105	
60000	-82.311178	733	1	0	'0 0 0 0 	1.159116	1.159116	1.159116	1.159116	0.993536	0.005255	0.001206	0.000003	
61000	-81.259986	422	1	0	'0 0 0 0 	1.227502	1.227502	1.227502	1.227502	0.986445	0.009787	0.003752	0.000016	
62000	-82.579383	719	1	0	'0 0 0 0 	0.798702	0.798702	0.798702	0.798702	0.993364	0.005180	0.001453	0.000003	
63000	-81.461848	832	1	0	'0 0 0 0 	1.558715	1.558715	1.558715	1.558715	0.950760	0.034720	0.014302	0.000218	
64000	-81.971558	421	1	0	'0 0 0 0 	1.435847	1.435847	1.435847	1.435847	0.975608	0.019508	0.004844	0.000040	
65000	-81.421271	405	1	0	'0 0 0 0 	0.943907	0.943907	0.943907	0.943907	0.990614	0.006956	0.002423	0.000007	
66000	-81.575606	289	1	0	'0 0 0 0 	0.855395	0.855395	0.855395	0.855395	0.995814	0.002950	0.001234	0.000002	
67000	-81.665695	756	1	0	'0 0 0 0 	1.190510	1.190510	1.190510	1.190510	0.991630	0.006439	0.001926	0.000005	
68000	-81.033829	292	1	0	'0 0 0 0 	1.129588	1.129588	1.129588	1.129588	0.986118	0.011061	0.002807	0.000013	
69000	-82.762685	679	1	0	'0 0 0 0 	1.584929	1.584929	1.584929	1.584929	0.967601	0.026381	0.005950	0.000068	
70000	-81.671545	979	1	0	'0 0 0 0 	1.077235	1.077235	1.077235	1.077235	0.976410	0.017134	0.006409	0.000047	
71000	-81.127804	558	1	0	'0 0 0 0 	1.183881	1.183881	1.183881	1.183881	0.990758	0.007851	0.001386	0.000005	
72000	-84.023367	281	1	0	'0 0 0 0 	0.752174	0.752174	0.752174	0.752174	0.995638	0.003026	0.001334	0.000002	
73000	-81.146463	322	1	0	'0 0 0 0 	1.176057	1.176057	1.176057	1.176057	0.983877	0.014118	0.001993	0.000012	
74000	-81.976772	437	1	0	'0 0 0 0 	1.210823	1.210823	1.210823	1.210823	0.968248	0.021945	0.009715	0.000092	
75000	-82.665431	565	1	0	'0 0 0 0 	0.897302	0.897302	0.897302	0.897302	0.990599	0.006485	0.002908	0.000008	
76000	-82.602684	2	1	0	'0 0 0 0 	1.628360	1.628360	1.628360	1.628360	0.981766	0.014530	0.003681	0.000023	
77000	-80.998574	277	1	0	'0 0 0 0 	1.098729	1.098729	1.098729	1.098729	0.990852	0.007770	0.001373	0.000004	
78000	-82.257433	316	1	0	'0 0 0 0 	1.593051	1.593051	1.593051	1.593051	0.968154	0.022658	0.009099	0.000089	
79000	-80.877958	6	1	0	'0 0 0 0 	1.059943	1.059943	1.059943	1.059943	0.989681	0.007581	0.002729	0.000009	
80000	-81.020870	348	1	0	'0 0 0 0 	1.289059	1.289059	1.289059	1.289059	0.967560	0.022639	0.009706	0.000095	
81000	-82.635231	795	1	0	'0 0 0 0 	1.487201	1.487201	1.487201	1.487201	0.970653	0.022710	0.006574	0.000064	
82000	-82.148579	862	1	0	'0 0 0 0 	1.134659	1.134659	1.134659	1.134659	0.980025	0.013921	0.006018	0.000036	
83000	-80.920391	593	1	0	'0 0 0 0 	1.279106	1.279106	1.279106	1.279106	0.989598	0.008950	0.001447	0.000005	
84000	-86.052052	891	1	0	'0 0 0 0 	2.152286	2.152286	2.152286	2.152286	0.955650	0.032516	0.011668	0.000165	
85000	-81.766401	621	1	0	'0 0 0 0 	1.115049	1.115049	1.115049	1.115049	0.987504	0.008545	0.003936	0.000014	
86000	-81.403696	507	1	0	'0 0 0 0 	0.948558	0.948558	0.948558	0.948558	0.986112	0.009496	0.004374	0.000018	
87000	-83.917369	780	1	0	'0 0 0 0 	1.880646	1.880646	1.880646	1.880646	0.953144	0.032756	0.013902	0.000199	
88000	-80.931391	57	1	0	'0 0 0 0 	1.360677	1.360677	1.360677	1.360677	0.981814	0.014950	0.003216	0.000020	
89000	-81.175214	62	1	0	'0 0 0 0 	1.118430	1.118430	1.118430	1.118430	0.983182	0.012878	0.003919	0.000021	
90000	-81.254272	62	1	0	'0 0 0 0 	1.276885	1.276885	1.276885	1.276885	0.977321	0.017230	0.005409	0.000040	
91000	-81.270495	994	1	0	'0 0 0 0 	1.358017	1.358017	1.358017	1.358017	0.960601	0.027808	0.011453	0.000138	
92000	-82.248797	224	1	0	'0 0 0 0 	1.514197	1.514197	1.514197	1.514197	0.972189	0.021278	0.006475	0.000059	
93000	-83.542385	287	1	0	'0 0 0 0 	0.744954	0.744954	0.744954	0.744954	0.997697	0.002110	0.000193	0.000000	
94000	-79.058175	131	2	0	'1 0 1 0 	1.854416	7.108605	1.854416	7.108605	0.549873	0.290376	0.130941	0.028811	
95000	-82.874809	719	2	0	'1 0 1 0 	5.024478	18.059937	5.024478	18.059937	0.595135	0.238268	0.142779	0.023818	
96000	-82.629559	567	1	0	'0 0 0 0 	1.701445	1.701445	1.701445	1.701445	0.964667	0.025596	0.009631	0.000106	
97000	-81.801649	56	1	0	'0 0 0 0 	1.471591	1.471591	1.471591	1.471591	0.977101	0.016452	0.006402	0.000045	
98000	-81.966439	694	1	0	'0 0 0 0 	1.291433	1.291433	1.291433	1.291433	0.959317	0.028075	0.012456	0.000152	
99000	-81.724486	461	1	0	'0 0 0 0 	1.496647	1.496647	1.496647	1.496647	0.983462	0.012356	0.004161	0.000022	
100000	-83.208470	185	1	0	'0 0 0 0 	0.812504	0.812504	0.812504	0.812504	0.994925	0.003803	0.001270	0.000002	
101000	-82.119652	663	1	0	'0 0 0 0 	0.825215	0.825215	0.825215	0.825215	0.992247	0.005950	0.001798	0.000004	
102000	-81.174607	17	1	0	'0 0 0 0 	1.131611	1.131611	1.131611	1.131611	0.991675	0.007284	0.001038	0.000003	
103000	-82.771916	35	1	0	'0 0 0 0 	1.434358	1.434358	1.434358	1.434358	0.994666	0.004545	0.000788	0.000001	
104000	-82.681800	912	1	0	'0 0 0 0 	1.617782	1.617782	1.617782	1.617782	0.958578	0.028903	0.012364	0.000155	
105000	-81.668444	745	1	0	'0 0 0 0 	1.401732	1.401732	1.401732	1.401732	0.986913	0.011093	0.001985	0.000009	
106000	-81.631279	4	1	0	'0 0 0 0 	1.051234	1.051234	1.051234	1.051234	0.995049	0.004001	0.000949	0.000002	
107000	-81.828164	251	1	0	'0 0 0 0 	0.945377	0.945377	0.945377	0.945377	0.992465	0.005595	0.001936	0.000005	
108000	-81.537597	496	1	0	'0 0 0 0 	1.357361	1.357361	1.357361	1.357361	0.975544	0.020229	0.004191	0.000036	
109000	-81.946202	646	1	0	'0 0 0 0 	1.370599	1.370599	1.370599	1.370599	0.961315	0.032053	0.006541	0.000091	
110000	-81.305372	335	1	0	'0 0 0 0 	1.059326	1.059326	1.059326	1.059326	0.992468	0.005663	0.001865	0.000004	
111000	-81.345797	645	1	0	'0 0 0 0 	1.309141	1.309141	1.309141	1.309141	0.993738	0.005492	0.000768	0.000002	
112000	-80.785487	500	1	0	'0 0 0 0 	1.205524	1.205524	1.205524	1.205524	0.990218	0.008186	0.001590	0.000005	
113000	-82.323038	386	1	0	'0 0 0 0 	1.575699	1.575699	1.575699	1.575699	0.951744	0.038575	0.009520	0.000161	
114000	-82.161561	936	1	0	'0 0 0 0 	1.050925	1.050925	1.050925	1.050925	0.982238	0.012798	0.004938	0.000027	
115000	-81.437249	413	1	0	'0 0 0 0 	1.191203	1.191203	1.191203	1.191203	0.984759	0.013241	0.001989	0.000011	
116000	-81.566519	345	2	0	'1 0 1 0 	2.871183	6.719405	2.871183	6.719405	0.634530	0.227349	0.120179	0.017942	
117000	-81.098883	965	1	0	'0 0 0 0 	1.007570	1.007570	1.007570	1.007570	0.992478	0.005651	0.001867	0.000004	
118000	-82.012661	934	1	0	'0 0 0 0 	1.153028	1.153028	1.153028	1.153028	0.964710	0.024193	0.010983	0.000115	
119000	-81.162057	585	1	0	'0 0 0 0 	0.937634	0.937634	0.937634	0.937634	0.986968	0.008640	0.004376	0.000016	
120000	-79.355088	630	2	0	'0 1 0 1 	1.008958	4.031559	1.008958	4.031559	0.590516	0.289890	0.099285	0.020308	
121000	-80.765212	74	1	0	'0 0 0 0 	1.232713	1.232713	1.232713	1.232713	0.991454	0.007412	0.001130	0.000004	
122000	-81.880121	403	1	0	'0 0 0 0 	1.272868	1.272868	1.272868	1.272868	0.984692	0.012256	0.003036	0.000016	
123000	-81.399496	906	1	0	'0 0 0 0 	0.912074	0.912074	0.912074	0.912074	0.995405	0.004063	0.000531	0.000001	
124000	-80.798207	593	1	0	'0 0 0 0 	1.125857	1.125857	1.125857	1.125857	0.992617	0.006500	0.000881	0.000002	
125000	-80.960888	63	1	0	'0 0 0 0 	1.113048	1.113048	1.113048	1.113048	0.986561	0.009735	0.003689	0.000015	
126000	-81.261599	942	1	0	'0 0 0 0 	1.299592	1.299592	1.299592	1.299592	0.980961	0.013195	0.005812	0.000033	
127000	-81.325779	861	1	0	'0 0 0 0 	1.274317	1.274317	1.274317	1.274317	0.988065	0.009115	0.002810	0.000011	
128000	-83.325389	909	1	0	'0 0 0 0 	0.798892	0.798892	0.798892	0.798892	0.993680	0.004496	0.001821	0.000003	
129000	-81.578800	384	1	0	'0 0 0 0 	1.045617	1.045617	1.045617	1.045617	0.989350	0.007653	0.002987	0.000010	
130000	-80.844157	304	1	0	'0 0 0 0 	1.204886	1.204886	1.204886	1.204886	0.972524	0.019103	0.008305	0.000068	
131000	-81.562737	865	1	0	'0 0 0 0 	0.865542	0.865542	0.865542	0.865542	0.996833	0.002478	0.000688	0.000001	
132000	-80.661436	884	1	0	'0 0 0 0 	1.134757	1.134757	1.134757	1.134757	0.975518	0.018027	0.006405	0.000049	
133000	-80.582731	683	1	0	'0 0 0 0 	1.118592	1.118592	1.118592	1.118592	0.990105	0.007209	0.002677	0.000008	
134000	-80.693540	650	1	0	'0 0 0 0 	1.275738	1.275738	1.275738	1.275738	0.988985	0.008473	0.002533	0.000009	
135000	-82.295227	474	1	0	'0 0 0 0 	1.207379	1.207379	1.207379	1.207379	0.959143	0.027860	0.012841	0.000155	
136000	-82.325585	750	1	0	'0 0 0 0 	1.203137	1.203137	1.203137	1.203137	0.970411	0.019881	0.009626	0.000082	
137000	-81.554083	923	1	0	'0 0 0 0 	0.949128	0.949128	0.949128	0.949128	0.992973	0.005195	0.001828	0.000004	
138000	-83.711774	12	1	0	'0 0 0 0 	1.596643	1.596643	1.596643	1.596643	0.981385	0.015325	0.003268	0.000021	
139000	-81.972487	576	1	0	'0 0 0 0 	1.288314	1.288314	1.288314	1.288314	0.966806	0.022832	0.010261	0.000101	
140000	-81.283264	1000	1	0	'0 0 0 0 	0.992292	0.992292	0.992292	0.992292	0.988014	0.008903	0.003072	0.000012	
141000	-82.601978	106	1	0	'0 0 0 0 	1.270983	1.270983	1.270983	1.270983	0.991440	0.007430	0.001126	0.000004	
142000	-82.636059	610	1	0	'0 0 0 0 	1.255282	1.255282	1.255282	1.255282	0.992130	0.006594	0.001273	0.000004	
143000	-81.092351	243	1	0	'0 0 0 0 	1.039460	1.039460	1.039460	1.039460	0.991504	0.006411	0.002080	0.000006	
144000	-80.991293	104	1	0	'0 0 0 0 	1.195876	1.195876	1.195876	1.195876	0.986693	0.009975	0.003318	0.000014	
145000	-81.698438	577	1	0	'0 0 0 0 	1.420454	1.420454	1.420454	1.420454	0.962929	0.025362	0.011582	0.000127	
146000	-82.019351	458	1	0	'0 0 0 0 	1.410970	1.410970	1.410970	1.410970	0.985825	0.011614	0.002549	0.000013	
147000	-82.609172	112	1	0	'0 0 0 0 	0.962669	0.962669	0.962669	0.962669	0.995278	0.004145	0.000576	0.000001	
148000	-83.159385	559	1	0	'0 0 0 0 	1.703793	1.703793	1.703793	1.703793	0.965328	0.025797	0.008777	0.000098	
149000	-82.076836	282	1	0	'0 0 0 0 	1.368325	1.368325	1.368325	1.368325	0.968792	0.022323	0.008801	0.000084	
150000	-83.174229	569	1	0	'0 0 0 0 	1.676429	1.676429	1.676429	1.676429	0.973718	0.020166	0.006063	0.000052	
151000	-81.941497	456	1	0	'0 0 0 0 	1.414723	1.414723	1.414723	1.414723	0.989133	0.009027	0.001833	0.000007	
152000	-81.915423	264	1	0	'0 0 0 0 	1.176339	1.176339	1.176339	1.176339	0.990632	0.007453	0.001909	0.000006	
153000	-81.682223	941	1	0	'0 0 0 0 	1.386967	1.386967	1.386967	1.386967	0.975123	0.018120	0.006706	0.000052	
154000	-85.614968	865	1	0	'0 0 0 0 	2.304527	2.304527	2.304527	2.304527	0.942065	0.041431	0.016207	0.000297	
155000	-81.180539	364	1	0	'0 0 0 0 	1.120225	1.120225	1.120225	1.120225	0.990504	0.007078	0.002411	0.000007	
156000	-81.441861	473	1	0	'0 0 0 0 	1.048207	1.048207	1.048207	1.048207	0.992415	0.005911	0.001670	0.000004	
157000	-81.843315	888	1	0	'0 0 0 0 	1.334224	1.334224	1.334224	1.334224	0.983623	0.013944	0.002419	0.000014	
158000	-79.155986	219	2	0	'1 0 1 0 	1.266544	3.074886	1.266544	3.074886	0.860963	0.104630	0.032749	0.001658	
159000	-81.514996	235	1	0	'0 0 0 0 	0.897573	0.897573	0.897573	0.897573	0.991083	0.006194	0.002716	0.000007	
160000	-82.640687	180	1	0	'0 0 0 0 	1.596017	1.596017	1.596017	1.596017	0.954053	0.032416	0.013343	0.000189	
161000	-81.246449	526	1	0	'0 0 0 0 	1.157921	1.157921	1.157921	1.157921	0.988064	0.010318	0.001612	0.000007	
162000	-81.863249	906	1	0	'0 0 0 0 	0.832543	0.832543	0.832543	0.832543	0.996401	0.003213	0.000386	0.000001	
163000	-82.755036	750	1	0	'0 0 0 0 	1.436812	1.436812	1.436812	1.436812	0.956862	0.029148	0.013815	0.000175	
164000	-84.183107	448	1	0	'0 0 0 0 	2.014735	2.014735	2.014735	2.014735	0.947593	0.037863	0.014306	0.000238	
165000	-81.731591	244	1	0	'0 0 0 0 	1.344655	1.344655	1.344655	1.344655	0.987491	0.009743	0.002756	0.000011	
166000	-82.047441	565	1	0	'0 0 0 0 	1.040512	1.040512	1.040512	1.040512	0.986899	0.009082	0.004004	0.000015	
167000	-80.759662	171	1	0	'0 0 0 0 	1.125214	1.125214	1.125214	1.125214	0.975565	0.016859	0.007522	0.000054	
168000	-84.430016	103	1	0	'0 0 0 0 	1.809894	1.809894	1.809894	1.809894	0.965192	0.027497	0.007226	0.000086	
169000	-81.013684	338	1	0	'0 0 0 0 	0.840719	0.840719	0.840719	0.840719	0.998199	0.001577	0.000224	0.000000	
170000	-83.212145	372	1	0	'0 0 0 0 	1.814848	1.814848	1.814848	1.814848	0.952822	0.033355	0.013624	0.000199	
171000	-82.002666	110	1	0	'0 0 0 0 	1.002241	1.002241	1.002241	1.002241	0.979909	0.016852	0.003216	0.000023	
172000	-80.890074	91	1	0	'0 0 0 0 	1.353128	1.353128	1.353128	1.353128	0.974960	0.019339	0.005654	0.000047	
173000	-83.561924	231	1	0	'0 0 0 0 	1.872776	1.872776	1.872776	1.872776	0.947869	0.037922	0.013975	0.000233	
174000	-81.969149	817	1	0	'0 0 0 0 	1.672540	1.672540	1.672540	1.672540	0.972256	0.021446	0.006240	0.000057	
175000	-81.337769	588	1	0	'0 0 0 0 	1.214704	1.214704	1.214704	1.214704	0.973190	0.019716	0.007034	0.000059	
176000	-79.630763	681	2	0	'0 1 0 1 	2.183657	7.825589	2.183657	7.825589	0.570110	0.271242	0.132401	0.026247	
177000	-81.413815	225	1	0	'0 0 0 0 	0.968394	0.968394	0.968394	0.968394	0.988500	0.009101	0.002390	0.000009	
178000	-81.190587	580	1	0	'0 0 0 0 	1.374718	1.374718	1.374718	1.374718	0.985469	0.011503	0.003014	0.000015	
179000	-81.537859	202	1	0	'0 0 0 0 	0.877324	0.877324	0.877324	0.877324	0.997293	0.002408	0.000298	0.000000	
180000	-81.382874	393	1	0	'0 0 0 0 	1.063982	1.063982	1.063982	1.063982	0.982125	0.012364	0.005483	0.000029	
181000	-81.569553	952	1	0	'0 0 0 0 	1.353186	1.353186	1.353186	1.353186	0.973882	0.018680	0.007379	0.000059	
182000	-82.845915	342	1	0	'0 0 0 0 	1.734683	1.734683	1.734683	1.734683	0.965573	0.026744	0.007596	0.000088	
183000	-81.670042	203	1	0	'0 0 0 0 	1.252047	1.252047	1.252047	1.252047	0.984175	0.011735	0.004070	0.000020	
184000	-81.576961	801	1	0	'0 0 0 0 	1.550386	1.550386	1.550386	1.550386	0.974920	0.019625	0.005409	0.000045	
185000	-81.371490	769	1	0	'0 0 0 0 	0.929319	0.929319	0.929319	0.929319	0.988949	0.007647	0.003393	0.000011	
186000	-82.370892	597	1	0	'0 0 0 0 	1.604796	1.604796	1.604796	1.604796	0.950182	0.034733	0.014858	0.000226	
187000	-82.215092	516	1	0	'0 0 0 0 	0.866285	0.866285	0.866285	0.866285	0.995948	0.003694	0.000357	0.000001	
188000	-81.293161	494	1	0	'0 0 0 0 	1.013016	1.013016	1.013016	1.013016	0.992696	0.005571	0.001729	0.000004	
189000	-81.753390	784	1	0	'0 0 0 0 	0.856550	0.856550	0.856550	0.856550	0.986780	0.009077	0.004127	0.000016	
190000	-81.089763	769	1	0	'0 0 0 0 	1.295997	1.295997	1.295997	1.295997	0.976335	0.016690	0.006926	0.000049	
191000	-81.953853	392	1	0	'0 0 0 0 	1.698749	1.698749	1.698749	1.698749	0.930670	0.046607	0.022259	0.000464	
192000	-82.912934	347	1	0	'0 0 0 0 	1.451833	1.451833	1.451833	1.451833	0.961363	0.026660	0.011840	0.000137	
193000	-82.896178	18	1	0	'0 0 0 0 	1.743361	1.743361	1.743361	1.743361	0.972233	0.022010	0.005703	0.000054	
194000	-82.727829	565	1	0	'0 0 0 0 	0.887437	0.887437	0.887437	0.887437	0.990828	0.006325	0.002840	0.000008	
195000	-81.567978	941	1	0	'0 0 0 0 	1.343153	1.343153	1.343153	1.343153	0.977104	0.016702	0.006150	0.000044	
196000	-81.922377	115	1	0	'0 0 0 0 	1.134515	1.134515	1.134515	1.134515	0.985445	0.009631	0.004903	0.000020	
197000	-81.377788	231	1	0	'0 0 0 0 	1.292972	1.292972	1.292972	1.292972	0.976950	0.017437	0.005572	0.000041	
198000	-81.869386	834	1	0	'0 0 0 0 	1.578724	1.578724	1.578724	1.578724	0.979313	0.016582	0.004076	0.000029	
199000	-81.084096	489	1	0	'0 0 0 0 	1.257210	1.257210	1.257210	1.257210	0.987174	0.010222	0.002593	0.000011	
200000	-82.519848	242	1	0	'0 0 0 0 	1.620694	1.620694	1.620694	1.620694	0.958751	0.029852	0.011252	0.000146	
201000	-81.368731	853	1	0	'0 0 0 0 	0.943467	0.943467	0.943467	0.943467	0.994106	0.004864	0.001028	0.000002	
