Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-monogamy.bttrees
Data File Name:                  ./data/austronesian-eskimo-monogamy.btdata
Log File Name:                   ./output/austronesian-eskimo-monogamy-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2636904303
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-monogamy-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.662500,0.162500,0.062500,0.112500)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-63.649056	292	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	9.276125	0.000000	0.000000	9.276125	9.276125	9.276125	0.000000	0.000000	0.661776	0.338224	
12000	-63.488229	124	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	6.515270	0.000000	0.000000	6.515270	6.515270	6.515270	0.000000	0.000000	0.559537	0.440463	
13000	-65.984701	802	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	4.984668	4.984668	4.984668	4.984668	4.984668	4.984668	0.000000	0.345150	0.062115	0.592735	
14000	-67.582147	995	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	15.254837	15.254837	15.254837	15.254837	15.254837	0.000000	0.712017	0.031423	0.256561	
15000	-66.950886	537	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	12.411127	12.411127	12.411127	12.411127	12.411127	0.000000	0.697142	0.035214	0.267645	
16000	-67.635683	683	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	16.548247	16.548247	16.548247	16.548247	16.548247	0.000000	0.733904	0.024144	0.241952	
17000	-66.893783	30	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	5.600012	5.600012	5.600012	5.600012	5.600012	5.600012	0.000000	0.314155	0.066908	0.618938	
18000	-67.377657	96	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	17.149084	17.149084	17.149084	17.149084	17.149084	0.000000	0.774604	0.012763	0.212634	
19000	-65.874339	283	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	13.243046	13.243046	13.243046	13.243046	13.243046	0.000000	0.732001	0.021575	0.246424	
20000	-69.181869	204	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	6.165950	6.165950	6.165950	6.165950	6.165950	0.000000	0.506015	0.075315	0.418670	
