Options:
Model:                           MultiState
Tree File Name:                  data/austronesian.bttrees
Data File Name:                  data/austronesian.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/terminology-anc-state/bt-output/austronesian/09-Aug-15_02.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            8656373
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /Users/sp16194/Desktop/Projects_Git/terminology-anc-state/bt-output/austronesian/09-Aug-15_02.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     30
Base frequency (PI's):           None
Character Symbols:               1,3,4,5,6,7
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q36                          RJ MCMC
    q37                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q61                          RJ MCMC
    q63                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q71                          RJ MCMC
    q73                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      4199
     Taxa:                       85
     Sites:                      1
     States:                     6
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q16	q17	q31	q34	q35	q36	q37	q41	q43	q45	q46	q47	q51	q53	q54	q56	q57	q61	q63	q64	q65	q67	q71	q73	q74	q75	q76	Root P(1)	Root P(3)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	
21000	-94.554162	600	1	18	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z Z Z 0 0 Z 0 Z Z Z Z 	18.505349	18.505349	18.505349	18.505349	18.505349	0.000000	18.505349	0.000000	0.000000	0.000000	18.505349	0.000000	18.505349	0.000000	0.000000	0.000000	0.000000	18.505349	0.000000	0.000000	0.000000	0.000000	18.505349	18.505349	0.000000	18.505349	0.000000	0.000000	0.000000	0.000000	0.015901	0.983084	0.000726	0.000012	0.000012	0.000265	
22000	-95.722634	1124	1	14	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z 0 Z 0 0 Z 0 0 0 0 Z 	23.131154	23.131154	23.131154	23.131154	23.131154	0.000000	23.131154	0.000000	0.000000	0.000000	23.131154	0.000000	23.131154	0.000000	0.000000	0.000000	0.000000	23.131154	0.000000	0.000000	23.131154	0.000000	23.131154	23.131154	0.000000	23.131154	23.131154	23.131154	23.131154	0.000000	0.069620	0.836080	0.004999	0.000198	0.004133	0.084970	
23000	-95.767133	2365	1	17	'Z 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z 0 0 Z 0 Z Z 0 Z 0 Z Z 	0.000000	11.892977	11.892977	11.892977	11.892977	0.000000	11.892977	0.000000	0.000000	0.000000	11.892977	0.000000	11.892977	0.000000	0.000000	0.000000	0.000000	11.892977	0.000000	11.892977	11.892977	0.000000	11.892977	0.000000	0.000000	11.892977	0.000000	11.892977	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	
24000	-97.002389	3633	1	13	'0 0 Z 0 0 Z 0 Z Z 0 0 Z 0 Z Z Z Z Z Z 0 0 0 0 Z 0 0 0 0 0 Z 	13.939071	13.939071	0.000000	13.939071	13.939071	0.000000	13.939071	0.000000	0.000000	13.939071	13.939071	0.000000	13.939071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.939071	13.939071	13.939071	13.939071	0.000000	13.939071	13.939071	13.939071	13.939071	13.939071	0.000000	0.066552	0.821021	0.003816	0.000320	0.066552	0.041739	
25000	-97.053499	3569	1	11	'0 0 0 0 0 Z 0 Z Z 0 0 Z 0 Z Z Z Z 0 Z 0 Z 0 0 0 0 0 0 0 Z 0 	12.409995	12.409995	12.409995	12.409995	12.409995	0.000000	12.409995	0.000000	0.000000	12.409995	12.409995	0.000000	12.409995	0.000000	0.000000	0.000000	0.000000	12.409995	0.000000	12.409995	0.000000	12.409995	12.409995	12.409995	12.409995	12.409995	12.409995	12.409995	0.000000	12.409995	0.046284	0.846044	0.002435	0.001346	0.046282	0.057609	
26000	-95.329127	748	1	15	'0 0 0 0 Z Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z Z 0 0 Z 0 Z 0 0 0 0 	18.226075	18.226075	18.226075	18.226075	0.000000	0.000000	18.226075	0.000000	0.000000	0.000000	18.226075	0.000000	18.226075	0.000000	0.000000	0.000000	0.000000	18.226075	0.000000	0.000000	0.000000	18.226075	18.226075	0.000000	18.226075	0.000000	18.226075	18.226075	18.226075	18.226075	0.048082	0.783595	0.001870	0.000017	0.104933	0.061503	
27000	-94.466929	600	2	13	'Z 1 0 1 Z Z 1 Z 0 Z 0 Z 1 Z Z Z Z 1 Z 0 0 1 1 Z 1 Z 0 1 1 1 	0.000000	27.279933	6.750423	27.279933	0.000000	0.000000	27.279933	0.000000	6.750423	0.000000	6.750423	0.000000	27.279933	0.000000	0.000000	0.000000	0.000000	27.279933	0.000000	6.750423	6.750423	27.279933	27.279933	0.000000	27.279933	0.000000	6.750423	27.279933	27.279933	27.279933	0.006878	0.876356	0.000032	0.000067	0.100586	0.016081	
28000	-95.636636	252	2	13	'Z 1 0 0 0 Z 1 Z 0 Z 0 Z 1 Z 0 0 Z 1 Z Z 0 Z 1 Z 1 Z 0 1 Z 1 	0.000000	20.583428	4.040799	4.040799	4.040799	0.000000	20.583428	0.000000	4.040799	0.000000	4.040799	0.000000	20.583428	0.000000	4.040799	4.040799	0.000000	20.583428	0.000000	0.000000	4.040799	0.000000	20.583428	0.000000	20.583428	0.000000	4.040799	20.583428	0.000000	20.583428	0.000045	0.990516	0.000051	0.000001	0.000245	0.009143	
29000	-100.431622	1816	1	13	'Z 0 0 0 0 Z 0 Z 0 Z 0 Z 0 Z Z 0 Z 0 Z 0 0 0 0 0 0 Z Z 0 Z Z 	0.000000	8.798970	8.798970	8.798970	8.798970	0.000000	8.798970	0.000000	8.798970	0.000000	8.798970	0.000000	8.798970	0.000000	0.000000	8.798970	0.000000	8.798970	0.000000	8.798970	8.798970	8.798970	8.798970	8.798970	8.798970	0.000000	0.000000	8.798970	0.000000	0.000000	0.000014	0.994082	0.000000	0.000000	0.005904	0.000000	
30000	-98.744210	1406	1	17	'Z 0 0 Z 0 Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 0 0 0 Z 0 Z Z Z Z Z 0 Z 	0.000000	13.690393	13.690393	0.000000	13.690393	0.000000	13.690393	0.000000	0.000000	0.000000	13.690393	0.000000	13.690393	0.000000	0.000000	0.000000	13.690393	13.690393	13.690393	13.690393	13.690393	0.000000	13.690393	0.000000	0.000000	0.000000	0.000000	0.000000	13.690393	0.000000	0.000146	0.985978	0.000496	0.013331	0.000007	0.000043	
31000	-99.400942	1032	1	19	'Z 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z Z 0 Z 0 0 0 Z 0 0 Z Z Z Z Z Z 	0.000000	10.816295	10.816295	0.000000	0.000000	0.000000	10.816295	0.000000	0.000000	0.000000	10.816295	0.000000	10.816295	0.000000	0.000000	0.000000	10.816295	0.000000	10.816295	10.816295	10.816295	0.000000	10.816295	10.816295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000771	0.985274	0.002298	0.010885	0.000771	0.000000	
32000	-100.292432	212	1	16	'Z 0 0 0 Z Z 0 Z Z Z 0 Z 0 Z Z 0 0 0 Z 0 0 0 Z Z 0 Z Z Z Z 0 	0.000000	9.919897	9.919897	9.919897	0.000000	0.000000	9.919897	0.000000	0.000000	0.000000	9.919897	0.000000	9.919897	0.000000	0.000000	9.919897	9.919897	9.919897	0.000000	9.919897	9.919897	9.919897	0.000000	0.000000	9.919897	0.000000	0.000000	0.000000	0.000000	9.919897	0.000505	0.975416	0.000765	0.016253	0.007048	0.000013	
