Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3134403187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.000000
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
21000	-82.820048	436	0.270427	1.160335	4.019329	2.609694	0.206948	0.101034	0.134378	0.557640	0.000031	0.000061	0.057294	0.942614	0.000011	0.000022	0.058179	0.941788	0.000389	0.000507	0.082635	0.916469	0.020934	0.014145	0.143095	0.821826	0.112167	0.055177	0.160703	0.671953	
22000	-82.989296	455	0.141971	2.299355	5.656340	2.157972	0.061406	0.028879	0.182036	0.727679	0.000019	0.000009	0.199842	0.800129	0.000020	0.000011	0.173998	0.825971	0.000113	0.000061	0.178170	0.821656	0.006886	0.002384	0.251288	0.739442	0.027783	0.009862	0.239562	0.722794	
23000	-83.811615	850	0.458189	2.557298	4.804784	4.046989	0.102299	0.051991	0.158971	0.686739	0.000089	0.000125	0.077162	0.922625	0.000265	0.000289	0.097326	0.902120	0.000965	0.000877	0.114430	0.883729	0.007990	0.005777	0.138009	0.848224	0.037800	0.021553	0.160891	0.779757	
24000	-84.725153	662	1.919517	1.469335	18.784134	7.189804	0.296896	0.148448	0.105649	0.449007	0.005195	0.002592	0.189336	0.802877	0.005997	0.002995	0.188935	0.802074	0.023425	0.011707	0.183858	0.781011	0.153052	0.076469	0.146846	0.623633	0.297307	0.148646	0.105537	0.448510	
25000	-83.696738	319	4.128390	2.752990	2.838480	3.346174	0.232151	0.123945	0.116267	0.527636	0.007108	0.047213	0.016459	0.929220	0.014030	0.053493	0.027911	0.904566	0.020161	0.064097	0.032677	0.883066	0.085165	0.110849	0.066647	0.737340	0.174739	0.129322	0.095455	0.600484	
26000	-85.557515	424	9.570407	4.193465	18.950417	8.792571	0.242555	0.121277	0.121175	0.514993	0.251609	0.125857	0.118538	0.503996	0.244178	0.122114	0.120686	0.513022	0.243467	0.121749	0.120899	0.513885	0.250281	0.125128	0.118979	0.505612	0.245310	0.122653	0.120389	0.511648	
27000	-84.232997	285	1.687615	1.568264	3.057309	3.545101	0.273821	0.155233	0.098122	0.472824	0.001038	0.004536	0.026072	0.968354	0.000399	0.002052	0.022285	0.975264	0.001402	0.005919	0.026911	0.965769	0.040838	0.067390	0.059346	0.832427	0.198421	0.145148	0.090945	0.565486	
28000	-83.255387	775	0.490296	1.985903	1.743639	2.269148	0.178583	0.088122	0.141173	0.592123	0.000002	0.000088	0.002748	0.997162	0.000005	0.000125	0.004438	0.995432	0.000130	0.001163	0.012920	0.985787	0.020595	0.026141	0.080860	0.872405	0.097700	0.060685	0.134023	0.707592	
29000	-85.456302	84	2.380916	1.589041	9.447077	8.432573	0.272672	0.136339	0.112567	0.478421	0.007240	0.004082	0.170681	0.817997	0.012655	0.006842	0.175228	0.805275	0.024942	0.013191	0.175027	0.786840	0.151773	0.078051	0.143389	0.626787	0.279753	0.140483	0.110045	0.469719	
30000	-84.221334	276	4.648231	4.523984	3.752940	2.417486	0.243456	0.118672	0.124020	0.513853	0.025922	0.065856	0.040196	0.868025	0.028748	0.064225	0.045375	0.861651	0.057050	0.085829	0.062165	0.794957	0.128245	0.095265	0.106163	0.670327	0.215121	0.107897	0.128624	0.548359	
31000	-85.483358	556	14.200807	8.617006	1.971263	3.548161	0.198208	0.133845	0.099104	0.568843	0.009624	0.186706	0.004844	0.798826	0.019739	0.184097	0.009918	0.786246	0.026386	0.182498	0.013231	0.777885	0.068604	0.170751	0.034331	0.726315	0.127541	0.154024	0.063776	0.654659	
32000	-84.904431	148	3.561742	1.730907	10.202695	5.725229	0.268623	0.134304	0.113733	0.483339	0.032737	0.018098	0.166548	0.782617	0.026774	0.014511	0.170992	0.787724	0.063067	0.033141	0.165327	0.738465	0.196130	0.099407	0.132713	0.571749	0.288245	0.144037	0.108188	0.459529	
33000	-84.529778	643	1.959878	3.042026	9.113301	6.923467	0.217171	0.108606	0.128404	0.545819	0.008120	0.004656	0.168087	0.819137	0.005407	0.003062	0.170565	0.820965	0.017990	0.009731	0.173698	0.798580	0.080149	0.041340	0.163163	0.715348	0.163205	0.081999	0.143208	0.611588	
34000	-80.677989	931	2.785615	1.984557	2.464911	2.511457	0.269276	0.132820	0.115145	0.482759	0.000273	0.006412	0.004953	0.988362	0.000563	0.007038	0.009259	0.983140	0.007914	0.030229	0.028740	0.933117	0.095525	0.104351	0.077792	0.722332	0.241833	0.140109	0.104321	0.513737	
35000	-85.100402	265	12.367653	6.190485	10.517254	5.930535	0.242465	0.121215	0.121218	0.515102	0.234366	0.124295	0.116439	0.524900	0.233004	0.122410	0.117937	0.526649	0.236341	0.122003	0.119093	0.522563	0.241635	0.121591	0.120665	0.516109	0.242559	0.121254	0.121199	0.514988	
36000	-82.032391	437	0.501448	2.346170	2.396862	2.862955	0.106793	0.060139	0.143964	0.689105	0.000025	0.000207	0.013941	0.985828	0.000013	0.000128	0.012084	0.987775	0.000773	0.002366	0.036905	0.959956	0.007909	0.011225	0.075081	0.905785	0.040831	0.031617	0.122340	0.805212	
37000	-86.251497	245	9.140422	7.712550	0.110652	2.430489	0.040593	0.178865	0.020298	0.760243	0.000010	0.175788	0.000006	0.824196	0.000015	0.177648	0.000008	0.822328	0.000048	0.180797	0.000025	0.819130	0.002238	0.183875	0.001164	0.812723	0.013551	0.185788	0.006812	0.793849	
38000	-83.138208	449	2.751885	3.237016	5.832859	2.985362	0.229468	0.112352	0.127511	0.530670	0.010266	0.008464	0.122538	0.858732	0.014521	0.011024	0.130745	0.843709	0.028877	0.020144	0.137233	0.813746	0.087851	0.043047	0.168266	0.700835	0.182532	0.082504	0.151791	0.583173	
39000	-81.496182	854	0.769948	1.757277	3.485272	2.554390	0.211159	0.105121	0.130692	0.553028	0.000220	0.000838	0.029904	0.969039	0.000100	0.000396	0.028924	0.970579	0.008511	0.013218	0.068892	0.909379	0.023231	0.021880	0.106033	0.848856	0.119563	0.066329	0.142439	0.671668	
40000	-84.322086	888	4.434050	2.719334	2.492418	2.603990	0.238102	0.122616	0.118886	0.520396	0.011471	0.067495	0.018054	0.902980	0.005493	0.045812	0.013198	0.935497	0.017534	0.071111	0.025692	0.885663	0.087824	0.114402	0.066083	0.731691	0.187037	0.128150	0.100356	0.584457	
41000	-84.556491	248	3.201885	2.048340	8.222038	6.806573	0.258220	0.129170	0.116644	0.495967	0.021055	0.014087	0.144290	0.820568	0.029766	0.018063	0.154620	0.797551	0.068151	0.037805	0.156435	0.737609	0.183812	0.096464	0.131799	0.587925	0.260100	0.131790	0.114589	0.493521	
42000	-83.617809	933	0.506326	1.574750	3.207392	1.606034	0.257206	0.096686	0.154011	0.492098	0.000138	0.000287	0.053488	0.946087	0.000044	0.000178	0.027911	0.971867	0.000211	0.000616	0.038708	0.960465	0.040005	0.021027	0.171729	0.767238	0.193332	0.058212	0.210280	0.538177	
43000	-82.648200	429	4.447832	3.093916	3.328667	2.537068	0.244040	0.120376	0.122398	0.513186	0.018617	0.062751	0.030982	0.887650	0.011276	0.047654	0.025487	0.915583	0.030549	0.070225	0.043780	0.855446	0.121114	0.103938	0.093429	0.681520	0.223411	0.116969	0.121025	0.538595	
44000	-84.187511	359	3.515535	2.869391	11.155686	6.724090	0.238634	0.119317	0.122295	0.519754	0.042348	0.022114	0.172014	0.763524	0.047696	0.024529	0.172728	0.755047	0.072472	0.036882	0.167233	0.723413	0.132989	0.066913	0.151628	0.648471	0.208498	0.104283	0.130865	0.556354	
45000	-82.235852	107	0.215201	1.905364	18.099466	10.095095	0.094133	0.047066	0.163581	0.695219	0.000068	0.000034	0.190368	0.809531	0.000030	0.000015	0.190394	0.809562	0.000374	0.000187	0.190341	0.809097	0.012930	0.006465	0.186778	0.793827	0.042193	0.021096	0.178421	0.758290	
46000	-81.968518	837	1.651833	2.303948	5.324971	3.856029	0.224989	0.113328	0.125284	0.536399	0.003533	0.004438	0.084947	0.907082	0.001857	0.002225	0.089040	0.906877	0.004190	0.004582	0.096295	0.894933	0.052991	0.037988	0.128149	0.780872	0.160780	0.087497	0.133623	0.618101	
47000	-82.067814	260	1.282587	1.661461	3.559280	2.162045	0.269956	0.127210	0.120436	0.482397	0.000072	0.000381	0.021763	0.977783	0.000499	0.001752	0.032317	0.965432	0.000826	0.002611	0.035756	0.960808	0.048995	0.040861	0.112519	0.797625	0.224351	0.103697	0.136332	0.535620	
48000	-82.987646	708	0.135754	2.419424	44.731742	27.199699	0.043861	0.021931	0.177944	0.756264	0.000039	0.000020	0.190465	0.809476	0.000018	0.000009	0.190471	0.809502	0.003365	0.001683	0.189515	0.805437	0.006943	0.003472	0.188492	0.801093	0.020223	0.010112	0.184698	0.784967	
49000	-85.927002	264	6.003567	2.835449	19.413598	11.184494	0.247594	0.123797	0.119735	0.508874	0.239109	0.119641	0.122072	0.519178	0.196362	0.098208	0.134338	0.571092	0.205401	0.102711	0.131777	0.560111	0.248723	0.124365	0.119409	0.507503	0.259033	0.129517	0.116467	0.494984	
50000	-81.128615	827	1.457148	1.657849	7.577484	5.368521	0.268647	0.134466	0.113596	0.483292	0.000823	0.000589	0.141135	0.857453	0.002030	0.001378	0.147212	0.849380	0.007281	0.004645	0.153849	0.834225	0.082628	0.046837	0.149623	0.720912	0.223829	0.114858	0.123339	0.537974	
51000	-85.978484	619	4.389498	4.809964	8.181478	4.988142	0.234177	0.117101	0.123555	0.525166	0.050591	0.032504	0.141912	0.774992	0.060263	0.036714	0.146157	0.756866	0.080240	0.046925	0.146182	0.726653	0.122483	0.065257	0.146917	0.665343	0.199059	0.100167	0.132792	0.567982	
52000	-83.008956	930	7.979028	5.617343	6.622569	3.876296	0.242562	0.121113	0.121340	0.514985	0.149253	0.121601	0.092003	0.637143	0.172780	0.121476	0.101167	0.604577	0.193178	0.122753	0.106865	0.577203	0.222070	0.120864	0.116787	0.540279	0.240190	0.120610	0.121331	0.517868	
53000	-85.049517	291	1.487519	1.949668	0.558880	3.358368	0.131249	0.153039	0.065594	0.650118	0.000001	0.000983	0.000080	0.998936	0.000003	0.001346	0.000242	0.998409	0.000006	0.002325	0.000291	0.997378	0.004889	0.050703	0.010593	0.933816	0.051951	0.133254	0.035733	0.779062	
54000	-82.214165	393	1.383436	2.304257	6.678538	3.265030	0.223517	0.110697	0.127799	0.537988	0.003725	0.002260	0.161486	0.832529	0.003155	0.002030	0.153768	0.841047	0.008723	0.005316	0.159531	0.826430	0.066181	0.031282	0.179870	0.722667	0.170730	0.079794	0.150721	0.598755	
55000	-81.759152	631	0.719133	1.544619	1.423554	2.066297	0.210751	0.116961	0.117589	0.554699	0.000011	0.000356	0.003629	0.996004	0.000012	0.000343	0.004113	0.995532	0.000178	0.002330	0.008895	0.988597	0.011152	0.027263	0.044151	0.917433	0.106953	0.086473	0.102457	0.704118	
56000	-82.435949	414	0.925608	1.733251	9.142544	4.946014	0.237586	0.118768	0.122620	0.521026	0.000529	0.000286	0.178498	0.820686	0.000548	0.000294	0.179721	0.819437	0.015585	0.008077	0.180626	0.795712	0.077755	0.039076	0.167528	0.715640	0.175037	0.087248	0.140869	0.596846	
57000	-82.557401	576	0.240240	1.853362	9.135038	5.400079	0.102681	0.051340	0.161140	0.684838	0.000015	0.000008	0.171796	0.828182	0.000047	0.000026	0.173994	0.825933	0.000262	0.000143	0.177178	0.822417	0.011510	0.005939	0.182444	0.800107	0.054584	0.027339	0.174629	0.743448	
58000	-84.227737	368	3.379078	4.189034	6.904508	3.877223	0.227227	0.113157	0.126051	0.533565	0.052309	0.032746	0.144742	0.770203	0.060258	0.035679	0.149856	0.754208	0.088373	0.049748	0.148988	0.712891	0.119306	0.061137	0.153024	0.666532	0.180184	0.088744	0.140959	0.590113	
59000	-83.673344	130	3.582166	3.880495	3.846474	3.379628	0.236378	0.119709	0.121387	0.522527	0.005566	0.022008	0.028096	0.944330	0.007487	0.022572	0.036428	0.933513	0.036974	0.052941	0.069099	0.840985	0.107140	0.085913	0.103244	0.703703	0.177249	0.104926	0.119009	0.598817	
60000	-85.590593	913	2.306737	2.966008	17.777340	6.218592	0.222758	0.111379	0.126831	0.539032	0.019242	0.009512	0.186716	0.784530	0.021305	0.010622	0.184816	0.783257	0.024987	0.012470	0.183616	0.778926	0.075404	0.037626	0.169222	0.717747	0.164248	0.082106	0.143578	0.610068	
61000	-85.978033	855	7.125384	2.587003	18.902027	10.794215	0.247927	0.123964	0.119640	0.508470	0.304098	0.152164	0.103506	0.440232	0.253943	0.127006	0.117889	0.501162	0.253003	0.126525	0.118168	0.502305	0.292352	0.146185	0.106940	0.454523	0.268281	0.134141	0.113824	0.483754	
62000	-84.644728	773	5.821254	4.056003	8.792975	4.600850	0.241201	0.120495	0.121668	0.516636	0.117353	0.068121	0.137263	0.677263	0.113496	0.064690	0.140606	0.681209	0.145143	0.079226	0.137530	0.638101	0.204013	0.102874	0.131119	0.561994	0.232923	0.115872	0.124549	0.526656	
63000	-82.900321	969	0.509586	1.623099	23.313870	10.647260	0.204587	0.102293	0.132023	0.561097	0.000076	0.000038	0.190443	0.809443	0.000296	0.000148	0.190386	0.809171	0.015464	0.007732	0.186060	0.790744	0.049432	0.024716	0.176353	0.749498	0.134416	0.067208	0.152072	0.646304	
64000	-81.632017	575	1.019903	2.097556	6.421397	4.151358	0.210086	0.105248	0.130207	0.554459	0.001082	0.000938	0.119288	0.878692	0.000915	0.000742	0.126434	0.871910	0.006737	0.004656	0.143819	0.844788	0.063352	0.035417	0.156686	0.744545	0.151773	0.077508	0.144307	0.626412	
65000	-80.603419	999	1.368062	2.541752	2.505572	2.102444	0.232004	0.108026	0.133118	0.526851	0.000012	0.000307	0.004756	0.994924	0.000077	0.000994	0.008981	0.989949	0.003978	0.012946	0.034298	0.948778	0.041628	0.040780	0.098383	0.819209	0.165399	0.081350	0.145397	0.607854	
66000	-84.376868	590	4.145652	2.384027	10.142992	6.187898	0.246245	0.123123	0.120120	0.510512	0.109126	0.058997	0.148673	0.683205	0.070143	0.037441	0.161167	0.731248	0.087944	0.046239	0.158311	0.707506	0.201261	0.101713	0.131621	0.565405	0.250398	0.125425	0.118717	0.505460	
67000	-84.887186	185	0.942367	1.392090	6.908765	2.761664	0.266261	0.131615	0.115757	0.486367	0.001902	0.001003	0.181800	0.815295	0.001340	0.000695	0.184538	0.813427	0.003821	0.001975	0.184347	0.809857	0.073629	0.029618	0.202919	0.693834	0.220476	0.096733	0.144373	0.538418	
68000	-84.294114	930	10.927809	8.606731	1.206436	1.779497	0.249519	0.119183	0.124762	0.506537	0.002204	0.183013	0.001153	0.813631	0.009326	0.183735	0.004790	0.802149	0.014563	0.184264	0.007381	0.793792	0.082439	0.165906	0.041514	0.710140	0.196778	0.134114	0.098497	0.570611	
69000	-85.074465	786	6.212300	2.763667	10.967933	5.298640	0.249582	0.124737	0.119219	0.506462	0.199866	0.104535	0.127733	0.567865	0.170639	0.088968	0.136309	0.604085	0.189331	0.097309	0.132874	0.580486	0.257127	0.127905	0.117625	0.497344	0.265287	0.132065	0.115196	0.487452	
70000	-83.626414	83	0.685469	1.574780	3.840243	5.294055	0.226249	0.116632	0.122101	0.535018	0.000036	0.000127	0.031883	0.967954	0.000179	0.000404	0.049535	0.949881	0.001491	0.002295	0.070732	0.925482	0.026689	0.028331	0.094282	0.850697	0.128460	0.084926	0.118834	0.667779	
71000	-83.506065	326	1.219566	1.954431	12.620093	5.831786	0.240659	0.120325	0.121721	0.517295	0.000501	0.000252	0.189140	0.810107	0.001071	0.000539	0.189134	0.809256	0.010013	0.005028	0.186962	0.797996	0.077665	0.038628	0.169045	0.714661	0.188996	0.094355	0.136672	0.579977	
72000	-83.100362	479	1.414299	1.844925	6.359689	5.266248	0.246559	0.123747	0.119574	0.510120	0.001157	0.001128	0.107396	0.890318	0.001204	0.001078	0.115948	0.881770	0.002001	0.001786	0.116019	0.880195	0.055511	0.037476	0.134603	0.772409	0.192000	0.101140	0.129047	0.577814	
73000	-83.391857	840	1.494183	2.835144	10.184810	4.906804	0.210320	0.105137	0.130413	0.554130	0.001384	0.000730	0.181964	0.815921	0.003283	0.001707	0.183643	0.811367	0.008589	0.004428	0.183386	0.803597	0.058291	0.028903	0.175046	0.737760	0.148633	0.074002	0.148579	0.628786	
74000	-85.420753	132	11.042110	6.679470	9.819108	7.910255	0.242419	0.121213	0.121210	0.515158	0.218470	0.123003	0.113820	0.544707	0.218741	0.120996	0.115800	0.544463	0.231869	0.121373	0.118685	0.528073	0.239176	0.121407	0.120312	0.519104	0.241976	0.121277	0.121051	0.515696	
75000	-87.122315	396	12.007072	11.148979	7.464296	5.752307	0.242017	0.121327	0.121010	0.515646	0.179609	0.135718	0.092238	0.592434	0.192807	0.132995	0.098234	0.575963	0.204353	0.130707	0.103304	0.561636	0.218569	0.127188	0.110026	0.544216	0.236717	0.122746	0.118452	0.522084	
76000	-81.969373	886	2.794684	2.494655	2.065011	2.584670	0.224087	0.122547	0.115672	0.537694	0.001783	0.016912	0.012021	0.969284	0.000733	0.011249	0.007519	0.980498	0.002377	0.020773	0.012976	0.963874	0.033967	0.068193	0.049702	0.848138	0.148822	0.115546	0.096801	0.638831	
77000	-83.580930	52	1.741054	2.369329	12.070715	4.756232	0.232866	0.116411	0.123966	0.526757	0.002762	0.001331	0.195374	0.800533	0.003640	0.001758	0.194792	0.799810	0.011402	0.005584	0.190406	0.792607	0.089053	0.043282	0.169095	0.698570	0.190437	0.094738	0.136715	0.578109	
78000	-83.436317	607	0.108884	2.651249	1.575724	2.506254	0.032017	0.019875	0.151056	0.797051	0.000001	0.000020	0.008412	0.991567	0.000000	0.000003	0.002327	0.997670	0.000001	0.000023	0.004862	0.995114	0.000405	0.001493	0.030838	0.967264	0.009532	0.009037	0.108342	0.873089	
79000	-82.782271	563	1.077283	2.706025	13.478380	7.613918	0.196397	0.098198	0.134363	0.571042	0.002696	0.001367	0.187566	0.808371	0.004555	0.002297	0.187899	0.805249	0.010715	0.005378	0.186824	0.797082	0.045810	0.022923	0.177274	0.753993	0.116069	0.058032	0.157319	0.668580	
80000	-84.754183	699	0.126994	2.426467	4.870024	5.693294	0.042756	0.021963	0.174289	0.760992	0.000003	0.000006	0.055203	0.944788	0.000005	0.000007	0.075837	0.924151	0.000044	0.000048	0.095809	0.904099	0.002535	0.002172	0.120179	0.875113	0.018082	0.010424	0.164649	0.806844	
81000	-85.812760	567	10.172512	4.931422	5.657780	4.594668	0.240600	0.121805	0.120229	0.517366	0.153125	0.148649	0.075471	0.622754	0.134713	0.147557	0.069612	0.648117	0.152043	0.143512	0.078071	0.626374	0.185393	0.139138	0.091536	0.583934	0.229879	0.125542	0.114246	0.530334	
82000	-87.148808	151	15.913333	16.478744	13.215980	6.608530	0.242427	0.121211	0.121214	0.515148	0.240621	0.121550	0.120486	0.517343	0.241252	0.121450	0.120722	0.516576	0.241436	0.121436	0.120776	0.516352	0.242542	0.121167	0.121283	0.515009	0.242505	0.121188	0.121253	0.515054	
83000	-86.273383	334	12.163373	9.916209	6.919789	2.644528	0.247146	0.119863	0.123573	0.509418	0.241447	0.119315	0.122921	0.516318	0.244200	0.119578	0.123246	0.512976	0.244997	0.119744	0.123246	0.512014	0.278716	0.110523	0.139742	0.471019	0.269474	0.113441	0.134786	0.482299	
84000	-85.298350	600	6.586443	2.551031	9.472946	6.527966	0.245895	0.122954	0.120214	0.510936	0.239411	0.132948	0.109724	0.517916	0.212562	0.117112	0.117950	0.552375	0.219712	0.118967	0.118041	0.543280	0.271395	0.138447	0.110597	0.479561	0.268986	0.134962	0.113214	0.482838	
85000	-86.969637	281	3.806446	4.724302	20.273898	8.783203	0.238723	0.119361	0.122270	0.519646	0.039856	0.019928	0.179087	0.761130	0.036036	0.018018	0.180185	0.765761	0.080671	0.040336	0.167425	0.711568	0.135279	0.067633	0.151839	0.645249	0.197615	0.098806	0.134016	0.569562	
