,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)"
austronesian-hawaiian-bi.localextendedfamily-dep1.Log.txt,0.228,0.147,0.265,0.360
austronesian-hawaiian-bi.localextendedfamily-indep1.Log.txt,0.274,0.154,0.274,0.297
austronesian-hawaiian-bi.localresidence-dep1.Log.txt,0.394,0.060,0.472,0.074
austronesian-hawaiian-bi.localresidence-indep1.Log.txt,0.369,0.072,0.479,0.080
austronesian-iroquois-cross.cousinmarriage.permitted-dep1.Log.txt,0.882,0.029,0.056,0.033
austronesian-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt,0.963,0.009,0.018,0.010
austronesian-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt,0.865,0.109,0.007,0.019
austronesian-iroquois-cross.cousinmarriage.preferred-indep1.Log.txt,0.590,0.263,0.022,0.125
austronesian-iroquois-exogamy.unilineal.descent-dep1.Log.txt,0.987,0.002,0.010,0.001
austronesian-iroquois-exogamy.unilineal.descent-indep1.Log.txt,0.990,0.002,0.008,0.001
austronesian-iroquois-high.polygyny-dep1.Log.txt,0.600,0.094,0.208,0.099
austronesian-iroquois-high.polygyny-indep1.Log.txt,0.991,0.003,0.004,0.001
austronesian-iroquois-matri.anvunclocalresidence-dep1.Log.txt,0.742,0.017,0.239,0.001
austronesian-iroquois-matri.anvunclocalresidence-indep1.Log.txt,0.960,0.028,0.010,0.002
austronesian-iroquois-polygyny-dep1.Log.txt,0.352,0.647,0.000,0.001
austronesian-iroquois-polygyny-indep1.Log.txt,0.380,0.617,0.001,0.002
austronesian-iroquois-uni.linealdescent-dep1.Log.txt,0.724,0.197,0.018,0.060
austronesian-iroquois-uni.linealdescent-indep1.Log.txt,0.921,0.067,0.004,0.008
austronesian-iroquois-uni.localresidence-dep1.Log.txt,0.764,0.213,0.010,0.013
austronesian-iroquois-uni.localresidence-indep1.Log.txt,0.365,0.359,0.069,0.207
bantu-crow-matri.anvunclocalresidence-dep1.Log.txt,0.781,0.202,0.010,0.007
bantu-crow-matri.anvunclocalresidence-indep1.Log.txt,0.650,0.302,0.027,0.021
bantu-crow-matrilineal-dep1.Log.txt,0.710,0.265,0.013,0.012
bantu-crow-matrilineal-indep1.Log.txt,0.684,0.274,0.023,0.019
bantu-crow-matrilocal-dep1.Log.txt,0.935,0.027,0.027,0.011
bantu-crow-matrilocal-indep1.Log.txt,0.972,0.012,0.012,0.004
bantu-crow-uni.localresidence-dep1.Log.txt,0.035,0.963,0.000,0.002
bantu-crow-uni.localresidence-indep1.Log.txt,0.049,0.947,0.001,0.004
bantu-hawaiian-absenceofcousinmarriage.permitted-dep1.Log.txt,0.033,0.909,0.004,0.054
bantu-hawaiian-absenceofcousinmarriage.permitted-indep1.Log.txt,0.054,0.879,0.007,0.061
bantu-hawaiian-absenceofcousinmarriage.preference-dep1.Log.txt,0.934,0.010,0.056,0.000
bantu-hawaiian-absenceofcousinmarriage.preference-indep1.Log.txt,0.901,0.018,0.081,0.000
bantu-hawaiian-bi.linealdescent-dep1.Log.txt,0.909,0.047,0.041,0.004
bantu-hawaiian-bi.linealdescent-indep1.Log.txt,0.889,0.052,0.053,0.006
bantu-hawaiian-bi.localextendedfamily-dep1.Log.txt,0.754,0.167,0.059,0.020
bantu-hawaiian-bi.localextendedfamily-indep1.Log.txt,0.734,0.188,0.056,0.022
bantu-hawaiian-bi.localresidence-dep1.Log.txt,0.931,0.005,0.064,0.000
bantu-hawaiian-bi.localresidence-indep1.Log.txt,0.921,0.012,0.067,0.000
bantu-iroquois-cross.cousinmarriage.permitted-dep1.Log.txt,0.477,0.003,0.491,0.029
bantu-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt,0.485,0.006,0.466,0.043
bantu-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt,0.109,0.122,0.210,0.560
bantu-iroquois-cross.cousinmarriage.preferred-indep1.Log.txt,0.247,0.119,0.123,0.511
