Rate	83.33
Rev Jump	16.67
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
55446	0.940753	4553	0.374259	0.116563	55447	0.940754	0.897765	0.897767	
45874	0.934843	4126	0.299079	0.173986	45874	0.934843	0.882380	0.890773	
45183	0.865591	4817	0.218186	0.285488	45183	0.865591	0.803220	0.863413	
45247	0.825027	4753	0.224911	0.562819	45247	0.825027	0.767980	0.840690	
45260	0.813522	4740	0.246414	0.734803	45260	0.813522	0.759760	0.825127	
45493	0.850043	4507	0.260927	1.115789	45493	0.850043	0.796940	0.820581	
45132	0.682620	4868	0.248767	1.782212	45132	0.682620	0.640380	0.795553	
44634	0.524152	5366	0.232948	2.489723	44634	0.524152	0.492900	0.758644	
44687	0.525365	5313	0.236778	2.977276	44687	0.525365	0.494700	0.729954	
44359	0.473861	5641	0.245524	4.916597	44359	0.473861	0.448100	0.702322	
45187	0.574811	4813	0.249533	5.000000	45187	0.574811	0.543500	0.688141	
44978	0.561008	5022	0.261051	5.000000	44978	0.561008	0.530880	0.675251	
43495	0.296287	6505	0.218755	5.000000	43495	0.296287	0.286200	0.645777	
45176	0.585621	4824	0.254975	5.000000	45176	0.585621	0.553720	0.639294	
45342	0.603414	4658	0.262130	5.000000	45342	0.603414	0.571620	0.634842	
43286	0.283533	6714	0.205690	5.000000	43286	0.283533	0.273080	0.612511	
43594	0.320365	6406	0.206993	5.000000	43594	0.320365	0.305840	0.594681	
45325	0.617540	4675	0.258182	5.000000	45325	0.617540	0.583940	0.594091	
45759	0.395725	4241	0.322565	5.000000	45759	0.395725	0.389520	0.583436	
46278	0.136609	3722	0.374261	5.000000	46278	0.136609	0.154300	0.562192	
45033	0.505674	4967	0.246225	3.457885	45033	0.505674	0.479900	0.558310	
44831	0.559278	5169	0.269298	4.951189	44831	0.559278	0.529300	0.557004	
43963	0.412597	6037	0.229750	5.000000	43963	0.412597	0.390520	0.549828	
43021	0.170312	6979	0.217653	5.000000	43021	0.170312	0.176920	0.534418	
44964	0.478116	5036	0.232327	4.047844	44964	0.478116	0.453360	0.531202	
46224	0.137331	3776	0.379502	5.000000	46224	0.137331	0.155620	0.516866	
46317	0.260207	3683	0.374152	2.644439	46317	0.260207	0.268600	0.507739	
46138	0.260631	3862	0.369498	2.644439	46138	0.260631	0.269040	0.499274	
46458	0.260730	3542	0.404574	2.644439	46458	0.260730	0.270920	0.491454	
46493	0.259458	3507	0.375250	2.644439	46493	0.259458	0.267580	0.484041	
46268	0.261044	3732	0.382905	2.644439	46268	0.261044	0.270140	0.477185	
46192	0.258486	3808	0.381303	2.644439	46192	0.258486	0.267840	0.470684	
46155	0.491626	3845	0.323017	2.644439	46155	0.491626	0.478660	0.470924	
45457	0.560552	4543	0.247414	5.000000	45457	0.560552	0.532100	0.472713	
45217	0.596170	4783	0.246289	5.000000	45217	0.596170	0.562700	0.475269	
44106	0.376343	5894	0.225823	5.000000	44106	0.376343	0.358600	0.472046	
45358	0.616010	4642	0.258294	5.000000	45358	0.616010	0.582800	0.475024	
43937	0.352869	6063	0.214745	5.000000	43937	0.352869	0.336120	0.471387	
