Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2682945388
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
950000	-12.439398	809	0.470600	1	8	'Z Z Z Z Z 0 0 0 0 Z Z Z 	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
1000000	-12.542450	309	0.551124	1	5	'0 Z Z Z 0 0 0 0 0 Z Z 0 	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.000010	0.999895	0.000095	
1050000	-13.123732	604	0.635213	1	4	'Z 0 Z 0 0 Z 0 0 0 0 Z 0 	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000025	0.000025	0.996638	0.003312	
1100000	-11.689514	42	0.841080	1	7	'Z 0 Z Z 0 Z 0 0 0 Z Z Z 	0.000000	0.200000	0.000000	0.000000	0.200000	0.000000	0.200000	0.200000	0.200000	0.000000	0.000000	0.000000	0.001190	0.001190	0.997620	0.000000	
1150000	-11.497829	793	0.525724	1	8	'Z Z Z Z Z Z 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.000000	0.000000	0.250000	0.000000	0.000000	0.999226	0.000774	
1200000	-13.766838	851	0.453772	1	6	'0 Z Z Z Z 0 0 0 0 Z 0 Z 	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
1250000	-12.856709	384	0.610846	1	5	'0 0 Z 0 0 Z 0 0 0 Z Z Z 	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000038	0.000037	0.999925	0.000000	
1300000	-12.745802	212	0.779894	1	6	'Z Z Z Z Z Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.991994	0.008006	
1350000	-12.095137	983	0.819722	1	6	'Z Z Z 0 0 Z 0 0 0 Z 0 Z 	0.000000	0.000000	0.000000	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000041	0.999959	0.000000	
1400000	-11.699782	887	0.959686	1	5	'Z Z Z 0 Z 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.997580	0.002419	
1450000	-11.669341	18	1.000697	1	7	'Z 0 Z Z Z Z 0 0 0 Z 0 Z 	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.200000	0.000000	0.200000	0.000000	0.000189	0.000000	0.999811	0.000000	
1500000	-11.876360	618	0.875082	1	5	'Z Z 0 0 0 Z 0 0 0 0 Z Z 	0.000000	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000063	0.999937	0.000000	
1550000	-13.426427	590	0.891071	1	8	'Z Z Z Z 0 Z Z 0 0 0 Z Z 	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000152	0.999848	0.000000	
1600000	-12.798241	689	0.927514	1	6	'0 Z Z 0 Z Z 0 0 0 Z 0 Z 	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
1650000	-12.727520	608	0.780525	1	4	'Z 0 Z Z 0 Z 0 0 0 0 0 0 	0.000000	0.125000	0.000000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000066	0.000064	0.996526	0.003344	
1700000	-12.994491	519	0.811891	1	3	'Z 0 0 0 0 0 0 0 0 0 Z Z 	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.000220	0.000034	0.999746	0.000000	
