Options:
Model:                           MultiState
Tree File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.bttrees
Data File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.btdata
Log File Name:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1627917299
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-21.070693	778	1	2	'0 0 Z 0 0 0 0 Z 0 0 0 0 	0.061851	0.061851	0.000000	0.061851	0.061851	0.061851	0.061851	0.000000	0.061851	0.061851	0.061851	0.061851	0.008049	0.023651	0.890762	0.077538	
100000	-19.358383	690	2	5	'1 0 Z 1 1 1 Z 0 Z 0 Z Z 	18.613473	4.439024	0.000000	18.613473	18.613473	18.613473	0.000000	4.439024	0.000000	4.439024	0.000000	0.000000	0.250000	0.250000	0.250000	0.250000	
150000	-18.925380	527	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	8.358665	8.358665	8.358665	8.358665	8.358665	8.358665	0.000000	0.000000	8.358665	8.358665	8.358665	8.358665	0.250000	0.250000	0.250000	0.250000	
200000	-21.036755	54	2	2	'0 0 1 Z 1 0 0 0 1 0 Z 1 	0.355675	0.355675	8.618280	0.000000	8.618280	0.355675	0.355675	0.355675	8.618280	0.355675	0.000000	8.618280	0.250000	0.250000	0.250000	0.250000	
250000	-20.041487	709	1	5	'0 0 Z 0 0 0 Z 0 Z Z Z 0 	14.294969	14.294969	0.000000	14.294969	14.294969	14.294969	0.000000	14.294969	0.000000	0.000000	0.000000	14.294969	0.250000	0.250000	0.250000	0.250000	
300000	-19.068894	393	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	4.846031	4.846031	4.846031	4.846031	4.846031	0.000000	0.000000	0.000000	4.846031	0.000000	4.846031	4.846031	0.250000	0.250000	0.250000	0.250000	
350000	-19.462570	49	1	5	'Z Z 0 0 0 0 Z Z 0 Z 0 0 	0.000000	0.000000	3.055633	3.055633	3.055633	3.055633	0.000000	0.000000	3.055633	0.000000	3.055633	3.055633	0.249931	0.249992	0.250054	0.250023	
400000	-19.385220	519	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	12.153750	12.153750	0.000000	12.153750	12.153750	0.000000	0.000000	12.153750	12.153750	12.153750	12.153750	0.250000	0.250000	0.250000	0.250000	
450000	-17.679337	465	1	4	'0 0 0 Z 0 0 Z Z 0 0 Z 0 	0.891590	0.891590	0.891590	0.000000	0.891590	0.891590	0.000000	0.000000	0.891590	0.891590	0.000000	0.891590	0.243439	0.243167	0.269513	0.243881	
500000	-18.757069	597	1	3	'Z 0 0 0 0 0 Z Z 0 0 0 0 	0.000000	2.160855	2.160855	2.160855	2.160855	2.160855	0.000000	0.000000	2.160855	2.160855	2.160855	2.160855	0.250000	0.250000	0.250000	0.250000	
550000	-19.341133	601	1	6	'Z Z Z 0 Z 0 Z Z 0 0 0 0 	0.000000	0.000000	0.000000	0.140663	0.000000	0.140663	0.000000	0.000000	0.140663	0.140663	0.140663	0.140663	0.000000	0.000197	0.979113	0.020690	
600000	-18.159786	215	1	3	'Z 0 0 0 0 0 Z Z 0 0 0 0 	0.000000	0.749010	0.749010	0.749010	0.749010	0.749010	0.000000	0.000000	0.749010	0.749010	0.749010	0.749010	0.250478	0.249971	0.249573	0.249979	
650000	-19.521490	81	1	3	'0 0 Z 0 0 0 Z Z 0 0 0 0 	17.453208	17.453208	0.000000	17.453208	17.453208	17.453208	0.000000	0.000000	17.453208	17.453208	17.453208	17.453208	0.250000	0.250000	0.250000	0.250000	
700000	-19.572665	231	1	5	'0 0 0 0 0 Z 0 Z Z Z Z 0 	6.377109	6.377109	6.377109	6.377109	6.377109	0.000000	6.377109	0.000000	0.000000	0.000000	0.000000	6.377109	0.250000	0.250000	0.250000	0.250000	
750000	-17.424912	462	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	0.453940	0.453940	0.453940	0.453940	0.453940	0.000000	0.000000	0.000000	0.453940	0.000000	0.453940	0.453940	0.250085	0.263631	0.278030	0.208253	
800000	-19.183069	139	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	4.539622	4.539622	4.539622	4.539622	4.539622	4.539622	0.000000	0.000000	4.539622	4.539622	4.539622	4.539622	0.250000	0.250000	0.250000	0.250000	
850000	-19.348919	316	1	6	'0 0 Z Z 0 Z 0 Z 0 Z Z 0 	0.093687	0.093687	0.000000	0.000000	0.093687	0.000000	0.093687	0.000000	0.093687	0.000000	0.000000	0.093687	0.018244	0.018008	0.875026	0.088722	
900000	-18.011420	304	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	0.974648	0.974648	0.974648	0.974648	0.974648	0.000000	0.000000	0.000000	0.974648	0.974648	0.974648	0.974648	0.249093	0.249064	0.252750	0.249093	
950000	-19.182737	398	1	4	'0 0 Z Z 0 0 Z Z 0 0 0 0 	2.005425	2.005425	0.000000	0.000000	2.005425	2.005425	0.000000	0.000000	2.005425	2.005425	2.005425	2.005425	0.249986	0.249985	0.250043	0.249986	
1000000	-16.658788	407	2	4	'Z 1 0 0 0 Z Z Z 0 0 0 1 	0.000000	7.450416	2.592006	2.592006	2.592006	0.000000	0.000000	0.000000	2.592006	2.592006	2.592006	7.450416	0.250000	0.249999	0.250000	0.250000	
1050000	-18.372336	119	2	5	'1 0 Z 0 0 0 Z 1 Z Z Z 0 	6.083080	9.840376	0.000000	9.840376	9.840376	9.840376	0.000000	6.083080	0.000000	0.000000	0.000000	9.840376	0.250000	0.250000	0.250000	0.250000	
1100000	-17.603064	362	1	5	'0 0 0 0 Z Z Z Z 0 0 Z 0 	0.646318	0.646318	0.646318	0.646318	0.000000	0.000000	0.000000	0.000000	0.646318	0.646318	0.000000	0.646318	0.196514	0.044924	0.475730	0.282832	
1150000	-18.793965	173	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	15.114713	15.114713	15.114713	0.000000	15.114713	0.000000	0.000000	0.000000	15.114713	15.114713	0.000000	15.114713	0.250000	0.250000	0.250000	0.250000	
1200000	-17.438521	108	1	5	'0 Z Z 0 0 0 Z Z 0 Z 0 0 	0.570308	0.000000	0.000000	0.570308	0.570308	0.570308	0.000000	0.000000	0.570308	0.000000	0.570308	0.570308	0.076854	0.220629	0.404426	0.298091	
1250000	-18.920897	259	1	5	'Z 0 0 0 0 0 Z 0 Z Z Z 0 	0.000000	3.944634	3.944634	3.944634	3.944634	3.944634	0.000000	3.944634	0.000000	0.000000	0.000000	3.944634	0.250000	0.250000	0.250000	0.250000	
1300000	-19.211184	289	1	5	'Z Z 0 0 Z 0 Z Z 0 0 0 0 	0.000000	0.000000	0.118719	0.118719	0.000000	0.118719	0.000000	0.000000	0.118719	0.118719	0.118719	0.118719	0.001268	0.001268	0.944791	0.052673	
1350000	-23.746946	546	1	5	'Z 0 0 0 0 0 0 Z Z Z 0 Z 	0.000000	18.949549	18.949549	18.949549	18.949549	18.949549	18.949549	0.000000	0.000000	0.000000	18.949549	0.000000	0.250000	0.250000	0.250000	0.250000	
1400000	-20.202760	586	1	7	'Z 0 Z 0 Z Z Z Z 0 0 Z 0 	0.000000	0.870045	0.000000	0.870045	0.000000	0.000000	0.000000	0.000000	0.870045	0.870045	0.000000	0.870045	0.000000	1.000000	0.000000	0.000000	
1450000	-18.979255	179	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	5.741360	5.741360	5.741360	5.741360	5.741360	5.741360	0.000000	0.000000	5.741360	5.741360	5.741360	5.741360	0.250000	0.250000	0.250000	0.250000	
1500000	-19.522776	176	1	4	'0 0 0 0 Z 0 Z Z 0 0 Z 0 	6.534636	6.534636	6.534636	6.534636	0.000000	6.534636	0.000000	0.000000	6.534636	6.534636	0.000000	6.534636	0.250000	0.250000	0.250000	0.250000	
1550000	-20.739763	762	1	3	'0 0 0 0 0 0 Z 0 Z Z 0 0 	19.898361	19.898361	19.898361	19.898361	19.898361	19.898361	0.000000	19.898361	0.000000	0.000000	19.898361	19.898361	0.250000	0.250000	0.250000	0.250000	
1600000	-20.015057	674	1	5	'Z Z 0 0 0 0 Z Z 0 Z 0 0 	0.000000	0.000000	5.680440	5.680440	5.680440	5.680440	0.000000	0.000000	5.680440	0.000000	5.680440	5.680440	0.250000	0.250000	0.250000	0.250000	
1650000	-18.902917	424	1	6	'0 Z Z 0 0 Z Z Z 0 0 Z 0 	0.336927	0.000000	0.000000	0.336927	0.336927	0.000000	0.000000	0.000000	0.336927	0.336927	0.000000	0.336927	0.030904	0.171400	0.605137	0.192559	
1700000	-19.544785	25	1	5	'0 0 Z Z 0 0 Z Z 0 Z 0 0 	0.499844	0.499844	0.000000	0.000000	0.499844	0.499844	0.000000	0.000000	0.499844	0.000000	0.499844	0.499844	1.000000	0.000000	0.000000	0.000000	
1750000	-18.472586	640	1	4	'0 0 Z Z 0 0 Z Z 0 0 0 0 	1.406771	1.406771	0.000000	0.000000	1.406771	1.406771	0.000000	0.000000	1.406771	1.406771	1.406771	1.406771	0.249966	0.249933	0.250141	0.249960	
1800000	-19.377863	445	1	6	'Z 0 Z Z 0 Z Z Z 0 0 0 0 	0.000000	1.370118	0.000000	0.000000	1.370118	0.000000	0.000000	0.000000	1.370118	1.370118	1.370118	1.370118	0.250857	0.247778	0.252046	0.249319	
1850000	-21.957737	119	1	4	'Z 0 0 Z 0 0 Z 0 Z 0 0 0 	0.000000	16.005541	16.005541	0.000000	16.005541	16.005541	0.000000	16.005541	0.000000	16.005541	16.005541	16.005541	0.250000	0.250000	0.250000	0.250000	
1900000	-18.369802	542	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	2.625161	2.625161	2.625161	0.000000	2.625161	0.000000	0.000000	0.000000	2.625161	2.625161	0.000000	2.625161	0.249998	0.249993	0.250007	0.250002	
1950000	-20.286394	369	1	8	'0 Z 0 Z Z Z Z Z 0 0 Z Z 	0.118654	0.000000	0.118654	0.000000	0.000000	0.000000	0.000000	0.000000	0.118654	0.118654	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
2000000	-19.385965	270	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	13.337763	13.337763	13.337763	13.337763	13.337763	13.337763	0.000000	0.000000	13.337763	13.337763	13.337763	13.337763	0.250000	0.250000	0.250000	0.250000	
2050000	-21.856477	58	1	3	'0 Z 0 0 0 0 Z Z 0 0 0 0 	7.872457	0.000000	7.872457	7.872457	7.872457	7.872457	0.000000	0.000000	7.872457	7.872457	7.872457	7.872457	0.250000	0.250000	0.250000	0.250000	
2100000	-18.808153	134	1	5	'Z 0 Z Z 0 0 Z Z 0 0 0 0 	0.000000	1.303209	0.000000	0.000000	1.303209	1.303209	0.000000	0.000000	1.303209	1.303209	1.303209	1.303209	0.255238	0.245504	0.250030	0.249228	
