Options:
Model:                           MultiState
Tree File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.bttrees
Data File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.btdata
Log File Name:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1713834995
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-19.254259	521	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	3.630952	3.630952	3.630952	3.630952	3.630952	0.000000	0.000000	0.000000	3.630952	0.000000	3.630952	3.630952	0.250000	0.250000	0.250000	0.250000	
100000	-18.023106	612	1	5	'0 Z 0 0 0 Z Z Z 0 0 Z 0 	0.145913	0.000000	0.145913	0.145913	0.145913	0.000000	0.000000	0.000000	0.145913	0.145913	0.000000	0.145913	0.015490	0.076847	0.781244	0.126419	
150000	-20.192220	90	1	4	'Z 0 Z 0 0 0 Z Z 0 0 0 0 	0.000000	4.326444	0.000000	4.326444	4.326444	4.326444	0.000000	0.000000	4.326444	4.326444	4.326444	4.326444	0.250000	0.250000	0.250000	0.250000	
200000	-20.009504	338	1	4	'0 0 0 Z 0 0 0 Z Z Z 0 0 	1.956359	1.956359	1.956359	0.000000	1.956359	1.956359	1.956359	0.000000	0.000000	0.000000	1.956359	1.956359	0.249880	0.249880	0.250358	0.249881	
250000	-20.850233	652	1	5	'0 Z Z 0 0 0 Z Z 0 Z 0 0 	13.546800	0.000000	0.000000	13.546800	13.546800	13.546800	0.000000	0.000000	13.546800	0.000000	13.546800	13.546800	0.250000	0.250000	0.250000	0.250000	
300000	-18.707137	156	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	1.911841	1.911841	0.000000	1.911841	1.911841	0.000000	0.000000	1.911841	1.911841	1.911841	1.911841	0.250164	0.249846	0.249985	0.250005	
350000	-19.099443	688	1	4	'0 0 Z 0 0 0 Z Z 0 Z 0 0 	6.021518	6.021518	0.000000	6.021518	6.021518	6.021518	0.000000	0.000000	6.021518	0.000000	6.021518	6.021518	0.250000	0.250000	0.250000	0.250000	
400000	-18.395475	484	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	0.839601	0.839601	0.839601	0.839601	0.839601	0.839601	0.000000	0.000000	0.839601	0.839601	0.839601	0.839601	0.248258	0.248257	0.255227	0.248259	
450000	-18.210163	300	1	4	'0 Z 0 0 0 0 Z Z 0 Z 0 0 	0.611149	0.000000	0.611149	0.611149	0.611149	0.611149	0.000000	0.000000	0.611149	0.000000	0.611149	0.611149	0.183686	0.249755	0.310109	0.256450	
500000	-21.071175	307	1	6	'0 Z 0 0 Z Z Z Z 0 0 Z 0 	0.973856	0.000000	0.973856	0.973856	0.000000	0.000000	0.000000	0.000000	0.973856	0.973856	0.000000	0.973856	0.071876	0.014404	0.626899	0.286821	
550000	-18.084128	112	1	3	'0 0 0 0 0 0 Z Z 0 0 Z 0 	0.280133	0.280133	0.280133	0.280133	0.280133	0.280133	0.000000	0.000000	0.280133	0.280133	0.000000	0.280133	0.254823	0.228690	0.300547	0.215939	
600000	-18.612705	399	2	4	'1 0 1 0 Z 0 1 Z Z 1 Z 1 	2.331476	5.201461	2.331476	5.201461	0.000000	5.201461	2.331476	0.000000	0.000000	2.331476	0.000000	2.331476	0.250004	0.249944	0.250080	0.249972	
650000	-19.542171	90	1	4	'Z 0 0 0 0 Z Z Z 0 0 0 0 	0.000000	6.679026	6.679026	6.679026	6.679026	0.000000	0.000000	0.000000	6.679026	6.679026	6.679026	6.679026	0.249998	0.250002	0.249998	0.250002	
700000	-18.439250	332	1	4	'0 0 Z 0 0 0 Z Z 0 Z 0 0 	2.694175	2.694175	0.000000	2.694175	2.694175	2.694175	0.000000	0.000000	2.694175	0.000000	2.694175	2.694175	0.249979	0.249980	0.250061	0.249980	
750000	-18.713901	497	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	6.773651	6.773651	6.773651	0.000000	6.773651	0.000000	0.000000	0.000000	6.773651	6.773651	0.000000	6.773651	0.250000	0.250000	0.250000	0.250000	
800000	-18.741889	137	1	4	'0 0 Z 0 0 0 Z Z 0 Z 0 0 	3.247636	3.247636	0.000000	3.247636	3.247636	3.247636	0.000000	0.000000	3.247636	0.000000	3.247636	3.247636	0.250000	0.250000	0.250000	0.250000	
850000	-19.396112	777	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	11.376210	11.376210	11.376210	11.376210	11.376210	11.376210	0.000000	0.000000	11.376210	11.376210	11.376210	11.376210	0.250000	0.250000	0.250000	0.250000	
900000	-19.097426	531	1	6	'0 0 0 Z Z Z Z Z 0 0 Z 0 	0.482949	0.482949	0.482949	0.000000	0.000000	0.000000	0.000000	0.000000	0.482949	0.482949	0.000000	0.482949	0.146597	0.000000	0.556935	0.296468	
950000	-19.374523	678	1	4	'0 0 Z Z 0 0 Z Z 0 0 0 0 	12.548912	12.548912	0.000000	0.000000	12.548912	12.548912	0.000000	0.000000	12.548912	12.548912	12.548912	12.548912	0.250000	0.250000	0.250000	0.250000	
1000000	-20.021761	201	1	5	'0 0 Z 0 0 0 Z 0 Z Z Z 0 	30.506777	30.506777	0.000000	30.506777	30.506777	30.506777	0.000000	30.506777	0.000000	0.000000	0.000000	30.506777	0.250000	0.250000	0.250000	0.250000	
1050000	-19.067122	336	1	4	'Z 0 0 0 0 0 Z Z 0 Z 0 0 	0.000000	7.162681	7.162681	7.162681	7.162681	7.162681	0.000000	0.000000	7.162681	0.000000	7.162681	7.162681	0.250000	0.250000	0.250000	0.250000	
1100000	-21.881426	379	1	6	'0 Z Z 0 0 Z Z 0 0 Z 0 Z 	0.068575	0.000000	0.000000	0.068575	0.068575	0.000000	0.000000	0.068575	0.068575	0.000000	0.068575	0.000000	0.000011	0.006370	0.993517	0.000102	
1150000	-22.473470	520	1	3	'0 Z 0 0 0 Z Z 0 0 0 0 0 	0.037280	0.000000	0.037280	0.037280	0.037280	0.000000	0.000000	0.037280	0.037280	0.037280	0.037280	0.037280	0.000017	0.001593	0.988086	0.010303	
