Options:
Model:                           MultiState
Tree File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.bttrees
Data File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.btdata
Log File Name:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1667198595
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-20.031309	784	1	5	'0 0 Z 0 0 0 Z 0 Z Z Z 0 	8.975132	8.975132	0.000000	8.975132	8.975132	8.975132	0.000000	8.975132	0.000000	0.000000	0.000000	8.975132	0.250000	0.250000	0.250000	0.250000	
100000	-22.934805	124	1	4	'Z 0 0 Z 0 0 Z 0 0 0 Z 0 	0.000000	1.204045	1.204045	0.000000	1.204045	1.204045	0.000000	1.204045	1.204045	1.204045	0.000000	1.204045	0.253535	0.246681	0.246740	0.253043	
150000	-19.091228	287	1	4	'Z 0 0 0 0 0 Z Z 0 Z 0 0 	0.000000	13.501315	13.501315	13.501315	13.501315	13.501315	0.000000	0.000000	13.501315	0.000000	13.501315	13.501315	0.250000	0.250000	0.250000	0.250000	
200000	-20.117267	464	1	5	'0 Z Z 0 0 0 Z Z 0 Z 0 0 	4.792909	0.000000	0.000000	4.792909	4.792909	4.792909	0.000000	0.000000	4.792909	0.000000	4.792909	4.792909	0.250051	0.250003	0.249964	0.249981	
250000	-17.903513	747	2	6	'0 1 1 Z 0 Z 0 Z Z 1 Z Z 	1.550346	14.231240	14.231240	0.000000	1.550346	0.000000	1.550346	0.000000	0.000000	14.231240	0.000000	0.000000	0.252162	0.242441	0.253248	0.252148	
300000	-19.489176	681	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	13.735332	13.735332	13.735332	13.735332	13.735332	0.000000	0.000000	0.000000	13.735332	0.000000	13.735332	13.735332	0.250000	0.250000	0.250000	0.250000	
350000	-18.449840	698	1	4	'0 0 0 Z 0 0 Z Z 0 0 0 Z 	0.289999	0.289999	0.289999	0.000000	0.289999	0.289999	0.000000	0.000000	0.289999	0.289999	0.289999	0.000000	0.164274	0.149677	0.641453	0.044595	
400000	-18.633040	318	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	1.188949	1.188949	1.188949	1.188949	1.188949	0.000000	0.000000	0.000000	1.188949	1.188949	1.188949	1.188949	0.249644	0.249643	0.251070	0.249644	
450000	-18.000837	541	1	4	'Z 0 0 0 Z 0 Z Z 0 0 0 0 	0.000000	0.412745	0.412745	0.412745	0.000000	0.412745	0.000000	0.000000	0.412745	0.412745	0.412745	0.412745	0.232815	0.080517	0.502522	0.184146	
500000	-19.585564	713	1	4	'Z 0 0 0 0 0 Z Z 0 0 0 Z 	0.000000	0.187736	0.187736	0.187736	0.187736	0.187736	0.000000	0.000000	0.187736	0.187736	0.187736	0.000000	0.104180	0.104667	0.769963	0.021189	
