Options:
Model:                           MultiState
Tree File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.bttrees
Data File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.btdata
Log File Name:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3155626864
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-19.640761	223	1	5	'Z 0 0 0 Z Z Z Z 0 0 0 0 	0.000000	0.906215	0.906215	0.906215	0.000000	0.000000	0.000000	0.000000	0.906215	0.906215	0.906215	0.906215	0.269841	0.206540	0.276932	0.246687	
100000	-20.519156	582	1	3	'0 0 0 0 0 0 0 Z Z Z 0 0 	36.625286	36.625286	36.625286	36.625286	36.625286	36.625286	36.625286	0.000000	0.000000	0.000000	36.625286	36.625286	0.250000	0.250000	0.250000	0.250000	
150000	-17.132552	120	2	5	'Z Z 1 1 1 1 Z 0 Z Z 0 1 	0.000000	0.000000	14.461117	14.461117	14.461117	14.461117	0.000000	3.823280	0.000000	0.000000	3.823280	14.461117	0.250000	0.250000	0.250000	0.250000	
200000	-19.062993	179	1	4	'0 0 Z 0 0 0 Z Z 0 Z 0 0 	16.441815	16.441815	0.000000	16.441815	16.441815	16.441815	0.000000	0.000000	16.441815	0.000000	16.441815	16.441815	0.250000	0.250000	0.250000	0.250000	
250000	-19.580074	307	1	5	'0 0 Z 0 0 0 Z 0 Z Z Z 0 	5.767691	5.767691	0.000000	5.767691	5.767691	5.767691	0.000000	5.767691	0.000000	0.000000	0.000000	5.767691	0.250000	0.250000	0.250000	0.250000	
300000	-18.366602	193	1	5	'Z 0 Z 0 0 0 Z Z 0 Z 0 0 	0.000000	2.471106	0.000000	2.471106	2.471106	2.471106	0.000000	0.000000	2.471106	0.000000	2.471106	2.471106	0.249999	0.249999	0.250003	0.249999	
350000	-20.248460	546	1	5	'Z 0 0 Z 0 0 0 Z Z Z 0 0 	0.000000	5.303594	5.303594	0.000000	5.303594	5.303594	5.303594	0.000000	0.000000	0.000000	5.303594	5.303594	0.250000	0.250000	0.250000	0.250000	
400000	-19.330500	538	2	6	'0 0 1 Z 1 Z 0 Z Z Z Z 0 	4.497233	4.497233	6.117910	0.000000	6.117910	0.000000	4.497233	0.000000	0.000000	0.000000	0.000000	4.497233	0.250000	0.250000	0.250000	0.250000	
450000	-19.283115	191	1	5	'0 0 Z 0 0 Z Z Z 0 Z 0 0 	6.245246	6.245246	0.000000	6.245246	6.245246	0.000000	0.000000	0.000000	6.245246	0.000000	6.245246	6.245246	0.250000	0.250000	0.250000	0.250000	
500000	-21.196234	431	2	4	'Z 1 0 0 1 0 Z 0 Z Z 0 1 	0.000000	16.089315	4.081435	4.081435	16.089315	4.081435	0.000000	4.081435	0.000000	0.000000	4.081435	16.089315	0.250000	0.250000	0.250000	0.250000	
