Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-hawaiian-bi.localextendedfamily.bttrees
Data File Name:                  ./data/austronesian-hawaiian-bi.localextendedfamily.btdata
Log File Name:                   ./output/austronesian-hawaiian-bi.localextendedfamily-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            266205425
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-bi.localextendedfamily-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.253012,0.168675,0.253012,0.325301)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       83
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-112.557951	530	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	14.032816	0.000000	14.032816	14.032816	14.032816	14.032816	14.032816	0.313922	0.123129	0.276429	0.286520	
12000	-110.116317	34	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	5.584465	5.584465	5.584465	5.584465	5.584465	5.584465	5.584465	0.114828	0.184608	0.234819	0.465745	
13000	-110.062263	223	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	5.209256	5.209256	5.209256	5.209256	5.209256	5.209256	5.209256	0.083048	0.190033	0.221460	0.505459	
14000	-110.843948	847	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	8.171657	0.000000	8.171657	8.171657	8.171657	8.171657	8.171657	0.366255	0.075962	0.304720	0.253063	
15000	-112.753414	740	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.996600	0.000000	3.996600	3.996600	3.996600	3.996600	3.996600	0.158457	0.045904	0.438551	0.357087	
16000	-110.423432	735	1	0	'0 0 0 0 0 0 0 0 	I	4.932306	4.932306	4.932306	4.932306	4.932306	4.932306	4.932306	4.932306	0.273037	0.153809	0.274707	0.298447	
17000	-111.845364	402	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	11.075050	0.000000	11.075050	11.075050	11.075050	11.075050	11.075050	0.346927	0.096937	0.290495	0.265641	
18000	-111.063565	338	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	7.620129	0.000000	7.620129	7.620129	7.620129	7.620129	7.620129	0.389410	0.050772	0.326325	0.233493	
19000	-111.655071	770	1	0	'0 0 0 0 0 0 0 0 	I	6.061472	6.061472	6.061472	6.061472	6.061472	6.061472	6.061472	6.061472	0.260548	0.163033	0.261205	0.315214	
20000	-110.597880	584	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.864407	3.864407	3.864407	3.864407	3.864407	3.864407	3.864407	0.063656	0.206394	0.207323	0.522627	
