Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/uto-iroquois-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/uto-iroquois-matri.anvunclocalresidence-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1449100612
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-matri.anvunclocalresidence-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.409091,0.409091,0.181818,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-22.868568	204	1	2	'0 0 0 0 0 Z 0 Z 	D	35.240539	35.240539	35.240539	35.240539	35.240539	0.000000	35.240539	0.000000	0.960682	0.026676	0.012642	0.000000	
12000	-21.000447	303	1	2	'0 0 0 Z 0 Z 0 0 	D	38.131100	38.131100	38.131100	0.000000	38.131100	0.000000	38.131100	38.131100	0.959246	0.033038	0.007717	0.000000	
13000	-22.365584	587	1	2	'0 0 0 Z 0 0 Z 0 	D	33.629704	33.629704	33.629704	0.000000	33.629704	33.629704	0.000000	33.629704	0.957207	0.030034	0.012759	0.000000	
14000	-25.091666	735	1	1	'0 0 0 0 0 0 0 Z 	D	15.276321	15.276321	15.276321	15.276321	15.276321	15.276321	15.276321	0.000000	0.985795	0.005042	0.009163	0.000000	
15000	-20.593430	395	1	1	'0 0 0 Z 0 0 0 0 	D	65.456895	65.456895	65.456895	0.000000	65.456895	65.456895	65.456895	65.456895	0.927682	0.047015	0.025303	0.000000	
16000	-21.799936	277	1	4	'0 0 0 Z Z 0 Z Z 	D	24.517286	24.517286	24.517286	0.000000	0.000000	24.517286	0.000000	0.000000	0.981576	0.018424	0.000000	0.000000	
17000	-21.252819	211	1	2	'0 0 0 Z Z 0 0 0 	D	41.433885	41.433885	41.433885	0.000000	0.000000	41.433885	41.433885	41.433885	0.974348	0.025652	0.000000	0.000000	
18000	-22.868427	591	1	4	'0 0 0 Z Z Z 0 Z 	D	18.782088	18.782088	18.782088	0.000000	0.000000	0.000000	18.782088	0.000000	0.989884	0.010116	0.000000	0.000000	
19000	-22.950257	24	1	1	'0 0 0 Z 0 0 0 0 	D	20.055054	20.055054	20.055054	0.000000	20.055054	20.055054	20.055054	20.055054	0.969980	0.024082	0.005938	0.000000	
20000	-22.897170	123	1	2	'0 0 0 Z 0 Z 0 0 	D	23.463931	23.463931	23.463931	0.000000	23.463931	0.000000	23.463931	23.463931	0.976932	0.015214	0.007854	0.000000	
