Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/bantu-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/bantu-hawaiian-bi.localresidence-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4268064021
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-hawaiian-bi.localresidence-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.739130,0.130435,0.130435,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-46.229604	307	1	4	'0 0 0 Z Z Z Z 0 	D	0.680398	0.680398	0.680398	0.000000	0.000000	0.000000	0.000000	0.680398	0.993649	0.006351	0.000000	0.000000	
12000	-45.747828	956	1	4	'0 0 Z Z 0 Z 0 Z 	D	0.391376	0.391376	0.000000	0.000000	0.391376	0.000000	0.391376	0.000000	0.939484	0.000000	0.060516	0.000000	
13000	-47.733938	476	1	2	'0 0 0 0 0 0 Z Z 	D	0.900511	0.900511	0.900511	0.900511	0.900511	0.900511	0.000000	0.000000	0.924268	0.009815	0.065917	0.000000	
14000	-46.705651	682	1	4	'0 0 0 Z Z Z 0 Z 	D	0.517342	0.517342	0.517342	0.000000	0.000000	0.000000	0.517342	0.000000	0.995543	0.004457	0.000000	0.000000	
15000	-45.518266	373	1	2	'0 0 0 Z 0 Z 0 0 	D	0.581699	0.581699	0.581699	0.000000	0.581699	0.000000	0.581699	0.581699	0.908028	0.004347	0.087625	0.000000	
16000	-50.767165	134	1	3	'0 0 Z Z Z 0 0 0 	D	0.360829	0.360829	0.000000	0.000000	0.000000	0.360829	0.360829	0.360829	1.000000	0.000000	0.000000	0.000000	
17000	-47.436101	251	1	2	'0 0 0 Z 0 Z 0 0 	D	0.657731	0.657731	0.657731	0.000000	0.657731	0.000000	0.657731	0.657731	0.886992	0.006218	0.106790	0.000000	
18000	-46.865972	474	1	2	'0 0 0 Z Z 0 0 0 	D	0.798899	0.798899	0.798899	0.000000	0.000000	0.798899	0.798899	0.798899	0.990756	0.008878	0.000367	0.000000	
19000	-45.978287	412	1	3	'0 0 Z Z 0 Z 0 0 	D	0.498086	0.498086	0.000000	0.000000	0.498086	0.000000	0.498086	0.498086	0.918736	0.000000	0.081264	0.000000	
20000	-47.740739	225	1	4	'0 0 0 Z Z Z 0 Z 	D	0.438389	0.438389	0.438389	0.000000	0.000000	0.000000	0.438389	0.000000	0.997090	0.002910	0.000000	0.000000	
21000	-46.647868	699	1	2	'0 0 0 Z 0 0 Z 0 	D	0.518169	0.518169	0.518169	0.000000	0.518169	0.518169	0.000000	0.518169	0.941679	0.002592	0.055729	0.000000	
22000	-46.666314	685	1	3	'0 0 Z 0 Z Z 0 0 	D	0.837158	0.837158	0.000000	0.837158	0.000000	0.000000	0.837158	0.837158	1.000000	0.000000	0.000000	0.000000	
23000	-46.759311	925	1	4	'0 0 0 Z Z Z 0 Z 	D	0.763889	0.763889	0.763889	0.000000	0.000000	0.000000	0.763889	0.000000	0.993290	0.006710	0.000000	0.000000	
24000	-46.452807	274	1	3	'0 0 0 0 Z Z 0 Z 	D	0.686232	0.686232	0.686232	0.686232	0.000000	0.000000	0.686232	0.000000	0.995945	0.004055	0.000000	0.000000	
25000	-45.746151	838	1	4	'0 0 0 Z Z Z Z 0 	D	0.631322	0.631322	0.631322	0.000000	0.000000	0.000000	0.000000	0.631322	0.994204	0.005796	0.000000	0.000000	
26000	-50.684837	375	1	1	'0 0 0 0 0 0 Z 0 	D	1.123973	1.123973	1.123973	1.123973	1.123973	1.123973	0.000000	1.123973	0.898365	0.027328	0.074308	0.000000	
27000	-47.577066	682	1	2	'0 0 0 0 0 0 Z Z 	D	0.584542	0.584542	0.584542	0.584542	0.584542	0.584542	0.000000	0.000000	0.931555	0.004908	0.063537	0.000000	
28000	-49.568451	15	1	1	'0 0 0 0 0 0 0 Z 	D	0.626379	0.626379	0.626379	0.626379	0.626379	0.626379	0.626379	0.000000	0.934892	0.003708	0.061400	0.000000	
29000	-47.044777	973	1	2	'0 0 0 0 0 Z 0 Z 	D	0.702515	0.702515	0.702515	0.702515	0.702515	0.000000	0.702515	0.000000	0.912076	0.004686	0.083238	0.000000	
30000	-47.471661	299	1	2	'0 0 0 Z 0 0 Z 0 	D	0.729685	0.729685	0.729685	0.000000	0.729685	0.729685	0.000000	0.729685	0.933050	0.005859	0.061092	0.000000	
31000	-49.013343	663	1	4	'0 0 Z Z 0 Z Z 0 	D	1.146287	1.146287	0.000000	0.000000	1.146287	0.000000	0.000000	1.146287	0.855110	0.000000	0.144890	0.000000	
32000	-46.004973	306	1	2	'0 0 Z 0 0 Z 0 0 	D	0.823155	0.823155	0.000000	0.823155	0.823155	0.000000	0.823155	0.823155	0.895663	0.000140	0.104197	0.000000	
33000	-47.164880	731	1	2	'0 0 0 0 Z Z 0 0 	D	0.681934	0.681934	0.681934	0.681934	0.000000	0.000000	0.681934	0.681934	0.992170	0.007830	0.000000	0.000000	
34000	-47.609718	279	1	2	'0 0 0 0 0 Z 0 Z 	D	0.632428	0.632428	0.632428	0.632428	0.632428	0.000000	0.632428	0.000000	0.896502	0.004817	0.098681	0.000000	
35000	-46.817726	912	1	2	'0 0 Z 0 0 Z 0 0 	D	0.849755	0.849755	0.000000	0.849755	0.849755	0.000000	0.849755	0.849755	0.905189	0.000101	0.094710	0.000000	
36000	-47.086047	662	1	4	'0 0 Z Z 0 Z Z 0 	D	0.771577	0.771577	0.000000	0.000000	0.771577	0.000000	0.000000	0.771577	0.893001	0.000000	0.106999	0.000000	
37000	-45.015219	631	1	4	'0 0 Z Z 0 Z Z 0 	D	0.694164	0.694164	0.000000	0.000000	0.694164	0.000000	0.000000	0.694164	0.919849	0.000000	0.080151	0.000000	
38000	-47.687403	235	1	2	'0 0 0 Z 0 Z 0 0 	D	1.035532	1.035532	1.035532	0.000000	1.035532	0.000000	1.035532	1.035532	0.885091	0.013683	0.101226	0.000000	
39000	-47.034268	83	1	3	'0 0 0 0 Z Z 0 Z 	D	0.816119	0.816119	0.816119	0.816119	0.000000	0.000000	0.816119	0.000000	0.991502	0.008498	0.000000	0.000000	
40000	-46.168541	306	1	1	'0 0 0 0 0 Z 0 0 	D	0.529307	0.529307	0.529307	0.529307	0.529307	0.000000	0.529307	0.529307	0.907954	0.007377	0.084668	0.000000	
41000	-47.134081	957	1	3	'0 0 0 0 Z Z 0 Z 	D	0.835392	0.835392	0.835392	0.835392	0.000000	0.000000	0.835392	0.000000	0.993163	0.006837	0.000000	0.000000	
42000	-45.958209	311	1	3	'0 0 Z Z 0 Z 0 0 	D	0.550546	0.550546	0.000000	0.000000	0.550546	0.000000	0.550546	0.550546	0.898151	0.000000	0.101849	0.000000	
43000	-46.206504	466	1	2	'0 0 0 0 Z Z 0 0 	D	0.637497	0.637497	0.637497	0.637497	0.000000	0.000000	0.637497	0.637497	0.988008	0.011992	0.000000	0.000000	
44000	-46.476967	912	1	3	'0 0 Z Z 0 Z 0 0 	D	0.937140	0.937140	0.000000	0.000000	0.937140	0.000000	0.937140	0.937140	0.894322	0.000000	0.105678	0.000000	
45000	-50.016481	99	1	3	'0 0 Z Z Z 0 0 0 	D	0.999757	0.999757	0.000000	0.000000	0.000000	0.999757	0.999757	0.999757	1.000000	0.000000	0.000000	0.000000	
46000	-45.785883	455	1	4	'0 0 Z Z 0 Z 0 Z 	D	0.858708	0.858708	0.000000	0.000000	0.858708	0.000000	0.858708	0.000000	0.885362	0.000000	0.114638	0.000000	
47000	-47.164568	695	1	4	'0 0 0 Z Z Z 0 Z 	D	0.644171	0.644171	0.644171	0.000000	0.000000	0.000000	0.644171	0.000000	0.991400	0.008600	0.000000	0.000000	
48000	-49.030109	982	1	4	'0 0 Z 0 0 Z Z Z 	D	0.881451	0.881451	0.000000	0.881451	0.881451	0.000000	0.000000	0.000000	0.893068	0.000000	0.106932	0.000000	
49000	-46.094848	639	1	4	'0 0 Z Z 0 Z Z 0 	D	0.755194	0.755194	0.000000	0.000000	0.755194	0.000000	0.000000	0.755194	0.897219	0.000000	0.102781	0.000000	
50000	-49.582771	304	1	2	'0 0 Z 0 Z 0 0 0 	D	0.561352	0.561352	0.000000	0.561352	0.000000	0.561352	0.561352	0.561352	1.000000	0.000000	0.000000	0.000000	
51000	-46.126986	139	1	4	'0 0 0 Z Z Z Z 0 	D	0.605376	0.605376	0.605376	0.000000	0.000000	0.000000	0.000000	0.605376	0.994247	0.005753	0.000000	0.000000	
52000	-45.584073	764	1	4	'0 0 Z Z 0 Z Z 0 	D	0.517510	0.517510	0.000000	0.000000	0.517510	0.000000	0.000000	0.517510	0.914622	0.000000	0.085378	0.000000	
53000	-46.268548	130	1	3	'0 0 0 Z Z Z 0 0 	D	0.622628	0.622628	0.622628	0.000000	0.000000	0.000000	0.622628	0.622628	0.991342	0.008658	0.000000	0.000000	
54000	-48.081561	511	1	4	'0 0 0 Z Z Z 0 Z 	D	0.612743	0.612743	0.612743	0.000000	0.000000	0.000000	0.612743	0.000000	0.995829	0.004171	0.000000	0.000000	
55000	-49.098070	417	1	2	'0 0 Z Z 0 0 0 0 	D	0.715962	0.715962	0.000000	0.000000	0.715962	0.715962	0.715962	0.715962	0.921464	0.000000	0.078536	0.000000	
56000	-46.046089	980	1	2	'0 0 0 Z 0 Z 0 0 	D	0.984734	0.984734	0.984734	0.000000	0.984734	0.000000	0.984734	0.984734	0.902236	0.011265	0.086499	0.000000	
57000	-47.777090	303	1	3	'0 0 0 0 Z Z 0 Z 	D	0.508070	0.508070	0.508070	0.508070	0.000000	0.000000	0.508070	0.000000	0.997049	0.002951	0.000000	0.000000	
58000	-45.882931	480	1	4	'0 0 0 Z Z Z 0 Z 	D	0.865428	0.865428	0.865428	0.000000	0.000000	0.000000	0.865428	0.000000	0.990866	0.009134	0.000000	0.000000	
