Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/uto-hawaiian-absenceofcousinmarriage.permitted-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            743277233
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-absenceofcousinmarriage.permitted-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.000000,0.263158,0.105263,0.631579)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.104381
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-11.915783	27	1	4	'0 Z Z Z Z 0 0 0 	D	27.701208	0.000000	0.000000	0.000000	0.000000	27.701208	27.701208	27.701208	0.000000	0.000000	0.002510	0.997490	
12000	-12.212992	824	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	25.700878	0.000000	0.000000	25.700878	25.700878	25.700878	25.700878	0.000000	0.000000	0.001002	0.998998	
13000	-13.303947	469	1	4	'Z 0 Z 0 Z Z 0 0 	D	0.000000	13.772434	0.000000	13.772434	0.000000	0.000000	13.772434	13.772434	0.000000	0.000290	0.000000	0.999710	
14000	-12.836904	463	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.703892	27.703892	27.703892	27.703892	27.703892	0.000000	0.008033	0.000558	0.991410	
15000	-11.957895	411	1	2	'0 0 Z Z 0 0 0 0 	D	68.810594	68.810594	0.000000	0.000000	68.810594	68.810594	68.810594	68.810594	0.000000	0.000000	0.009262	0.990738	
16000	-12.774462	547	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.414684	27.414684	27.414684	27.414684	27.414684	0.000000	0.039073	0.001601	0.959326	
17000	-14.264748	39	1	4	'Z Z 0 0 Z Z 0 0 	D	0.000000	0.000000	15.844362	15.844362	0.000000	0.000000	15.844362	15.844362	0.000000	0.007233	0.000000	0.992767	
18000	-12.521201	499	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	26.726937	0.000000	0.000000	26.726937	26.726937	26.726937	26.726937	0.000000	0.000000	0.008610	0.991390	
19000	-12.428568	372	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	29.038625	0.000000	29.038625	29.038625	29.038625	29.038625	29.038625	0.000000	0.015323	0.000687	0.983990	
20000	-12.828518	365	1	1	'0 Z 0 0 0 0 0 0 	D	23.683918	0.000000	23.683918	23.683918	23.683918	23.683918	23.683918	23.683918	0.000000	0.007139	0.001202	0.991658	
