Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.linealdescent.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.linealdescent.btdata
Log File Name:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4077911377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.072464,0.289855,0.086957,0.550725)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-75.885401	113	1	0	'0 0 0 0 	1.581719	1.581719	1.581719	1.581719	0.045332	0.326613	0.050618	0.577437	
50000	-74.997646	906	1	0	'0 0 0 0 	1.337639	1.337639	1.337639	1.337639	0.046984	0.437771	0.032709	0.482536	
51000	-77.063800	182	1	0	'0 0 0 0 	1.208657	1.208657	1.208657	1.208657	0.042000	0.375000	0.038516	0.544484	
52000	-76.942236	832	1	0	'0 0 0 0 	1.613883	1.613883	1.613883	1.613883	0.044820	0.359199	0.043537	0.552444	
53000	-77.357640	441	1	0	'0 0 0 0 	1.000987	1.000987	1.000987	1.000987	0.049400	0.482550	0.028425	0.439625	
54000	-75.655759	141	1	0	'0 0 0 0 	1.505138	1.505138	1.505138	1.505138	0.038193	0.321921	0.044605	0.595281	
55000	-76.907649	680	1	0	'0 0 0 0 	1.249774	1.249774	1.249774	1.249774	0.043808	0.392977	0.037046	0.526169	
56000	-77.044542	830	2	0	'1 1 1 0 	6.881261	6.881261	6.881261	2.171508	0.070777	0.290554	0.085157	0.553512	
57000	-78.218009	759	1	0	'0 0 0 0 	1.025368	1.025368	1.025368	1.025368	0.050673	0.507116	0.026251	0.415960	
58000	-76.305114	412	1	0	'0 0 0 0 	1.188018	1.188018	1.188018	1.188018	0.042917	0.446995	0.029163	0.480925	
59000	-77.608318	904	1	0	'0 0 0 0 	1.553130	1.553130	1.553130	1.553130	0.035196	0.354770	0.035970	0.574064	
60000	-75.725784	754	1	0	'0 0 0 0 	1.780275	1.780275	1.780275	1.780275	0.050161	0.351766	0.049413	0.548659	
61000	-75.715120	12	1	0	'0 0 0 0 	1.336710	1.336710	1.336710	1.336710	0.052063	0.432342	0.036442	0.479154	
62000	-75.245308	267	1	0	'0 0 0 0 	1.308417	1.308417	1.308417	1.308417	0.038120	0.391276	0.033075	0.537530	
63000	-74.691258	460	1	0	'0 0 0 0 	1.182094	1.182094	1.182094	1.182094	0.053734	0.471609	0.031864	0.442793	
64000	-75.855067	860	1	0	'0 0 0 0 	1.062583	1.062583	1.062583	1.062583	0.040635	0.470408	0.025296	0.463661	
65000	-77.035178	974	1	0	'0 0 0 0 	1.754573	1.754573	1.754573	1.754573	0.048152	0.320322	0.054759	0.576766	
66000	-76.099823	780	1	0	'0 0 0 0 	1.787542	1.787542	1.787542	1.787542	0.038861	0.346420	0.040671	0.574048	
67000	-77.298595	579	1	0	'0 0 0 0 	1.647756	1.647756	1.647756	1.647756	0.033241	0.374596	0.031427	0.560736	
68000	-75.397059	591	1	0	'0 0 0 0 	1.082645	1.082645	1.082645	1.082645	0.031580	0.494393	0.018382	0.455646	
69000	-77.432746	888	1	0	'0 0 0 0 	1.701347	1.701347	1.701347	1.701347	0.050608	0.333902	0.053771	0.561719	
70000	-77.777426	880	1	0	'0 0 0 0 	1.646026	1.646026	1.646026	1.646026	0.042635	0.360218	0.041534	0.555613	
71000	-76.595340	382	1	0	'0 0 0 0 	2.235614	2.235614	2.235614	2.235614	0.042820	0.306060	0.052863	0.598257	
72000	-74.757308	248	1	0	'0 0 0 0 	1.143576	1.143576	1.143576	1.143576	0.050230	0.509919	0.025762	0.414089	
73000	-78.241313	902	1	0	'0 0 0 0 	2.392342	2.392342	2.392342	2.392342	0.049773	0.299944	0.061688	0.588595	
74000	-77.291753	771	1	0	'0 0 0 0 	1.186734	1.186734	1.186734	1.186734	0.035517	0.436337	0.025824	0.502322	
75000	-77.794262	420	1	0	'0 0 0 0 	1.093836	1.093836	1.093836	1.093836	0.044639	0.531088	0.021387	0.402886	
76000	-76.867816	732	2	0	'1 1 1 0 	4.217251	4.217251	4.217251	1.959984	0.065009	0.289598	0.080140	0.565253	
77000	-76.536651	329	1	0	'0 0 0 0 	1.578216	1.578216	1.578216	1.578216	0.042566	0.354417	0.042516	0.560501	
78000	-75.855031	663	1	0	'0 0 0 0 	1.347541	1.347541	1.347541	1.347541	0.045580	0.433302	0.032464	0.488653	
79000	-74.608483	16	1	0	'0 0 0 0 	1.444800	1.444800	1.444800	1.444800	0.048005	0.384018	0.041562	0.526415	
80000	-72.904082	330	1	0	'0 0 0 0 	1.226695	1.226695	1.226695	1.226695	0.046430	0.457451	0.029887	0.466231	
81000	-77.336869	52	1	0	'0 0 0 0 	2.277068	2.277068	2.277068	2.277068	0.048147	0.307390	0.058014	0.586450	
