Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.preference-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            626227286
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.preference-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.316456,0.126582,0.531646,0.025316)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000084
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-84.516433	946	2	2	'0 0 1 Z Z 0 1 1 	D	6.451289	6.451289	36.334766	0.000000	0.000000	6.451289	36.334766	36.334766	0.393427	0.169114	0.410513	0.026946	
12000	-86.675576	802	2	0	'0 0 1 0 0 0 1 1 	D	2.981105	2.981105	16.422055	2.981105	2.981105	2.981105	16.422055	16.422055	0.211526	0.077152	0.687120	0.024202	
13000	-86.271276	305	2	1	'1 0 0 0 1 Z 0 1 	D	25.313341	36.802084	36.802084	36.802084	25.313341	0.000000	36.802084	25.313341	0.316455	0.126582	0.531647	0.025316	
14000	-90.844948	906	1	1	'0 0 0 0 0 Z 0 0 	D	13.023372	13.023372	13.023372	13.023372	13.023372	0.000000	13.023372	13.023372	0.312588	0.122861	0.539567	0.024984	
15000	-90.213805	207	1	1	'0 0 0 0 0 Z 0 0 	D	10.484849	10.484849	10.484849	10.484849	10.484849	0.000000	10.484849	10.484849	0.302748	0.113337	0.559849	0.024066	
16000	-89.964544	149	1	1	'0 0 0 0 0 Z 0 0 	D	17.238010	17.238010	17.238010	17.238010	17.238010	0.000000	17.238010	17.238010	0.316154	0.126295	0.532260	0.025292	
17000	-89.182654	170	1	1	'0 0 0 0 0 Z 0 0 	D	6.600738	6.600738	6.600738	6.600738	6.600738	0.000000	6.600738	6.600738	0.255428	0.072001	0.653134	0.019437	
18000	-89.591330	226	1	1	'0 0 0 0 0 Z 0 0 	D	25.007816	25.007816	25.007816	25.007816	25.007816	0.000000	25.007816	25.007816	0.316454	0.126581	0.531649	0.025316	
19000	-88.660305	166	1	1	'0 0 0 0 0 Z 0 0 	D	4.847349	4.847349	4.847349	4.847349	4.847349	0.000000	4.847349	4.847349	0.160693	0.021536	0.807469	0.010302	
20000	-89.567393	855	1	1	'0 0 0 0 0 Z 0 0 	D	6.594194	6.594194	6.594194	6.594194	6.594194	0.000000	6.594194	6.594194	0.240247	0.061177	0.680667	0.017909	
21000	-90.148561	331	1	1	'0 0 0 0 0 Z 0 0 	D	15.842730	15.842730	15.842730	15.842730	15.842730	0.000000	15.842730	15.842730	0.315926	0.126076	0.532725	0.025273	
22000	-90.340155	946	1	1	'0 0 0 0 0 Z 0 0 	D	9.719323	9.719323	9.719323	9.719323	9.719323	0.000000	9.719323	9.719323	0.298479	0.109354	0.568496	0.023671	
23000	-90.086860	983	1	1	'0 0 0 0 0 Z 0 0 	D	14.649601	14.649601	14.649601	14.649601	14.649601	0.000000	14.649601	14.649601	0.314669	0.124866	0.535300	0.025165	
24000	-93.401665	844	1	2	'0 0 Z 0 0 Z 0 0 	D	4.588949	4.588949	0.000000	4.588949	4.588949	0.000000	4.588949	4.588949	0.077465	0.001558	0.915881	0.005096	
25000	-89.879891	769	1	1	'0 0 0 0 0 Z 0 0 	D	8.412946	8.412946	8.412946	8.412946	8.412946	0.000000	8.412946	8.412946	0.284375	0.096248	0.597078	0.022298	
26000	-85.522510	784	2	1	'1 1 0 0 1 Z 0 0 	D	12.771787	12.771787	27.186579	27.186579	12.771787	0.000000	27.186579	27.186579	0.316442	0.126577	0.531665	0.025316	
27000	-89.195445	833	1	1	'0 0 0 0 0 Z 0 0 	D	7.124876	7.124876	7.124876	7.124876	7.124876	0.000000	7.124876	7.124876	0.241298	0.062106	0.678638	0.017958	
28000	-90.196612	468	1	1	'0 0 0 0 0 Z 0 0 	D	9.706362	9.706362	9.706362	9.706362	9.706362	0.000000	9.706362	9.706362	0.295139	0.106212	0.575304	0.023345	
29000	-90.129439	789	1	1	'0 0 0 0 0 Z 0 0 	D	25.001403	25.001403	25.001403	25.001403	25.001403	0.000000	25.001403	25.001403	0.316453	0.126579	0.531652	0.025316	
30000	-89.472137	28	1	1	'0 0 0 0 0 Z 0 0 	D	4.599433	4.599433	4.599433	4.599433	4.599433	0.000000	4.599433	4.599433	0.180532	0.028471	0.778706	0.012291	
31000	-85.992855	800	2	1	'0 1 1 1 0 Z 0 1 	D	14.523468	25.067956	25.067956	25.067956	14.523468	0.000000	14.523468	25.067956	0.316448	0.126574	0.531662	0.025316	
32000	-87.266830	771	2	1	'1 1 1 0 0 Z 1 1 	D	17.456934	17.456934	17.456934	8.863132	8.863132	0.000000	17.456934	17.456934	0.315326	0.125516	0.533932	0.025226	
33000	-92.901880	87	1	2	'0 0 0 0 0 Z 0 Z 	D	5.825952	5.825952	5.825952	5.825952	5.825952	0.000000	5.825952	0.000000	0.149344	0.008086	0.842398	0.000171	
34000	-89.204178	594	1	1	'0 0 0 0 0 Z 0 0 	D	8.670743	8.670743	8.670743	8.670743	8.670743	0.000000	8.670743	8.670743	0.292388	0.103396	0.581151	0.023066	
35000	-91.224826	948	1	2	'0 0 0 0 0 Z 0 Z 	D	3.783061	3.783061	3.783061	3.783061	3.783061	0.000000	3.783061	0.000000	0.072409	0.000925	0.926663	0.000003	
36000	-89.238972	54	1	1	'0 0 0 0 0 Z 0 0 	D	9.951926	9.951926	9.951926	9.951926	9.951926	0.000000	9.951926	9.951926	0.299945	0.110692	0.565557	0.023805	
37000	-90.088067	703	1	1	'0 0 0 0 0 Z 0 0 	D	8.590473	8.590473	8.590473	8.590473	8.590473	0.000000	8.590473	8.590473	0.285130	0.096865	0.595644	0.022362	
38000	-89.269898	842	1	1	'0 0 0 0 0 Z 0 0 	D	21.917902	21.917902	21.917902	21.917902	21.917902	0.000000	21.917902	21.917902	0.316237	0.126374	0.532091	0.025298	
39000	-90.040968	871	1	1	'0 0 0 0 0 Z 0 0 	D	9.516117	9.516117	9.516117	9.516117	9.516117	0.000000	9.516117	9.516117	0.293386	0.104484	0.578982	0.023148	
40000	-89.371524	854	1	1	'0 0 0 0 0 Z 0 0 	D	7.565625	7.565625	7.565625	7.565625	7.565625	0.000000	7.565625	7.565625	0.262285	0.077643	0.639962	0.020110	
41000	-90.118333	541	1	1	'0 0 0 0 0 Z 0 0 	D	18.427562	18.427562	18.427562	18.427562	18.427562	0.000000	18.427562	18.427562	0.316252	0.126389	0.532059	0.025300	
42000	-89.856340	713	1	1	'0 0 0 0 0 Z 0 0 	D	9.367610	9.367610	9.367610	9.367610	9.367610	0.000000	9.367610	9.367610	0.286922	0.098560	0.592009	0.022508	
43000	-89.049644	32	1	1	'0 0 0 0 0 Z 0 0 	D	4.833198	4.833198	4.833198	4.833198	4.833198	0.000000	4.833198	4.833198	0.186944	0.031700	0.768291	0.013066	
44000	-90.018619	794	1	1	'0 0 0 0 0 Z 0 0 	D	6.639570	6.639570	6.639570	6.639570	6.639570	0.000000	6.639570	6.639570	0.227716	0.053048	0.702578	0.016658	
