Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-omaha-uni.localresidence.btdata
Log File Name:                   ./output/bantu-omaha-uni.localresidence-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3380969450
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-uni.localresidence-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.130435,0.753623,0.000000,0.115942)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-49.731874	611	1	2	'0 Z 0 0 0 0 0 Z 	D	0.644342	0.000000	0.644342	0.644342	0.644342	0.644342	0.644342	0.000000	0.063082	0.932427	0.000000	0.004490	
12000	-50.312559	867	1	1	'0 0 0 0 Z 0 0 0 	D	0.654813	0.654813	0.654813	0.654813	0.000000	0.654813	0.654813	0.654813	0.042930	0.953809	0.000000	0.003261	
13000	-50.658498	779	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.563272	0.563272	0.000000	0.563272	0.563272	0.563272	0.000000	0.996724	0.000000	0.003276	
14000	-50.850500	249	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.517082	0.517082	0.000000	0.517082	0.517082	0.517082	0.000000	0.996534	0.000000	0.003466	
15000	-51.365942	209	1	4	'0 Z 0 0 0 Z Z Z 	D	1.029450	0.000000	1.029450	1.029450	1.029450	0.000000	0.000000	0.000000	0.101352	0.898648	0.000000	0.000000	
16000	-51.157486	454	1	4	'0 Z 0 0 Z 0 Z Z 	D	1.022548	0.000000	1.022548	1.022548	0.000000	1.022548	0.000000	0.000000	0.092267	0.907733	0.000000	0.000000	
17000	-50.371610	713	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.579445	0.579445	0.000000	0.579445	0.579445	0.579445	0.000000	0.997576	0.000000	0.002424	
18000	-50.173872	623	1	4	'0 Z 0 0 Z 0 Z Z 	D	0.567957	0.000000	0.567957	0.567957	0.000000	0.567957	0.000000	0.000000	0.066897	0.933103	0.000000	0.000000	
19000	-51.812291	801	1	1	'0 0 0 0 Z 0 0 0 	D	0.854086	0.854086	0.854086	0.854086	0.000000	0.854086	0.854086	0.854086	0.052210	0.940768	0.000000	0.007023	
20000	-51.088392	821	1	1	'0 0 0 0 0 0 0 Z 	D	0.624303	0.624303	0.624303	0.624303	0.624303	0.624303	0.624303	0.000000	0.068400	0.924064	0.000000	0.007536	
