Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3916137559
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.631579,0.157895,0.210526,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.104381
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-11.296118	329	1	5	'0 0 0 Z Z Z Z Z 	D	16.391310	16.391310	16.391310	0.000000	0.000000	0.000000	0.000000	0.000000	0.999861	0.000139	0.000000	0.000000	
37000	-11.946104	183	1	2	'0 0 0 0 Z Z 0 0 	D	18.874354	18.874354	18.874354	18.874354	0.000000	0.000000	18.874354	18.874354	0.999950	0.000050	0.000000	0.000000	
38000	-12.598778	887	1	4	'0 0 Z 0 0 Z Z Z 	D	18.243883	18.243883	0.000000	18.243883	18.243883	0.000000	0.000000	0.000000	0.998487	0.000000	0.001513	0.000000	
39000	-12.573157	925	1	4	'0 0 0 Z Z 0 Z Z 	D	15.906178	15.906178	15.906178	0.000000	0.000000	15.906178	0.000000	0.000000	0.999956	0.000044	0.000000	0.000000	
40000	-13.803829	717	1	4	'0 0 Z Z 0 Z Z 0 	D	9.138805	9.138805	0.000000	0.000000	9.138805	0.000000	0.000000	9.138805	0.999894	0.000000	0.000106	0.000000	
41000	-12.514975	527	1	2	'0 0 0 Z 0 Z 0 0 	D	10.211527	10.211527	10.211527	0.000000	10.211527	0.000000	10.211527	10.211527	0.999783	0.000095	0.000123	0.000000	
42000	-13.746607	592	1	2	'0 0 Z 0 0 Z 0 0 	D	14.600630	14.600630	0.000000	14.600630	14.600630	0.000000	14.600630	14.600630	0.997063	0.000000	0.002937	0.000000	
43000	-12.045953	839	1	1	'0 0 0 0 Z 0 0 0 	D	17.734921	17.734921	17.734921	17.734921	0.000000	17.734921	17.734921	17.734921	0.999871	0.000129	0.000000	0.000000	
44000	-11.976739	679	1	2	'0 0 0 0 Z Z 0 0 	D	17.578964	17.578964	17.578964	17.578964	0.000000	0.000000	17.578964	17.578964	0.999959	0.000041	0.000000	0.000000	
45000	-12.034006	314	1	3	'0 0 0 Z Z Z 0 0 	D	16.011195	16.011195	16.011195	0.000000	0.000000	0.000000	16.011195	16.011195	0.999968	0.000032	0.000000	0.000000	
46000	-12.791312	100	1	2	'0 0 0 0 Z Z 0 0 	D	11.455931	11.455931	11.455931	11.455931	0.000000	0.000000	11.455931	11.455931	0.999988	0.000012	0.000000	0.000000	
47000	-13.725780	776	1	2	'0 0 0 0 0 0 Z Z 	D	9.468278	9.468278	9.468278	9.468278	9.468278	9.468278	0.000000	0.000000	0.996364	0.000013	0.003623	0.000000	
48000	-12.996165	719	1	1	'0 0 0 0 0 0 Z 0 	D	30.753264	30.753264	30.753264	30.753264	30.753264	30.753264	0.000000	30.753264	0.992794	0.000301	0.006905	0.000000	
49000	-13.432017	629	1	1	'0 0 Z 0 0 0 0 0 	D	27.073065	27.073065	0.000000	27.073065	27.073065	27.073065	27.073065	27.073065	0.997582	0.000000	0.002418	0.000000	
50000	-13.131788	102	1	2	'0 0 0 Z 0 0 Z 0 	D	7.061566	7.061566	7.061566	0.000000	7.061566	7.061566	0.000000	7.061566	0.999992	0.000004	0.000004	0.000000	
51000	-11.923428	683	1	3	'0 0 Z Z 0 Z 0 0 	D	34.083072	34.083072	0.000000	0.000000	34.083072	0.000000	34.083072	34.083072	0.994317	0.000000	0.005683	0.000000	
52000	-13.237350	792	1	2	'0 0 Z Z 0 0 0 0 	D	49.990338	49.990338	0.000000	0.000000	49.990338	49.990338	49.990338	49.990338	0.985971	0.000000	0.014029	0.000000	
53000	-14.783476	141	1	3	'0 0 Z Z Z 0 0 0 	D	6.284114	6.284114	0.000000	0.000000	0.000000	6.284114	6.284114	6.284114	1.000000	0.000000	0.000000	0.000000	
54000	-13.904252	111	1	3	'0 0 Z Z 0 Z 0 0 	D	9.972066	9.972066	0.000000	0.000000	9.972066	0.000000	9.972066	9.972066	0.997766	0.000000	0.002234	0.000000	
55000	-12.797278	637	1	4	'0 0 Z Z 0 Z 0 Z 	D	25.889023	25.889023	0.000000	0.000000	25.889023	0.000000	25.889023	0.000000	0.995347	0.000000	0.004653	0.000000	
56000	-14.528631	214	1	4	'0 0 Z Z 0 Z 0 Z 	D	5.606830	5.606830	0.000000	0.000000	5.606830	0.000000	5.606830	0.000000	0.999601	0.000000	0.000399	0.000000	
57000	-12.688850	413	1	2	'0 0 0 Z Z 0 0 0 	D	11.777828	11.777828	11.777828	0.000000	0.000000	11.777828	11.777828	11.777828	0.999860	0.000140	0.000000	0.000000	
58000	-14.233953	8	1	5	'0 0 0 Z Z Z Z Z 	D	10.298060	10.298060	10.298060	0.000000	0.000000	0.000000	0.000000	0.000000	0.999968	0.000032	0.000000	0.000000	
59000	-11.867841	886	1	1	'0 0 0 0 Z 0 0 0 	D	24.221148	24.221148	24.221148	24.221148	0.000000	24.221148	24.221148	24.221148	0.999862	0.000138	0.000000	0.000000	
60000	-12.345027	665	1	2	'0 0 0 Z Z 0 0 0 	D	13.989409	13.989409	13.989409	0.000000	0.000000	13.989409	13.989409	13.989409	0.999967	0.000033	0.000000	0.000000	
61000	-12.953044	582	1	4	'0 0 0 Z Z 0 Z Z 	D	16.066140	16.066140	16.066140	0.000000	0.000000	16.066140	0.000000	0.000000	0.999941	0.000059	0.000000	0.000000	
62000	-12.871350	628	1	2	'0 0 0 0 0 0 Z Z 	D	31.750554	31.750554	31.750554	31.750554	31.750554	31.750554	0.000000	0.000000	0.999737	0.000103	0.000160	0.000000	
63000	-12.808144	844	1	2	'0 0 0 0 0 0 Z Z 	D	17.591751	17.591751	17.591751	17.591751	17.591751	17.591751	0.000000	0.000000	0.992717	0.006990	0.000293	0.000000	
