Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/austronesian-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/austronesian-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            125172255
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-cross.cousinmarriage.preferred-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.531646,0.291139,0.025316,0.151899)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000084
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-84.556538	680	1	1	'0 Z 0 0 0 0 0 0 	D	4.497832	0.000000	4.497832	4.497832	4.497832	4.497832	4.497832	4.497832	0.788948	0.168437	0.010929	0.031685	
12000	-83.762309	324	1	1	'0 Z 0 0 0 0 0 0 	D	3.302344	0.000000	3.302344	3.302344	3.302344	3.302344	3.302344	3.302344	0.837025	0.138265	0.007499	0.017212	
13000	-84.893513	522	1	1	'0 Z 0 0 0 0 0 0 	D	4.907439	0.000000	4.907439	4.907439	4.907439	4.907439	4.907439	4.907439	0.765685	0.182888	0.012242	0.039185	
14000	-84.696057	788	1	2	'0 Z 0 0 Z 0 0 0 	D	3.585098	0.000000	3.585098	3.585098	0.000000	3.585098	3.585098	3.585098	0.923946	0.074735	0.000004	0.001315	
15000	-84.494211	772	1	2	'0 Z 0 0 Z 0 0 0 	D	2.751009	0.000000	2.751009	2.751009	0.000000	2.751009	2.751009	2.751009	0.949384	0.050075	0.000001	0.000540	
16000	-84.809410	176	1	2	'0 Z 0 0 Z 0 0 0 	D	3.693471	0.000000	3.693471	3.693471	0.000000	3.693471	3.693471	3.693471	0.891208	0.104160	0.000044	0.004588	
17000	-84.392276	572	1	1	'0 Z 0 0 0 0 0 0 	D	3.167793	0.000000	3.167793	3.167793	3.167793	3.167793	3.167793	3.167793	0.875269	0.110126	0.005275	0.009330	
18000	-84.357053	764	1	1	'0 Z 0 0 0 0 0 0 	D	2.588714	0.000000	2.588714	2.588714	2.588714	2.588714	2.588714	2.588714	0.928661	0.066849	0.002103	0.002387	
19000	-84.169748	651	1	1	'0 Z 0 0 0 0 0 0 	D	3.596554	0.000000	3.596554	3.596554	3.596554	3.596554	3.596554	3.596554	0.859028	0.123303	0.005621	0.012048	
20000	-86.034011	986	1	2	'0 Z 0 0 0 0 Z 0 	D	2.263199	0.000000	2.263199	2.263199	2.263199	2.263199	0.000000	2.263199	0.975356	0.023712	0.000906	0.000026	
21000	-87.225863	918	1	1	'0 Z 0 0 0 0 0 0 	D	9.346238	0.000000	9.346238	9.346238	9.346238	9.346238	9.346238	9.346238	0.578368	0.271313	0.023351	0.126968	
