"","Absent","Present","D_Estimate","Brownian_Prob","Random_Prob","MG_z.stat","MG_p","MG_bonferroni","MLG_z.stat","MLG_p","MLG_bonferroni","GM_G_CtlP_statistic","GM_G_CtlP_signif","GM_G_CtlP_bonferroni","MP_z.stat","MP_p","MP_bonferroni","PM_P_CtlG_statistic","PM_P_CtlG_signif","PM_P_CtlG_bonferroni"
"nameCrow",79,6,-0.121786674619983,0.608,0.033,1752616.52680568,0.039,0.234,3789.80651350289,0.399,1,0.0126190284725071,0.366,1,32.82781215,0.027,0.162,-0.115982214972332,0.978,1
"nameEskimo",71,14,-0.487552850813641,0.807,0,4905208.28709178,0.219,1,8155.12598409287,0.179,1,-0.00394542593607275,0.498,1,78.09616492,0.037,0.222,0.132053873651184,0.029,0.174
"nameHawaiian",37,48,0.662984545217632,0.051,0.079,8021595.70226853,0.961,1,14388.1677669704,0.853,1,-0.000539834055493978,0.445,1,132.174980475,0.593,1,-0.00968160070383161,0.667,1
"nameIroquois",70,15,0.100186923584118,0.465,0.006,4216334.10576053,0.031,0.186,8460.86429787958,0.483,1,0.0284971505318598,0.246,1,74.881302325,0.005,0.03,-0.125218907479593,0.998,1
"nameOmaha",84,1,2.73987071015882,0.235,0.701,430380.24869792,0.377,1,702.379654448507,0.377,1,0.0436823708101551,0.17,1,6.34390221,0.867,1,-0.013141668007896,0.625,1
"nameSudanese",84,1,-2.07262609912134,0.7415,0.134,498098.383076019,0.259,1,709.856090140855,0.279,1,0.0667380087161822,0.118,0.708,6.235239435,0.825,1,-0.0344784072315236,0.67,1
