"","Absent","Present","D_Estimate","Brownian_Prob","Random_Prob","MG_z.stat","MG_p","MG_bonferroni","MLG_z.stat","MLG_p","MLG_bonferroni","GM_G_CtlP_statistic","GM_G_CtlP_signif","GM_G_CtlP_bonferroni","MP_z.stat","MP_p","MP_bonferroni","PM_P_CtlG_statistic","PM_P_CtlG_signif","PM_P_CtlG_bonferroni"
"nameCrow",21,1,0.537011523710409,0.365,0.504,13195.1231556249,0.365,1,132.056141568659,0.999,1,-0.0228093968499939,0.487,1,0.0247434687269474,0.672,1,0.0582426127748006,0.3455,1
"nameEskimo",21,1,3.33323664418821,0.164,0.723,14128.2415854269,0.817,1,133.048465928657,0.909,1,-0.00298217920762654,0.352,1,0.0255928640024225,0.488,1,0.0871858093290031,0.248,0.992
"nameHawaiian",6,16,-0.581404605454944,0.794,0.004,70096.065142656,0.258,1,606.534064179757,0.595,1,-0.0353202658461815,0.604,1,0.113095567714169,0.133,0.532,0.14525459671291,0.071,0.284
"nameIroquois",18,4,-2.34110993547411,0.984,0,54649.1418001361,0.881,1,457.498768615577,0.978,1,0.00074141872548355,0.439,1,0.085514291563978,0.231,0.924,0.133561571404426,0.117,0.468
