"","Absent","Present","D_Estimate","Brownian_Prob","Random_Prob","MG_z.stat","MG_p","MG_bonferroni","MLG_z.stat","MLG_p","MLG_bonferroni","GM_G_CtlP_statistic","GM_G_CtlP_signif","GM_G_CtlP_bonferroni","MP_z.stat","MP_p","MP_bonferroni","PM_P_CtlG_statistic","PM_P_CtlG_signif","PM_P_CtlG_bonferroni"
"nameCrow",21,1,0.242932096712617,0.419255,0.46182,13195.1231556249,0.365402,1,132.056141568659,0.998472,1,-0.0224733081438183,0.484379,1,0.0250770243490596,0.658572,0.990436,0.0596689515805155,0.341254,0.935392
"nameEskimo",21,1,3.25320237060508,0.216269,0.679459,14128.2415854269,0.818128,1,133.048465928657,0.908908,1,-0.00271126194093021,0.355297,1,0.0257547925533342,0.50427,0.973948,0.0873598518989466,0.255284,0.827132
"nameHawaiian",6,16,-0.599701291482036,0.798313,0.004062,70096.065142656,0.258656,0.980468,606.534064179757,0.596428,1,-0.0347990438958717,0.603613,1,0.113747645970958,0.136286,0.544716,0.14518168610838,0.072651,0.290604
"nameIroquois",18,4,-2.34282049697482,0.985435,6e-06,54649.1418001361,0.881236,1,457.498768615577,0.973482,1,0.00128984859991578,0.437945,1,0.0859520562245956,0.235222,0.840448,0.133923903017153,0.119722,0.478608
