"","Absent","Present","D_Estimate","Brownian_Prob","Random_Prob","MG_z.stat","MG_p","MG_bonferroni","MLG_z.stat","MLG_p","MLG_bonferroni","GM_G_CtlP_statistic","GM_G_CtlP_signif","GM_G_CtlP_bonferroni","MP_z.stat","MP_p","MP_bonferroni","PM_P_CtlG_statistic","PM_P_CtlG_signif","PM_P_CtlG_bonferroni"
"nameDescriptive",23,10,1.1668189826657,0.004,0.6945,1099311.84518375,0.979,1,1873.17859599536,0.977,1,-0.00785682115234186,0.499,1,30135.9099444433,0.745,1,0.0111526140169745,0.374,1
"nameEskimo",17,16,-0.0361636038791472,0.526,0.001,1545002.91494274,0.001,0.005,2276.80440425371,0.003,0.015,0.241580295100736,0.002,0.01,35168.294750651,0.589,1,-0.0181426762335561,0.613,1
"nameHawaiian",28,5,0.628421974712297,0.186,0.1855,781814.658068454,0.273,1,1154.87240263123,0.385,1,0.0583141819712004,0.204,1,17052.9693183763,0.025,0.125,-0.119461625508971,0.986,1
"nameIroquois",32,1,-2.16362948910965,0.761,0.1575,183516.392172449,0.363,1,264.858584664488,0.545,1,0.0337076620565005,0.262,1,4135.6077582657,0.89,1,-0.00708447380236155,0.448,1
"nameMixed",32,1,2.62452727831102,0.176,0.704,126025.709892424,0.789,1,260.686715641663,0.791,1,-0.00332329654069992,0.41,1,3938.31318458978,0.405,1,-0.0436144711473134,0.842,1
