Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.permitted-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2433382429
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.permitted-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.126582,0.316456,0.126582,0.430380)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000084
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-99.769053	331	1	1	'0 0 Z 0 0 0 0 0 	D	5.112704	5.112704	0.000000	5.112704	5.112704	5.112704	5.112704	5.112704	0.150229	0.269700	0.135236	0.444834	
12000	-99.057980	48	1	1	'0 0 Z 0 0 0 0 0 	D	5.647943	5.647943	0.000000	5.647943	5.647943	5.647943	5.647943	5.647943	0.146949	0.277581	0.132349	0.443122	
13000	-99.510258	916	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.803759	0.000000	3.803759	3.803759	3.803759	3.803759	3.803759	0.001331	0.442528	0.020532	0.535608	
14000	-97.516102	735	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.483250	0.000000	5.483250	5.483250	5.483250	5.483250	5.483250	0.005620	0.537519	0.031242	0.425620	
15000	-98.053348	412	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.744901	0.000000	5.744901	5.744901	5.744901	5.744901	5.744901	0.005672	0.553322	0.029246	0.411760	
16000	-99.216997	523	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.807726	4.807726	4.807726	4.807726	4.807726	0.000000	0.646910	0.010750	0.342340	
17000	-99.602094	599	1	1	'0 0 Z 0 0 0 0 0 	D	3.940382	3.940382	0.000000	3.940382	3.940382	3.940382	3.940382	3.940382	0.173294	0.231459	0.130918	0.464329	
18000	-98.348782	44	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.029524	0.000000	5.029524	5.029524	5.029524	5.029524	5.029524	0.002596	0.543363	0.022730	0.431312	
19000	-99.834747	820	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.653333	3.653333	3.653333	3.653333	3.653333	0.000000	0.522692	0.004458	0.472851	
20000	-99.895958	526	1	1	'0 0 Z 0 0 0 0 0 	D	7.390330	7.390330	0.000000	7.390330	7.390330	7.390330	7.390330	7.390330	0.131574	0.300410	0.132874	0.435142	
21000	-100.293606	466	1	1	'0 0 Z 0 0 0 0 0 	D	4.335309	4.335309	0.000000	4.335309	4.335309	4.335309	4.335309	4.335309	0.168823	0.246566	0.134581	0.450030	
22000	-99.270357	48	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	7.628032	0.000000	7.628032	7.628032	7.628032	7.628032	7.628032	0.009858	0.544787	0.037266	0.408088	
23000	-99.283889	205	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	7.682155	0.000000	7.682155	7.682155	7.682155	7.682155	7.682155	0.018851	0.507920	0.050164	0.423066	
24000	-98.358362	556	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.278906	0.000000	5.278906	5.278906	5.278906	5.278906	5.278906	0.002387	0.558052	0.020831	0.418731	
25000	-100.686558	720	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.156748	0.000000	3.156748	3.156748	3.156748	3.156748	3.156748	0.000362	0.391737	0.013055	0.594846	
26000	-100.034279	747	1	1	'0 0 Z 0 0 0 0 0 	D	4.213243	4.213243	0.000000	4.213243	4.213243	4.213243	4.213243	4.213243	0.161975	0.247651	0.128971	0.461403	
27000	-99.069761	47	1	1	'0 0 Z 0 0 0 0 0 	D	5.679030	5.679030	0.000000	5.679030	5.679030	5.679030	5.679030	5.679030	0.141366	0.284000	0.132510	0.442124	
28000	-98.211493	984	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.345731	0.000000	5.345731	5.345731	5.345731	5.345731	5.345731	0.005924	0.540018	0.031328	0.422730	
29000	-97.813700	529	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.615062	0.000000	4.615062	4.615062	4.615062	4.615062	4.615062	0.003501	0.537192	0.026327	0.432981	
30000	-99.500692	411	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.776281	3.776281	3.776281	3.776281	3.776281	0.000000	0.548217	0.004148	0.447636	
31000	-98.942265	237	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.200362	0.000000	4.200362	4.200362	4.200362	4.200362	4.200362	0.005003	0.490122	0.033056	0.471818	
32000	-98.712222	138	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.837952	4.837952	4.837952	4.837952	4.837952	0.000000	0.682880	0.006135	0.310985	
33000	-98.757760	73	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.454521	3.454521	3.454521	3.454521	3.454521	0.000000	0.471423	0.008076	0.520501	
34000	-98.581026	795	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.171785	0.000000	5.171785	5.171785	5.171785	5.171785	5.171785	0.004300	0.548851	0.027314	0.419535	
35000	-100.331674	901	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.483243	3.483243	3.483243	3.483243	3.483243	0.000000	0.505264	0.003928	0.490808	
36000	-98.744275	711	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.083016	0.000000	5.083016	5.083016	5.083016	5.083016	5.083016	0.006104	0.534741	0.032140	0.427015	
37000	-99.186017	373	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	7.041957	0.000000	7.041957	7.041957	7.041957	7.041957	7.041957	0.011881	0.539865	0.038939	0.409315	
38000	-99.434560	274	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.946895	5.946895	5.946895	5.946895	5.946895	0.000000	0.765081	0.001900	0.233019	
39000	-99.474606	162	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.943611	0.000000	3.943611	3.943611	3.943611	3.943611	3.943611	0.001778	0.493602	0.020841	0.483779	
40000	-98.664747	858	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.061402	0.000000	6.061402	6.061402	6.061402	6.061402	6.061402	0.003616	0.564848	0.024634	0.406902	
41000	-101.429316	271	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	2.869107	2.869107	2.869107	2.869107	2.869107	0.000000	0.328849	0.011618	0.659534	
42000	-100.460046	726	1	1	'0 0 Z 0 0 0 0 0 	D	7.854658	7.854658	0.000000	7.854658	7.854658	7.854658	7.854658	7.854658	0.129000	0.306431	0.130968	0.433601	
43000	-101.341007	422	1	1	'0 0 Z 0 0 0 0 0 	D	10.096526	10.096526	0.000000	10.096526	10.096526	10.096526	10.096526	10.096526	0.127843	0.310289	0.129325	0.432543	
44000	-98.180338	365	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.370619	0.000000	5.370619	5.370619	5.370619	5.370619	5.370619	0.012331	0.525708	0.041833	0.420127	
45000	-106.052645	30	1	0	'0 0 0 0 0 0 0 0 	I	6.748388	6.748388	6.748388	6.748388	6.748388	6.748388	6.748388	6.748388	0.111302	0.332230	0.109984	0.446483	
46000	-97.519512	696	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.698907	0.000000	5.698907	5.698907	5.698907	5.698907	5.698907	0.008343	0.532152	0.036861	0.422644	
47000	-99.841942	51	1	1	'0 0 Z 0 0 0 0 0 	D	7.186974	7.186974	0.000000	7.186974	7.186974	7.186974	7.186974	7.186974	0.131908	0.301710	0.130665	0.435716	
48000	-98.583400	191	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.379018	4.379018	4.379018	4.379018	4.379018	0.000000	0.638879	0.005517	0.355605	
49000	-100.476489	518	1	1	'0 0 Z 0 0 0 0 0 	D	7.873687	7.873687	0.000000	7.873687	7.873687	7.873687	7.873687	7.873687	0.128862	0.308581	0.129736	0.432822	
50000	-99.211217	385	2	2	'Z 0 Z 1 1 1 1 0 	D	0.000000	8.193056	0.000000	12.015978	12.015978	12.015978	12.015978	8.193056	0.029352	0.440245	0.067189	0.463214	
51000	-97.534082	817	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.816534	0.000000	4.816534	4.816534	4.816534	4.816534	4.816534	0.002115	0.520440	0.021717	0.455727	
52000	-99.565684	200	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.031797	0.000000	4.031797	4.031797	4.031797	4.031797	4.031797	0.001242	0.459720	0.019365	0.519673	
53000	-98.332841	784	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.025090	5.025090	5.025090	5.025090	5.025090	0.000000	0.637464	0.013388	0.349148	
54000	-97.896644	512	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.250339	0.000000	6.250339	6.250339	6.250339	6.250339	6.250339	0.004196	0.578799	0.024793	0.392212	
55000	-100.261570	796	1	1	'0 0 Z 0 0 0 0 0 	D	3.491248	3.491248	0.000000	3.491248	3.491248	3.491248	3.491248	3.491248	0.186838	0.221525	0.121433	0.470204	
56000	-98.977805	570	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.261938	0.000000	5.261938	5.261938	5.261938	5.261938	5.261938	0.008617	0.519106	0.038590	0.433688	
57000	-99.518131	168	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	7.545142	0.000000	7.545142	7.545142	7.545142	7.545142	7.545142	0.011655	0.538341	0.039699	0.410305	
58000	-99.594233	622	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.878042	4.878042	4.878042	4.878042	4.878042	0.000000	0.653599	0.010901	0.335500	
59000	-99.616714	927	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.120364	0.000000	6.120364	6.120364	6.120364	6.120364	6.120364	0.010349	0.534122	0.039078	0.416451	
60000	-98.586272	130	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.291838	0.000000	5.291838	5.291838	5.291838	5.291838	5.291838	0.002274	0.589993	0.018759	0.388974	
61000	-97.570813	708	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.283145	0.000000	5.283145	5.283145	5.283145	5.283145	5.283145	0.004095	0.548417	0.026546	0.420941	
62000	-98.978157	736	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.042120	5.042120	5.042120	5.042120	5.042120	0.000000	0.687410	0.003868	0.308723	
63000	-99.210812	716	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.871869	0.000000	6.871869	6.871869	6.871869	6.871869	6.871869	0.013618	0.526169	0.043474	0.416739	
64000	-98.912033	278	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.506311	0.000000	6.506311	6.506311	6.506311	6.506311	6.506311	0.008361	0.548953	0.034630	0.408056	
65000	-99.789905	103	1	1	'0 0 Z 0 0 0 0 0 	D	6.240240	6.240240	0.000000	6.240240	6.240240	6.240240	6.240240	6.240240	0.140232	0.286634	0.134278	0.438856	
66000	-98.140090	943	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.460638	4.460638	4.460638	4.460638	4.460638	0.000000	0.630105	0.008245	0.361650	
67000	-99.071295	300	1	1	'0 0 Z 0 0 0 0 0 	D	5.127213	5.127213	0.000000	5.127213	5.127213	5.127213	5.127213	5.127213	0.141279	0.288674	0.130710	0.439337	
68000	-99.155132	899	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.624554	0.000000	6.624554	6.624554	6.624554	6.624554	6.624554	0.008232	0.549976	0.034918	0.406874	
69000	-98.415296	434	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.921956	3.921956	3.921956	3.921956	3.921956	0.000000	0.546707	0.010487	0.442805	
70000	-100.150425	804	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	6.869189	6.869189	6.869189	6.869189	6.869189	0.000000	0.685473	0.009098	0.305429	
71000	-98.804833	32	1	1	'0 0 Z 0 0 0 0 0 	D	4.460338	4.460338	0.000000	4.460338	4.460338	4.460338	4.460338	4.460338	0.156025	0.258555	0.131931	0.453488	
