Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-iroquois-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-iroquois-matri.anvunclocalresidence-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3581737661
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-matri.anvunclocalresidence-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.595238,0.238095,0.142857,0.023810)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-79.308552	924	1	1	'0 0 0 0 0 Z 0 0 	D	1.158034	1.158034	1.158034	1.158034	1.158034	0.000000	1.158034	1.158034	0.987768	0.008493	0.003727	0.000012	
12000	-80.559101	985	1	3	'0 0 0 0 Z Z 0 Z 	D	0.945219	0.945219	0.945219	0.945219	0.000000	0.000000	0.945219	0.000000	0.990558	0.009441	0.000000	0.000002	
13000	-79.530870	657	2	2	'0 1 0 0 0 Z 1 Z 	D	1.208347	0.903809	1.208347	1.208347	1.208347	0.000000	0.903809	0.000000	0.978972	0.012717	0.008303	0.000008	
14000	-81.619246	162	1	1	'0 0 0 0 0 Z 0 0 	D	0.810097	0.810097	0.810097	0.810097	0.810097	0.000000	0.810097	0.810097	0.993557	0.005127	0.001314	0.000003	
15000	-82.938773	537	1	1	'0 0 0 0 Z 0 0 0 	D	1.352219	1.352219	1.352219	1.352219	0.000000	1.352219	1.352219	1.352219	0.971762	0.028194	0.000002	0.000043	
16000	-79.800097	245	1	3	'0 0 0 0 0 Z Z Z 	D	1.265118	1.265118	1.265118	1.265118	1.265118	0.000000	0.000000	0.000000	0.981968	0.011591	0.006441	0.000000	
17000	-80.228832	941	1	3	'0 0 0 0 Z Z 0 Z 	D	1.097967	1.097967	1.097967	1.097967	0.000000	0.000000	1.097967	0.000000	0.988503	0.011491	0.000000	0.000006	
18000	-79.396701	751	1	2	'0 0 0 0 0 Z 0 Z 	D	1.083035	1.083035	1.083035	1.083035	1.083035	0.000000	1.083035	0.000000	0.982111	0.015087	0.002794	0.000007	
19000	-80.070067	427	1	2	'0 0 0 0 0 Z 0 Z 	D	1.518536	1.518536	1.518536	1.518536	1.518536	0.000000	1.518536	0.000000	0.962389	0.022309	0.015259	0.000043	
20000	-81.653733	516	1	1	'0 0 0 0 Z 0 0 0 	D	1.088338	1.088338	1.088338	1.088338	0.000000	1.088338	1.088338	1.088338	0.992150	0.007850	0.000000	0.000000	
21000	-82.864483	646	1	2	'0 0 0 0 0 0 Z Z 	D	1.402354	1.402354	1.402354	1.402354	1.402354	1.402354	0.000000	0.000000	0.970259	0.026385	0.003357	0.000000	
22000	-82.240071	167	1	2	'0 0 0 Z Z 0 0 0 	D	1.487472	1.487472	1.487472	0.000000	0.000000	1.487472	1.487472	1.487472	0.954582	0.045391	0.000000	0.000027	
23000	-80.096941	16	1	1	'0 0 0 0 0 Z 0 0 	D	1.482197	1.482197	1.482197	1.482197	1.482197	0.000000	1.482197	1.482197	0.954937	0.029732	0.015157	0.000174	
24000	-79.409314	552	1	2	'0 0 0 0 Z Z 0 0 	D	1.056200	1.056200	1.056200	1.056200	0.000000	0.000000	1.056200	1.056200	0.989810	0.010185	0.000000	0.000006	
25000	-81.017399	677	1	1	'0 0 0 0 0 Z 0 0 	D	1.854294	1.854294	1.854294	1.854294	1.854294	0.000000	1.854294	1.854294	0.929353	0.053388	0.016780	0.000479	
26000	-80.117024	233	1	1	'0 0 0 0 0 Z 0 0 	D	0.861979	0.861979	0.861979	0.861979	0.861979	0.000000	0.861979	0.861979	0.992501	0.004958	0.002536	0.000005	
27000	-79.842988	563	1	1	'0 0 0 0 0 Z 0 0 	D	1.135294	1.135294	1.135294	1.135294	1.135294	0.000000	1.135294	1.135294	0.980709	0.011873	0.007385	0.000033	
28000	-79.471890	575	1	1	'0 0 0 0 0 Z 0 0 	D	1.076821	1.076821	1.076821	1.076821	1.076821	0.000000	1.076821	1.076821	0.986000	0.012353	0.001636	0.000010	
29000	-81.978787	857	1	3	'0 0 0 0 Z Z 0 Z 	D	1.546038	1.546038	1.546038	1.546038	0.000000	0.000000	1.546038	0.000000	0.947774	0.052104	0.000000	0.000122	
30000	-81.669354	119	1	1	'0 0 0 0 Z 0 0 0 	D	1.016083	1.016083	1.016083	1.016083	0.000000	1.016083	1.016083	1.016083	0.990205	0.009791	0.000000	0.000004	
31000	-80.886234	13	1	1	'0 0 0 Z 0 0 0 0 	D	1.433274	1.433274	1.433274	0.000000	1.433274	1.433274	1.433274	1.433274	0.974687	0.023461	0.001840	0.000012	
32000	-79.912732	482	1	2	'0 0 0 0 0 Z 0 Z 	D	1.282047	1.282047	1.282047	1.282047	1.282047	0.000000	1.282047	0.000000	0.976124	0.020729	0.003132	0.000015	
33000	-84.833746	484	1	2	'0 0 0 Z Z 0 0 0 	D	1.976529	1.976529	1.976529	0.000000	0.000000	1.976529	1.976529	1.976529	0.904388	0.095446	0.000007	0.000159	
34000	-80.660135	976	1	2	'0 0 0 0 0 Z 0 Z 	D	1.769176	1.769176	1.769176	1.769176	1.769176	0.000000	1.769176	0.000000	0.960104	0.025164	0.014687	0.000046	
35000	-81.241486	328	1	2	'0 0 0 0 0 Z 0 Z 	D	1.691775	1.691775	1.691775	1.691775	1.691775	0.000000	1.691775	0.000000	0.963859	0.023607	0.012498	0.000036	
36000	-79.413634	600	1	2	'0 0 0 0 0 Z 0 Z 	D	1.096829	1.096829	1.096829	1.096829	1.096829	0.000000	1.096829	0.000000	0.988692	0.009439	0.001866	0.000002	
37000	-83.204017	684	1	2	'0 0 0 Z Z 0 0 0 	D	0.935810	0.935810	0.935810	0.000000	0.000000	0.935810	0.935810	0.935810	0.989052	0.010944	0.000000	0.000004	
38000	-79.436646	528	1	3	'0 0 0 0 0 Z Z Z 	D	1.262680	1.262680	1.262680	1.262680	1.262680	0.000000	0.000000	0.000000	0.988664	0.008053	0.003283	0.000000	
39000	-80.441492	274	1	3	'0 0 0 0 0 Z Z Z 	D	1.223005	1.223005	1.223005	1.223005	1.223005	0.000000	0.000000	0.000000	0.994491	0.004274	0.001234	0.000000	
40000	-80.648108	955	1	3	'0 0 0 0 0 Z Z Z 	D	1.010119	1.010119	1.010119	1.010119	1.010119	0.000000	0.000000	0.000000	0.982400	0.010876	0.006724	0.000000	
41000	-81.295480	350	1	1	'0 0 0 0 0 Z 0 0 	D	1.051631	1.051631	1.051631	1.051631	1.051631	0.000000	1.051631	1.051631	0.985946	0.009146	0.004891	0.000017	
42000	-79.779070	435	1	3	'0 0 0 0 Z Z 0 Z 	D	0.951023	0.951023	0.951023	0.951023	0.000000	0.000000	0.951023	0.000000	0.987638	0.012360	0.000000	0.000002	
43000	-81.759390	555	1	2	'0 0 0 0 Z Z 0 0 	D	1.287014	1.287014	1.287014	1.287014	0.000000	0.000000	1.287014	1.287014	0.987604	0.012393	0.000000	0.000003	
44000	-80.008511	685	1	4	'0 Z 0 0 0 Z Z Z 	D	2.745816	0.000000	2.745816	2.745816	2.745816	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
45000	-79.915216	18	1	4	'0 Z 0 0 0 Z Z Z 	D	2.611913	0.000000	2.611913	2.611913	2.611913	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
46000	-76.373207	634	2	4	'0 Z 0 0 1 Z Z Z 	D	2.236007	0.000000	2.236007	2.236007	4.076083	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
47000	-80.029550	647	1	4	'0 Z 0 0 0 Z Z Z 	D	3.672997	0.000000	3.672997	3.672997	3.672997	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
48000	-77.064791	1	2	3	'1 Z 1 1 0 Z 1 Z 	D	2.492160	0.000000	2.492160	2.492160	5.504823	0.000000	2.492160	0.000000	0.000000	0.000000	1.000000	0.000000	
49000	-79.631875	74	1	2	'0 0 0 0 0 Z 0 Z 	D	1.561056	1.561056	1.561056	1.561056	1.561056	0.000000	1.561056	0.000000	0.983155	0.012575	0.004267	0.000003	
50000	-80.460256	10	1	2	'0 0 0 0 0 Z 0 Z 	D	1.536320	1.536320	1.536320	1.536320	1.536320	0.000000	1.536320	0.000000	0.974599	0.019472	0.005916	0.000012	
