Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-crow-matri.anvunclocalresidence-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1343419710
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matri.anvunclocalresidence-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.726190,0.202381,0.011905,0.059524)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-65.242811	339	1	2	'0 Z 0 0 0 0 Z 0 	D	1.836654	0.000000	1.836654	1.836654	1.836654	1.836654	0.000000	1.836654	0.994635	0.005226	0.000138	0.000001	
37000	-66.026527	554	1	3	'0 Z 0 0 Z Z 0 0 	D	1.532150	0.000000	1.532150	1.532150	0.000000	0.000000	1.532150	1.532150	0.988293	0.011663	0.000000	0.000044	
38000	-65.151941	650	1	2	'0 Z 0 0 0 0 Z 0 	D	1.400572	0.000000	1.400572	1.400572	1.400572	1.400572	0.000000	1.400572	0.996471	0.003410	0.000118	0.000001	
39000	-64.241657	115	2	2	'1 Z Z 0 0 0 0 0 	D	2.850177	0.000000	0.000000	33.589128	33.589128	33.589128	33.589128	33.589128	0.773555	0.163651	0.011405	0.051390	
40000	-65.063737	467	1	2	'0 Z 0 0 Z 0 0 0 	D	1.571707	0.000000	1.571707	1.571707	0.000000	1.571707	1.571707	1.571707	0.990335	0.009648	0.000000	0.000017	
41000	-66.091492	523	1	1	'0 Z 0 0 0 0 0 0 	D	1.497344	0.000000	1.497344	1.497344	1.497344	1.497344	1.497344	1.497344	0.985471	0.013782	0.000578	0.000169	
42000	-65.663776	543	1	2	'0 Z 0 0 0 0 Z 0 	D	1.541642	0.000000	1.541642	1.541642	1.541642	1.541642	0.000000	1.541642	0.994501	0.005381	0.000118	0.000001	
43000	-66.666144	814	1	1	'0 Z 0 0 0 0 0 0 	D	2.379136	0.000000	2.379136	2.379136	2.379136	2.379136	2.379136	2.379136	0.983021	0.016036	0.000671	0.000272	
44000	-65.403293	991	1	3	'0 Z 0 0 Z Z 0 0 	D	1.560847	0.000000	1.560847	1.560847	0.000000	0.000000	1.560847	1.560847	0.973189	0.026653	0.000000	0.000158	
45000	-65.270702	512	1	2	'0 Z 0 0 0 0 Z 0 	D	1.690056	0.000000	1.690056	1.690056	1.690056	1.690056	0.000000	1.690056	0.994251	0.005620	0.000128	0.000001	
46000	-64.989112	984	1	2	'0 Z 0 0 0 0 Z 0 	D	1.446706	0.000000	1.446706	1.446706	1.446706	1.446706	0.000000	1.446706	0.992664	0.007100	0.000231	0.000005	
47000	-64.929067	666	1	3	'0 Z 0 0 Z Z 0 0 	D	1.598665	0.000000	1.598665	1.598665	0.000000	0.000000	1.598665	1.598665	0.994891	0.005106	0.000000	0.000004	
48000	-65.287909	717	1	4	'0 Z 0 0 Z Z Z 0 	D	1.381692	0.000000	1.381692	1.381692	0.000000	0.000000	0.000000	1.381692	0.994216	0.005784	0.000000	0.000000	
49000	-67.083267	582	1	2	'0 Z 0 0 0 0 Z 0 	D	2.607702	0.000000	2.607702	2.607702	2.607702	2.607702	0.000000	2.607702	0.973973	0.024562	0.001245	0.000219	
50000	-66.539749	877	1	2	'0 Z 0 0 0 0 Z 0 	D	2.507312	0.000000	2.507312	2.507312	2.507312	2.507312	0.000000	2.507312	0.966162	0.031729	0.001681	0.000428	
51000	-62.421081	946	2	1	'1 Z 0 1 1 1 0 1 	D	4.577477	0.000000	15.598271	4.577477	4.577477	4.577477	15.598271	4.577477	0.751820	0.195464	0.006337	0.046379	
52000	-65.231707	500	1	1	'0 Z 0 0 0 0 0 0 	D	2.327624	0.000000	2.327624	2.327624	2.327624	2.327624	2.327624	2.327624	0.983855	0.015293	0.000607	0.000245	
53000	-63.459897	268	3	1	'1 Z 2 2 2 2 2 0 	D	2.223792	0.000000	7.952929	7.952929	7.952929	7.952929	7.952929	6.286819	0.867439	0.108707	0.006267	0.017587	
54000	-67.326413	587	1	4	'0 Z Z 0 Z Z 0 0 	D	1.399349	0.000000	0.000000	1.399349	0.000000	0.000000	1.399349	1.399349	1.000000	0.000000	0.000000	0.000000	
55000	-65.690802	422	1	3	'0 Z 0 0 Z Z 0 0 	D	2.422499	0.000000	2.422499	2.422499	0.000000	0.000000	2.422499	2.422499	0.984878	0.015054	0.000000	0.000068	
56000	-65.534941	176	1	2	'0 Z 0 0 0 0 Z 0 	D	1.975753	0.000000	1.975753	1.975753	1.975753	1.975753	0.000000	1.975753	0.978621	0.020151	0.001072	0.000156	
57000	-65.975581	376	1	4	'0 Z 0 0 Z Z Z 0 	D	1.737817	0.000000	1.737817	1.737817	0.000000	0.000000	0.000000	1.737817	0.990960	0.009040	0.000000	0.000000	
58000	-65.973741	824	1	3	'0 Z 0 0 Z Z 0 0 	D	1.302490	0.000000	1.302490	1.302490	0.000000	0.000000	1.302490	1.302490	0.994222	0.005774	0.000000	0.000003	
59000	-71.418047	974	1	4	'0 Z 0 0 Z Z Z 0 	D	3.654593	0.000000	3.654593	3.654593	0.000000	0.000000	0.000000	3.654593	0.974519	0.025481	0.000000	0.000000	
60000	-65.624327	683	1	1	'0 Z 0 0 0 0 0 0 	D	1.402912	0.000000	1.402912	1.402912	1.402912	1.402912	1.402912	1.402912	0.994267	0.005467	0.000237	0.000029	
61000	-65.118999	1	1	2	'0 Z 0 0 0 0 Z 0 	D	1.620450	0.000000	1.620450	1.620450	1.620450	1.620450	0.000000	1.620450	0.995703	0.004174	0.000122	0.000001	
