Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-uni.localresidence.bttrees
Data File Name:                  ./data/austronesian-crow-uni.localresidence.btdata
Log File Name:                   ./output/austronesian-crow-uni.localresidence-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            583136764
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-uni.localresidence-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.535714,0.392857,0.000000,0.071429)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-78.789209	871	1	4	'0 Z 0 0 0 Z Z Z 	D	3.127391	0.000000	3.127391	3.127391	3.127391	0.000000	0.000000	0.000000	0.965627	0.034373	0.000000	0.000000	
12000	-75.816784	199	1	1	'0 Z 0 0 0 0 0 0 	D	3.160952	0.000000	3.160952	3.160952	3.160952	3.160952	3.160952	3.160952	0.922414	0.076690	0.000000	0.000895	
13000	-74.938396	832	1	2	'0 Z 0 0 0 0 0 Z 	D	2.347366	0.000000	2.347366	2.347366	2.347366	2.347366	2.347366	0.000000	0.863845	0.134014	0.000000	0.002140	
14000	-75.516721	62	1	2	'0 Z 0 0 0 0 0 Z 	D	2.219337	0.000000	2.219337	2.219337	2.219337	2.219337	2.219337	0.000000	0.880378	0.118400	0.000000	0.001222	
15000	-74.630077	87	2	4	'1 Z 1 0 1 Z Z Z 	D	5.322488	0.000000	5.322488	0.869684	5.322488	0.000000	0.000000	0.000000	0.701644	0.298356	0.000000	0.000000	
16000	-75.871946	311	2	2	'0 Z 0 1 Z 1 0 1 	D	4.735904	0.000000	4.735904	0.331039	0.000000	0.331039	4.735904	0.331039	0.522666	0.460439	0.000000	0.016895	
17000	-75.225394	166	1	2	'0 Z 0 0 0 0 0 Z 	D	2.510535	0.000000	2.510535	2.510535	2.510535	2.510535	2.510535	0.000000	0.918293	0.081215	0.000000	0.000492	
18000	-75.700336	172	1	4	'0 Z Z 0 Z 0 0 Z 	D	2.258411	0.000000	0.000000	2.258411	0.000000	2.258411	2.258411	0.000000	1.000000	0.000000	0.000000	0.000000	
19000	-77.551151	164	1	4	'0 Z Z 0 0 Z 0 Z 	D	2.039484	0.000000	0.000000	2.039484	2.039484	0.000000	2.039484	0.000000	1.000000	0.000000	0.000000	0.000000	
20000	-77.490964	362	1	4	'0 Z 0 Z 0 Z 0 Z 	D	9.618732	0.000000	9.618732	0.000000	9.618732	0.000000	9.618732	0.000000	0.000000	0.000000	0.000000	1.000000	
