Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-eskimo-nuclear.families.bttrees
Data File Name:                  ./data/austronesian-eskimo-nuclear.families.btdata
Log File Name:                   ./output/austronesian-eskimo-nuclear.families-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            845010451
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-eskimo-nuclear.families-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.530120,0.301205,0.036145,0.132530)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.085485
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       83
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
60000	-82.144063	999	0.010596	3.101577	7.105847	7.410488	0.000378	0.000215	0.214200	0.785207	
61000	-85.910307	865	0.962360	5.203030	5.396331	6.822596	0.304985	0.182553	0.105386	0.407076	
62000	-82.864698	78	0.174693	3.652916	2.397068	1.921700	0.032332	0.004320	0.517282	0.446065	
63000	-80.952531	448	0.013232	2.024592	4.072669	3.624917	0.001739	0.000756	0.262229	0.735276	
64000	-85.698882	129	0.632575	2.171050	2.103116	1.863429	0.568649	0.070830	0.199865	0.160656	
65000	-86.161530	370	0.935307	4.712184	1.987240	1.007010	0.754707	0.013304	0.208295	0.023695	
66000	-82.995855	621	0.162225	3.395894	2.263573	4.672050	0.012674	0.021333	0.081430	0.884563	
67000	-83.305340	684	0.126891	4.902289	3.680375	4.740827	0.013120	0.009138	0.177941	0.799801	
68000	-81.124149	168	0.185603	2.610852	3.393121	2.709337	0.033355	0.008395	0.365164	0.593087	
69000	-83.511113	244	0.090820	3.784557	9.011832	8.975516	0.003350	0.001899	0.213559	0.781192	
70000	-84.249275	795	0.360447	2.214875	3.966776	5.563012	0.065578	0.044797	0.164491	0.725135	
71000	-83.895789	586	0.192121	2.156006	5.985524	8.176868	0.040158	0.023309	0.197341	0.739191	
72000	-85.308338	689	0.618958	1.658047	4.516660	3.951186	0.420422	0.196067	0.095649	0.287862	
73000	-81.916673	620	0.131913	2.735793	2.611804	2.949928	0.037786	0.021724	0.199674	0.740816	
74000	-82.227219	165	0.033213	2.763205	4.745239	3.668622	0.011227	0.004960	0.255468	0.728345	
75000	-85.305547	649	0.808529	3.020148	3.975361	5.456102	0.265587	0.179681	0.103380	0.451353	
76000	-85.564984	830	0.065640	2.587646	12.130021	19.531066	0.001139	0.000647	0.213902	0.784312	
77000	-85.300738	479	0.011075	3.971606	16.797357	22.801659	0.001944	0.001105	0.213632	0.783319	
78000	-81.030281	626	0.009849	3.405910	2.636310	3.654595	0.002167	0.001859	0.152380	0.843593	
79000	-83.337954	16	0.299360	2.295468	5.435934	4.457982	0.098095	0.049982	0.198669	0.653253	
80000	-82.965672	558	0.004027	1.556111	4.183141	5.136004	0.000002	0.000001	0.198087	0.801910	
81000	-91.230301	47	4.500701	17.990148	5.764286	7.439949	0.522285	0.307011	0.035612	0.135092	
82000	-82.627570	383	0.034198	3.489002	3.731218	1.786696	0.019420	0.001685	0.627513	0.351383	
83000	-84.906567	571	0.179546	3.601574	11.478739	11.083305	0.014578	0.008281	0.209420	0.767720	
84000	-85.464650	822	0.530766	3.918356	6.778638	9.048467	0.085463	0.049141	0.183710	0.681686	
85000	-83.000486	760	0.369627	2.811222	2.735520	2.381827	0.165297	0.045376	0.284799	0.504528	
86000	-82.059501	939	0.315302	2.406266	3.875160	3.067148	0.077395	0.025246	0.289001	0.608358	
87000	-82.207385	595	0.270776	3.572802	3.580951	3.059607	0.019945	0.006441	0.315698	0.657916	
88000	-87.471543	381	0.216456	3.943164	6.806606	11.902139	0.012520	0.007144	0.209361	0.770975	
89000	-83.477758	962	0.254649	4.108981	5.476766	6.860106	0.052728	0.031150	0.190366	0.725756	
90000	-81.021420	443	0.027576	2.675342	1.975402	3.168119	0.000721	0.000992	0.101030	0.897257	
91000	-85.799236	392	0.992158	1.873852	4.492955	3.732228	0.615868	0.285859	0.024597	0.073676	
92000	-85.556349	469	1.332021	4.806155	4.737831	3.778883	0.536895	0.215664	0.068882	0.178559	
93000	-83.122682	963	0.024285	1.892989	2.988432	4.803079	0.002122	0.002201	0.129444	0.866233	
94000	-82.875718	730	0.093986	2.892304	5.986629	3.440356	0.017937	0.006021	0.308273	0.667770	
95000	-81.948564	242	0.001896	3.607224	2.730843	2.257899	0.000529	0.000116	0.413814	0.585541	
96000	-85.210304	415	0.511157	1.938167	6.015478	5.276564	0.177644	0.096627	0.160909	0.564820	
97000	-82.422902	512	0.052868	2.170317	7.377179	8.013278	0.003416	0.001944	0.212860	0.781780	
98000	-83.213075	39	0.196461	4.545887	3.256419	3.142617	0.010380	0.004380	0.264650	0.720590	
99000	-88.986915	353	0.626553	6.024994	1.793731	4.743866	0.073843	0.143965	0.057592	0.724599	
100000	-83.277903	665	0.162051	4.105068	3.197284	3.275560	0.006385	0.003087	0.240448	0.750080	
101000	-81.452703	799	0.126446	2.491477	3.733042	3.639849	0.033834	0.016309	0.231075	0.718782	
102000	-85.303282	417	0.666366	4.185325	5.779480	5.404297	0.137427	0.074449	0.175294	0.612830	
103000	-84.322388	401	0.320596	1.732034	3.654251	2.361234	0.094790	0.015264	0.436419	0.453527	
104000	-82.620371	675	0.166874	3.107226	4.384537	4.311018	0.028165	0.011580	0.262844	0.697410	
105000	-82.673212	577	0.230032	2.625281	2.342276	3.442288	0.034776	0.032673	0.132031	0.800520	
106000	-83.110832	804	0.228881	2.794823	4.968103	7.092743	0.063580	0.038656	0.182340	0.715423	
107000	-83.778183	260	0.320756	3.052618	4.549974	2.961137	0.036870	0.010397	0.337879	0.614854	
108000	-84.658048	625	0.179719	3.362157	8.421715	6.008013	0.010444	0.005657	0.218872	0.765027	
109000	-83.922509	801	0.524800	3.695043	4.487016	3.250665	0.126350	0.039752	0.275181	0.558716	
110000	-87.084947	674	0.944831	2.923498	1.798913	3.364173	0.171177	0.322943	0.038397	0.467483	
111000	-88.505808	644	1.124340	5.145718	11.161342	13.368136	0.402409	0.228645	0.079059	0.289887	
112000	-85.690830	303	0.261504	2.173882	5.485170	9.209855	0.039957	0.023755	0.193583	0.742706	
113000	-86.909582	205	0.541401	3.541807	2.654719	0.569620	0.449309	0.002840	0.526382	0.021469	
114000	-86.891021	981	0.329438	3.355828	4.475400	1.240129	0.097452	0.003641	0.724296	0.174612	
115000	-84.576432	394	0.141185	1.824288	1.780517	4.017686	0.001108	0.002184	0.072624	0.924084	
116000	-82.011453	209	0.065873	2.862168	5.361799	6.404969	0.000763	0.000452	0.207105	0.791680	
117000	-83.461156	415	0.190999	2.061360	6.510145	5.891451	0.006554	0.003644	0.215757	0.774045	
118000	-84.371164	17	0.242501	4.365408	3.772966	6.181717	0.009452	0.007303	0.164255	0.818990	
119000	-82.133740	874	0.126297	2.934921	5.193986	6.285922	0.026338	0.015605	0.198618	0.759439	
120000	-81.405733	74	0.067103	3.190448	3.295803	3.277450	0.000282	0.000126	0.256965	0.742628	
121000	-84.128435	487	0.836692	3.709046	3.443488	3.194663	0.373215	0.143077	0.139238	0.344470	
122000	-82.064938	75	0.070303	2.594832	3.053869	3.035784	0.000460	0.000192	0.270196	0.729152	
123000	-84.421975	727	0.053938	3.984635	5.731623	9.517721	0.001262	0.000731	0.210532	0.787475	
124000	-84.725769	525	0.478517	4.622616	3.055279	1.139156	0.256709	0.004491	0.663859	0.074941	
125000	-80.375057	719	0.002233	2.396251	4.651464	5.043452	0.000233	0.000134	0.212285	0.787348	
126000	-80.953824	953	0.014747	2.171422	2.936597	3.727714	0.000037	0.000027	0.173948	0.825987	
