Options:
Model:                           MultiState
Tree File Name:                  ./austronesian_realtime.nex
Data File Name:                  data/anc-state/austronesian.btdata
Log File Name:                   ./an-reallength.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4194014311
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      100000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./an-reallength.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     30
Base frequency (PI's):           None
Character Symbols:               1,3,4,5,6,7
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q36                          RJ MCMC
    q37                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q61                          RJ MCMC
    q63                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q71                          RJ MCMC
    q73                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      300
     Taxa:                       85
     Sites:                      1
     States:                     6
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q16	q17	q31	q34	q35	q36	q37	q41	q43	q45	q46	q47	q51	q53	q54	q56	q57	q61	q63	q64	q65	q67	q71	q73	q74	q75	q76	Root P(1)	Root P(3)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	
65000	-105.910479	55	1	12	'0 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z 0 Z Z Z 0 0 0 0 0 0 	6.541933	6.541933	6.541933	6.541933	6.541933	6.541933	6.541933	6.541933	0.000000	0.000000	0.000000	6.541933	0.000000	0.000000	0.000000	6.541933	0.000000	6.541933	0.000000	0.000000	6.541933	0.000000	0.000000	0.000000	6.541933	6.541933	6.541933	6.541933	6.541933	6.541933	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
70000	-103.008984	212	1	10	'0 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z 0 0 0 0 Z 0 0 0 0 0 	5.289999	5.289999	5.289999	5.289999	5.289999	5.289999	5.289999	5.289999	0.000000	0.000000	0.000000	5.289999	0.000000	0.000000	0.000000	5.289999	0.000000	5.289999	0.000000	0.000000	5.289999	5.289999	5.289999	5.289999	0.000000	5.289999	5.289999	5.289999	5.289999	5.289999	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
75000	-111.812419	206	1	15	'0 0 Z 0 Z 0 0 0 Z 0 Z 0 Z Z Z Z 0 0 Z Z Z Z Z 0 Z 0 0 Z 0 0 	13.678961	13.678961	0.000000	13.678961	0.000000	13.678961	13.678961	13.678961	0.000000	13.678961	0.000000	13.678961	0.000000	0.000000	0.000000	0.000000	13.678961	13.678961	0.000000	0.000000	0.000000	0.000000	0.000000	13.678961	0.000000	13.678961	13.678961	0.000000	13.678961	13.678961	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
80000	-104.637952	79	1	12	'Z 0 0 Z 0 0 0 0 Z 0 Z 0 Z Z Z Z 0 0 Z Z 0 Z 0 Z 0 0 0 0 0 0 	0.000000	10.215986	10.215986	0.000000	10.215986	10.215986	10.215986	10.215986	0.000000	10.215986	0.000000	10.215986	0.000000	0.000000	0.000000	0.000000	10.215986	10.215986	0.000000	0.000000	10.215986	0.000000	10.215986	0.000000	10.215986	10.215986	10.215986	10.215986	10.215986	10.215986	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
85000	-102.655140	292	1	16	'0 0 Z 0 Z 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 0 0 Z 0 Z Z Z 	3.888495	3.888495	0.000000	3.888495	0.000000	3.888495	3.888495	3.888495	0.000000	0.000000	0.000000	3.888495	0.000000	0.000000	0.000000	0.000000	0.000000	3.888495	0.000000	0.000000	3.888495	3.888495	3.888495	3.888495	3.888495	0.000000	3.888495	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
90000	-104.856371	228	1	14	'0 0 0 Z 0 0 0 0 Z Z Z 0 Z Z Z Z 0 0 Z Z 0 0 Z 0 0 0 Z Z Z 0 	4.149380	4.149380	4.149380	0.000000	4.149380	4.149380	4.149380	4.149380	0.000000	0.000000	0.000000	4.149380	0.000000	0.000000	0.000000	0.000000	4.149380	4.149380	0.000000	0.000000	4.149380	4.149380	0.000000	4.149380	4.149380	4.149380	0.000000	0.000000	0.000000	4.149380	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
95000	-101.414855	156	1	14	'0 0 0 0 Z 0 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 0 0 0 0 0 Z Z 	9.539375	9.539375	9.539375	9.539375	0.000000	9.539375	9.539375	9.539375	0.000000	0.000000	0.000000	9.539375	0.000000	0.000000	0.000000	9.539375	0.000000	9.539375	0.000000	0.000000	0.000000	0.000000	9.539375	9.539375	9.539375	9.539375	9.539375	9.539375	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
100000	-103.543648	34	1	17	'0 0 Z 0 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z Z Z 0 0 Z Z 0 0 Z Z 	1.250438	1.250438	0.000000	1.250438	1.250438	1.250438	1.250438	1.250438	0.000000	0.000000	0.000000	1.250438	0.000000	0.000000	0.000000	0.000000	0.000000	1.250438	0.000000	0.000000	0.000000	0.000000	1.250438	1.250438	0.000000	0.000000	1.250438	1.250438	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
105000	-103.086141	234	1	15	'0 0 Z 0 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 Z Z Z 0 0 Z 0 	5.825384	5.825384	0.000000	5.825384	5.825384	5.825384	5.825384	5.825384	0.000000	0.000000	0.000000	5.825384	0.000000	0.000000	0.000000	0.000000	0.000000	5.825384	0.000000	0.000000	5.825384	5.825384	5.825384	0.000000	0.000000	0.000000	5.825384	5.825384	0.000000	5.825384	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
110000	-104.886520	132	1	13	'Z 0 Z 0 0 0 0 0 0 Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 0 0 0 Z 0 0 Z 	0.000000	3.454055	0.000000	3.454055	3.454055	3.454055	3.454055	3.454055	3.454055	0.000000	0.000000	3.454055	0.000000	0.000000	0.000000	0.000000	0.000000	3.454055	0.000000	0.000000	3.454055	3.454055	3.454055	3.454055	3.454055	3.454055	0.000000	3.454055	3.454055	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
115000	-107.286477	95	1	13	'Z 0 0 0 Z Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 0 0 0 Z 0 0 0 0 Z 	0.000000	12.033923	12.033923	12.033923	0.000000	0.000000	12.033923	12.033923	0.000000	12.033923	0.000000	12.033923	0.000000	0.000000	0.000000	0.000000	0.000000	12.033923	12.033923	0.000000	12.033923	12.033923	12.033923	12.033923	0.000000	12.033923	12.033923	12.033923	12.033923	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
120000	-106.165857	284	1	18	'0 Z Z Z Z Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 Z Z 0 Z Z 0 Z 0 0 Z 0 0 	4.946853	0.000000	0.000000	0.000000	0.000000	0.000000	4.946853	4.946853	0.000000	4.946853	0.000000	4.946853	0.000000	0.000000	0.000000	0.000000	0.000000	4.946853	0.000000	0.000000	4.946853	0.000000	0.000000	4.946853	0.000000	4.946853	4.946853	0.000000	4.946853	4.946853	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
125000	-105.157792	158	1	12	'0 0 0 0 Z Z 0 0 Z 0 Z 0 Z Z Z 0 Z 0 Z Z 0 Z Z 0 0 0 0 0 0 0 	19.294978	19.294978	19.294978	19.294978	0.000000	0.000000	19.294978	19.294978	0.000000	19.294978	0.000000	19.294978	0.000000	0.000000	0.000000	19.294978	0.000000	19.294978	0.000000	0.000000	19.294978	0.000000	0.000000	19.294978	19.294978	19.294978	19.294978	19.294978	19.294978	19.294978	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
130000	-103.911640	17	1	15	'Z 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 Z 0 0 Z 0 0 Z Z 	0.000000	2.897045	2.897045	2.897045	2.897045	2.897045	2.897045	2.897045	0.000000	0.000000	0.000000	2.897045	0.000000	0.000000	0.000000	0.000000	0.000000	2.897045	0.000000	0.000000	2.897045	2.897045	0.000000	2.897045	2.897045	0.000000	2.897045	2.897045	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
135000	-103.582992	209	1	15	'0 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 Z Z 0 Z 0 Z Z 	1.819522	1.819522	1.819522	1.819522	1.819522	1.819522	1.819522	1.819522	0.000000	0.000000	0.000000	1.819522	0.000000	0.000000	0.000000	0.000000	0.000000	1.819522	0.000000	0.000000	1.819522	1.819522	1.819522	0.000000	0.000000	1.819522	0.000000	1.819522	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
140000	-109.485195	220	1	15	'Z 0 Z Z Z Z 0 0 0 0 Z 0 Z Z Z Z 0 0 Z Z 0 Z 0 Z 0 Z 0 0 0 0 	0.000000	2.092841	0.000000	0.000000	0.000000	0.000000	2.092841	2.092841	2.092841	2.092841	0.000000	2.092841	0.000000	0.000000	0.000000	0.000000	2.092841	2.092841	0.000000	0.000000	2.092841	0.000000	2.092841	0.000000	2.092841	0.000000	2.092841	2.092841	2.092841	2.092841	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
145000	-107.496029	154	1	10	'0 Z Z 0 0 0 0 0 0 0 Z 0 Z Z Z Z 0 0 Z Z 0 Z 0 0 0 0 0 0 0 0 	29.064596	0.000000	0.000000	29.064596	29.064596	29.064596	29.064596	29.064596	29.064596	29.064596	0.000000	29.064596	0.000000	0.000000	0.000000	0.000000	29.064596	29.064596	0.000000	0.000000	29.064596	0.000000	29.064596	29.064596	29.064596	29.064596	29.064596	29.064596	29.064596	29.064596	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
150000	-102.885424	163	1	14	'0 0 Z 0 Z 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 0 0 0 Z 0 0 Z 	0.436141	0.436141	0.000000	0.436141	0.000000	0.436141	0.436141	0.436141	0.000000	0.000000	0.000000	0.436141	0.000000	0.000000	0.000000	0.000000	0.000000	0.436141	0.000000	0.000000	0.436141	0.436141	0.436141	0.436141	0.436141	0.436141	0.000000	0.436141	0.436141	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
155000	-105.677242	145	1	15	'0 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z Z 0 0 Z Z 0 0 0 Z Z Z Z Z 0 Z 	0.361123	0.361123	0.361123	0.361123	0.361123	0.361123	0.361123	0.361123	0.000000	0.000000	0.000000	0.361123	0.000000	0.000000	0.000000	0.000000	0.361123	0.361123	0.000000	0.000000	0.361123	0.361123	0.361123	0.000000	0.000000	0.000000	0.000000	0.000000	0.361123	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
160000	-104.043828	2	1	12	'0 0 0 0 0 0 0 0 Z Z Z 0 Z Z Z Z 0 0 Z Z 0 0 0 Z 0 Z Z 0 0 0 	0.187324	0.187324	0.187324	0.187324	0.187324	0.187324	0.187324	0.187324	0.000000	0.000000	0.000000	0.187324	0.000000	0.000000	0.000000	0.000000	0.187324	0.187324	0.000000	0.000000	0.187324	0.187324	0.187324	0.000000	0.187324	0.000000	0.000000	0.187324	0.187324	0.187324	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
165000	-102.980729	115	1	15	'0 0 Z Z 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 Z 0 Z 0 0 Z 0 	24.012797	24.012797	0.000000	0.000000	24.012797	24.012797	24.012797	24.012797	0.000000	0.000000	0.000000	24.012797	0.000000	0.000000	0.000000	0.000000	0.000000	24.012797	0.000000	0.000000	24.012797	24.012797	24.012797	0.000000	24.012797	0.000000	24.012797	24.012797	0.000000	24.012797	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
170000	-110.589052	49	1	14	'Z 0 0 Z Z 0 0 0 Z Z Z 0 Z Z Z 0 Z 0 0 0 0 0 Z 0 0 0 Z 0 Z Z 	0.000000	18.923752	18.923752	0.000000	0.000000	18.923752	18.923752	18.923752	0.000000	0.000000	0.000000	18.923752	0.000000	0.000000	0.000000	18.923752	0.000000	18.923752	18.923752	18.923752	18.923752	18.923752	0.000000	18.923752	18.923752	18.923752	0.000000	18.923752	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
175000	-105.441712	281	1	13	'Z 0 0 Z Z 0 0 0 0 0 Z 0 Z Z Z Z 0 0 Z Z 0 0 0 0 Z 0 Z 0 0 Z 	0.000000	30.103400	30.103400	0.000000	0.000000	30.103400	30.103400	30.103400	30.103400	30.103400	0.000000	30.103400	0.000000	0.000000	0.000000	0.000000	30.103400	30.103400	0.000000	0.000000	30.103400	30.103400	30.103400	30.103400	0.000000	30.103400	0.000000	30.103400	30.103400	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
180000	-104.287116	8	1	16	'Z 0 0 Z Z Z 0 0 0 Z Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 0 0 Z 0 0 Z Z 	0.000000	2.748083	2.748083	0.000000	0.000000	0.000000	2.748083	2.748083	2.748083	0.000000	0.000000	2.748083	0.000000	0.000000	0.000000	2.748083	0.000000	2.748083	0.000000	0.000000	0.000000	2.748083	2.748083	2.748083	2.748083	0.000000	2.748083	2.748083	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
185000	-104.259170	233	1	15	'Z 0 0 Z Z Z 0 0 0 Z Z 0 Z Z Z 0 Z 0 Z Z 0 Z 0 0 0 Z 0 0 Z 0 	0.000000	3.830185	3.830185	0.000000	0.000000	0.000000	3.830185	3.830185	3.830185	0.000000	0.000000	3.830185	0.000000	0.000000	0.000000	3.830185	0.000000	3.830185	0.000000	0.000000	3.830185	0.000000	3.830185	3.830185	3.830185	0.000000	3.830185	3.830185	0.000000	3.830185	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
190000	-106.695791	219	1	12	'0 Z 0 0 0 Z 0 0 0 Z Z 0 Z Z Z 0 Z 0 Z Z 0 0 0 0 0 Z 0 0 Z 0 	8.061460	0.000000	8.061460	8.061460	8.061460	0.000000	8.061460	8.061460	8.061460	0.000000	0.000000	8.061460	0.000000	0.000000	0.000000	8.061460	0.000000	8.061460	0.000000	0.000000	8.061460	8.061460	8.061460	8.061460	8.061460	0.000000	8.061460	8.061460	0.000000	8.061460	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
195000	-105.553487	247	1	11	'0 0 0 0 0 Z 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 0 0 0 0 0 0 0 	7.599055	7.599055	7.599055	7.599055	7.599055	0.000000	7.599055	7.599055	0.000000	0.000000	0.000000	7.599055	0.000000	0.000000	0.000000	7.599055	0.000000	7.599055	0.000000	0.000000	0.000000	7.599055	7.599055	7.599055	7.599055	7.599055	7.599055	7.599055	7.599055	7.599055	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
200000	-102.926462	223	1	14	'0 0 Z Z 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z 0 0 0 Z 0 0 Z 0 0 0 	2.290348	2.290348	0.000000	0.000000	2.290348	2.290348	2.290348	2.290348	0.000000	0.000000	0.000000	2.290348	0.000000	0.000000	0.000000	0.000000	0.000000	2.290348	0.000000	0.000000	2.290348	2.290348	2.290348	0.000000	2.290348	2.290348	0.000000	2.290348	2.290348	2.290348	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
205000	-104.665590	159	2	13	'Z Z 0 0 0 1 0 0 Z Z Z 0 Z Z Z 1 Z 0 Z Z 0 Z 1 0 1 0 Z 0 1 0 	0.000000	0.000000	19.015743	19.015743	19.015743	7.023978	19.015743	19.015743	0.000000	0.000000	0.000000	19.015743	0.000000	0.000000	0.000000	7.023978	0.000000	19.015743	0.000000	0.000000	19.015743	0.000000	7.023978	19.015743	7.023978	19.015743	0.000000	19.015743	7.023978	19.015743	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
210000	-107.292525	11	1	15	'0 0 Z 0 0 0 0 0 Z Z Z 0 Z Z Z Z 0 0 Z Z Z 0 Z Z 0 Z 0 Z 0 0 	14.758040	14.758040	0.000000	14.758040	14.758040	14.758040	14.758040	14.758040	0.000000	0.000000	0.000000	14.758040	0.000000	0.000000	0.000000	0.000000	14.758040	14.758040	0.000000	0.000000	0.000000	14.758040	0.000000	0.000000	14.758040	0.000000	14.758040	0.000000	14.758040	14.758040	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
215000	-106.434094	297	1	11	'0 0 0 0 0 0 0 0 Z 0 Z 0 Z Z Z Z 0 0 Z Z Z 0 0 Z Z 0 0 0 0 0 	7.327078	7.327078	7.327078	7.327078	7.327078	7.327078	7.327078	7.327078	0.000000	7.327078	0.000000	7.327078	0.000000	0.000000	0.000000	0.000000	7.327078	7.327078	0.000000	0.000000	0.000000	7.327078	7.327078	0.000000	0.000000	7.327078	7.327078	7.327078	7.327078	7.327078	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
220000	-103.079249	215	1	14	'0 0 Z 0 0 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z Z Z 0 0 0 0 0 0 0 Z 	17.529894	17.529894	0.000000	17.529894	17.529894	17.529894	17.529894	17.529894	0.000000	0.000000	0.000000	17.529894	0.000000	0.000000	0.000000	0.000000	0.000000	17.529894	0.000000	0.000000	0.000000	0.000000	17.529894	17.529894	17.529894	17.529894	17.529894	17.529894	17.529894	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
225000	-105.555169	35	1	14	'0 0 Z 0 0 0 0 0 Z Z Z 0 Z Z Z Z 0 0 Z Z 0 Z Z 0 Z 0 0 Z 0 0 	40.167347	40.167347	0.000000	40.167347	40.167347	40.167347	40.167347	40.167347	0.000000	0.000000	0.000000	40.167347	0.000000	0.000000	0.000000	0.000000	40.167347	40.167347	0.000000	0.000000	40.167347	0.000000	0.000000	40.167347	0.000000	40.167347	40.167347	0.000000	40.167347	40.167347	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
230000	-102.877677	140	1	16	'0 0 Z 0 Z 0 0 0 Z Z Z 0 Z Z Z Z Z 0 Z Z Z 0 0 Z 0 Z 0 0 Z 0 	0.463288	0.463288	0.000000	0.463288	0.000000	0.463288	0.463288	0.463288	0.000000	0.000000	0.000000	0.463288	0.000000	0.000000	0.000000	0.000000	0.000000	0.463288	0.000000	0.000000	0.000000	0.463288	0.463288	0.000000	0.463288	0.000000	0.463288	0.463288	0.000000	0.463288	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
235000	-103.763136	226	1	14	'0 0 0 Z 0 0 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 0 0 0 Z 0 Z 0 	8.427972	8.427972	8.427972	0.000000	8.427972	8.427972	8.427972	8.427972	0.000000	0.000000	0.000000	8.427972	0.000000	0.000000	0.000000	8.427972	0.000000	8.427972	0.000000	0.000000	0.000000	0.000000	8.427972	8.427972	8.427972	8.427972	0.000000	8.427972	0.000000	8.427972	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
