original,new
Cahuilla,Cahuilla
Chemehuevi,Chemehuevi
ClassicalAztec,Aztec
Comanche,Comanche
Cupeno,Cupeno
Hopi,Hopi
Huichol,Huichol
Luiseno,Luiseno
Mono,Mono
NorthernPaiute,Northern Paiute
Pannamint,Pannamint
PapagoPima,Papago Pima
Serrano,Serrano
Shoshoni_GosiuteDialect,Shoshoni
SouthernPaiute,Southern Paiute
SouthernUte,Southern Ute
Tarahumara,Tarahumara
Tubatulabel,Tubatulabel
Yaqui,Yaqui
