Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-bi.linealdescent.bttrees
Data File Name:                  ./data/austronesian-eskimo-bi.linealdescent.btdata
Log File Name:                   ./output/austronesian-eskimo-bi.linealdescent-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2983556884
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-bi.linealdescent-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.447059,0.388235,0.141176,0.023529)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-82.465252	829	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.576948	0.000000	3.576948	0.000000	3.576948	0.000000	3.576948	3.576948	0.000000	0.000000	0.000000	1.000000	
12000	-81.696926	773	2	3	'0 Z 1 Z 0 Z 0 0 	D	2.912085	0.000000	6.065100	0.000000	2.912085	0.000000	2.912085	2.912085	0.000000	0.000000	0.000000	1.000000	
13000	-81.828252	28	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.852751	0.000000	3.852751	0.000000	3.852751	0.000000	3.852751	3.852751	0.000000	0.000000	0.000000	1.000000	
14000	-81.891789	786	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.773284	0.000000	3.773284	0.000000	3.773284	0.000000	3.773284	3.773284	0.000000	0.000000	0.000000	1.000000	
15000	-82.597473	332	2	3	'0 Z 1 Z 1 Z 0 0 	D	1.767047	0.000000	3.718296	0.000000	3.718296	0.000000	1.767047	1.767047	0.000000	0.000000	0.000000	1.000000	
16000	-85.477657	936	1	3	'0 Z 0 Z 0 Z 0 0 	D	5.330861	0.000000	5.330861	0.000000	5.330861	0.000000	5.330861	5.330861	0.000000	0.000000	0.000000	1.000000	
17000	-83.700709	993	1	3	'0 Z 0 Z 0 Z 0 0 	D	2.927163	0.000000	2.927163	0.000000	2.927163	0.000000	2.927163	2.927163	0.000000	0.000000	0.000000	1.000000	
18000	-82.497291	768	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.286668	0.000000	3.286668	0.000000	3.286668	0.000000	3.286668	3.286668	0.000000	0.000000	0.000000	1.000000	
19000	-82.550009	589	1	3	'0 Z 0 Z 0 Z 0 0 	D	3.726147	0.000000	3.726147	0.000000	3.726147	0.000000	3.726147	3.726147	0.000000	0.000000	0.000000	1.000000	
20000	-82.350157	83	1	3	'0 Z 0 Z 0 Z 0 0 	D	4.021304	0.000000	4.021304	0.000000	4.021304	0.000000	4.021304	4.021304	0.000000	0.000000	0.000000	1.000000	
