Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/bantu-iroquois-uni.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            629767900
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.057971,0.304348,0.072464,0.565217)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-69.763388	403	1	2	'0 Z 0 0 Z 0 0 0 	D	0.998616	0.000000	0.998616	0.998616	0.000000	0.998616	0.998616	0.998616	0.077910	0.737160	0.001114	0.183816	
37000	-69.147193	484	2	3	'Z Z 0 1 Z 0 0 1 	D	0.000000	0.000000	1.602053	0.750687	0.000000	1.602053	1.602053	0.750687	0.000000	0.385424	0.008676	0.605900	
38000	-68.411539	267	1	1	'0 0 0 Z 0 0 0 0 	D	1.270855	1.270855	1.270855	0.000000	1.270855	1.270855	1.270855	1.270855	0.007885	0.003789	0.045724	0.942602	
39000	-69.896397	977	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	2.209698	2.209698	2.209698	2.209698	2.209698	0.000000	0.166873	0.088623	0.744504	
40000	-70.171927	258	1	2	'0 0 0 Z Z 0 0 0 	D	1.067904	1.067904	1.067904	0.000000	0.000000	1.067904	1.067904	1.067904	0.012068	0.005109	0.009513	0.973309	
41000	-70.951497	855	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.550498	1.550498	0.000000	1.550498	1.550498	1.550498	0.000000	0.640380	0.004671	0.354949	
42000	-71.115957	881	1	2	'0 Z 0 0 Z 0 0 0 	D	1.460101	0.000000	1.460101	1.460101	0.000000	1.460101	1.460101	1.460101	0.090935	0.648520	0.003430	0.257115	
43000	-69.858449	389	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.489572	1.489572	1.489572	1.489572	1.489572	1.489572	1.489572	0.005543	0.399137	0.027563	0.567758	
44000	-69.909471	129	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.312738	1.312738	1.312738	1.312738	1.312738	1.312738	0.000000	0.427497	0.027617	0.544886	
45000	-68.989500	644	1	2	'0 Z 0 0 Z 0 0 0 	D	1.461723	0.000000	1.461723	1.461723	0.000000	1.461723	1.461723	1.461723	0.075459	0.549713	0.006791	0.368037	
46000	-68.714693	534	2	4	'Z Z Z 0 0 Z 0 1 	D	0.000000	0.000000	0.000000	2.117309	2.117309	0.000000	2.117309	0.610799	0.000000	0.133278	0.000000	0.866722	
47000	-70.719072	271	1	1	'0 Z 0 0 0 0 0 0 	D	1.702624	0.000000	1.702624	1.702624	1.702624	1.702624	1.702624	1.702624	0.040993	0.366905	0.040003	0.552099	
48000	-69.832339	443	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.322362	1.322362	1.322362	1.322362	1.322362	0.000000	0.089478	0.098626	0.811896	
49000	-70.384836	482	1	0	'0 0 0 0 0 0 0 0 	I	1.378845	1.378845	1.378845	1.378845	1.378845	1.378845	1.378845	1.378845	0.033067	0.411190	0.028536	0.527207	
50000	-70.986320	130	1	2	'0 0 0 Z Z 0 0 0 	D	1.346415	1.346415	1.346415	0.000000	0.000000	1.346415	1.346415	1.346415	0.019822	0.021177	0.023229	0.935772	
51000	-69.312601	733	1	1	'0 Z 0 0 0 0 0 0 	D	1.289837	0.000000	1.289837	1.289837	1.289837	1.289837	1.289837	1.289837	0.046637	0.451407	0.029894	0.472062	
52000	-69.975692	192	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	1.347841	0.000000	1.347841	1.347841	1.347841	1.347841	1.347841	0.013120	0.082374	0.070865	0.833640	
53000	-70.422098	819	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.846617	1.846617	1.846617	1.846617	1.846617	0.000000	0.139290	0.096880	0.763830	
