Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-matrilineal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilineal.btdata
Log File Name:                   ./output/austronesian-crow-matrilineal-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2133324744
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilineal-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.811765,0.117647,0.023529,0.047059)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-62.875657	414	1	0	'0 0 0 0 	0.737738	0.737738	0.737738	0.737738	0.997720	0.002232	0.000046	0.000001	
50000	-62.279175	903	1	0	'0 0 0 0 	0.634711	0.634711	0.634711	0.634711	0.998307	0.001534	0.000156	0.000003	
51000	-62.491512	135	1	0	'0 0 0 0 	0.461891	0.461891	0.461891	0.461891	0.999040	0.000871	0.000088	0.000001	
52000	-62.137339	593	1	0	'0 0 0 0 	0.607589	0.607589	0.607589	0.607589	0.999440	0.000548	0.000011	0.000000	
53000	-62.728430	506	1	0	'0 0 0 0 	0.636261	0.636261	0.636261	0.636261	0.999799	0.000189	0.000011	0.000000	
54000	-63.777996	905	1	0	'0 0 0 0 	0.531736	0.531736	0.531736	0.531736	0.997943	0.001814	0.000237	0.000006	
55000	-61.364283	143	1	0	'0 0 0 0 	0.586244	0.586244	0.586244	0.586244	0.998755	0.001115	0.000128	0.000002	
56000	-65.912108	392	1	0	'0 0 0 0 	0.254454	0.254454	0.254454	0.254454	0.999552	0.000380	0.000068	0.000000	
57000	-66.122972	405	1	0	'0 0 0 0 	0.988953	0.988953	0.988953	0.988953	0.996808	0.002847	0.000331	0.000013	
58000	-61.618992	766	1	0	'0 0 0 0 	0.505947	0.505947	0.505947	0.505947	0.996974	0.003000	0.000025	0.000001	
59000	-62.710036	725	1	0	'0 0 0 0 	0.652749	0.652749	0.652749	0.652749	0.998431	0.001366	0.000199	0.000004	
60000	-62.948471	670	1	0	'0 0 0 0 	0.666911	0.666911	0.666911	0.666911	0.998146	0.001591	0.000257	0.000006	
61000	-62.167152	559	1	0	'0 0 0 0 	0.530556	0.530556	0.530556	0.530556	0.999599	0.000359	0.000042	0.000000	
62000	-63.285857	398	1	0	'0 0 0 0 	0.595116	0.595116	0.595116	0.595116	0.999781	0.000215	0.000004	0.000000	
63000	-60.924713	879	1	0	'0 0 0 0 	0.439142	0.439142	0.439142	0.439142	0.998709	0.001277	0.000014	0.000000	
64000	-62.981768	720	1	0	'0 0 0 0 	0.706436	0.706436	0.706436	0.706436	0.998971	0.000996	0.000032	0.000000	
65000	-64.460568	258	1	0	'0 0 0 0 	0.784564	0.784564	0.784564	0.784564	0.998527	0.001422	0.000050	0.000001	
66000	-63.099958	868	1	0	'0 0 0 0 	0.728645	0.728645	0.728645	0.728645	0.997855	0.001863	0.000275	0.000007	
67000	-63.326155	621	1	0	'0 0 0 0 	0.386911	0.386911	0.386911	0.386911	0.999675	0.000275	0.000050	0.000000	
68000	-61.585212	214	1	0	'0 0 0 0 	0.583189	0.583189	0.583189	0.583189	0.998770	0.001050	0.000177	0.000003	
69000	-64.003627	749	1	0	'0 0 0 0 	0.413745	0.413745	0.413745	0.413745	0.999108	0.000791	0.000100	0.000001	
70000	-57.046063	725	3	0	'0 2 0 1 	0.881304	8.303904	0.881304	2.393726	0.946665	0.024045	0.021688	0.007602	
71000	-56.943258	907	2	0	'0 1 0 1 	0.605303	7.555048	0.605303	7.555048	0.690992	0.248421	0.010163	0.050424	
72000	-57.463028	943	2	0	'0 1 0 1 	0.524012	6.498465	0.524012	6.498465	0.616107	0.303011	0.010387	0.070495	
73000	-57.118192	688	2	0	'0 1 0 1 	0.582971	4.190193	0.582971	4.190193	0.911081	0.075223	0.006402	0.007294	
74000	-58.349634	47	2	0	'0 1 0 1 	1.556795	11.844185	1.556795	11.844185	0.802932	0.127276	0.021895	0.047896	
75000	-61.126368	35	1	0	'0 0 0 0 	0.893784	0.893784	0.893784	0.893784	0.999634	0.000352	0.000015	0.000000	
76000	-61.700179	394	1	0	'0 0 0 0 	0.582638	0.582638	0.582638	0.582638	0.998886	0.000983	0.000129	0.000002	
77000	-57.022429	34	2	0	'1 0 1 0 	0.821700	7.161781	0.821700	7.161781	0.786465	0.159811	0.014122	0.039601	
78000	-63.117065	674	1	0	'0 0 0 0 	0.715634	0.715634	0.715634	0.715634	0.999480	0.000469	0.000051	0.000000	
79000	-62.027609	773	1	0	'0 0 0 0 	0.506436	0.506436	0.506436	0.506436	0.999554	0.000437	0.000009	0.000000	
80000	-63.361716	598	1	0	'0 0 0 0 	0.436766	0.436766	0.436766	0.436766	0.999560	0.000373	0.000067	0.000000	
81000	-62.966181	965	1	0	'0 0 0 0 	0.609023	0.609023	0.609023	0.609023	0.999427	0.000511	0.000061	0.000000	
82000	-63.069185	49	1	0	'0 0 0 0 	0.473271	0.473271	0.473271	0.473271	0.999851	0.000134	0.000015	0.000000	
83000	-62.810973	944	1	0	'0 0 0 0 	0.388052	0.388052	0.388052	0.388052	0.999873	0.000121	0.000006	0.000000	
84000	-63.081627	733	1	0	'0 0 0 0 	0.609718	0.609718	0.609718	0.609718	0.999754	0.000227	0.000020	0.000000	
85000	-63.679160	219	1	0	'0 0 0 0 	0.465907	0.465907	0.465907	0.465907	0.999544	0.000428	0.000028	0.000000	
86000	-63.481873	247	1	0	'0 0 0 0 	0.409501	0.409501	0.409501	0.409501	0.999803	0.000171	0.000026	0.000000	
87000	-63.696604	266	1	0	'0 0 0 0 	0.765365	0.765365	0.765365	0.765365	0.999076	0.000821	0.000101	0.000001	
88000	-63.844935	655	1	0	'0 0 0 0 	0.596572	0.596572	0.596572	0.596572	0.993259	0.006636	0.000096	0.000009	
89000	-57.815521	832	2	0	'0 1 0 1 	0.634365	4.032366	0.634365	4.032366	0.913411	0.069919	0.008107	0.008564	
90000	-56.372814	972	2	0	'0 1 0 1 	0.635797	6.245731	0.635797	6.245731	0.774223	0.175503	0.012178	0.038096	
91000	-57.027065	594	2	0	'0 1 0 1 	0.745007	4.792942	0.745007	4.792942	0.895143	0.081247	0.010481	0.013128	
92000	-57.404420	517	2	0	'0 1 0 1 	1.101441	8.425652	1.101441	8.425652	0.798057	0.141239	0.017635	0.043069	
93000	-58.147790	245	2	0	'0 1 0 1 	0.448041	3.067044	0.448041	3.067044	0.944296	0.048807	0.004026	0.002872	
94000	-55.798242	766	2	0	'0 1 0 1 	0.439483	5.346835	0.439483	5.346835	0.791691	0.185532	0.005380	0.017397	
95000	-60.492350	768	2	0	'0 1 0 1 	1.285758	4.638756	1.285758	4.638756	0.930334	0.056255	0.007311	0.006100	
96000	-58.666994	77	2	0	'0 1 0 1 	0.096405	8.016571	0.096405	8.016571	0.008071	0.147687	0.003330	0.840911	
97000	-56.575128	480	2	0	'0 1 0 1 	0.697848	6.026195	0.697848	6.026195	0.820480	0.146045	0.009685	0.023790	
98000	-60.257611	505	2	0	'0 1 0 1 	1.795814	9.550363	1.795814	9.550363	0.822372	0.121508	0.018467	0.037653	
99000	-58.486826	250	2	0	'0 1 0 1 	1.404413	11.901029	1.404413	11.901029	0.798158	0.130361	0.021968	0.049513	
100000	-63.623724	835	1	0	'0 0 0 0 	0.407757	0.407757	0.407757	0.407757	0.999271	0.000722	0.000007	0.000000	
101000	-59.489099	539	2	0	'0 1 0 1 	2.019675	13.556645	2.019675	13.556645	0.809505	0.120838	0.022764	0.046893	
102000	-57.044960	849	2	0	'0 1 0 1 	0.767586	6.032256	0.767586	6.032256	0.830050	0.134811	0.010841	0.024298	
103000	-54.724266	35	2	0	'0 1 0 1 	1.004534	9.701701	1.004534	9.701701	0.747272	0.185447	0.015206	0.052075	
104000	-58.938834	213	2	0	'0 1 0 1 	0.633156	2.983587	0.633156	2.983587	0.951376	0.042867	0.003550	0.002207	
105000	-59.259830	833	2	0	'0 1 0 1 	0.314620	3.228742	0.314620	3.228742	0.931783	0.063446	0.002460	0.002311	
106000	-59.160233	705	2	0	'0 1 0 1 	2.408104	21.858256	2.408104	21.858256	0.811574	0.117811	0.023513	0.047102	
107000	-57.132321	755	2	0	'0 1 0 1 	0.720541	8.005189	0.720541	8.005189	0.703293	0.216336	0.015324	0.065048	
108000	-58.330121	858	2	0	'0 1 0 1 	1.561494	12.590570	1.561494	12.590570	0.800589	0.128986	0.021848	0.048577	
109000	-63.085380	666	1	0	'0 0 0 0 	0.487084	0.487084	0.487084	0.487084	0.999663	0.000322	0.000015	0.000000	
110000	-59.461875	232	2	0	'1 0 1 1 	0.603730	13.806609	0.603730	0.603730	0.968438	0.000401	0.030985	0.000177	
111000	-63.113018	182	1	0	'0 0 0 0 	0.435418	0.435418	0.435418	0.435418	0.999681	0.000278	0.000042	0.000000	
112000	-63.683200	224	1	0	'0 0 0 0 	0.661344	0.661344	0.661344	0.661344	0.998871	0.001033	0.000095	0.000001	
113000	-60.023659	35	1	0	'0 0 0 0 	0.625522	0.625522	0.625522	0.625522	0.999879	0.000117	0.000004	0.000000	
114000	-63.418364	785	1	0	'0 0 0 0 	0.699863	0.699863	0.699863	0.699863	0.999056	0.000909	0.000034	0.000000	
115000	-60.057607	35	1	0	'0 0 0 0 	0.558918	0.558918	0.558918	0.558918	0.999914	0.000084	0.000003	0.000000	
