Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilineal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilineal.btdata
Log File Name:                   ./output/bantu-omaha-patrilineal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4174610314
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilineal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.014493,0.101449)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-71.847279	472	1	3	'0 Z 0 0 Z Z 0 0 	D	1.524892	0.000000	1.524892	1.524892	0.000000	0.000000	1.524892	1.524892	0.809876	0.185406	0.000000	0.004719	
37000	-68.160910	568	1	1	'0 Z 0 0 0 0 0 0 	D	3.766407	0.000000	3.766407	3.766407	3.766407	3.766407	3.766407	3.766407	0.623164	0.302368	0.011559	0.062909	
38000	-68.880836	635	1	4	'0 Z Z 0 Z Z 0 0 	D	1.877878	0.000000	0.000000	1.877878	0.000000	0.000000	1.877878	1.877878	1.000000	0.000000	0.000000	0.000000	
39000	-67.767197	599	1	3	'0 Z 0 0 Z Z 0 0 	D	3.016353	0.000000	3.016353	3.016353	0.000000	0.000000	3.016353	3.016353	0.758588	0.229909	0.000000	0.011504	
40000	-67.758000	458	1	1	'0 Z 0 0 0 0 0 0 	D	1.832217	0.000000	1.832217	1.832217	1.832217	1.832217	1.832217	1.832217	0.735315	0.231184	0.006945	0.026557	
41000	-68.787247	536	1	4	'0 Z Z 0 Z Z 0 0 	D	2.171059	0.000000	0.000000	2.171059	0.000000	0.000000	2.171059	2.171059	1.000000	0.000000	0.000000	0.000000	
42000	-70.136983	368	1	3	'0 Z 0 0 Z Z 0 0 	D	3.309024	0.000000	3.309024	3.309024	0.000000	0.000000	3.309024	3.309024	0.767117	0.222170	0.000000	0.010713	
43000	-68.618825	102	1	1	'0 Z 0 0 0 0 0 0 	D	3.515812	0.000000	3.515812	3.515812	3.515812	3.515812	3.515812	3.515812	0.654559	0.282652	0.010567	0.052222	
44000	-68.719450	303	1	2	'0 Z 0 0 Z 0 0 0 	D	2.874202	0.000000	2.874202	2.874202	0.000000	2.874202	2.874202	2.874202	0.739114	0.243181	0.000521	0.017184	
45000	-72.242569	503	1	2	'0 Z 0 0 Z 0 0 0 	D	5.113572	0.000000	5.113572	5.113572	0.000000	5.113572	5.113572	5.113572	0.660323	0.298014	0.002609	0.039055	
46000	-68.994705	661	1	2	'0 Z 0 0 0 0 Z 0 	D	3.164117	0.000000	3.164117	3.164117	3.164117	3.164117	0.000000	3.164117	0.763789	0.216227	0.007425	0.012560	
47000	-69.940669	995	2	2	'1 Z 0 0 1 1 Z 1 	D	2.588060	0.000000	1.771097	1.771097	2.588060	2.588060	0.000000	2.588060	0.749228	0.223778	0.008668	0.018326	
48000	-69.588073	886	1	1	'0 Z 0 0 0 0 0 0 	D	4.887224	0.000000	4.887224	4.887224	4.887224	4.887224	4.887224	4.887224	0.564743	0.337111	0.013377	0.084770	
49000	-69.824758	285	1	4	'0 Z 0 0 Z Z Z 0 	D	2.173972	0.000000	2.173972	2.173972	0.000000	0.000000	0.000000	2.173972	0.845578	0.154422	0.000000	0.000000	
50000	-69.393512	550	1	4	'0 Z 0 0 Z Z Z 0 	D	2.431719	0.000000	2.431719	2.431719	0.000000	0.000000	0.000000	2.431719	0.826347	0.173653	0.000000	0.000000	
51000	-69.620714	821	1	2	'0 Z 0 0 0 0 Z 0 	D	2.350757	0.000000	2.350757	2.350757	2.350757	2.350757	0.000000	2.350757	0.753851	0.223361	0.007898	0.014890	
52000	-70.785960	760	1	2	'0 Z 0 0 Z 0 0 0 	D	2.522119	0.000000	2.522119	2.522119	0.000000	2.522119	2.522119	2.522119	0.751705	0.232895	0.000407	0.014993	
53000	-68.186162	924	1	1	'0 Z 0 0 0 0 0 0 	D	1.703095	0.000000	1.703095	1.703095	1.703095	1.703095	1.703095	1.703095	0.739155	0.228629	0.006743	0.025473	
54000	-67.916560	135	1	1	'0 Z 0 0 0 0 0 0 	D	2.536204	0.000000	2.536204	2.536204	2.536204	2.536204	2.536204	2.536204	0.695130	0.256521	0.009050	0.039299	
55000	-69.564139	650	1	2	'0 Z 0 0 0 0 Z 0 	D	1.795504	0.000000	1.795504	1.795504	1.795504	1.795504	0.000000	1.795504	0.815384	0.177748	0.004068	0.002801	
56000	-70.786393	731	1	3	'0 Z 0 0 Z Z 0 0 	D	2.682425	0.000000	2.682425	2.682425	0.000000	0.000000	2.682425	2.682425	0.777222	0.213770	0.000000	0.009009	
57000	-69.591298	587	1	1	'0 Z 0 0 0 0 0 0 	D	1.561974	0.000000	1.561974	1.561974	1.561974	1.561974	1.561974	1.561974	0.765273	0.211857	0.005192	0.017678	
58000	-68.516546	465	1	2	'0 Z 0 0 Z 0 0 0 	D	2.593085	0.000000	2.593085	2.593085	0.000000	2.593085	2.593085	2.593085	0.765243	0.222047	0.000276	0.012433	
59000	-68.646236	240	1	1	'0 Z 0 0 0 0 0 0 	D	2.983082	0.000000	2.983082	2.983082	2.983082	2.983082	2.983082	2.983082	0.630221	0.298308	0.011235	0.060236	
60000	-70.032250	894	1	1	'0 Z 0 0 0 0 0 0 	D	4.009978	0.000000	4.009978	4.009978	4.009978	4.009978	4.009978	4.009978	0.617237	0.305697	0.011828	0.065238	
61000	-67.998759	469	1	1	'0 Z 0 0 0 0 0 0 	D	2.457094	0.000000	2.457094	2.457094	2.457094	2.457094	2.457094	2.457094	0.734171	0.231913	0.007049	0.026866	
62000	-67.606935	363	1	1	'0 Z 0 0 0 0 0 0 	D	3.020297	0.000000	3.020297	3.020297	3.020297	3.020297	3.020297	3.020297	0.650794	0.285278	0.010600	0.053328	
63000	-70.084338	564	1	3	'0 Z 0 0 Z Z 0 0 	D	1.959351	0.000000	1.959351	1.959351	0.000000	0.000000	1.959351	1.959351	0.778777	0.212303	0.000000	0.008920	
64000	-67.193284	180	1	2	'0 Z 0 0 Z 0 0 0 	D	2.237071	0.000000	2.237071	2.237071	0.000000	2.237071	2.237071	2.237071	0.745331	0.238215	0.000459	0.015995	
65000	-68.802670	892	1	1	'0 Z 0 0 0 0 0 0 	D	3.207146	0.000000	3.207146	3.207146	3.207146	3.207146	3.207146	3.207146	0.682669	0.263866	0.009774	0.043691	
66000	-69.548111	851	1	2	'0 Z 0 0 Z 0 0 0 	D	2.061351	0.000000	2.061351	2.061351	0.000000	2.061351	2.061351	2.061351	0.788676	0.202175	0.000148	0.009001	
67000	-70.212009	697	1	3	'0 Z 0 0 Z Z 0 0 	D	3.345841	0.000000	3.345841	3.345841	0.000000	0.000000	3.345841	3.345841	0.764348	0.224641	0.000000	0.011011	
68000	-69.528367	852	1	2	'0 Z 0 0 Z 0 0 0 	D	3.517602	0.000000	3.517602	3.517602	0.000000	3.517602	3.517602	3.517602	0.716084	0.260369	0.000909	0.022637	
69000	-68.623528	120	1	2	'0 Z 0 0 Z 0 0 0 	D	3.345852	0.000000	3.345852	3.345852	0.000000	3.345852	3.345852	3.345852	0.727892	0.251031	0.000754	0.020324	
70000	-69.871359	178	1	3	'0 Z 0 0 Z Z 0 0 	D	3.231442	0.000000	3.231442	3.231442	0.000000	0.000000	3.231442	3.231442	0.733867	0.251032	0.000000	0.015100	
71000	-68.193758	788	1	1	'0 Z 0 0 0 0 0 0 	D	2.116071	0.000000	2.116071	2.116071	2.116071	2.116071	2.116071	2.116071	0.697758	0.255615	0.008702	0.037924	
72000	-66.660155	382	1	1	'0 Z 0 0 0 0 0 0 	D	2.400757	0.000000	2.400757	2.400757	2.400757	2.400757	2.400757	2.400757	0.716476	0.243562	0.007882	0.032080	
73000	-70.132105	997	1	2	'0 Z 0 0 0 0 Z 0 	D	2.892209	0.000000	2.892209	2.892209	2.892209	2.892209	0.000000	2.892209	0.736231	0.237391	0.008412	0.017966	
74000	-68.340585	58	1	2	'0 Z 0 0 0 0 Z 0 	D	2.784924	0.000000	2.784924	2.784924	2.784924	2.784924	0.000000	2.784924	0.736546	0.237235	0.008385	0.017833	
75000	-68.736585	527	1	3	'0 Z 0 0 Z Z 0 0 	D	1.886642	0.000000	1.886642	1.886642	0.000000	0.000000	1.886642	1.886642	0.802824	0.190575	0.000000	0.006601	
76000	-68.101811	266	1	3	'0 Z 0 0 Z Z 0 0 	D	2.944422	0.000000	2.944422	2.944422	0.000000	0.000000	2.944422	2.944422	0.775853	0.215206	0.000000	0.008941	
77000	-68.758640	32	1	2	'0 Z 0 0 0 0 Z 0 	D	1.921637	0.000000	1.921637	1.921637	1.921637	1.921637	0.000000	1.921637	0.817489	0.173963	0.004688	0.003860	
78000	-68.572447	978	2	3	'1 Z 1 0 Z Z 1 0 	D	4.432973	0.000000	4.432973	2.097543	0.000000	0.000000	4.432973	2.097543	0.634658	0.331095	0.000000	0.034246	
79000	-69.660120	995	1	3	'0 Z 0 0 Z Z 0 0 	D	1.856772	0.000000	1.856772	1.856772	0.000000	0.000000	1.856772	1.856772	0.784350	0.207576	0.000000	0.008075	
80000	-69.676353	230	1	1	'0 Z 0 0 0 0 0 0 	D	2.785477	0.000000	2.785477	2.785477	2.785477	2.785477	2.785477	2.785477	0.680623	0.265826	0.009637	0.043914	
81000	-66.139441	638	1	2	'0 Z 0 0 Z 0 0 0 	D	3.053721	0.000000	3.053721	3.053721	0.000000	3.053721	3.053721	3.053721	0.754911	0.230296	0.000374	0.014420	
82000	-70.519803	720	1	4	'0 Z 0 0 Z Z Z 0 	D	1.291054	0.000000	1.291054	1.291054	0.000000	0.000000	0.000000	1.291054	0.834693	0.165307	0.000000	0.000000	
83000	-71.478288	430	1	4	'0 Z Z 0 Z Z 0 0 	D	1.468021	0.000000	0.000000	1.468021	0.000000	0.000000	1.468021	1.468021	1.000000	0.000000	0.000000	0.000000	
84000	-67.760775	478	1	1	'0 Z 0 0 0 0 0 0 	D	3.133549	0.000000	3.133549	3.133549	3.133549	3.133549	3.133549	3.133549	0.671467	0.271865	0.009957	0.046711	
85000	-69.507533	423	1	1	'0 Z 0 0 0 0 0 0 	D	4.109235	0.000000	4.109235	4.109235	4.109235	4.109235	4.109235	4.109235	0.616823	0.306229	0.011763	0.065186	
86000	-69.496750	699	1	3	'0 Z 0 0 Z Z 0 0 	D	2.750684	0.000000	2.750684	2.750684	0.000000	0.000000	2.750684	2.750684	0.780699	0.210669	0.000000	0.008632	
87000	-65.888279	638	1	3	'0 Z 0 0 Z Z 0 0 	D	2.396611	0.000000	2.396611	2.396611	0.000000	0.000000	2.396611	2.396611	0.791736	0.200906	0.000000	0.007358	
