Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-high.polygyny.bttrees
Data File Name:                  ./data/austronesian-iroquois-high.polygyny.btdata
Log File Name:                   ./output/austronesian-iroquois-high.polygyny-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2209675862
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-high.polygyny-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.762500,0.087500,0.100000,0.050000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-68.154288	304	1	2	'0 0 0 0 0 0 Z Z 	D	1.262312	1.262312	1.262312	1.262312	1.262312	1.262312	0.000000	0.000000	0.991378	0.004024	0.004598	0.000000	
12000	-66.329447	635	1	0	'0 0 0 0 0 0 0 0 	I	0.793373	0.793373	0.793373	0.793373	0.793373	0.793373	0.793373	0.793373	0.997872	0.000991	0.001133	0.000005	
13000	-68.624366	237	1	2	'0 0 0 0 0 Z 0 Z 	D	0.805947	0.805947	0.805947	0.805947	0.805947	0.000000	0.805947	0.000000	0.996006	0.001621	0.002369	0.000004	
14000	-67.741394	962	1	3	'0 0 0 Z 0 0 Z Z 	D	0.931561	0.931561	0.931561	0.000000	0.931561	0.931561	0.000000	0.000000	0.996574	0.001895	0.001531	0.000000	
15000	-65.329697	560	1	1	'0 0 0 0 0 0 0 Z 	D	0.777818	0.777818	0.777818	0.777818	0.777818	0.777818	0.777818	0.000000	0.999775	0.000105	0.000120	0.000000	
16000	-66.405884	556	1	1	'0 0 0 0 0 0 0 Z 	D	1.044982	1.044982	1.044982	1.044982	1.044982	1.044982	1.044982	0.000000	0.999447	0.000258	0.000295	0.000000	
17000	-63.523928	994	2	0	'0 0 1 1 1 0 1 0 	D	1.918793	1.918793	10.746640	10.746640	10.746640	1.918793	10.746640	1.918793	0.806223	0.064651	0.100182	0.028944	
18000	-64.139799	615	2	2	'0 0 1 1 0 Z 0 Z 	D	0.787606	0.787606	3.404332	3.404332	0.787606	0.000000	0.787606	0.000000	0.992305	0.006891	0.000795	0.000009	
19000	-66.167915	753	2	1	'0 0 1 1 1 0 1 Z 	D	0.783555	0.783555	0.682747	0.682747	0.682747	0.783555	0.682747	0.000000	0.999572	0.000205	0.000223	0.000000	
20000	-67.020958	76	1	1	'0 0 0 0 0 0 Z 0 	D	0.580404	0.580404	0.580404	0.580404	0.580404	0.580404	0.000000	0.580404	0.999737	0.000123	0.000140	0.000000	
21000	-66.632406	9	1	1	'0 0 0 0 Z 0 0 0 	D	0.681252	0.681252	0.681252	0.681252	0.000000	0.681252	0.681252	0.681252	0.999772	0.000228	0.000000	0.000000	
22000	-64.586675	776	2	0	'1 1 0 1 1 0 0 0 	D	1.104221	1.104221	4.250116	1.104221	1.104221	4.250116	4.250116	4.250116	0.970954	0.026872	0.001300	0.000875	
23000	-69.984093	800	1	3	'0 0 0 Z 0 0 Z Z 	D	1.432284	1.432284	1.432284	0.000000	1.432284	1.432284	0.000000	0.000000	0.991008	0.005920	0.003072	0.000000	
24000	-68.863838	86	1	3	'0 0 0 0 Z Z 0 Z 	D	0.788013	0.788013	0.788013	0.788013	0.000000	0.000000	0.788013	0.000000	0.999582	0.000418	0.000000	0.000000	
25000	-66.929793	935	1	1	'0 0 0 0 0 0 0 Z 	D	1.058673	1.058673	1.058673	1.058673	1.058673	1.058673	1.058673	0.000000	0.996899	0.001446	0.001652	0.000003	
26000	-65.690980	161	1	1	'0 0 0 0 0 0 Z 0 	D	0.742156	0.742156	0.742156	0.742156	0.742156	0.742156	0.000000	0.742156	0.998305	0.000791	0.000903	0.000001	
27000	-68.625276	438	1	2	'0 0 0 0 Z Z 0 0 	D	0.811932	0.811932	0.811932	0.811932	0.000000	0.000000	0.811932	0.811932	0.999176	0.000824	0.000000	0.000001	
28000	-66.580460	596	1	1	'0 0 0 0 0 0 0 Z 	D	0.681714	0.681714	0.681714	0.681714	0.681714	0.681714	0.681714	0.000000	0.998591	0.000657	0.000751	0.000001	
29000	-68.801791	918	1	3	'0 0 0 Z 0 0 Z Z 	D	0.725897	0.725897	0.725897	0.000000	0.725897	0.725897	0.000000	0.000000	0.999368	0.000346	0.000286	0.000000	
30000	-67.582322	12	1	1	'0 0 0 0 0 0 Z 0 	D	1.254021	1.254021	1.254021	1.254021	1.254021	1.254021	0.000000	1.254021	0.998773	0.000573	0.000655	0.000000	
31000	-66.458367	725	1	2	'0 0 0 0 0 0 Z Z 	D	0.799761	0.799761	0.799761	0.799761	0.799761	0.799761	0.000000	0.000000	0.997537	0.001149	0.001313	0.000000	
